epoch,phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,top_sim,pos_dis,bos_dis
1,train,-0.12981830537319183,25.765625,0.59765625,1.095703125,7.05859375,15393,10,,4.4609375,,0.6761946871684315,0.5963923949369948,0.5963923949369948,,,
2,train,-0.29256296157836914,44.21875,0.378173828125,0.54541015625,3.87109375,2653,10,,2.1328125,,0.8051290046366045,0.6204067856256585,0.6204067856256585,,,
3,train,-0.552311897277832,59.125,0.152587890625,0.375244140625,4.26953125,392,10,,2.30859375,,0.8418329942548055,0.6571887304962998,0.6571887304962998,,,
4,train,-0.6830616593360901,66.5,0.03875732421875,0.313232421875,4.8359375,68,10,,3.564453125,,0.874486125884505,0.7693271675978696,0.7693271675978696,,,
5,train,-0.7581348419189453,72.625,0.0140380859375,0.28173828125,5.1796875,28,10,,3.8828125,,0.8846799169401255,0.7822020674310055,0.7822020674310055,,,
6,train,-0.7682116627693176,73.25,0.01096343994140625,0.27734375,5.328125,203,10,,3.96875,,0.8835322760149803,0.7708897834684685,0.7708897834684685,,,
7,train,-0.7498303651809692,69.8125,0.0206756591796875,0.3134765625,5.3203125,49,10,,3.8828125,,0.8845642197055523,0.7532495443875827,0.7532495443875827,,,
8,train,-0.7751283645629883,74.875,0.052093505859375,0.266845703125,4.42578125,666,10,,2.80859375,,0.8244557118140178,0.7095793029618733,0.7095793029618733,,,
9,train,-0.8072219491004944,77.5625,0.059844970703125,0.24951171875,3.720703125,565,10,,1.9560546875,,0.8147250535753552,0.6812775816263135,0.6812775816263135,,,
10,train,-0.7872777581214905,71.875,0.032012939453125,0.29443359375,3.65625,94,10,,2.3359375,,0.8670320876381618,0.7056664258300018,0.7056664258300018,,,
11,train,-0.8440122604370117,79.4375,0.039520263671875,0.244140625,4.47265625,385,10,,2.974609375,,0.8242145130866528,0.7219059612728795,0.7219059612728795,,,
12,train,-0.8589484095573425,81.4375,0.06011962890625,0.2332763671875,4.23828125,561,9,,2.521484375,,0.8299877604811218,0.7051561166061652,0.6884789410950802,,,
13,train,-0.8293578624725342,79.5625,0.0938720703125,0.2379150390625,6.22265625,1559,10,,3.21875,,0.7551361803729901,0.6901671385232432,0.6901671385232432,,,
14,train,-0.8660113215446472,81.75,0.048736572265625,0.218505859375,6.11328125,468,10,,3.83984375,,0.7994759072751294,0.7778098549893098,0.7778098549893098,,,
15,train,-0.8491912484169006,79.5625,0.0943603515625,0.2247314453125,5.09765625,1053,10,,2.892578125,,0.7793702538822125,0.6967937140857776,0.6967937140857776,,,
16,train,-0.8396317362785339,80.8125,0.084716796875,0.2254638671875,6.26953125,868,10,,3.22265625,,0.7508545893745127,0.7500474137148716,0.7500474137148716,,,
17,train,-0.8410161137580872,82.375,0.1119384765625,0.2166748046875,5.96875,1924,8,,2.6640625,,0.7299435972150612,0.7422419757991479,0.709139931351799,,,
18,train,-0.8561180233955383,82.0625,0.11370849609375,0.206787109375,4.546875,828,8,,2.14453125,,0.7853537548469197,0.7389948936352205,0.7053558402850055,,,
19,train,-0.854123592376709,80.625,0.11834716796875,0.2237548828125,5.453125,783,9,,2.666015625,,0.7874727444363712,0.7823013606440246,0.7699911898431404,,,
20,train,-0.8547563552856445,80.125,0.10699462890625,0.237548828125,6.98046875,1194,10,,3.6875,,0.76259960128173,0.7579479630766637,0.7579479630766637,,,
21,train,-0.8821091651916504,82.4375,0.054412841796875,0.215087890625,6.22265625,187,10,,3.837890625,,0.8294314193984734,0.8230704821043302,0.8230704821043302,,,
22,train,-0.8805832862854004,83.0,0.058441162109375,0.2059326171875,6.16796875,318,9,,3.578125,,0.80671798375383,0.803768717271381,0.7926680152193921,,,
23,train,-0.8622038960456848,81.375,0.07659912109375,0.21728515625,6.14453125,882,9,,2.58203125,,0.760582750648717,0.7704440101173071,0.7574878013380255,,,
24,train,-0.8597090840339661,82.0,0.10516357421875,0.20166015625,5.90234375,1588,9,,2.6171875,,0.7417991124591665,0.7433266904178706,0.7288506011398582,,,
25,train,-0.8751745223999023,82.75,0.09735107421875,0.208251953125,5.22265625,1245,9,,2.091796875,,0.7592598973241634,0.7514702053541567,0.7374415861031817,,,
26,train,-0.8844965696334839,83.0,0.071044921875,0.1927490234375,5.69921875,353,8,,2.548828125,,0.8073765898858004,0.7942264607964772,0.7677090305403117,,,
27,train,-0.8985916972160339,84.5625,0.045623779296875,0.1845703125,5.3671875,153,10,,2.66015625,,0.828123705639487,0.8048967771749691,0.8048967771749691,,,
28,train,-0.8837619423866272,84.0,0.05780029296875,0.1922607421875,5.0546875,705,10,,2.546875,,0.7834180287212865,0.7468015277100746,0.7468015277100746,,,
29,train,-0.8926220536231995,83.4375,0.04840087890625,0.1939697265625,4.16015625,418,10,,2.041015625,,0.8016078589054318,0.7155708195054905,0.7155708195054905,,,
30,train,-0.8884645104408264,83.125,0.04571533203125,0.1839599609375,3.919921875,447,10,,1.8662109375,,0.8097412464227851,0.7064257192370003,0.7064257192370003,,,
31,train,-0.8739621043205261,79.9375,0.04718017578125,0.2169189453125,6.953125,816,10,,3.89453125,,0.7692457312779093,0.7575628423400638,0.7575628423400638,,,
