epoch,phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,top_sim,pos_dis,bos_dis
1,train,-0.2019525021314621,20.0625,0.2333984375,1.5302734375,6.1484375,3841,10,,4.9296875,,0.8162605553649633,0.8591115240279198,0.8591115240279198,,,
2,train,-0.20262794196605682,19.9375,0.1807861328125,1.3017578125,6.55859375,1749,10,,4.62890625,,0.7344236547195686,0.753767548289584,0.753767548289584,,,
3,train,-0.20225472748279572,20.015625,0.5166015625,0.68994140625,5.66796875,6690,10,,3.4140625,,0.6597622180422802,0.6052474980794249,0.6052474980794249,,,
4,train,-0.316977858543396,37.25,0.152587890625,0.56298828125,3.5078125,776,10,,1.947265625,,0.8302051580775274,0.865842507950686,0.865842507950686,,,
5,train,-0.3846380114555359,40.0,0.0391845703125,0.46728515625,1.8603515625,255,10,,0.62890625,,0.9047659111980582,0.8336261152344587,0.8336261152344587,,,
6,train,-0.4454978406429291,47.5,0.04058837890625,0.40234375,2.935546875,868,10,,1.41796875,,0.8415577025494576,0.8385179409495813,0.8385179409495813,,,
7,train,-0.5060620903968811,51.90625,0.0181427001953125,0.3359375,2.732421875,124,10,,1.1416015625,,0.8541869248695413,0.8227665837347282,0.8227665837347282,,,
8,train,-0.5140894651412964,52.0625,0.0243682861328125,0.320068359375,2.7890625,294,10,,1.2431640625,,0.8508368382313067,0.7912137742860995,0.7912137742860995,,,
9,train,-0.5248656868934631,52.0,0.01824951171875,0.32470703125,2.65625,117,10,,1.5322265625,,0.8755728406607229,0.8217530388631181,0.8217530388631181,,,
10,train,-0.5600000619888306,55.8125,0.0172271728515625,0.2841796875,3.041015625,407,10,,1.73046875,,0.8457372070514951,0.8189568946289677,0.8189568946289677,,,
11,train,-0.5904403328895569,59.4375,0.0208587646484375,0.264404296875,3.8046875,968,10,,1.669921875,,0.7719155047600407,0.7837374546615241,0.7837374546615241,,,
12,train,-0.6357108354568481,63.28125,0.0256195068359375,0.259033203125,4.09375,607,9,,2.099609375,,0.7765697700115771,0.8035244749169522,0.7924401928153972,,,
13,train,-0.6500780582427979,64.4375,0.031524658203125,0.282958984375,4.61328125,1341,10,,2.044921875,,0.7187246970587158,0.6984171981851378,0.6984171981851378,,,
14,train,-0.6450836658477783,64.1875,0.044036865234375,0.248779296875,4.96875,1854,10,,2.34375,,0.7019091061390911,0.7003841883756351,0.7003841883756351,,,
15,train,-0.6781821846961975,66.5,0.052764892578125,0.2435302734375,4.54296875,1048,10,,2.271484375,,0.7384102720474097,0.7237876017606403,0.7237876017606403,,,
16,train,-0.6960610151290894,67.8125,0.041259765625,0.25341796875,4.5390625,771,10,,2.427734375,,0.7571226656107438,0.7515482485074367,0.7515482485074367,,,
17,train,-0.6815442442893982,66.9375,0.06439208984375,0.258544921875,4.33203125,2184,10,,2.103515625,,0.7300457604234216,0.6901304424599993,0.6901304424599993,,,
18,train,-0.6824175119400024,65.625,0.04296875,0.29150390625,4.40234375,1524,10,,2.302734375,,0.7507899567659264,0.7504844333760603,0.7504844333760603,,,
19,train,-0.6668598651885986,62.96875,0.0268096923828125,0.319091796875,4.59375,987,10,,2.353515625,,0.7638205434355141,0.8079899455446382,0.8079899455446382,,,
20,train,-0.6666631102561951,62.78125,0.0345458984375,0.316650390625,4.58203125,835,9,,2.21484375,,0.7608813155181132,0.8041462487920029,0.7931020880711118,,,
21,train,-0.6787187457084656,64.0,0.08734130859375,0.319580078125,4.0546875,1295,10,,1.943359375,,0.7746097425904147,0.7907305352139213,0.7907305352139213,,,
22,train,-0.7017107605934143,65.9375,0.1214599609375,0.3203125,3.87109375,1978,10,,1.810546875,,0.7589111597969813,0.7371575918224162,0.7371575918224162,,,
23,train,-0.6780437231063843,63.625,0.10675048828125,0.298828125,4.26171875,2435,10,,2.451171875,,0.766507518662919,0.7815191433187871,0.7815191433187871,,,
24,train,-0.6428455710411072,58.46875,0.056396484375,0.359375,5.05859375,800,9,,3.634765625,,0.7973071697241871,0.8396054071205987,0.8305352597444181,,,
25,train,-0.6200828552246094,53.03125,0.033477783203125,0.481201171875,4.875,791,9,,3.111328125,,0.7783928378513291,0.7654512769757724,0.7521891026572719,,,
26,train,-0.6691232323646545,60.40625,0.0247955322265625,0.45068359375,5.29296875,232,9,,3.6953125,,0.7924312541252346,0.8065725607026013,0.7956302770983781,,,
27,train,-0.6546856760978699,58.65625,0.044403076171875,0.435546875,4.6953125,246,9,,2.76171875,,0.7781646652069255,0.7360534004938323,0.7211223508325506,,,
28,train,-0.66377192735672,60.21875,0.04931640625,0.41650390625,5.1796875,578,9,,2.994140625,,0.7637440821523148,0.7543404920021627,0.7404469312793505,,,
29,train,-0.6515486836433411,57.78125,0.043914794921875,0.41015625,5.31640625,1108,10,,3.255859375,,0.7587597670817436,0.7524663257785698,0.7524663257785698,,,
30,train,-0.5906885266304016,47.75,0.08673095703125,0.47705078125,4.046875,937,10,,2.4296875,,0.789512520892848,0.6779159054488442,0.6779159054488442,,,
31,train,-0.6685528755187988,61.46875,0.0491943359375,0.379638671875,5.49609375,845,10,,3.859375,,0.7674265856458218,0.7988765497802304,0.7988765497802304,,,
32,train,-0.7090921998023987,67.125,0.04364013671875,0.344482421875,4.5078125,1232,10,,2.43359375,,0.7415750008784443,0.7313026749308644,0.7313026749308644,,,
33,train,-0.7295774221420288,69.375,0.047119140625,0.309814453125,4.703125,529,8,,2.88671875,,0.7698000637881376,0.7943030021201749,0.7677768061286924,,,
34,train,-0.7352562546730042,69.25,0.0255126953125,0.3056640625,5.390625,239,7,,3.62109375,,0.7833910226447021,0.833733515214142,0.7961619260895393,,,
35,train,-0.741335928440094,69.625,0.021209716796875,0.303955078125,5.125,486,7,,3.177734375,,0.7629107144918131,0.8005518432539485,0.755497520110581,,,
36,train,-0.7364349365234375,69.0625,0.0190277099609375,0.29248046875,5.1796875,577,10,,3.369140625,,0.7708164852253798,0.8073848921605342,0.8073848921605342,,,
37,train,-0.7180764675140381,67.3125,0.037078857421875,0.270263671875,4.453125,405,9,,2.7890625,,0.7806580386242171,0.7520692587557969,0.7380493288962264,,,
38,train,-0.753038227558136,71.0,0.054534912109375,0.25341796875,3.65234375,97,8,,2.177734375,,0.8158943600997351,0.7450213160924614,0.7121361632496747,,,
39,train,-0.7701266407966614,73.1875,0.033721923828125,0.2384033203125,4.02734375,200,9,,2.578125,,0.8016508994254883,0.7592323443722706,0.7456169949060808,,,
40,train,-0.7708593010902405,73.5,0.037933349609375,0.2271728515625,4.16015625,96,9,,2.7578125,,0.8073710324019728,0.7771760842995222,0.7645753794469127,,,
1,val,-0.2047133594751358,19.65625,0.006839752197265625,1.568359375,6.59375,8,2,0.6469831197142206,5.59375,0.7598448554287284,0.8987088217057977,1.0,1.0,-0.008768121335938798,0.001169709488749504,0.00016825884813442826
2,val,-0.14895901083946228,22.28125,0.5498046875,0.796875,6.5703125,25,4,0.36225780902878973,4.16796875,0.6038364078580281,0.8274596700447254,0.8843459966153185,0.7810394694192021,-0.013904769964568364,0.004055683501064777,0.0009720674715936184
3,val,-0.21486859023571014,19.359375,0.63427734375,0.478515625,6.5625,25,4,0.6504063021401412,4.15234375,0.604281463181607,0.8276764458673077,0.8815725278084796,0.7755221441993755,0.0015451082221731372,0.004801490809768438,0.0010521294316276908
4,val,-0.46066009998321533,48.78125,0.043121337890625,0.41943359375,2.787109375,16,3,0.9641427748779123,1.455078125,0.7398291516635318,0.892071647808142,0.9403757125792437,0.8269255588265779,0.20568330378461047,0.07363838702440262,0.13882607221603394
5,val,-0.37348368763923645,46.0625,0.07318115234375,0.406005859375,2.623046875,64,4,0.9794954927725634,1.0556640625,0.7156804677547296,0.8830223797552995,0.9146516431913505,0.8612453664929596,0.17206288431551797,0.0177315566688776,0.025030924007296562
6,val,-0.5028049349784851,52.03125,0.01285552978515625,0.328369140625,2.7109375,77,5,0.9479178706466282,1.068359375,0.6669857027388839,0.8624870689583911,0.8553746300692179,0.7902600332733681,0.17625110149071727,0.03045402467250824,0.013957444578409195
7,val,-0.5207343101501465,52.625,0.00806427001953125,0.308349609375,1.9169921875,11,5,0.9539593032698913,0.755859375,0.7460358964402656,0.8953394635199106,0.7688842681262054,0.6374851615467484,0.17551065462535292,0.03580385446548462,0.06876236945390701
