epoch,phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,top_sim,pos_dis,bos_dis
1,train,-0.20662422478199005,19.890625,0.9619140625,1.4951171875,4.50390625,6929,10,,1.7939453125,,0.1703915845220777,0.1927183754113489,0.1927183754113489,,,
2,train,-0.25864294171333313,29.921875,0.385498046875,0.84716796875,3.33203125,4130,10,,1.5283203125,,0.5236133372927402,0.5833350020162684,0.5833350020162684,,,
3,train,-0.4202899932861328,43.125,0.033203125,0.4072265625,2.57421875,2280,10,,1.2119140625,,0.6756440571937734,0.7152806013719399,0.7152806013719399,,,
4,train,-0.4515872597694397,47.4375,0.0599365234375,0.365478515625,2.47265625,3070,10,,1.0205078125,,0.6405493132265153,0.6482828969451011,0.6482828969451011,,,
5,train,-0.4549402594566345,45.03125,0.03839111328125,0.34326171875,2.501953125,2553,10,,1.0810546875,,0.6477690159878735,0.6500976877704846,0.6500976877704846,,,
6,train,-0.5211547613143921,50.5,0.07379150390625,0.365234375,2.576171875,2523,10,,0.97900390625,,0.6451380319250766,0.6509399863770926,0.6509399863770926,,,
7,train,-0.5858178734779358,56.875,0.052032470703125,0.324462890625,3.103515625,2412,10,,1.1943359375,,0.590769126831361,0.6123657093870759,0.6123657093870759,,,
8,train,-0.5876586437225342,57.28125,0.044708251953125,0.29638671875,3.181640625,2799,10,,1.232421875,,0.5661386870130711,0.5869180431362957,0.5869180431362957,,,
9,train,-0.6048105955123901,58.15625,0.046783447265625,0.2861328125,3.169921875,3424,10,,1.17578125,,0.5258800981051452,0.5488601214308627,0.5488601214308627,,,
10,train,-0.6387680172920227,60.71875,0.0517578125,0.329345703125,3.166015625,3242,10,,1.2109375,,0.5206849163373328,0.5777885233511267,0.5777885233511267,,,
11,train,-0.6391956806182861,60.40625,0.039764404296875,0.319580078125,3.298828125,3011,10,,1.2197265625,,0.5145896246811485,0.5846287447807965,0.5846287447807965,,,
12,train,-0.6799551844596863,64.0,0.060546875,0.361572265625,3.306640625,3064,10,,1.169921875,,0.5171784871251413,0.5543113386095837,0.5543113386095837,,,
13,train,-0.7054784297943115,66.6875,0.025665283203125,0.32861328125,3.41796875,2996,10,,1.1787109375,,0.5116571925879665,0.5470199352247188,0.5470199352247188,,,
14,train,-0.7249451279640198,68.5625,0.00907135009765625,0.322998046875,3.296875,2839,10,,1.158203125,,0.5277810928988389,0.5519522575830217,0.5519522575830217,,,
15,train,-0.7159181833267212,67.4375,0.0168914794921875,0.321044921875,3.283203125,3294,10,,1.1953125,,0.5076261115081737,0.5388237738065853,0.5388237738065853,,,
16,train,-0.7227612733840942,68.5,0.01454925537109375,0.2900390625,3.37890625,3000,10,,1.232421875,,0.5189570607933431,0.5520632526779977,0.5520632526779977,,,
17,train,-0.7247095108032227,67.9375,0.0810546875,0.314208984375,3.69140625,3570,10,,1.380859375,,0.4565433706150185,0.4930386633894826,0.4930386633894826,,,
18,train,-0.7282784581184387,67.875,0.06817626953125,0.316650390625,3.453125,3369,10,,1.287109375,,0.48979690367356976,0.5205049591662413,0.5205049591662413,,,
19,train,-0.7386970520019531,69.4375,0.01177978515625,0.3017578125,3.431640625,3235,10,,1.2802734375,,0.5001495591178053,0.5324280015777223,0.5324280015777223,,,
20,train,-0.7544847726821899,70.3125,0.0225830078125,0.30810546875,3.32421875,3248,10,,1.2529296875,,0.5041950800911292,0.5632196683610893,0.5632196683610893,,,
21,train,-0.7413638234138489,68.4375,0.016571044921875,0.336181640625,3.33984375,3336,10,,1.2783203125,,0.4951384055875363,0.5532975884440272,0.5532975884440272,,,
22,train,-0.7500812411308289,70.0,0.010345458984375,0.302490234375,3.197265625,2533,10,,1.2373046875,,0.5363364924664498,0.582673782927929,0.582673782927929,,,
23,train,-0.7432631254196167,68.5,0.0291595458984375,0.306396484375,3.212890625,3080,10,,1.201171875,,0.5101603226088545,0.54819333799776,0.54819333799776,,,
24,train,-0.7528766393661499,70.0625,0.0242767333984375,0.29150390625,3.47265625,3266,10,,1.294921875,,0.4710050054798989,0.5182464255145417,0.5182464255145417,,,
25,train,-0.753055989742279,69.75,0.0244903564453125,0.2978515625,3.34765625,3115,10,,1.3173828125,,0.49289138479088035,0.5265383156924482,0.5265383156924482,,,
26,train,-0.7611309289932251,70.625,0.03521728515625,0.286376953125,3.27734375,2946,10,,1.2412109375,,0.5108102528383247,0.544878989612216,0.544878989612216,,,
27,train,-0.7647826075553894,71.125,0.0374755859375,0.279541015625,3.1640625,3301,10,,1.1298828125,,0.49965349470037845,0.5280175684134186,0.5280175684134186,,,
28,train,-0.7792226076126099,72.625,0.0176544189453125,0.28515625,3.34765625,3448,10,,1.2333984375,,0.4734574031241986,0.5035112506762649,0.5035112506762649,,,
29,train,-0.7707260251045227,70.8125,0.0027713775634765625,0.300537109375,3.697265625,3321,10,,1.4423828125,,0.458458376379694,0.4957523662734881,0.4957523662734881,,,
30,train,-0.7710493803024292,71.8125,0.0020313262939453125,0.261962890625,3.357421875,3148,10,,1.31640625,,0.4941779697568357,0.530653887390862,0.530653887390862,,,
31,train,-0.7669982314109802,71.25,0.00960540771484375,0.259033203125,3.27734375,3006,10,,1.255859375,,0.5062793441825163,0.5522411110555824,0.5522411110555824,,,
32,train,-0.7764828205108643,71.1875,0.0179290771484375,0.28564453125,3.416015625,3355,10,,1.26171875,,0.4511836123442472,0.4485608981470159,0.4485608981470159,,,
33,train,-0.7800410389900208,72.5,0.02294921875,0.285400390625,3.541015625,3301,10,,1.3037109375,,0.4406293190293391,0.4284080868601949,0.4284080868601949,,,
34,train,-0.7633442282676697,69.0,0.0157318115234375,0.331298828125,4.04296875,3589,10,,1.5634765625,,0.38411458164121925,0.3725451503244518,0.3725451503244518,,,
35,train,-0.7807097434997559,72.1875,0.0216064453125,0.2783203125,3.39453125,3169,10,,1.3154296875,,0.46929302065598144,0.4543368946654578,0.4543368946654578,,,
36,train,-0.7681182622909546,69.9375,0.019622802734375,0.2919921875,3.25,3519,10,,1.1640625,,0.469999674360023,0.43399598937900835,0.43399598937900835,,,
37,train,-0.7518604397773743,68.125,0.0222625732421875,0.28955078125,3.080078125,3228,10,,1.1162109375,,0.49639481970595944,0.4578192406645947,0.4578192406645947,,,
38,train,-0.7760262489318848,70.9375,0.0313720703125,0.302490234375,3.673828125,3969,10,,1.5576171875,,0.4100821655449729,0.4177044985116842,0.4177044985116842,,,
39,train,-0.7743276357650757,71.25,0.0293731689453125,0.277587890625,3.19921875,3773,10,,1.19921875,,0.4791004331772072,0.46058177344804585,0.46058177344804585,,,
