epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,redund_smb_adj3,top_sim,pos_dis,bos_dis
1,train,0.9105406403541565,56.875,1.998046875,93941,10,,0.94873046875,,0.4736785769474663,0.6226662701043474,0.6226662701043474,0.4736785769474663,,,
2,train,0.6808737516403198,65.0625,2.046875,93416,8,,1.0419921875,,0.49433091794689854,0.6425246808010943,0.596384933769925,0.4500255483696254,,,
3,train,0.670174241065979,65.25,2.046875,93249,9,,1.0439453125,,0.49564807213385886,0.6438224899202314,0.6236585591954108,0.47582760409780345,,,
4,train,0.6861028671264648,63.53125,2.048828125,93341,8,,1.0458984375,,0.5016545866860648,0.652201625177091,0.6073072203052419,0.4579891463632436,,,
5,train,0.6848446726799011,63.34375,2.046875,93229,8,,1.046875,,0.5152370411684599,0.6702175161625021,0.6276469624080241,0.47275835025442947,,,
6,train,1.58578622341156,21.6875,1.046875,99701,6,,0.04705810546875,,0.953694606993288,0.986001991850504,0.9809411920201441,0.9430067490318819,,,
7,train,1.6123398542404175,20.140625,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
8,train,1.611480951309204,20.109375,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
9,train,1.6111032962799072,20.359375,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
10,train,1.6107009649276733,20.125,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
11,train,1.6106191873550415,20.15625,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
12,train,1.6104987859725952,20.046875,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
13,train,1.6104190349578857,20.203125,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
14,train,1.6103984117507935,20.109375,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
15,train,1.610405683517456,20.109375,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
16,train,1.610412836074829,20.34375,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
17,train,1.6103938817977905,20.375,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
18,train,1.610384225845337,20.296875,1.0,100000,1,,0.0,,1.0,1.0,1.0,,,,
19,train,1.61038339138031,20.171875,1.0,99998,1,,0.0,,1.0,1.0,1.0,,,,
20,train,1.610379695892334,20.296875,1.0,99989,1,,0.0,,1.0,1.0,1.0,,,,
21,train,1.6103781461715698,20.21875,1.0,99943,1,,0.0,,1.0,1.0,1.0,,,,
22,train,1.6103577613830566,20.375,1.0,99711,1,,0.0,,1.0,1.0,1.0,,,,
23,train,1.6103713512420654,20.46875,1.0,99188,1,,0.0,,1.0,1.0,1.0,,,,
24,train,1.610341191291809,20.296875,1.0,99387,2,,0.00025010108947753906,,0.9996126699972748,1.0,1.0,0.998949429607284,,,
25,train,1.610360026359558,20.25,1.0,99764,1,,0.0,,1.0,1.0,1.0,,,,
1,val,0.6734122037887573,65.5,2.07421875,12,6,0.7915006536390257,1.060546875,0.6816371844178597,0.47930505322101447,0.6273941718395415,0.4990333980127133,0.3621291216908292,0.14994560356910466,0.0030154413543641567,0.012946560978889465
2,val,0.6848238110542297,64.125,2.013671875,12,6,0.682104990361132,1.0126953125,0.6626750475217922,0.4946736152861575,0.6367868446243601,0.5098198543238484,0.38070815175082084,0.22838788426993417,0.05236325412988663,0.06386789679527283
3,val,0.6536298990249634,65.8125,2.037109375,11,6,0.6750607748062434,1.0361328125,0.6884267683562865,0.4904813920711788,0.634829390700175,0.5071816070361128,0.3756238726913548,0.1446876449293258,0.002547773066908121,0.01271052472293377
4,val,0.7169824242591858,62.59375,2.03515625,11,6,0.7227600049558701,1.03515625,0.7017370054565188,0.5124724879155593,0.6709624899925594,0.5553633738151009,0.40246698254602675,0.15566466470572207,0.004290789365768433,0.011911200359463692
5,val,0.7393441200256348,60.09375,2.0234375,11,6,0.72931327914768,1.0234375,0.7028674875966666,0.5144914433982004,0.673079973653304,0.5582990982157171,0.4049087567547325,0.1704661721191138,0.0029443586245179176,0.011861312203109264
6,val,1.6108002662658691,19.046875,1.0,1,1,0.3577908759576499,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
