epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,redund_smb_adj3,top_sim,pos_dis,bos_dis
1,train,0.6359087824821472,64.5625,5.4609375,100000,11,,2.439453125,,0.7056553514946433,0.87113387501848,0.87113387501848,0.7143816887444139,,,
2,train,0.3576487600803375,78.125,5.6171875,100000,11,,2.734375,,0.7208860025381232,0.8680895724770297,0.8680895724770297,0.729154718682592,,,
3,train,0.3253016173839569,79.1875,5.8828125,100000,11,,2.806640625,,0.714948051751092,0.8714945316084453,0.8714945316084453,0.723391951761917,,,
4,train,0.2833338677883148,82.5625,6.08984375,99997,9,,2.8203125,,0.6925678755548139,0.8612074025971088,0.8486288369280601,0.6818423200144343,,,
5,train,0.27440598607063293,83.8125,6.015625,100000,11,,2.814453125,,0.690342024981815,0.8529949926299748,0.8529949926299748,0.6995091556620276,,,
6,train,0.4126906991004944,76.1875,4.96875,100000,11,,2.5234375,,0.7352654489912819,0.793768797580134,0.793768797580134,0.7431065588159791,,,
7,train,0.4209307134151459,74.6875,6.4453125,100000,11,,2.8671875,,0.6932676586238475,0.8736417526658835,0.8736417526658835,0.7023533817229262,,,
8,train,0.3459799885749817,79.5,6.70703125,100000,10,,2.861328125,,0.6760268419764911,0.8584042569633686,0.852660254521999,0.6760268419764911,,,
9,train,0.3236975371837616,80.25,5.78125,99998,10,,2.39453125,,0.7110198940511202,0.8589096904955239,0.8532102638616186,0.7110198940511202,,,
10,train,0.338012158870697,80.4375,5.984375,99999,11,,2.515625,,0.6926522770470618,0.8430608033664273,0.8430608033664273,0.7017599352356316,,,
11,train,0.2715641260147095,83.75,5.765625,100000,10,,2.30859375,,0.680135523514645,0.8475722257232471,0.8413941632239317,0.680135523514645,,,
12,train,0.4228938817977905,77.5,5.83203125,100000,10,,2.375,,0.6769337033618388,0.8620047885405777,0.8563749235311525,0.6769337033618388,,,
13,train,0.4717060625553131,74.4375,5.12890625,100000,10,,2.138671875,,0.7031947274498579,0.8595905472816132,0.8539531650824326,0.7031947274498579,,,
14,train,0.433445543050766,75.4375,5.09375,99232,7,,2.25,,0.7291998331051583,0.8706196448015184,0.8396215506473299,0.69433393596891,,,
15,train,0.46653276681900024,73.3125,3.42578125,99995,6,,1.61328125,,0.797921008092363,0.7886729109617279,0.7156670234251308,0.7585208368013593,,,
16,train,0.45957615971565247,72.3125,3.333984375,99546,6,,1.431640625,,0.8075859956576497,0.7781738783816537,0.7027542775260277,0.7700635671301588,,,
17,train,0.46617549657821655,75.9375,4.875,99398,9,,2.11328125,,0.7122070183605205,0.8085290008510836,0.7912450104184064,0.7021696680049182,,,
18,train,0.4354430139064789,78.75,5.3046875,99592,9,,2.236328125,,0.6919599852078441,0.7592628239396463,0.7372854963344,0.6812327328431245,,,
19,train,0.384600967168808,80.0625,6.203125,99827,6,,2.51953125,,0.650030535811986,0.7877564565237298,0.7101011323047675,0.581988809802674,,,
20,train,0.4234802722930908,78.4375,6.25390625,98977,5,,2.787109375,,0.6475366481000604,0.7784298123692954,0.6543777824913062,0.547974943456822,,,
21,train,0.41228026151657104,79.875,7.08984375,96037,9,,3.0078125,,0.6216963509839337,0.8003347890742305,0.7821989694049436,0.6085819168811457,,,
22,train,0.38573113083839417,81.0625,6.74609375,95614,9,,2.890625,,0.6311709790604774,0.8025211680103186,0.7846257209195959,0.6183754985510537,,,
23,train,0.3801225423812866,81.1875,6.4609375,95327,9,,2.828125,,0.6354822596247358,0.7896807211771231,0.770774472787964,0.6228096958445738,,,
24,train,0.47815993428230286,76.0625,5.984375,94838,8,,2.716796875,,0.6706962627576232,0.7771958946015378,0.743492457357612,0.645413364003826,,,
25,train,0.5518690347671509,72.3125,5.51171875,94734,6,,2.509765625,,0.70494974372469,0.7716882307921464,0.6901353779308863,0.6475268343739805,,,
1,val,0.41278964281082153,78.25,4.96875,247,5,0.945298280964491,2.462890625,0.381432761068212,0.7432485695277977,0.8191475048294803,0.7513451812692988,0.678403709286405,0.2937911368553829,0.10729703307151794,0.0588761568069458
2,val,0.32464534044265747,78.4375,5.859375,272,6,0.9655842132351214,2.861328125,0.3563431595917359,0.7324780068821111,0.8511925469109457,0.8149212817494078,0.6862782705395022,0.3513362475478851,0.20506331324577332,0.04949658364057541
3,val,0.30380526185035706,82.25,6.19921875,366,6,0.9624615524134232,3.02734375,0.2598824480817197,0.7004071534339231,0.840773789310759,0.8087241071876214,0.6497500000074938,0.35296295601950295,0.11550721526145935,0.046428848057985306
4,val,0.21766193211078644,85.5,6.3125,393,6,0.934280265805278,2.970703125,0.22954963801050154,0.684955504843997,0.8340866240714415,0.8024542616061264,0.6333049537970215,0.35538048143368517,0.10775868594646454,0.08161471784114838
5,val,0.3918621838092804,78.9375,4.55859375,187,4,0.9384913043008485,2.373046875,0.3600683520655872,0.7445457392243133,0.7441055755608805,0.5698986488347907,0.6534086209660787,0.34745834831781486,0.12940345704555511,0.06677674502134323
6,val,0.4174666702747345,75.0,6.4375,357,5,0.8986988982376112,2.92578125,0.2347784634156499,0.7201223716045811,0.8586689196215712,0.8069833651842998,0.6502317871487325,0.30660692901408726,0.06125224381685257,0.11184920370578766
7,val,0.30245116353034973,80.9375,6.2890625,442,7,0.9381332592615661,2.638671875,0.20570440001327683,0.7102342809387361,0.8242249501211848,0.8033024480262869,0.677182482775744,0.31872808182172735,0.06807556748390198,0.024046802893280983
8,val,0.4115762710571289,75.8125,5.3359375,532,6,0.925246429925517,2.2578125,0.1389927927395611,0.7533161319081205,0.8334018677033457,0.7973164940821291,0.7080316018743036,0.33308158948528577,0.10442973673343658,0.08341299742460251
