epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,redund_smb_adj3,top_sim,pos_dis,bos_dis
1,train,0.604320228099823,69.0,3.99609375,100000,10,,2.369140625,,0.6720977983709145,0.7187390539119152,0.7187390539119152,0.6720977983709145,,,
2,train,0.3294960558414459,83.125,5.8671875,100000,10,,3.41796875,,0.5771045303053131,0.5916822302425111,0.5916822302425111,0.5771045303053131,,,
3,train,0.2507278025150299,86.1875,6.0,100000,10,,3.4765625,,0.5825782542611146,0.5790783019085135,0.5790783019085135,0.5825782542611146,,,
4,train,0.23414599895477295,86.6875,6.0,100000,10,,3.2890625,,0.5891739966340093,0.5847901621482152,0.5847901621482152,0.5891739966340093,,,
5,train,0.21647533774375916,87.4375,5.98046875,100000,10,,3.30859375,,0.5761237525423845,0.5795583402705577,0.5795583402705577,0.5761237525423845,,,
6,train,0.1960858553647995,88.0625,5.88671875,100000,10,,3.15625,,0.5959553363986847,0.6135920666463611,0.6135920666463611,0.5959553363986847,,,
7,train,0.24466249346733093,85.8125,5.43359375,100000,10,,2.994140625,,0.5879579096311733,0.6155002566057964,0.6155002566057964,0.5879579096311733,,,
8,train,0.23301561176776886,86.5,4.890625,100000,10,,2.748046875,,0.6180507211792682,0.6398244015095244,0.6398244015095244,0.6180507211792682,,,
9,train,0.2772265672683716,84.5625,4.31640625,100000,10,,2.021484375,,0.6264359692731208,0.5903264507317094,0.5903264507317094,0.6264359692731208,,,
10,train,0.3070458173751831,83.125,4.4765625,100000,10,,2.107421875,,0.5997974129193446,0.5811598993402939,0.5811598993402939,0.5997974129193446,,,
11,train,0.22582095861434937,86.5625,4.4609375,100000,10,,2.138671875,,0.6270477965184594,0.6255776533696192,0.6255776533696192,0.6270477965184594,,,
12,train,0.23791071772575378,86.5625,4.33203125,100000,10,,2.296875,,0.597463459515593,0.5699524736708261,0.5699524736708261,0.597463459515593,,,
13,train,0.31651100516319275,82.75,5.015625,100000,10,,2.578125,,0.5875314366057608,0.5976461532896824,0.5976461532896824,0.5875314366057608,,,
14,train,0.5138852596282959,74.0625,5.99609375,100000,10,,3.072265625,,0.5695527512904188,0.565377765080684,0.565377765080684,0.5695527512904188,,,
15,train,0.35331016778945923,80.75,6.0,100000,10,,2.7890625,,0.5763461533940498,0.5718300217523251,0.5718300217523251,0.5763461533940498,,,
16,train,0.35811617970466614,80.625,6.0,100000,10,,2.859375,,0.5785829715079799,0.57414261919606,0.57414261919606,0.5785829715079799,,,
17,train,0.28010109066963196,84.625,6.0,100000,10,,2.947265625,,0.5827527821587993,0.578320995790728,0.578320995790728,0.5827527821587993,,,
18,train,0.3388846814632416,81.8125,6.0,99977,10,,2.828125,,0.5777551445161657,0.5732484457429428,0.5732484457429428,0.5777551445161657,,,
19,train,0.4023117125034332,79.3125,6.0,99903,10,,2.57421875,,0.55217337689254,0.5474012532765684,0.5474012532765684,0.55217337689254,,,
20,train,0.38455894589424133,80.8125,6.0,99921,10,,2.796875,,0.5643982442279261,0.5597548183200816,0.5597548183200816,0.5643982442279261,,,
21,train,0.5805830359458923,71.5,6.0,99864,10,,2.3984375,,0.6013677761506424,0.5971074249785713,0.5971074249785713,0.6013677761506424,,,
22,train,0.6368827819824219,69.125,6.0,98668,10,,2.556640625,,0.5575944620699913,0.5529763069836382,0.5529763069836382,0.5575944620699913,,,
23,train,0.5090932846069336,74.875,5.98046875,99051,10,,2.974609375,,0.5314960237161749,0.5287412492993808,0.5287412492993808,0.5314960237161749,,,
24,train,0.3693048059940338,81.75,6.0,99370,10,,2.84765625,,0.5282453593752678,0.5232402881393715,0.5232402881393715,0.5282453593752678,,,
25,train,0.5309508442878723,73.6875,6.0,94793,10,,2.93359375,,0.5661986350676095,0.5615800765318265,0.5615800765318265,0.5661986350676095,,,
