epoch,phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,redund_smb_adj3,top_sim,pos_dis,bos_dis
1,train,-0.17783713340759277,29.71875,0.89208984375,0.86767578125,5.10546875,22552,10,,2.515625,,0.7330342818417637,0.7288507311135352,0.7288507311135352,0.7330342818417637,,,
2,train,-0.38411691784858704,37.75,0.17236328125,0.328857421875,5.0390625,543,10,,3.658203125,,0.9100805144800728,0.9497098859890732,0.9497098859890732,0.9100805144800728,,,
3,train,-0.3501492142677307,40.09375,0.28125,0.347412109375,4.67578125,3118,10,,3.080078125,,0.8750698400125372,0.9228625628074334,0.9228625628074334,0.8750698400125372,,,
4,train,-0.3484671115875244,48.625,0.43115234375,0.3779296875,3.27734375,4175,10,,1.1845703125,,0.8685372304939034,0.927306342393441,0.927306342393441,0.8685372304939034,,,
5,train,-0.5057249665260315,48.9375,0.1090087890625,0.361572265625,3.421875,136,10,,2.107421875,,0.9122269766553532,0.977267899426776,0.977267899426776,0.9122269766553532,,,
6,train,-0.5481871366500854,48.5625,0.1546630859375,0.365478515625,5.7890625,1874,10,,3.11328125,,0.8113694964703672,0.8758209136846509,0.8758209136846509,0.8113694964703672,,,
7,train,-0.6070230603218079,60.9375,0.040130615234375,0.389404296875,5.15234375,295,10,,3.40625,,0.8611136695606422,0.8753403982700292,0.8753403982700292,0.8611136695606422,,,
8,train,-0.6245779991149902,58.4375,0.0496826171875,0.42724609375,5.30859375,97,9,,3.728515625,,0.8904530339545792,0.9459278610176018,0.9428672795535649,0.8844028203912988,,,
9,train,-0.6739669442176819,64.125,0.1339111328125,0.36669921875,5.328125,127,9,,3.52734375,,0.8767504836493706,0.8948435107939159,0.8888908969803615,0.869943572466755,,,
10,train,-0.7276858687400818,69.625,0.09320068359375,0.33544921875,5.40625,156,8,,3.767578125,,0.8756277026684577,0.8271171330820906,0.8048008641101037,0.860017989297826,,,
11,train,-0.6824150681495667,65.1875,0.101806640625,0.304443359375,5.3203125,126,9,,3.611328125,,0.8855319951725915,0.8619919677991976,0.8541775654983237,0.8792102763591897,,,
12,train,-0.6683933734893799,67.8125,0.1571044921875,0.296875,5.41015625,1273,9,,3.03125,,0.8246215237335519,0.7638753157860951,0.7505123881254763,0.8149356755311482,,,
13,train,-0.7396230697631836,70.6875,0.05743408203125,0.2734375,5.39453125,54,7,,3.361328125,,0.8762414231139367,0.8281409710174203,0.7892698966536308,0.8491511625250927,,,
