epoch,phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,redund_smb_adj3,top_sim,pos_dis,bos_dis
1,train,-0.24711762368679047,31.65625,0.73095703125,0.97216796875,3.40625,1057,11,,1.0869140625,,0.35529363146260584,0.45539613965563724,0.45539613965563724,0.3777785566075711,,,
2,train,-0.5275779962539673,55.03125,0.14697265625,0.400634765625,3.083984375,267,11,,1.2197265625,,0.6163433409639123,0.7146667874900392,0.7146667874900392,0.6297418605132776,,,
3,train,-0.7206043601036072,71.0,0.04901123046875,0.317138671875,3.2421875,131,11,,1.37890625,,0.5611543419411684,0.6135046473495535,0.6135046473495535,0.5764790498774729,,,
4,train,-0.8062777519226074,77.6875,0.03076171875,0.253173828125,3.13671875,136,11,,1.28515625,,0.5453039862124934,0.604634333619481,0.604634333619481,0.5611815416918026,,,
5,train,-0.8375039100646973,79.8125,0.0206298828125,0.2198486328125,3.09765625,116,8,,1.1826171875,,0.5673954324920023,0.62336058535318,0.555945028466266,0.5276110179059437,,,
6,train,-0.8530270457267761,80.9375,0.017974853515625,0.206298828125,3.16796875,134,8,,1.30859375,,0.5589213383760241,0.6154585750684218,0.5462445844045356,0.518360292914946,,,
7,train,-0.872454047203064,82.625,0.0223388671875,0.1929931640625,3.1640625,179,11,,1.3515625,,0.5297788908883827,0.573889261008431,0.573889261008431,0.5461966653091035,,,
8,train,-0.8975046277046204,85.8125,0.0284423828125,0.1707763671875,3.341796875,210,11,,1.439453125,,0.49687331433429893,0.5485596778917049,0.5485596778917049,0.5144361134883759,,,
9,train,-0.8822576403617859,81.4375,0.0210418701171875,0.2161865234375,3.798828125,185,11,,1.41796875,,0.49141801568826005,0.5553751302017885,0.5553751302017885,0.5091721062040151,,,
10,train,-0.8947281241416931,83.9375,0.01702880859375,0.1859130859375,3.50390625,193,11,,1.4775390625,,0.49093017058435207,0.5518305519038398,0.5518305519038398,0.5087005662564241,,,
11,train,-0.9081254601478577,86.25,0.0120697021484375,0.1634521484375,3.244140625,163,10,,1.3291015625,,0.5110723696443935,0.5766531539723118,0.556783459536759,0.5110723696443935,,,
12,train,-0.8905291557312012,82.375,0.0192108154296875,0.1976318359375,3.490234375,249,11,,1.44140625,,0.4977794479398303,0.5867658018504698,0.5867658018504698,0.5153104906850718,,,
13,train,-0.9076961874961853,84.875,0.0095367431640625,0.1771240234375,3.302734375,199,11,,1.30859375,,0.4935346658928771,0.5659162943824277,0.5659162943824277,0.5112142583189683,,,
14,train,-0.9107692241668701,85.9375,0.00888824462890625,0.1590576171875,3.302734375,181,11,,1.24609375,,0.5068254029003456,0.5832503492524956,0.5832503492524956,0.5240422086005714,,,
15,train,-0.9203517436981201,87.1875,0.0067291259765625,0.150634765625,3.39453125,174,11,,1.390625,,0.5162812093775891,0.5976499621293241,0.5976499621293241,0.5331686528776689,,,
16,train,-0.9139847755432129,86.4375,0.00665283203125,0.1549072265625,3.384765625,147,10,,1.373046875,,0.5090688731973423,0.5909151409464608,0.571564081744849,0.5090688731973423,,,
17,train,-0.8938577175140381,83.0625,0.01148223876953125,0.17626953125,3.572265625,190,10,,1.365234375,,0.4984208178643613,0.5868054554005837,0.5670433394572849,0.4984208178643613,,,
18,train,-0.9210386872291565,87.0,0.01068115234375,0.1507568359375,3.369140625,197,11,,1.388671875,,0.5048715512038655,0.5999202228692799,0.5999202228692799,0.5221559491245675,,,
19,train,-0.9180394411087036,87.0,0.003559112548828125,0.1414794921875,3.310546875,142,11,,1.400390625,,0.5277465862831912,0.6200980248811913,0.6200980248811913,0.544235022476669,,,
20,train,-0.8822973966598511,79.3125,0.0160064697265625,0.20068359375,2.8515625,186,11,,1.1689453125,,0.5124217131569713,0.5042396900774857,0.5042396900774857,0.5294447231906831,,,
21,train,-0.8909551501274109,81.25,0.0111541748046875,0.193359375,2.9453125,135,11,,1.2666015625,,0.5362511663413352,0.5649697983991375,0.5649697983991375,0.552443837684949,,,
22,train,-0.9154725074768066,86.0,0.01326751708984375,0.1561279296875,3.173828125,214,11,,1.3740234375,,0.5015794908949603,0.5412816210361147,0.5412816210361147,0.5189785617401339,,,
23,train,-0.9105889201164246,83.5,0.0251007080078125,0.181396484375,3.0234375,255,11,,1.3115234375,,0.5032533182827235,0.5590058066492053,0.5590058066492053,0.5205944019490676,,,
24,train,-0.9227137565612793,86.8125,0.00830078125,0.1531982421875,3.11328125,163,11,,1.2939453125,,0.5170554338154226,0.5643954183862314,0.5643954183862314,0.5339160418788174,,,
25,train,-0.9290008544921875,87.375,0.01052093505859375,0.1485595703125,3.009765625,184,11,,1.3623046875,,0.49744874593201305,0.5332206072511412,0.5332206072511412,0.5149925278121806,,,
26,train,-0.921461820602417,86.3125,0.01412200927734375,0.152099609375,3.099609375,194,10,,1.3798828125,,0.4883716345995829,0.5439042533403914,0.5225600605810895,0.4883716345995829,,,
27,train,-0.9236767292022705,86.3125,0.010040283203125,0.1553955078125,3.13671875,184,11,,1.2421875,,0.5038391262449782,0.5754161702458394,0.5754161702458394,0.521160212498941,,,
28,train,-0.9279921650886536,87.5625,0.00644683837890625,0.14453125,3.224609375,115,10,,1.2734375,,0.5349538039865569,0.6199204201690585,0.602049679227942,0.5349538039865569,,,
29,train,-0.924029529094696,86.8125,0.00701904296875,0.149658203125,3.240234375,126,10,,1.2548828125,,0.5382178665239283,0.6255237223213579,0.6078999390820259,0.5382178665239283,,,
30,train,-0.9189727306365967,85.1875,0.021728515625,0.1656494140625,3.2578125,171,11,,1.302734375,,0.5163427529574751,0.6018318274689072,0.6018318274689072,0.5332280081485898,,,
31,train,-0.9239689111709595,86.25,0.01171875,0.1553955078125,3.244140625,170,11,,1.3369140625,,0.5149782471963449,0.5977625149735452,0.5977625149735452,0.5319113127416393,,,
32,train,-0.9209710955619812,85.625,0.0219268798828125,0.1605224609375,3.322265625,173,10,,1.3056640625,,0.5139781094502004,0.5973237519952987,0.5782972684263148,0.5139781094502004,,,
33,train,-0.9132171869277954,84.625,0.02056884765625,0.167236328125,3.263671875,137,10,,1.2841796875,,0.5260964090411389,0.6125291311143792,0.5942676261239775,0.5260964090411389,,,
34,train,-0.9140903353691101,84.5,0.0279388427734375,0.1700439453125,3.3828125,186,11,,1.1953125,,0.48246199609247886,0.5657714494126229,0.5657714494126229,0.5005283005343046,,,
35,train,-0.9275868535041809,86.8125,0.0253753662109375,0.1546630859375,3.302734375,201,11,,1.224609375,,0.4896798809123609,0.5726233357292368,0.5726233357292368,0.5074937201738465,,,
36,train,-0.9296024441719055,87.75,0.017425537109375,0.1414794921875,3.28125,136,11,,1.3896484375,,0.5198671731828588,0.6008705289056495,0.6008705289056495,0.536630412262467,,,
37,train,-0.9242532253265381,86.75,0.0263519287109375,0.14306640625,3.337890625,209,11,,1.3154296875,,0.4760116073062174,0.5644748204163739,0.5644748204163739,0.4943005812849067,,,
38,train,-0.9174354076385498,85.0,0.0335693359375,0.16064453125,3.3359375,269,11,,1.197265625,,0.4454703970984202,0.5364133184094331,0.5364133184094331,0.464820632097531,,,
39,train,-0.9198353886604309,84.8125,0.037841796875,0.1636962890625,3.4296875,316,11,,1.287109375,,0.4398485110690895,0.526683655721871,0.526683655721871,0.4593930875973017,,,
40,train,-0.9246212244033813,85.875,0.020751953125,0.1568603515625,3.30859375,225,11,,1.224609375,,0.4899483280152028,0.5780951647645927,0.5780951647645927,0.5077527406693243,,,
1,val,-0.4551320970058441,49.5,0.202880859375,0.454345703125,3.2734375,19,7,0.9014639343015025,0.80322265625,0.7538760501599902,0.7608347892068579,0.8475383861279284,0.8033323377012506,0.7242738451790663,0.17515310939123938,0.04601803421974182,0.04862097278237343
2,val,-0.672693133354187,68.375,0.05035400390625,0.352783203125,3.287109375,29,7,0.9177704577689522,1.5908203125,0.65344138442437,0.6602062589236666,0.733638830586063,0.6600852180364448,0.6087638470663062,0.3095529758815155,0.2764118015766144,0.15023083984851837
3,val,-0.7041163444519043,70.1875,0.0830078125,0.340576171875,3.26171875,37,7,0.9561332638012441,1.04296875,0.6181906853490367,0.6254584192789046,0.7114579380336441,0.6315306453966523,0.568900661739195,0.2992444425542684,0.13862131536006927,0.11329307407140732
4,val,-0.819683313369751,81.375,0.0283355712890625,0.2366943359375,3.044921875,41,7,0.9398699496200753,1.365234375,0.5851492140707737,0.5893143427467766,0.615664303937467,0.5153471293859571,0.5278839367579655,0.3491438597452557,0.2382436841726303,0.04549136757850647
5,val,-0.800748884677887,77.4375,0.01218414306640625,0.2244873046875,2.94140625,31,8,0.9488548274517635,0.95166015625,0.6151078337720672,0.6198683187065588,0.6836601587057217,0.6298157663266399,0.5859558179371527,0.3789417109243967,0.2951962649822235,0.19278490543365479
6,val,-0.8361732959747314,82.6875,0.0171356201171875,0.198486328125,3.12109375,39,8,0.9408854255604144,1.404296875,0.5702932879281271,0.5736820896412984,0.6101905792647182,0.5440859748741437,0.5359098845814574,0.3613507732607321,0.25973522663116455,0.12548168003559113
7,val,-0.8506596088409424,83.75,0.0850830078125,0.1890869140625,3.501953125,52,9,0.887840804304445,1.6845703125,0.5358393819845082,0.5368901538455892,0.6239944406976579,0.5859084299868947,0.5185199970409944,0.3674621596494674,0.12263444811105728,0.09335680305957794
8,val,-0.8957397937774658,87.0,0.006610870361328125,0.16259765625,3.349609375,45,9,0.9146806551981365,1.53515625,0.5361319329995744,0.5353236683230987,0.5821620069512494,0.5406289636473385,0.516934600274034,0.3312747996022136,0.18574833869934082,0.072954460978508
9,val,-0.8570650815963745,82.75,0.024383544921875,0.192138671875,3.818359375,52,8,0.8820418099044502,1.6376953125,0.5441680719995798,0.546120240304901,0.602388829969535,0.5312963660160916,0.5061771090301905,0.2786444667516918,0.11889933794736862,0.08598696440458298
10,val,-0.8644961714744568,83.25,0.032379150390625,0.1942138671875,3.345703125,43,9,0.8260586007700681,1.26953125,0.5583532837868836,0.5605551055297784,0.6332645246027054,0.5964159334944443,0.5430349218952276,0.3272239376509197,0.1567210704088211,0.11524893343448639
11,val,-0.5989622473716736,53.9375,0.0275421142578125,0.263671875,3.623046875,34,9,0.8767249082578878,1.2119140625,0.625959643747457,0.63349607300233,0.7160262225142153,0.6864566741709436,0.6186390130298859,0.3125264772455115,0.2761692404747009,0.15751121938228607
12,val,-0.867271363735199,83.0625,0.01210784912109375,0.225830078125,3.244140625,37,8,0.9529678954774532,1.3447265625,0.5775225972091367,0.5809107506326863,0.6369099466246522,0.5749650405761539,0.5437500406917737,0.40660138425599385,0.1747053861618042,0.13139693439006805
13,val,-0.8899170756340027,86.0625,0.002132415771484375,0.175537109375,3.119140625,39,9,0.9438805436291606,1.322265625,0.5622086848329517,0.5638536405686558,0.6196141303063174,0.5820460630476556,0.5464668895837208,0.4017205229918397,0.2850784361362457,0.11856508255004883
14,val,-0.9047285914421082,88.5,0.004119873046875,0.1492919921875,3.322265625,49,10,0.9482367661678708,1.2861328125,0.5421284732612937,0.5419326987336066,0.6305380904607645,0.6140063482336175,0.5419326987336066,0.3413136037309011,0.21369238197803497,0.08077473938465118
15,val,-0.8948396444320679,86.5625,0.00016701221466064453,0.1568603515625,3.322265625,47,9,0.9343514190996474,1.3310546875,0.5353293007936497,0.5345749302224047,0.6222264416928796,0.5844030163908687,0.5161604571749208,0.3533089987461276,0.15242622792720795,0.11129987239837646
16,val,-0.8775662183761597,84.5625,0.00473785400390625,0.1661376953125,3.384765625,39,9,0.8847386420160223,1.2919921875,0.5656245998001144,0.568249395940067,0.6798399606325096,0.6471144191574912,0.5510018875926653,0.39158575140053486,0.1610272377729416,0.10476865619421005
17,val,-0.8857139348983765,85.5,0.055389404296875,0.163330078125,3.365234375,54,10,0.9049768994335382,1.34375,0.5245676404733599,0.5236760194098111,0.6199772925558008,0.6030343419849453,0.5236760194098111,0.37781948824827094,0.1461976021528244,0.07993914932012558
18,val,-0.8968331813812256,86.6875,0.00011146068572998047,0.1439208984375,3.3125,44,9,0.9322533154345845,1.4423828125,0.5472823166826127,0.5469814632898105,0.6554467238700697,0.6206365628243846,0.5290192924514083,0.34866031763748123,0.20085257291793823,0.11929081380367279
19,val,-0.8916465640068054,86.8125,0.022705078125,0.146240234375,3.2890625,55,9,0.9330123242203625,1.3955078125,0.5209874613395156,0.5199893948763796,0.6108488883126759,0.5720341394574506,0.5010522648529334,0.37638465436405516,0.11277491599321365,0.044777486473321915
20,val,-0.8727641701698303,83.6875,0.00196075439453125,0.1912841796875,2.80859375,34,8,0.9246575827519966,1.177734375,0.5919853886009603,0.595430530721833,0.6109431929544094,0.5462324458785655,0.5595000622162252,0.328391800063511,0.03026793897151947,0.1631595939397812
21,val,-0.87987220287323,84.6875,0.009490966796875,0.187744140625,3.060546875,37,8,0.9344101467355963,1.333984375,0.5698366361721869,0.5718885850678567,0.6111586172958166,0.5460216053924865,0.5340405544293186,0.33100003074798345,0.09550013393163681,0.06502172350883484
22,val,-0.8948026299476624,86.5,0.008544921875,0.1558837890625,3.126953125,50,11,0.9443693992363416,1.220703125,0.533429992404056,0.5327337415662547,0.5888965095436056,0.5888965095436056,0.5482933222876823,0.37492340522211737,0.18578393757343292,0.05943808704614639
23,val,-0.8054934144020081,72.5,0.0552978515625,0.2259521484375,2.73828125,38,9,0.9003467552834427,1.1005859375,0.573667227349472,0.5769629457566949,0.6227495153017106,0.5857506258404719,0.5600307954148066,0.2780027192280587,0.0431174635887146,0.07145631313323975
24,val,-0.908148467540741,87.8125,0.00791168212890625,0.155029296875,3.18359375,49,8,0.9337258863488533,1.3701171875,0.5378868160378187,0.5376750950855315,0.6234858790699285,0.5594383511209213,0.49715334456962845,0.32135581330049245,0.14027060568332672,0.07050616294145584
25,val,-0.9014688730239868,87.5,0.01629638671875,0.1485595703125,3.044921875,52,9,0.9317624000726826,1.39453125,0.5350486087880657,0.53479534372931,0.579864240001888,0.5388068399752093,0.516388508128274,0.28146843654086023,0.12846697866916656,0.05509138107299805
26,val,-0.9010232090950012,87.375,0.0041046142578125,0.1444091796875,3.087890625,44,10,0.9259129004495262,1.3505859375,0.5452408883182147,0.5449083737507421,0.6124375527376229,0.5952555593410449,0.5449083737507421,0.33661033655363454,0.0899624153971672,0.09151054918766022
