epoch,phase,loss,accuracy,reinf_sg,baseline,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,redund_smb,redund_smb_adj,top_sim
1,train,-0.11061016470193863,44.6875,-0.44677734375,-0.54736328125,0.1802978515625,0.402587890625,2.3515625,786,10,1.0146484375,,0.5708318586082071,0.29048793430187914,
2,train,-0.10558503121137619,56.6875,-0.56689453125,-0.5732421875,0.1134033203125,0.2115478515625,2.318359375,764,10,0.90673828125,,0.5265933907990775,0.22641421423304442,
3,train,-0.10159691423177719,61.65625,-0.6162109375,-0.66064453125,0.161865234375,0.21630859375,2.138671875,772,10,0.75,,0.5378061665822559,0.18092407904197172,
4,train,-0.0641578659415245,66.6875,-0.6669921875,-0.6748046875,0.1251220703125,0.1929931640625,2.19140625,760,10,0.77685546875,,0.5265205196731102,0.18653712921462973,
5,train,-0.05610815808176994,69.3125,-0.69287109375,-0.697265625,0.1041259765625,0.1761474609375,2.248046875,750,10,0.81103515625,,0.5141529572909964,0.1919425235817559,
6,train,-0.060541652143001556,71.5,-0.71484375,-0.70263671875,0.10186767578125,0.1666259765625,2.35546875,727,10,0.8623046875,,0.48382777703088886,0.189993345646843,
7,train,-0.06546934694051743,73.0,-0.72998046875,-0.74951171875,0.06121826171875,0.1640625,2.408203125,741,10,0.93310546875,,0.47740404671525727,0.20653252636226982,
8,train,-0.06209929287433624,74.375,-0.74365234375,-0.75,0.06610107421875,0.1531982421875,2.45703125,737,10,0.927734375,,0.47069038362670657,0.2160188089258399,
9,train,-0.06380259990692139,75.8125,-0.7578125,-0.75830078125,0.053070068359375,0.1539306640625,2.49609375,731,10,0.98095703125,,0.46832744065816856,0.2308954797710272,
10,train,-0.0655275210738182,76.6875,-0.7666015625,-0.7763671875,0.052764892578125,0.154541015625,2.529296875,755,10,1.0400390625,,0.44828798432277406,0.21391017996318318,
11,train,-0.06901988387107849,78.0,-0.77978515625,-0.79052734375,0.05810546875,0.1514892578125,2.619140625,778,10,1.1220703125,,0.4165869036277646,0.2048534811751025,
12,train,-0.07429888844490051,79.9375,-0.79931640625,-0.8037109375,0.061859130859375,0.1513671875,2.76953125,783,10,1.1875,,0.3768354446861507,0.20014286596769315,
13,train,-0.07628034800291061,80.625,-0.80615234375,-0.80859375,0.05487060546875,0.146240234375,2.80078125,792,10,1.185546875,,0.3740934235333513,0.20686755241926036,
14,train,-0.06966695189476013,81.8125,-0.818359375,-0.818359375,0.051605224609375,0.1400146484375,2.810546875,799,10,1.22265625,,0.3617653536290465,0.1939367326277459,
15,train,-0.07047838717699051,82.0625,-0.8203125,-0.82177734375,0.047271728515625,0.13818359375,2.8515625,786,10,1.2685546875,,0.3570512946587403,0.1997629519975257,
16,train,-0.07121793925762177,82.375,-0.82421875,-0.82568359375,0.0494384765625,0.1370849609375,2.873046875,799,10,1.2763671875,,0.35010989784656366,0.19795613499296816,
17,train,-0.06747407466173172,83.25,-0.83251953125,-0.83447265625,0.042510986328125,0.131591796875,2.896484375,792,10,1.31640625,,0.34648993996081534,0.20048115584939707,
18,train,-0.06664548069238663,83.5625,-0.83544921875,-0.8310546875,0.043609619140625,0.130126953125,2.884765625,796,10,1.3115234375,,0.3427452955415091,0.19234641349378112,
19,train,-0.0679393783211708,83.375,-0.833984375,-0.8271484375,0.0443115234375,0.1248779296875,2.900390625,798,10,1.310546875,,0.3379617851950599,0.19077052595513133,
20,train,-0.06609321385622025,83.6875,-0.83642578125,-0.83056640625,0.042327880859375,0.1236572265625,2.921875,807,10,1.2841796875,,0.3316412226355686,0.18916485533931848,
21,train,-0.06399565190076828,84.0,-0.83984375,-0.83642578125,0.037506103515625,0.125732421875,2.927734375,808,10,1.28515625,,0.3286900036459105,0.18729712997835946,
22,train,-0.060835521668195724,84.5625,-0.845703125,-0.84326171875,0.032073974609375,0.12115478515625,2.9140625,793,10,1.2841796875,,0.33626426894622785,0.19234516068918572,
23,train,-0.0654570460319519,84.1875,-0.841796875,-0.84130859375,0.040313720703125,0.1221923828125,2.947265625,804,10,1.2783203125,,0.32395536454378226,0.18671947904062602,
24,train,-0.06202450767159462,84.8125,-0.84814453125,-0.84423828125,0.030731201171875,0.11767578125,2.935546875,801,10,1.30078125,,0.3308775024231385,0.19206566375105294,
25,train,-0.06002940237522125,85.0625,-0.8505859375,-0.8486328125,0.0282745361328125,0.1177978515625,2.943359375,799,10,1.3134765625,,0.32984710497216785,0.192578962554933,
26,train,-0.06001022458076477,84.9375,-0.849609375,-0.845703125,0.027587890625,0.115234375,2.91796875,792,10,1.302734375,,0.33444877814576235,0.19148453570207158,
27,train,-0.0629742443561554,85.0625,-0.8505859375,-0.85302734375,0.03485107421875,0.1141357421875,2.939453125,806,10,1.3115234375,,0.32493743374007766,0.18613768984292722,
28,train,-0.06198941171169281,84.75,-0.84716796875,-0.85009765625,0.031585693359375,0.1151123046875,2.953125,805,10,1.3291015625,,0.32228331386317,0.1864061373578706,
29,train,-0.06528835743665695,84.8125,-0.84814453125,-0.85107421875,0.03216552734375,0.1160888671875,2.974609375,812,10,1.3193359375,,0.31066176990452987,0.17829022256216986,
30,train,-0.06283107399940491,85.1875,-0.85205078125,-0.85595703125,0.034149169921875,0.11346435546875,3.0078125,804,10,1.35546875,,0.3047500628880039,0.17985304601653485,
31,train,-0.06472685188055038,85.3125,-0.853515625,-0.8515625,0.0291748046875,0.11322021484375,3.048828125,810,10,1.3603515625,,0.29594727089975725,0.17990626344542338,
32,train,-0.06567910313606262,85.1875,-0.8515625,-0.8515625,0.030548095703125,0.1141357421875,3.076171875,812,10,1.373046875,,0.2879974862286798,0.17755420159872826,
33,train,-0.06475356966257095,85.375,-0.85400390625,-0.85400390625,0.031402587890625,0.113525390625,3.083984375,812,10,1.37890625,,0.28495659414638297,0.17597862843084477,
34,train,-0.06414593756198883,86.125,-0.861328125,-0.8642578125,0.0299072265625,0.11322021484375,3.08203125,813,10,1.37890625,,0.2812952581999798,0.1713607126584864,
35,train,-0.06035897135734558,86.1875,-0.86181640625,-0.86083984375,0.0288238525390625,0.11077880859375,3.080078125,814,10,1.3984375,,0.284070092625226,0.17386377966483468,
36,train,-0.0581035390496254,86.1875,-0.8623046875,-0.86328125,0.0261077880859375,0.112060546875,3.078125,810,10,1.404296875,,0.285447842603199,0.17530970713929928,
37,train,-0.06255833804607391,85.75,-0.857421875,-0.85595703125,0.0257720947265625,0.11419677734375,3.125,811,10,1.4306640625,,0.2809892964335393,0.18151621541638652,
38,train,-0.06273866444826126,86.1875,-0.86181640625,-0.85693359375,0.0286865234375,0.114990234375,3.146484375,816,10,1.431640625,,0.27547247618663473,0.17965061785602188,
39,train,-0.061061322689056396,86.5625,-0.86572265625,-0.86328125,0.025238037109375,0.10931396484375,3.146484375,812,10,1.443359375,,0.2765996503195761,0.18084894763353354,
40,train,-0.05930670350790024,86.8125,-0.86767578125,-0.8701171875,0.0257110595703125,0.10662841796875,3.125,816,10,1.4091796875,,0.27756212323080287,0.17726921029761078,
1,val,-0.088180772960186,53.0625,-0.53076171875,-0.54736328125,0.19873046875,0.255859375,2.162109375,96,10,0.89404296875,0.6751320699677738,0.6444629757040676,0.34162089025669473,0.21362681095379607
2,val,-0.056989263743162155,57.28125,-0.57275390625,-0.5732421875,0.12054443359375,0.2783203125,1.931640625,73,10,0.68701171875,0.6756596259131218,0.6443783564738091,0.26449046824831646,0.1940043245877639
3,val,-0.055788978934288025,59.3125,-0.59326171875,-0.66064453125,0.11029052734375,0.2607421875,1.931640625,62,10,0.67724609375,0.6794995836210922,0.6482437267392294,0.2707882279116751,0.20612771083900244
4,val,-0.02840985730290413,62.90625,-0.62890625,-0.6748046875,0.14697265625,0.21533203125,2.095703125,101,10,0.75048828125,0.6345719890809933,0.598801285524128,0.2604483036986076,0.1669172923641079
5,val,-0.036840494722127914,64.0,-0.64013671875,-0.697265625,0.1309814453125,0.20556640625,2.162109375,131,10,0.79150390625,0.6077198954400391,0.5694371710981851,0.22338330615719248,0.1653477396085977
6,val,-0.030893709510564804,65.625,-0.65625,-0.70263671875,0.059417724609375,0.211669921875,2.203125,106,10,0.88427734375,0.6106174276407517,0.5719564890770288,0.2506625017389291,0.18779075955812416
7,val,-0.05845026299357414,61.96875,-0.61962890625,-0.74951171875,0.07244873046875,0.210693359375,2.189453125,117,10,0.90087890625,0.6076866833811971,0.5689465738596187,0.24040461983271866,0.19573908376669966
8,val,-0.057712458074092865,63.3125,-0.63330078125,-0.75,0.11431884765625,0.21435546875,2.2578125,134,10,0.85009765625,0.5857425740477966,0.545070319116527,0.24156576149461706,0.18616898708609436
9,val,-0.06513962894678116,63.84375,-0.638671875,-0.75830078125,0.07843017578125,0.2349853515625,2.380859375,167,10,0.92919921875,0.5647221275550349,0.5222032086124182,0.2585650186285311,0.12243038189413855
10,val,-0.08534003049135208,62.71875,-0.626953125,-0.7763671875,0.0928955078125,0.2174072265625,2.416015625,154,10,0.99072265625,0.5664567248978211,0.5237711365713096,0.2734130534129532,0.12239793284052414
11,val,-0.06246841326355934,69.25,-0.6923828125,-0.79052734375,0.10400390625,0.2115478515625,2.701171875,189,10,1.2177734375,0.4936644313892312,0.4418009245008956,0.2642321292129046,0.09910975917249192
12,val,-0.06622893363237381,69.0,-0.6904296875,-0.8037109375,0.106201171875,0.2113037109375,2.71484375,203,10,1.1083984375,0.4889404961185786,0.43716556123802675,0.25896787272519795,0.06700497037435689
13,val,-0.07047373056411743,71.125,-0.71142578125,-0.80859375,0.122314453125,0.20068359375,2.873046875,224,10,1.158203125,0.44876726721540305,0.39166671997841407,0.24721130093391375,0.05926137327174823
14,val,-0.07487411051988602,70.5625,-0.7060546875,-0.818359375,0.0965576171875,0.21533203125,2.75,204,10,1.1875,0.47288306591425155,0.41884420169554104,0.2483921415460989,0.07965090571629742
15,val,-0.06744079291820526,68.625,-0.68603515625,-0.82177734375,0.12103271484375,0.2064208984375,2.748046875,229,10,1.1728515625,0.4752627547147389,0.42309137107779027,0.24967669681265425,0.07851956175894835
16,val,-0.07833249121904373,69.8125,-0.6982421875,-0.82568359375,0.101318359375,0.2130126953125,2.775390625,245,10,1.2060546875,0.44628340454462423,0.3906383468037178,0.20987758160804448,0.059882334417717856
17,val,-0.051722265779972076,73.9375,-0.7392578125,-0.83447265625,0.08111572265625,0.194091796875,2.91015625,234,10,1.279296875,0.4305061491430531,0.37121979534175054,0.2281697341507284,0.062332198853052155
18,val,-0.07205192744731903,70.5,-0.705078125,-0.8310546875,0.087890625,0.2088623046875,2.923828125,259,10,1.2998046875,0.42592930082288527,0.3669734826770582,0.22524433985578363,0.03879404139807551
19,val,-0.06640761345624924,69.75,-0.69775390625,-0.8271484375,0.08648681640625,0.200927734375,2.91015625,244,10,1.28125,0.43784574981989155,0.38031634525881053,0.2375445856744558,0.07766116901442871
20,val,-0.06782332062721252,71.875,-0.71875,-0.83056640625,0.06658935546875,0.2044677734375,2.888671875,243,10,1.240234375,0.4392709124596934,0.38243533539980745,0.23171580202695174,0.07568478436768553
21,val,-0.06967810541391373,72.4375,-0.72412109375,-0.83642578125,0.07598876953125,0.2088623046875,2.951171875,266,10,1.2216796875,0.4135822657408228,0.35287192491689956,0.21219394922989487,0.0782740450482228
22,val,-0.08525610715150833,70.5,-0.705078125,-0.84326171875,0.10052490234375,0.2220458984375,2.923828125,262,10,1.185546875,0.4236182396393211,0.36473541388472175,0.21848507113307392,0.07345350398617705
23,val,-0.08334555476903915,71.3125,-0.71337890625,-0.84130859375,0.09698486328125,0.19775390625,2.951171875,264,10,1.2529296875,0.4056492333512397,0.34391282607614415,0.19778919377309234,0.04623321181349698
24,val,-0.0798235684633255,69.8125,-0.6982421875,-0.84423828125,0.07342529296875,0.2086181640625,2.923828125,241,10,1.2607421875,0.43134795832561723,0.37245998603628516,0.23447850118702263,0.044726516335656746
25,val,-0.05814975127577782,70.5625,-0.7060546875,-0.8486328125,0.06732177734375,0.1851806640625,2.818359375,222,10,1.2041015625,0.4520857158699253,0.3958490552701541,0.23291887592162308,0.0753985876208705
26,val,-0.07441127300262451,71.875,-0.71875,-0.845703125,0.10174560546875,0.181640625,2.943359375,250,10,1.2236328125,0.42069001918594295,0.36002638960662636,0.22557699113955143,0.06608732035147545
27,val,-0.09336185455322266,71.0,-0.7099609375,-0.85302734375,0.1009521484375,0.185791015625,2.720703125,234,10,1.1396484375,0.4628861793148755,0.4092829240433893,0.21869445808644905,0.07650506381186765
28,val,-0.08008027821779251,70.8125,-0.7080078125,-0.85009765625,0.0921630859375,0.18798828125,2.9375,226,10,1.298828125,0.42744480142626284,0.3670827550216651,0.23091537591479672,0.06806180227534764
29,val,-0.1052393913269043,69.1875,-0.69140625,-0.85107421875,0.11248779296875,0.184326171875,2.923828125,262,10,1.2314453125,0.4186331455119898,0.35864681885072713,0.21474619246179816,0.07951577318849981
30,val,-0.08075203001499176,72.625,-0.72607421875,-0.85595703125,0.0950927734375,0.184814453125,2.916015625,252,10,1.279296875,0.4255758182544005,0.3667125707058714,0.2203011485838663,0.07941073216653814
31,val,-0.07952029258012772,72.625,-0.72607421875,-0.8515625,0.0841064453125,0.1776123046875,3.119140625,266,10,1.365234375,0.39314684142916667,0.32773419085146227,0.23266701321544014,0.0760797853835541
32,val,-0.09866327792406082,68.3125,-0.68359375,-0.8515625,0.102294921875,0.207763671875,2.95703125,259,10,1.271484375,0.4171312281859352,0.35706832614735173,0.2195158382873067,0.06151129864367791
33,val,-0.09105978161096573,69.5,-0.69482421875,-0.85400390625,0.09130859375,0.195068359375,3.10546875,273,10,1.3896484375,0.3882510748638013,0.32263938899155264,0.22070195200593312,0.05315548201826816
34,val,-0.10314417630434036,70.25,-0.70263671875,-0.8642578125,0.102783203125,0.1910400390625,3.025390625,284,10,1.3134765625,0.3882807809918717,0.32446756848014724,0.1929596057605274,0.07283079100254496
35,val,-0.06513075530529022,73.1875,-0.7314453125,-0.86083984375,0.09039306640625,0.1717529296875,2.9921875,277,10,1.3115234375,0.4032223220672123,0.3413214271881535,0.20821535876130515,0.05787757373728895
36,val,-0.0721423402428627,69.375,-0.69384765625,-0.86328125,0.07501220703125,0.1883544921875,3.01953125,263,10,1.3525390625,0.4035519336996102,0.3413852490023286,0.21384200385222496,0.09737174136443547
37,val,-0.08407116681337357,68.0,-0.68017578125,-0.85595703125,0.07586669921875,0.21728515625,3.201171875,282,10,1.4345703125,0.3781223214803995,0.3106253699075998,0.23068218141764707,0.11826251272675307
38,val,-0.1093844547867775,67.375,-0.673828125,-0.85693359375,0.1092529296875,0.21337890625,3.265625,309,10,1.4716796875,0.3617995487796789,0.2926750257017561,0.2191374456153149,0.07696317615267523
