epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,posdis,bosdis,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation
1,train,baseline,1.6218268871307373,20.34375,20.34375,1.6279296875,1.6279296875,0.1451416015625,0.1451416015625,97,10,0.2987178789638692,0.7958984375,0.79638671875,0.0291595458984375,0.0006947517395019531,,,0.05765707436657263,0.0,0.0,10.086825667978495,2.563472392503777,0.00045680999755859375,3.357421875,0.00017821788787841797,0.0001360177993774414,2.9309428088276515,0.0008640289306640625,3.724609375,0.0002949237823486328,0.00023186206817626953,2.3208749086533187,0.0007266998291015625,3.115234375,0.00031304359436035156,0.00023317337036132812,2.320484016375942,0.0006532669067382812,3.115234375,0.0002815723419189453,0.00020968914031982422,1.2708642824277918,0.0005564689636230469,2.06640625,0.0004379749298095703,0.00026917457580566406
2,train,baseline,1.6161919832229614,21.203125,21.203125,1.591796875,1.591796875,0.003963470458984375,0.003963470458984375,1,1,0.0,0.025054931640625,0.02508544921875,0.0,0.0011949539184570312,,,0.057651766590241404,0.0,0.0,10.08682566797849,2.563472392503777,7.152557373046875e-07,2.587890625,2.980232238769531e-07,2.980232238769531e-07,2.9309428088276515,9.5367431640625e-07,2.955078125,2.980232238769531e-07,2.980232238769531e-07,2.3208749086533187,2.1457672119140625e-06,2.345703125,9.5367431640625e-07,8.940696716308594e-07,2.320484016375942,1.430511474609375e-06,2.345703125,5.960464477539062e-07,5.960464477539062e-07,1.2708642824277918,-1.1920928955078125e-07,1.2958984375,-1.1920928955078125e-07,-1.1920928955078125e-07
3,train,baseline,1.612734079360962,21.828125,21.828125,1.5810546875,1.5810546875,0.0011272430419921875,0.0011272430419921875,1,1,0.0,0.0081939697265625,0.00820159912109375,0.0,0.0012140274047851562,,,0.05764391830835895,0.0,0.0,10.086825667978491,2.563472392503777,-9.5367431640625e-07,2.572265625,-3.5762786865234375e-07,-3.5762786865234375e-07,2.9309428088276515,-2.384185791015625e-07,2.939453125,-5.960464477539063e-08,-5.960464477539063e-08,2.3208749086533187,0.0,2.328125,0.0,0.0,2.320484016375942,-4.76837158203125e-07,2.328125,-1.7881393432617188e-07,-1.7881393432617188e-07,1.2708642824277918,-2.384185791015625e-07,1.279296875,-1.7881393432617188e-07,-1.7881393432617188e-07
4,train,baseline,1.6090818643569946,22.96875,22.96875,1.5712890625,1.5712890625,0.0004169940948486328,0.0004169940948486328,1,1,0.0,0.0032501220703125,0.0032520294189453125,0.0,0.0009446144104003906,,,0.05759214552754519,0.0,0.0,10.086825667978504,2.563472392503777,-2.384185791015625e-07,2.56640625,-1.1920928955078125e-07,-1.1920928955078125e-07,2.9309428088276523,0.0,2.93359375,0.0,0.0,2.3208749086533187,2.384185791015625e-07,2.32421875,1.1920928955078125e-07,1.1920928955078125e-07,2.320484016375942,-2.384185791015625e-07,2.32421875,-1.1920928955078125e-07,-1.1920928955078125e-07,1.2708642824277918,4.76837158203125e-07,1.2744140625,3.5762786865234375e-07,3.5762786865234375e-07
5,train,baseline,1.6040486097335815,23.578125,23.578125,1.5615234375,1.5615234375,0.0001571178436279297,0.0001571178436279297,1,1,0.0,0.0012989044189453125,0.0013027191162109375,0.0,0.00272369384765625,,,0.057666514959955874,0.0,0.0,10.086825667978504,2.563472392503777,-4.76837158203125e-07,2.564453125,-1.7881393432617188e-07,-1.7881393432617188e-07,2.9309428088276515,-2.384185791015625e-07,2.931640625,-5.960464477539063e-08,-5.960464477539063e-08,2.3208749086533187,0.0,2.322265625,0.0,0.0,2.320484016375942,-4.76837158203125e-07,2.322265625,-1.7881393432617188e-07,-1.7881393432617188e-07,1.2708642824277918,0.0,1.2724609375,0.0,0.0
6,train,baseline,1.5999853610992432,23.71875,23.71875,1.5546875,1.5546875,5.7578086853027344e-05,5.7578086853027344e-05,1,1,0.0,0.0005087852478027344,,0.0,,,,0.057706578757943515,0.0,0.0,10.086825667978513,2.563472392503777,0.0,2.564453125,0.0,0.0,2.9309428088276515,-2.384185791015625e-07,2.931640625,-5.960464477539063e-08,-5.960464477539063e-08,2.3208749086533187,-2.384185791015625e-07,2.322265625,-1.1920928955078125e-07,-1.1920928955078125e-07,2.320484016375942,0.0,2.3203125,0.0,0.0,1.2708642824277918,-1.1920928955078125e-07,1.271484375,-1.1920928955078125e-07,-1.1920928955078125e-07
7,train,baseline,1.5956448316574097,24.546875,24.546875,1.5458984375,1.5458984375,2.485513687133789e-05,2.485513687133789e-05,1,1,0.0,0.0002377033233642578,,0.0,,,,0.057610380472398595,0.0,0.0,10.086825667978498,2.563472392503777,-2.384185791015625e-07,2.564453125,-1.1920928955078125e-07,-1.1920928955078125e-07,2.9309428088276523,4.76837158203125e-07,2.931640625,1.7881393432617188e-07,1.7881393432617188e-07,2.3208749086533187,0.0,2.3203125,0.0,0.0,2.320484016375942,0.0,2.3203125,0.0,0.0,1.2708642824277918,-1.1920928955078125e-07,1.271484375,-1.1920928955078125e-07,-1.1920928955078125e-07
8,train,baseline,1.5882822275161743,24.421875,24.421875,1.5361328125,1.5361328125,1.1324882507324219e-05,1.1324882507324219e-05,1,1,0.0,0.00010991096496582031,,0.0,,,,0.057598512745574586,0.0,0.0,10.086825667978498,2.563472392503777,2.384185791015625e-07,2.564453125,1.1920928955078125e-07,1.1920928955078125e-07,2.9309428088276515,2.384185791015625e-07,2.931640625,5.960464477539063e-08,5.960464477539063e-08,2.3208749086533187,-2.384185791015625e-07,2.3203125,-1.1920928955078125e-07,-1.1920928955078125e-07,2.320484016375942,0.0,2.3203125,0.0,0.0,1.2708642824277918,-1.1920928955078125e-07,1.2705078125,-1.1920928955078125e-07,-1.1920928955078125e-07
9,train,baseline,1.5835880041122437,24.59375,24.59375,1.5263671875,1.5263671875,4.76837158203125e-06,4.76837158203125e-06,1,1,0.0,4.798173904418945e-05,,0.0,,,,0.057620777402699504,0.0,0.0,10.086825667978498,2.563472392503777,0.0,2.564453125,0.0,0.0,2.9309428088276515,2.384185791015625e-07,2.931640625,5.960464477539063e-08,5.960464477539063e-08,2.3208749086533187,0.0,2.3203125,0.0,0.0,2.320484016375942,-2.384185791015625e-07,2.3203125,-1.1920928955078125e-07,-1.1920928955078125e-07,1.2708642824277918,1.1920928955078125e-07,1.2705078125,1.1920928955078125e-07,1.1920928955078125e-07
10,train,baseline,1.5778419971466064,25.75,25.75,1.517578125,1.517578125,1.9669532775878906e-06,1.9669532775878906e-06,1,1,0.0,2.1696090698242188e-05,,0.0,,,,0.05766817153849414,0.0,0.0,10.0868256679785,2.563472392503777,0.0,2.564453125,0.0,0.0,2.9309428088276523,-2.384185791015625e-07,2.931640625,-5.960464477539063e-08,-5.960464477539063e-08,2.3208749086533187,-2.384185791015625e-07,2.3203125,-1.1920928955078125e-07,-1.1920928955078125e-07,2.320484016375942,2.384185791015625e-07,2.3203125,1.1920928955078125e-07,1.1920928955078125e-07,1.2708642824277918,0.0,1.2705078125,0.0,0.0
