epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat
1,train,baseline,0.5021432638168335,76.5625,76.5625,2.0546875,2.0546875,1.9697265625,1.9697265625,3534,10,6.272008314562339,7.53125,9.359375,1.0634765625,0.195556640625,,,0.2660247296408458,8.610419929572966,2.220703125,11.703125,0.2578125,0.1375732421875,3.4780854333662012,1.373046875,8.265625,0.394775390625,0.124755859375
2,train,baseline,0.27013882994651794,88.25,88.25,2.2265625,2.2265625,2.30078125,2.30078125,1250,10,6.056057245570792,7.2890625,9.59375,1.3154296875,0.2403564453125,,,0.3408698544072585,8.60608805875651,2.40234375,11.0859375,0.279296875,0.151123046875,3.4858999447534944,1.44140625,7.890625,0.413330078125,0.1337890625
3,train,baseline,0.1999361366033554,92.0,92.0,2.33203125,2.33203125,2.4140625,2.4140625,1220,10,6.146384983440886,7.20703125,9.8828125,1.4453125,0.270751953125,,,0.3548072233170319,8.608894485534831,2.748046875,10.3203125,0.319091796875,0.1737060546875,3.481668153628495,1.5234375,7.640625,0.437744140625,0.142578125
4,train,baseline,0.15218955278396606,94.5,94.5,2.400390625,2.400390625,2.48046875,2.48046875,1439,10,6.395193063544261,7.4609375,10.0390625,1.48828125,0.2568359375,,,0.34910708697288834,8.607333192051945,2.990234375,10.0859375,0.347412109375,0.18603515625,3.4812319815196227,1.5927734375,7.7578125,0.45751953125,0.1455078125
5,train,baseline,0.1293710470199585,95.6875,95.6875,2.43359375,2.43359375,2.501953125,2.501953125,1567,10,6.62863901770271,7.56640625,10.1796875,1.46875,0.25634765625,,,0.3336518597451081,8.610505573212956,3.12109375,9.9375,0.362548828125,0.19287109375,3.4763892398414615,1.615234375,7.8125,0.464599609375,0.146240234375
6,train,baseline,0.11566124111413956,96.25,96.25,2.453125,2.453125,2.53125,2.53125,1367,10,6.643144758784355,7.65625,10.2578125,1.48828125,0.25341796875,,,0.33305505487310877,8.609921485626753,3.251953125,9.765625,0.377685546875,0.199951171875,3.472154046309981,1.6298828125,7.8671875,0.469482421875,0.146484375
7,train,baseline,0.10466375201940536,96.8125,96.8125,2.494140625,2.494140625,2.53515625,2.53515625,1367,10,6.716821213004367,7.70703125,10.1953125,1.48046875,0.2442626953125,,,0.33787315966351883,8.608387163685482,3.287109375,9.7421875,0.3818359375,0.201416015625,3.484033427705082,1.6435546875,7.90234375,0.471923828125,0.1468505859375
8,train,baseline,0.09727539122104645,97.1875,97.1875,2.513671875,2.513671875,2.541015625,2.541015625,1304,10,6.733994714516222,7.77734375,10.1953125,1.494140625,0.237060546875,,,0.35007517813060396,8.607069913583091,3.412109375,9.5625,0.396484375,0.208251953125,3.47588655216166,1.6650390625,7.92578125,0.47900390625,0.14794921875
9,train,baseline,0.09103209525346756,97.5,97.5,2.517578125,2.517578125,2.548828125,2.548828125,1289,10,6.793384564287823,7.7578125,10.234375,1.505859375,0.2420654296875,,,0.32794888377028064,8.61016473693938,3.513671875,9.34375,0.408203125,0.2147216796875,3.4805253666057343,1.6865234375,7.8671875,0.484619140625,0.1500244140625
10,train,baseline,0.08725215494632721,97.625,97.625,2.515625,2.515625,2.55078125,2.55078125,1356,10,6.898401130161793,7.88671875,10.265625,1.498046875,0.23193359375,,,0.3433961801036445,8.610405776445658,3.572265625,9.3515625,0.414794921875,0.216552734375,3.481132540504322,1.6904296875,7.98828125,0.48583984375,0.148681640625
11,train,baseline,0.0819682627916336,97.875,97.875,2.525390625,2.525390625,2.537109375,2.537109375,1234,10,6.894716509356395,7.90625,10.2109375,1.486328125,0.2255859375,,,0.31773591558299996,8.60997874085939,3.623046875,9.2734375,0.4208984375,0.2193603515625,3.489237051976014,1.6982421875,8.0,0.48681640625,0.1490478515625
12,train,baseline,0.0782126635313034,98.0625,98.0625,2.533203125,2.533203125,2.544921875,2.544921875,1258,10,6.944172460869124,7.90625,10.1875,1.4755859375,0.22412109375,,,0.36226386606918776,8.609497882103453,3.66796875,9.1796875,0.426025390625,0.22216796875,3.472922531375403,1.7041015625,7.97265625,0.49072265625,0.1497802734375
13,train,baseline,0.07780648022890091,98.0625,98.0625,2.529296875,2.529296875,2.53515625,2.53515625,1196,10,6.956970030473203,7.91015625,10.1484375,1.470703125,0.2208251953125,,,0.34077935267473486,8.61043666091046,3.720703125,9.078125,0.43212890625,0.2252197265625,3.477796533455778,1.716796875,7.95703125,0.49365234375,0.1507568359375
14,train,baseline,0.07470379024744034,98.25,98.25,2.533203125,2.533203125,2.53125,2.53125,1171,10,7.006120277969869,7.95703125,10.140625,1.4638671875,0.215576171875,,,0.3390963529064786,8.610885125353896,3.7265625,9.1171875,0.4326171875,0.2249755859375,3.4718272278152127,1.7138671875,8.0,0.49365234375,0.1500244140625
15,train,baseline,0.07274475693702698,98.25,98.25,2.53515625,2.53515625,2.521484375,2.521484375,1160,10,7.052181201554457,8.046875,10.234375,1.44140625,0.214111328125,,,0.3091163409126976,8.611544258926127,3.783203125,9.09375,0.439208984375,0.22705078125,3.4584841750540476,1.71484375,8.078125,0.495849609375,0.1490478515625
1,test,,1.1981319189071655,66.9375,66.9375,2.173828125,2.173828125,2.287109375,2.287109375,457,10,6.959491596371282,7.58984375,9.5546875,1.23046875,0.20556640625,3.146484375,3.15234375,0.2746567072098995,6.65821148275179,2.177734375,9.890625,0.3271484375,0.15283203125,3.1852953424983985,1.43359375,7.90625,0.4501953125,0.133056640625
2,test,,1.3883665800094604,67.4375,67.4375,2.2734375,2.2734375,2.427734375,2.427734375,415,10,6.742215490840996,7.09765625,9.9140625,1.4931640625,0.28369140625,3.1171875,3.033203125,0.3616427458433425,6.65821148275179,2.341796875,9.0703125,0.351806640625,0.1702880859375,3.1852953424983985,1.4765625,7.33203125,0.463623046875,0.1435546875
3,test,,1.3518279790878296,71.1875,71.1875,2.33984375,2.33984375,2.50390625,2.50390625,329,10,6.548693632697439,6.82421875,10.09375,1.6015625,0.323974609375,3.056640625,2.962890625,0.36219666432654574,6.65821148275179,2.623046875,8.234375,0.393798828125,0.1944580078125,3.1852953424983985,1.578125,6.8515625,0.49560546875,0.15771484375
