epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.5960824489593506,71.9375,72.5625,2.134765625,2.134765625,2.3125,2.677734375,12810,10,7.212006063040774,8.0703125,9.015625,1.0849609375,0.104736328125,,,0.24157923160466374,8.60973732525866,1.1357421875,14.4140625,0.1319580078125,0.06805419921875,3.4776102858192433,0.6279296875,10.296875,0.1805419921875,0.054351806640625,16250,10,1.1884765625,7.387479462636103,10.40625,12.1171875,0.1414794921875,,,8.60973732525866,1.7978515625,15.421875,0.208740234375,0.09454345703125,3.4776102858192433,1.0107421875,11.859375,0.29052734375,0.07275390625,0.309240148240119
2,train,noise,0.30553799867630005,86.75,87.625,2.41015625,2.412109375,3.06640625,3.580078125,10905,10,8.542656031668518,8.609375,9.78125,1.7021484375,0.1201171875,,,0.2212034436231403,8.610698036261025,1.4013671875,14.4140625,0.1627197265625,0.0814208984375,3.4761047126550797,0.77001953125,10.5390625,0.2215576171875,0.063720703125,11771,10,1.91015625,8.475501878232112,10.9765625,13.1015625,0.1624755859375,,,8.610698036261025,2.216796875,15.1484375,0.25732421875,0.1131591796875,3.4761047126550797,1.2265625,11.9921875,0.35302734375,0.08489990234375,0.2654815776719726
3,train,noise,0.22524414956569672,91.3125,92.25,2.470703125,2.470703125,3.27734375,3.837890625,10638,10,9.16357442582433,8.9921875,10.265625,1.845703125,0.12420654296875,,,0.22375457374787844,8.609736341073685,1.5830078125,14.4375,0.1839599609375,0.0899658203125,3.4690642524378514,0.8525390625,10.7578125,0.2457275390625,0.06842041015625,11339,10,2.07421875,9.117712530705695,11.421875,13.75,0.169677734375,,,8.609736341073685,2.513671875,15.0,0.2919921875,0.1256103515625,3.4690642524378514,1.361328125,12.1640625,0.392333984375,0.0914306640625,0.30138218492918056
4,train,noise,0.18611572682857513,93.1875,94.125,2.509765625,2.505859375,3.404296875,3.98828125,9902,10,9.4935165808448,9.0390625,10.421875,1.923828125,0.1328125,,,0.2222202478095932,8.609198961845149,1.7548828125,14.140625,0.203857421875,0.09942626953125,3.47230145003768,0.921875,10.6640625,0.265625,0.07366943359375,10372,10,2.1640625,9.40118936297602,11.3984375,13.9375,0.1822509765625,,,8.609198961845149,2.7578125,14.4921875,0.3203125,0.137939453125,3.47230145003768,1.453125,11.9609375,0.418701171875,0.0977783203125,0.3035380981093774
5,train,noise,0.16762588918209076,94.125,95.0625,2.53515625,2.533203125,3.46484375,4.06640625,7641,10,9.339243686733465,9.0078125,10.5546875,2.052734375,0.146728515625,,,0.21761038971003346,8.611330045978956,1.904296875,13.8125,0.2210693359375,0.1080322265625,3.4623276242996766,0.96923828125,10.53125,0.280029296875,0.07769775390625,7492,10,2.326171875,9.121768581897575,11.265625,14.09375,0.2005615234375,,,8.611330045978956,2.974609375,13.9296875,0.345458984375,0.149658203125,3.4623276242996766,1.5263671875,11.6796875,0.440673828125,0.10357666015625,0.26844252335926655
6,train,noise,0.1537410020828247,94.9375,95.75,2.5625,2.560546875,3.51953125,4.125,6338,10,9.088921322506888,8.921875,10.6796875,2.185546875,0.1640625,,,0.19540567921411414,8.60982825853417,2.033203125,13.46875,0.236083984375,0.115966796875,3.4775962346365534,1.01171875,10.3828125,0.291015625,0.08160400390625,5989,10,2.484375,8.756595243697268,11.0625,14.234375,0.22265625,,,8.60982825853417,3.1484375,13.3828125,0.365478515625,0.1600341796875,3.4775962346365534,1.576171875,11.390625,0.453125,0.1083984375,0.2606435080465152
7,train,noise,0.14395669102668762,95.375,96.1875,2.583984375,2.58203125,3.556640625,4.16796875,5482,10,8.921961410757149,8.8828125,10.7421875,2.271484375,0.173095703125,,,0.21804324508256082,8.610698289869681,2.150390625,13.1875,0.2498779296875,0.12298583984375,3.4755298660878355,1.05078125,10.2578125,0.30224609375,0.08502197265625,5162,10,2.587890625,8.518335667704719,10.9609375,14.3125,0.234375,,,8.610698289869681,3.31640625,12.9296875,0.38525390625,0.1695556640625,3.4755298660878355,1.634765625,11.1640625,0.470458984375,0.11328125,0.2620763219976725
8,train,noise,0.1358257383108139,95.75,96.5625,2.6015625,2.6015625,3.591796875,4.2109375,4789,10,8.7569403783118,8.859375,10.859375,2.35546875,0.1846923828125,,,0.22452545023638626,8.609252894655084,2.23046875,13.0,0.25927734375,0.1278076171875,3.465151467196393,1.0859375,10.1484375,0.313232421875,0.088134765625,4372,10,2.693359375,8.255612267954916,10.84375,14.4609375,0.25,,,8.609252894655084,3.427734375,12.6015625,0.398193359375,0.1761474609375,3.465151467196393,1.6904296875,10.9296875,0.488037109375,0.1181640625,0.2697457962527231
9,train,noise,0.13027116656303406,96.0,96.6875,2.626953125,2.625,3.615234375,4.2421875,4174,10,8.70211097290222,8.8125,10.8828125,2.39453125,0.18994140625,,,0.20619693061281893,8.611536598524536,2.27734375,12.8671875,0.264404296875,0.1307373046875,3.4768441467024456,1.107421875,10.078125,0.318603515625,0.090087890625,3683,10,2.73828125,8.140953858653168,10.75,14.4609375,0.2568359375,,,8.611536598524536,3.48046875,12.3984375,0.404052734375,0.1798095703125,3.4768441467024456,1.7158203125,10.796875,0.49365234375,0.12060546875,0.27187085412879686
10,train,noise,0.12510564923286438,96.375,97.0,2.640625,2.638671875,3.64453125,4.2734375,3814,10,8.674688042292656,8.8046875,10.9765625,2.419921875,0.197998046875,,,0.22922701066524995,8.611405861005887,2.3671875,12.6796875,0.27490234375,0.1358642578125,3.486368522999097,1.130859375,10.03125,0.324462890625,0.092041015625,3337,10,2.767578125,8.085805727798535,10.6953125,14.59375,0.26708984375,,,8.611405861005887,3.609375,12.09375,0.419189453125,0.1868896484375,3.486368522999097,1.7490234375,10.6875,0.501953125,0.12335205078125,0.2939921271641603
11,train,noise,0.11967670172452927,96.5625,97.125,2.646484375,2.64453125,3.66015625,4.29296875,3421,10,8.620370457626338,8.75,10.9765625,2.4609375,0.2027587890625,,,0.23165702080704095,8.60959759149359,2.41015625,12.5390625,0.280029296875,0.138916015625,3.508377536748845,1.1435546875,9.96875,0.325927734375,0.09326171875,2924,10,2.81640625,8.001593699493222,10.6015625,14.6015625,0.27392578125,,,8.60959759149359,3.673828125,11.859375,0.4267578125,0.1912841796875,3.508377536748845,1.7666015625,10.578125,0.50341796875,0.125244140625,0.29110724890067463
12,train,noise,0.11714285612106323,96.75,97.3125,2.669921875,2.66796875,3.671875,4.3046875,3006,10,8.472146996349863,8.71875,11.03125,2.529296875,0.2098388671875,,,0.23210307679098272,8.610343778226566,2.498046875,12.328125,0.290283203125,0.1441650390625,3.479798661887839,1.181640625,9.8359375,0.33935546875,0.09686279296875,2542,10,2.8984375,7.826348973101395,10.5078125,14.6875,0.284423828125,,,8.610343778226566,3.79296875,11.53125,0.4404296875,0.1983642578125,3.479798661887839,1.8154296875,10.359375,0.52197265625,0.1297607421875,0.2784510550757177
13,train,noise,0.11283843964338303,96.875,97.4375,2.673828125,2.671875,3.685546875,4.32421875,2903,10,8.42145326128922,8.59375,11.015625,2.56640625,0.219970703125,,,0.21754213932076646,8.610439300822144,2.552734375,12.1015625,0.29638671875,0.1484375,3.476058737176252,1.2119140625,9.6484375,0.3486328125,0.10040283203125,2385,10,2.94921875,7.715561822693831,10.2890625,14.6484375,0.29736328125,,,8.610439300822144,3.857421875,11.1875,0.447998046875,0.2041015625,3.476058737176252,1.8564453125,10.0546875,0.5341796875,0.1348876953125,0.303903454682301
