epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.5718409419059753,72.5625,73.125,2.189453125,2.189453125,1.1328125,1.1328125,111,11,4.514583604905452,5.10546875,5.39453125,0.78515625,0.053131103515625,,,0.2939555516356772,8.609760046889482,1.4375,10.84375,0.1668701171875,0.10479736328125,3.4662351632418797,0.94580078125,6.6796875,0.27294921875,0.1103515625,91,10,0.798828125,4.235825722612748,4.91015625,5.2890625,0.072021484375,,,8.609760046889482,1.490234375,10.5390625,0.173095703125,0.1102294921875,3.4662351632418797,0.9716796875,6.43359375,0.2802734375,0.11602783203125,0.3123801220487535
2,train,noise,0.3536193370819092,83.125,83.9375,2.361328125,2.361328125,1.203125,1.203125,111,11,4.404819316971362,4.98828125,5.47265625,0.87255859375,0.088134765625,,,0.36001366175137545,8.609466916561757,1.642578125,10.3125,0.1907958984375,0.12078857421875,3.484025347109609,1.0517578125,6.37109375,0.302001953125,0.1241455078125,91,10,0.91015625,4.025530449569375,4.7265625,5.3671875,0.119384765625,,,8.609466916561757,1.7177734375,9.8984375,0.199462890625,0.1287841796875,3.484025347109609,1.0888671875,6.03125,0.312744140625,0.1326904296875,0.38166442646452503
3,train,noise,0.2996531128883362,86.0,87.125,2.404296875,2.404296875,1.21875,1.21875,95,11,4.437242069466513,4.98828125,5.47265625,0.8896484375,0.08831787109375,,,0.34708459475398334,8.609644413094555,1.701171875,10.1953125,0.1976318359375,0.1251220703125,3.4735586888039336,1.064453125,6.33203125,0.306396484375,0.1258544921875,80,10,0.92822265625,4.042414072612262,4.72265625,5.36328125,0.11993408203125,,,8.609644413094555,1.787109375,9.7578125,0.20751953125,0.134033203125,3.4735586888039336,1.109375,5.9765625,0.3193359375,0.13525390625,0.3678740062402302
4,train,noise,0.2610326409339905,87.9375,89.25,2.458984375,2.458984375,1.220703125,1.220703125,100,11,4.576041531346638,5.01171875,5.4765625,0.8935546875,0.08477783203125,,,0.3312910066266584,8.608791955542106,1.7861328125,10.046875,0.2073974609375,0.131103515625,3.464169901450019,1.1240234375,6.2265625,0.324462890625,0.132568359375,81,10,0.93212890625,4.20738711485104,4.7421875,5.3671875,0.116455078125,,,8.608791955542106,1.88671875,9.578125,0.21923828125,0.141357421875,3.464169901450019,1.1748046875,5.859375,0.339111328125,0.1431884765625,0.34736814237641456
5,train,noise,0.22903510928153992,89.625,91.125,2.509765625,2.509765625,1.2314453125,1.2314453125,100,11,4.66299648841871,5.09765625,5.53515625,0.90234375,0.07879638671875,,,0.3103899446339225,8.608783550051188,1.857421875,9.9921875,0.2158203125,0.135498046875,3.4838420365832627,1.158203125,6.265625,0.33251953125,0.135009765625,80,10,0.943359375,4.299742652547285,4.83203125,5.42578125,0.10955810546875,,,8.608783550051188,1.9736328125,9.4921875,0.229248046875,0.1468505859375,3.4838420365832627,1.2177734375,5.87890625,0.349609375,0.146484375,0.33326654819630647
6,train,noise,0.20998583734035492,90.5625,92.0625,2.53515625,2.53515625,1.23828125,1.23828125,100,11,4.74750899634125,5.13671875,5.54296875,0.904296875,0.07293701171875,,,0.31848512145412916,8.611222530261411,1.9091796875,9.9296875,0.2216796875,0.138916015625,3.4735630847529158,1.17578125,6.26171875,0.33837890625,0.136474609375,81,10,0.947265625,4.391695329687554,4.875,5.43359375,0.102783203125,,,8.611222530261411,2.037109375,9.4140625,0.236572265625,0.151123046875,3.4735630847529158,1.2412109375,5.8671875,0.357421875,0.148681640625,0.3386344810235951
7,train,noise,0.19547325372695923,91.3125,92.875,2.5625,2.5625,1.2470703125,1.2470703125,98,11,4.769701322064133,5.15625,5.55859375,0.9111328125,0.0723876953125,,,0.29082984063319745,8.611413407297567,1.9560546875,9.8515625,0.2271728515625,0.14208984375,3.4623969491395195,1.19140625,6.234375,0.343994140625,0.13818359375,79,10,0.9541015625,4.408367911134547,4.890625,5.44921875,0.1025390625,,,8.611413407297567,2.091796875,9.3203125,0.242919921875,0.1549072265625,3.4623969491395195,1.259765625,5.83203125,0.36376953125,0.15087890625,0.3116174329081791
8,train,noise,0.18521210551261902,91.75,93.3125,2.595703125,2.595703125,1.2568359375,1.2568359375,96,11,4.830860999095187,5.203125,5.578125,0.9169921875,0.06732177734375,,,0.34993297739914897,8.608216236040047,1.9951171875,9.8203125,0.2318115234375,0.1444091796875,3.4664002248841097,1.2158203125,6.23828125,0.350830078125,0.1402587890625,76,10,0.958984375,4.471938678606898,4.94140625,5.46875,0.096435546875,,,8.608216236040047,2.140625,9.265625,0.2486572265625,0.157958984375,3.4664002248841097,1.291015625,5.82421875,0.37255859375,0.153564453125,0.37180405553491175
9,train,noise,0.17553390562534332,92.25,93.8125,2.62890625,2.62890625,1.2626953125,1.2626953125,94,11,4.849185903740066,5.25390625,5.63671875,0.92041015625,0.06756591796875,,,0.30539065740499294,8.609338865932468,2.03515625,9.796875,0.2364501953125,0.1468505859375,3.4795747108860446,1.208984375,6.31640625,0.347412109375,0.138427734375,74,10,0.9619140625,4.483131817836385,4.984375,5.5234375,0.0975341796875,,,8.609338865932468,2.189453125,9.21875,0.25439453125,0.1610107421875,3.4795747108860446,1.287109375,5.890625,0.3701171875,0.152099609375,0.33170532244573586
10,train,noise,0.16899645328521729,92.625,94.25,2.64453125,2.64453125,1.271484375,1.271484375,93,11,4.867189934588389,5.23046875,5.60546875,0.9267578125,0.06646728515625,,,0.3241541040405685,8.610361974429228,2.068359375,9.7109375,0.2401123046875,0.1494140625,3.4690286071561913,1.22265625,6.2578125,0.352294921875,0.1405029296875,75,10,0.97021484375,4.49604371855742,4.96484375,5.49609375,0.09600830078125,,,8.610361974429228,2.23046875,9.1171875,0.259033203125,0.164306640625,3.4690286071561913,1.306640625,5.82421875,0.376708984375,0.1549072265625,0.3507401810675916
11,train,noise,0.16027984023094177,93.0625,94.625,2.65625,2.65625,1.2783203125,1.2783203125,93,11,4.897405827459482,5.2578125,5.640625,0.9345703125,0.06756591796875,,,0.33542191606673943,8.610325191944753,2.107421875,9.65625,0.2447509765625,0.1519775390625,3.476140935310193,1.2333984375,6.26953125,0.354736328125,0.14111328125,73,10,0.97998046875,4.521364126936955,4.98828125,5.52734375,0.097900390625,,,8.610325191944753,2.28125,9.0390625,0.264892578125,0.167724609375,3.476140935310193,1.3203125,5.8203125,0.3798828125,0.156005859375,0.3606287623934363
12,train,noise,0.15439653396606445,93.5,94.9375,2.658203125,2.658203125,1.287109375,1.287109375,90,11,4.916031021246965,5.29296875,5.69140625,0.943359375,0.07000732421875,,,0.3029312867325313,8.609126655442275,2.12890625,9.6484375,0.2471923828125,0.153076171875,3.476463829501364,1.2265625,6.31640625,0.352783203125,0.1397705078125,72,10,0.990234375,4.53369318342217,5.01171875,5.578125,0.10186767578125,,,8.609126655442275,2.306640625,9.0078125,0.26806640625,0.16943359375,3.476463829501364,1.3173828125,5.8515625,0.37890625,0.1552734375,0.33716101799341897
13,train,noise,0.148458793759346,93.8125,95.25,2.65625,2.65625,1.29296875,1.29296875,91,11,4.912070761366794,5.28515625,5.67578125,0.9521484375,0.06890869140625,,,0.2863588398534928,8.611753496349602,2.16015625,9.5703125,0.2509765625,0.155517578125,3.4730477507071353,1.234375,6.2890625,0.355224609375,0.140869140625,72,10,1.0,4.5278247026203635,5.00390625,5.5625,0.1004638671875,,,8.611753496349602,2.34765625,8.921875,0.2724609375,0.17236328125,3.4730477507071353,1.3310546875,5.81640625,0.383056640625,0.156982421875,0.3146140108200464
14,train,noise,0.1432534009218216,94.0,95.4375,2.66015625,2.66015625,1.2998046875,1.2998046875,89,11,4.9141193049659275,5.3046875,5.71875,0.95751953125,0.07244873046875,,,0.2986992769206318,8.610749594611544,2.20703125,9.5,0.25634765625,0.15869140625,3.478941215459862,1.2451171875,6.29296875,0.357666015625,0.1417236328125,71,10,1.0068359375,4.5135354493585345,5.01171875,5.6015625,0.1055908203125,,,8.610749594611544,2.404296875,8.8125,0.279296875,0.176513671875,3.478941215459862,1.345703125,5.796875,0.386962890625,0.1585693359375,0.3213512432068077
15,train,noise,0.13975197076797485,94.1875,95.5625,2.66015625,2.66015625,1.3017578125,1.3017578125,90,11,4.905735074318581,5.3125,5.7265625,0.96435546875,0.072509765625,,,0.29961901797649226,8.610186739495882,2.232421875,9.4609375,0.25927734375,0.1602783203125,3.4908618024008233,1.2587890625,6.28515625,0.360595703125,0.1429443359375,71,10,1.017578125,4.497552253879641,5.01953125,5.61328125,0.10589599609375,,,8.610186739495882,2.43359375,8.7578125,0.28271484375,0.1785888671875,3.4908618024008233,1.3642578125,5.78125,0.390869140625,0.1602783203125,0.3282122666403177
