epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.5147296190261841,75.8125,75.375,2.10546875,2.10546875,1.7880859375,1.7880859375,7408,10,6.266609422612194,8.5703125,8.6171875,0.78369140625,0.005176544189453125,,,0.2586027105836519,8.60973732525866,1.890625,13.3984375,0.219482421875,0.1099853515625,3.4776102858192433,1.2060546875,9.640625,0.346923828125,0.10009765625,11581,10,0.77978515625,6.987104695772436,8.5078125,8.6171875,0.0122833251953125,,,8.60973732525866,1.8984375,13.3203125,0.220458984375,0.11090087890625,3.4776102858192433,1.208984375,9.5703125,0.34765625,0.100830078125,0.21408510345019474
2,train,noise,0.2908923923969269,86.875,86.25,2.365234375,2.365234375,1.9560546875,1.9560546875,2856,10,5.976535877894607,8.625,8.6875,1.064453125,0.0072784423828125,,,0.2358425941676857,8.610698036261025,1.935546875,13.359375,0.2247314453125,0.1123046875,3.4761047126550797,1.240234375,9.6171875,0.356689453125,0.10247802734375,9384,10,0.896484375,7.423532025339872,8.53125,8.6875,0.0175323486328125,,,8.610698036261025,1.9482421875,13.25,0.2261962890625,0.11358642578125,3.4761047126550797,1.2431640625,9.5234375,0.357666015625,0.10357666015625,0.17028751987047663
3,train,noise,0.2433096021413803,89.125,88.8125,2.4140625,2.4140625,1.974609375,1.974609375,2400,10,5.682143416052654,8.6875,8.765625,1.150390625,0.00852203369140625,,,0.2706765450040817,8.609736341073685,1.98046875,13.3359375,0.22998046875,0.114501953125,3.4690642524378514,1.2578125,9.640625,0.362548828125,0.10345458984375,8686,10,0.91943359375,7.419379881786469,8.578125,8.765625,0.02056884765625,,,8.609736341073685,1.994140625,13.203125,0.2315673828125,0.115966796875,3.4690642524378514,1.26171875,9.5234375,0.36376953125,0.104736328125,0.19902775353824886
4,train,noise,0.22150211036205292,90.25,89.875,2.45703125,2.45703125,1.9814453125,1.9814453125,2380,10,5.694126080920949,8.6484375,8.7265625,1.1640625,0.0097808837890625,,,0.2649943143104418,8.609198961845149,2.001953125,13.25,0.232421875,0.115966796875,3.47230145003768,1.2724609375,9.5703125,0.366455078125,0.10504150390625,8811,10,0.92822265625,7.452542057243022,8.5234375,8.7265625,0.0236053466796875,,,8.609198961845149,2.017578125,13.09375,0.234375,0.1177978515625,3.47230145003768,1.27734375,9.4453125,0.367919921875,0.10650634765625,0.20889050979980348
5,train,noise,0.20777420699596405,90.8125,90.625,2.49609375,2.49609375,1.986328125,1.986328125,2624,10,5.783171897954614,8.6875,8.7890625,1.142578125,0.01123046875,,,0.20936171031816755,8.611330045978956,2.02734375,13.2421875,0.2353515625,0.11712646484375,3.4623276242996766,1.2880859375,9.5703125,0.3720703125,0.10601806640625,8096,10,0.94580078125,7.3601753681669635,8.546875,8.7890625,0.026885986328125,,,8.611330045978956,2.044921875,13.0703125,0.2374267578125,0.119140625,3.4623276242996766,1.29296875,9.4296875,0.37353515625,0.107666015625,0.16983690893389858
6,train,noise,0.1968063861131668,91.4375,91.3125,2.525390625,2.525390625,1.994140625,1.994140625,2608,10,5.738561025568345,8.640625,8.7421875,1.158203125,0.01204681396484375,,,0.22048513442570572,8.60982825853417,2.029296875,13.1875,0.23583984375,0.11767578125,3.4775962346365534,1.2861328125,9.546875,0.369873046875,0.10614013671875,8125,10,0.95361328125,7.357910059920991,8.4921875,8.7421875,0.0289459228515625,,,8.60982825853417,2.048828125,13.0078125,0.2379150390625,0.1197509765625,3.4775962346365534,1.291015625,9.390625,0.37109375,0.10784912109375,0.17833552714062806
7,train,noise,0.1901097595691681,91.8125,91.6875,2.5546875,2.5546875,2.0,2.0,2625,10,5.735581501281414,8.6640625,8.7890625,1.1904296875,0.01397705078125,,,0.25335204195591227,8.610698289869681,2.0625,13.1484375,0.2393798828125,0.11932373046875,3.4755298660878355,1.2880859375,9.5625,0.37060546875,0.1060791015625,7923,10,0.966796875,7.347231230244327,8.4921875,8.7890625,0.03326416015625,,,8.610698289869681,2.080078125,12.9453125,0.241455078125,0.12158203125,3.4755298660878355,1.29296875,9.3828125,0.371826171875,0.1080322265625,0.2070017645873134
8,train,noise,0.183557391166687,92.125,92.0,2.576171875,2.576171875,2.005859375,2.005859375,2731,10,5.803647553895752,8.765625,8.875,1.185546875,0.01233673095703125,,,0.2900360125119814,8.609252894655084,2.0703125,13.234375,0.240478515625,0.119140625,3.465151467196393,1.2919921875,9.6484375,0.373046875,0.10565185546875,7698,10,0.97119140625,7.3184276965006845,8.609375,8.875,0.02972412109375,,,8.609252894655084,2.091796875,13.0390625,0.2430419921875,0.12152099609375,3.465151467196393,1.298828125,9.4765625,0.374755859375,0.1075439453125,0.24052005679401658
9,train,noise,0.1779824197292328,92.375,92.1875,2.60546875,2.60546875,2.0078125,2.0078125,2823,10,5.944070467621601,8.7421875,8.84375,1.1728515625,0.0113525390625,,,0.25235912867794524,8.611536598524536,2.080078125,13.1953125,0.2415771484375,0.119873046875,3.4768441467024456,1.298828125,9.625,0.373779296875,0.1063232421875,8325,10,0.9580078125,7.51943211999304,8.6015625,8.84375,0.0276031494140625,,,8.611536598524536,2.103515625,13.0078125,0.2442626953125,0.1221923828125,3.4768441467024456,1.3056640625,9.46875,0.37548828125,0.10809326171875,0.21318758200535487
10,train,noise,0.1741355061531067,92.625,92.375,2.626953125,2.626953125,2.01171875,2.01171875,2823,10,6.023392471908104,8.7265625,8.84375,1.1650390625,0.013214111328125,,,0.2422705208377822,8.611405861005887,2.091796875,13.15625,0.242919921875,0.12060546875,3.486368522999097,1.2958984375,9.625,0.37158203125,0.1060791015625,8278,10,0.966796875,7.512176113397475,8.5625,8.84375,0.03167724609375,,,8.611405861005887,2.115234375,12.9453125,0.24560546875,0.12310791015625,3.486368522999097,1.3017578125,9.4453125,0.37353515625,0.1080322265625,0.2065888673237917
