epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation
1,train,baseline,1.1565909385681152,42.375,42.375,0.791015625,2.61328125,2.61328125,2085,10,7.1448773642583605,8.0625,9.84375,1.146484375,0.1807861328125,,,0.16239996228760703,10.086825667978495,2.563472392503777,0.031005859375,10.5625,0.01209259033203125,0.002918243408203125,2.9309428088276515,0.1990966796875,10.59375,0.06793212890625,0.0181121826171875,2.3208749086533187,0.484130859375,9.4140625,0.2086181640625,0.046630859375,2.320484016375942,0.010284423828125,10.359375,0.00443267822265625,0.0009908676147460938,1.2708642824277918,0.00400543212890625,9.3203125,0.00315093994140625,0.00042891502380371094
2,train,baseline,0.7548399567604065,62.40625,62.40625,0.865234375,2.8515625,2.8515625,1505,10,7.018873200985073,7.53125,11.21875,1.791015625,0.328369140625,,,0.12533823950026365,10.0868256679785,2.563472392503777,0.0679931640625,9.9609375,0.026519775390625,0.006732940673828125,2.9309428088276515,0.37451171875,9.7109375,0.1278076171875,0.035797119140625,2.3208749086533187,0.77197265625,8.3046875,0.332763671875,0.078369140625,2.320484016375942,0.0810546875,9.6875,0.034942626953125,0.00823211669921875,1.2708642824277918,0.005893707275390625,8.7890625,0.004638671875,0.0006694793701171875
3,train,baseline,0.5973538160324097,70.125,70.125,0.9296875,2.8828125,2.8828125,1580,10,7.326218740337771,8.3984375,11.4921875,1.779296875,0.26904296875,,,0.14579735099078917,10.08682566797851,2.563472392503777,0.0711669921875,10.8203125,0.0277557373046875,0.00649261474609375,2.9309428088276515,0.480224609375,10.3671875,0.163818359375,0.042388916015625,2.3208749086533187,0.80908203125,9.1015625,0.3486328125,0.07550048828125,2.320484016375942,0.10772705078125,10.5078125,0.046417236328125,0.01004791259765625,1.2708642824277918,0.007843017578125,9.65625,0.00617218017578125,0.0008111000061035156
4,train,baseline,0.5330595970153809,73.25,73.25,1.08203125,2.986328125,2.986328125,1573,10,7.485150564358972,8.765625,11.8203125,1.822265625,0.25830078125,,,0.13391886497475375,10.086825667978507,2.563472392503777,0.07977294921875,11.171875,0.0311126708984375,0.007038116455078125,2.9309428088276515,0.492431640625,10.7109375,0.1680908203125,0.042083740234375,2.3208749086533187,0.79638671875,9.5,0.343017578125,0.07183837890625,2.320484016375942,0.13330078125,10.8203125,0.057464599609375,0.01202392578125,1.2708642824277918,0.0085296630859375,10.0234375,0.006710052490234375,0.0008492469787597656
5,train,baseline,0.48281222581863403,75.3125,75.3125,1.177734375,2.998046875,2.998046875,1477,10,7.571611510526458,8.8984375,11.890625,1.787109375,0.251708984375,,,0.13563531325598294,10.086825667978495,2.563472392503777,0.07781982421875,11.3046875,0.030364990234375,0.0067901611328125,2.9309428088276515,0.49951171875,10.828125,0.17041015625,0.042205810546875,2.3208749086533187,0.80517578125,9.609375,0.346923828125,0.07177734375,2.320484016375942,0.1527099609375,10.9140625,0.0657958984375,0.01361083984375,1.2708642824277918,0.0085601806640625,10.15625,0.00673675537109375,0.0008416175842285156
6,train,baseline,0.47131356596946716,76.3125,76.3125,1.310546875,3.02734375,3.02734375,1343,10,7.411583088304679,8.8984375,11.96875,1.8369140625,0.2568359375,,,0.12077336327146523,10.0868256679785,2.563472392503777,0.08233642578125,11.296875,0.032135009765625,0.0071868896484375,2.9309428088276515,0.5185546875,10.7890625,0.177001953125,0.043853759765625,2.3208749086533187,0.806640625,9.6015625,0.347412109375,0.0718994140625,2.320484016375942,0.167236328125,10.8828125,0.07208251953125,0.0149078369140625,1.2708642824277918,0.007572174072265625,10.15625,0.00595855712890625,0.0007448196411132812
7,train,baseline,0.44671499729156494,78.0625,78.0625,1.4140625,3.0859375,3.0859375,1267,10,7.356859489854193,8.9765625,12.125,1.8740234375,0.259765625,,,0.13195019386874163,10.086825667978507,2.563472392503777,0.08905029296875,11.359375,0.03472900390625,0.007717132568359375,2.9309428088276515,0.55615234375,10.796875,0.189697265625,0.04669189453125,2.3208749086533187,0.791015625,9.71875,0.3408203125,0.07000732421875,2.320484016375942,0.1668701171875,10.9609375,0.07196044921875,0.0147705078125,1.2708642824277918,0.00823974609375,10.234375,0.0064849853515625,0.0008039474487304688
8,train,baseline,0.42484650015830994,78.9375,78.9375,1.4560546875,3.080078125,3.080078125,1286,10,7.346418256068712,8.9296875,12.09375,1.8740234375,0.26171875,,,0.1313072144615494,10.086825667978504,2.563472392503777,0.09039306640625,11.3125,0.0352783203125,0.00786590576171875,2.9309428088276515,0.57421875,10.7109375,0.19580078125,0.04840087890625,2.3208749086533187,0.796875,9.65625,0.34326171875,0.07080078125,2.320484016375942,0.17333984375,10.8984375,0.07470703125,0.015411376953125,1.2708642824277918,0.008636474609375,10.1796875,0.006793975830078125,0.0008463859558105469
9,train,baseline,0.41742339730262756,78.9375,78.9375,1.541015625,3.12890625,3.12890625,1203,10,7.248327824869615,8.921875,12.234375,1.935546875,0.270751953125,,,0.14181205933652472,10.0868256679785,2.563472392503777,0.0989990234375,11.2890625,0.038604736328125,0.00861358642578125,2.9309428088276523,0.57861328125,10.6953125,0.1973876953125,0.048797607421875,2.3208749086533187,0.79052734375,9.6640625,0.340576171875,0.0703125,2.320484016375942,0.1693115234375,10.90625,0.07293701171875,0.0150604248046875,1.2708642824277918,0.01058197021484375,10.171875,0.00832366943359375,0.0010385513305664062
10,train,baseline,0.3970677852630615,80.25,80.25,1.5791015625,3.109375,3.109375,1160,10,7.164604986582627,8.84375,12.1875,1.9140625,0.274169921875,,,0.12930194194333255,10.086825667978498,2.563472392503777,0.09503173828125,11.21875,0.037078857421875,0.008331298828125,2.9309428088276523,0.58935546875,10.59375,0.2010498046875,0.050048828125,2.3208749086533187,0.783203125,9.6015625,0.33740234375,0.07012939453125,2.320484016375942,0.1767578125,10.8125,0.076171875,0.015838623046875,1.2708642824277918,0.0108642578125,10.09375,0.008544921875,0.0010738372802734375
