epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation
1,train,baseline,1.1283787488937378,41.90625,41.90625,0.8701171875,1.41796875,1.41796875,735,10,5.819105556877578,5.9140625,6.04296875,0.66943359375,0.0211334228515625,,,0.09401632282367121,10.086825667978495,2.563472392503777,0.022003173828125,8.4375,0.00858306884765625,0.0025959014892578125,2.9309428088276515,0.368896484375,8.109375,0.1258544921875,0.041717529296875,2.3208749086533187,0.147705078125,7.94140625,0.06365966796875,0.0179290771484375,2.320484016375942,0.043701171875,8.1484375,0.018829345703125,0.005306243896484375,1.2708642824277918,0.002079010009765625,7.1796875,0.0016355514526367188,0.0002894401550292969
2,train,baseline,0.695704460144043,61.75,61.75,1.0048828125,1.4091796875,1.4091796875,373,10,5.40840225573437,5.5546875,6.3828125,0.8330078125,0.1302490234375,,,0.08461911253673325,10.0868256679785,2.563472392503777,0.039520263671875,8.0390625,0.015411376953125,0.0048675537109375,2.9309428088276523,0.76318359375,6.95703125,0.26025390625,0.0899658203125,2.3208749086533187,0.4052734375,7.0625,0.174560546875,0.051483154296875,2.320484016375942,0.1385498046875,7.59765625,0.0596923828125,0.0175933837890625,1.2708642824277918,0.002246856689453125,6.8203125,0.0017690658569335938,0.0003294944763183594
3,train,baseline,0.6096576452255249,68.125,68.125,1.1728515625,1.4619140625,1.4619140625,229,10,5.016906518960188,5.28515625,6.5625,0.92822265625,0.1944580078125,,,0.11014385550456635,10.086825667978498,2.563472392503777,0.04473876953125,7.76171875,0.0174560546875,0.00569915771484375,2.9309428088276515,0.79052734375,6.63671875,0.269775390625,0.09619140625,2.3208749086533187,0.41796875,6.76953125,0.1800537109375,0.054931640625,2.320484016375942,0.1441650390625,7.3203125,0.062103271484375,0.018951416015625,1.2708642824277918,0.0021877288818359375,6.5546875,0.0017213821411132812,0.0003337860107421875
4,train,baseline,0.5441179871559143,71.125,71.125,1.19921875,1.5087890625,1.5087890625,146,10,4.812429523273592,5.12890625,6.703125,0.9951171875,0.23486328125,,,0.1098456748953827,10.086825667978497,2.563472392503777,0.050140380859375,7.59375,0.019561767578125,0.0065155029296875,2.9309428088276523,0.80859375,6.44140625,0.27587890625,0.100341796875,2.3208749086533187,0.43212890625,6.5859375,0.1861572265625,0.058013916015625,2.320484016375942,0.1517333984375,7.1484375,0.0654296875,0.0203704833984375,1.2708642824277918,0.0025386810302734375,6.39453125,0.0019969940185546875,0.000396728515625
5,train,baseline,0.4974392354488373,73.125,73.125,1.2158203125,1.58203125,1.58203125,114,10,4.74625982131087,5.1640625,6.94140625,1.0625,0.256591796875,,,0.09360741079252366,10.086825667978507,2.563472392503777,0.0555419921875,7.61328125,0.02166748046875,0.007190704345703125,2.9309428088276515,0.80859375,6.4765625,0.27587890625,0.09991455078125,2.3208749086533187,0.451904296875,6.578125,0.1947021484375,0.060394287109375,2.320484016375942,0.1539306640625,7.17578125,0.06634521484375,0.0205841064453125,1.2708642824277918,0.00333404541015625,6.42578125,0.00262451171875,0.0005183219909667969
6,train,baseline,0.48189371824264526,74.0625,74.0625,1.201171875,1.583984375,1.583984375,98,10,4.767359525713069,5.1640625,6.94140625,1.064453125,0.255859375,,,0.09440962698642094,10.086825667978497,2.563472392503777,0.05694580078125,7.61328125,0.022216796875,0.007366180419921875,2.9309428088276515,0.8046875,6.48828125,0.274658203125,0.09942626953125,2.3208749086533187,0.470947265625,6.54296875,0.202880859375,0.06292724609375,2.320484016375942,0.1534423828125,7.1796875,0.066162109375,0.0205078125,1.2708642824277918,0.0038299560546875,6.4296875,0.00301361083984375,0.0005950927734375
7,train,baseline,0.4555722177028656,76.3125,76.3125,1.244140625,1.587890625,1.587890625,106,10,4.771501674049506,5.1484375,6.953125,1.07421875,0.259765625,,,0.09159858233969004,10.08682566797851,2.563472392503777,0.056915283203125,7.59765625,0.0222015380859375,0.007381439208984375,2.9309428088276515,0.8037109375,6.47265625,0.274169921875,0.0994873046875,2.3208749086533187,0.477294921875,6.515625,0.2056884765625,0.06390380859375,2.320484016375942,0.1541748046875,7.16015625,0.06640625,0.0206451416015625,1.2708642824277918,0.003719329833984375,6.41015625,0.002925872802734375,0.0005793571472167969
8,train,baseline,0.43662333488464355,77.5,77.5,1.255859375,1.603515625,1.603515625,96,10,4.817022700667158,5.19140625,6.98046875,1.0849609375,0.256591796875,,,0.09878572218016196,10.086825667978504,2.563472392503777,0.0606689453125,7.6328125,0.0236663818359375,0.0078277587890625,2.9309428088276523,0.7998046875,6.51953125,0.27294921875,0.0985107421875,2.3208749086533187,0.475341796875,6.55859375,0.2047119140625,0.06329345703125,2.320484016375942,0.1602783203125,7.1875,0.069091796875,0.0213470458984375,1.2708642824277918,0.0034618377685546875,6.453125,0.00272369384765625,0.0005359649658203125
9,train,baseline,0.42608916759490967,78.8125,78.8125,1.3330078125,1.65625,1.65625,110,10,4.869365531959978,5.34375,7.1484375,1.12109375,0.252197265625,,,0.11063652148203014,10.086825667978504,2.563472392503777,0.06243896484375,7.78125,0.02435302734375,0.00789642333984375,2.9309428088276523,0.79296875,6.69140625,0.2705078125,0.0958251953125,2.3208749086533187,0.484619140625,6.6953125,0.2088623046875,0.063232421875,2.320484016375942,0.1595458984375,7.34375,0.0687255859375,0.02081298828125,1.2708642824277918,0.00397491455078125,6.60546875,0.0031261444091796875,0.0006008148193359375
10,train,baseline,0.39098989963531494,80.0625,80.0625,1.287109375,1.6943359375,1.6943359375,111,10,5.022060347407054,5.375,7.2578125,1.13671875,0.259521484375,,,0.1026385053055348,10.086825667978484,2.563472392503777,0.06561279296875,7.8046875,0.0255889892578125,0.008270263671875,2.9309428088276523,0.78857421875,6.7265625,0.26904296875,0.094970703125,2.3208749086533187,0.497314453125,6.69921875,0.21435546875,0.06463623046875,2.320484016375942,0.1654052734375,7.36328125,0.0712890625,0.0214996337890625,1.2708642824277918,0.004520416259765625,6.63671875,0.0035572052001953125,0.0006804466247558594
11,train,baseline,0.4017605185508728,80.3125,80.3125,1.306640625,1.73828125,1.73828125,104,10,5.085254684537599,5.48046875,7.3828125,1.17578125,0.2578125,,,0.10272546610621552,10.086825667978498,2.563472392503777,0.0645751953125,7.9140625,0.02520751953125,0.00803375244140625,2.9309428088276515,0.77294921875,6.8671875,0.263916015625,0.0919189453125,2.3208749086533187,0.515625,6.76953125,0.22216796875,0.06610107421875,2.320484016375942,0.1650390625,7.47265625,0.07110595703125,0.021148681640625,1.2708642824277918,0.0045166015625,6.7421875,0.0035533905029296875,0.0006685256958007812
12,train,baseline,0.3711254894733429,81.4375,81.4375,1.302734375,1.759765625,1.759765625,111,10,5.059964548508582,5.4453125,7.4609375,1.1904296875,0.27001953125,,,0.10950513985104218,10.086825667978504,2.563472392503777,0.0657958984375,7.875,0.0256500244140625,0.008209228515625,2.9309428088276515,0.77978515625,6.81640625,0.26611328125,0.0931396484375,2.3208749086533187,0.52099609375,6.72265625,0.224365234375,0.06707763671875,2.320484016375942,0.1727294921875,7.41796875,0.074462890625,0.022247314453125,1.2708642824277918,0.00467681884765625,6.70703125,0.0036792755126953125,0.0006961822509765625
13,train,baseline,0.3595280945301056,81.875,81.875,1.306640625,1.74609375,1.74609375,103,10,4.947738654442627,5.32421875,7.41015625,1.2177734375,0.28125,,,0.10902056970134597,10.086825667978513,2.563472392503777,0.06793212890625,7.75390625,0.0265045166015625,0.00861358642578125,2.9309428088276515,0.78369140625,6.6875,0.267333984375,0.09490966796875,2.3208749086533187,0.51806640625,6.609375,0.2232666015625,0.0677490234375,2.320484016375942,0.1761474609375,7.29296875,0.075927734375,0.023040771484375,1.2708642824277918,0.004863739013671875,6.5859375,0.0038280487060546875,0.0007371902465820312
14,train,baseline,0.35207632184028625,81.9375,81.9375,1.3701171875,1.744140625,1.744140625,101,10,4.792809044226781,5.30859375,7.39453125,1.267578125,0.281982421875,,,0.11472257237648009,10.086825667978504,2.563472392503777,0.0684814453125,7.734375,0.0267181396484375,0.008697509765625,2.9309428088276523,0.787109375,6.6640625,0.2685546875,0.09552001953125,2.3208749086533187,0.51806640625,6.59375,0.2232666015625,0.06793212890625,2.320484016375942,0.1807861328125,7.26953125,0.077880859375,0.0236968994140625,1.2708642824277918,0.0052032470703125,6.5703125,0.004093170166015625,0.0007905960083007812
15,train,baseline,0.3408094644546509,82.875,82.875,1.3544921875,1.7548828125,1.7548828125,99,10,4.8715183460608795,5.30859375,7.4375,1.2734375,0.2861328125,,,0.1274070429733616,10.086825667978516,2.563472392503777,0.0677490234375,7.73828125,0.02642822265625,0.00860595703125,2.9309428088276515,0.78759765625,6.6640625,0.268798828125,0.0955810546875,2.3208749086533187,0.51806640625,6.59375,0.2232666015625,0.06787109375,2.320484016375942,0.1756591796875,7.27734375,0.07568359375,0.0230255126953125,1.2708642824277918,0.005123138427734375,6.5703125,0.004032135009765625,0.0007781982421875
16,train,baseline,0.3346250653266907,83.375,83.375,1.447265625,1.759765625,1.759765625,98,10,4.76801928323123,5.34765625,7.453125,1.294921875,0.281982421875,,,0.11378609543881825,10.086825667978502,2.563472392503777,0.06658935546875,7.78125,0.025970458984375,0.00841522216796875,2.9309428088276523,0.79541015625,6.69140625,0.271240234375,0.0960693359375,2.3208749086533187,0.53173828125,6.60546875,0.2291259765625,0.0693359375,2.320484016375942,0.177490234375,7.31640625,0.07647705078125,0.0231475830078125,1.2708642824277918,0.004962921142578125,6.609375,0.0039043426513671875,0.0007495880126953125
17,train,baseline,0.33250895142555237,83.5,83.5,1.3828125,1.767578125,1.767578125,94,10,4.699713395752818,5.20703125,7.47265625,1.32421875,0.302978515625,,,0.1187751264924886,10.08682566797851,2.563472392503777,0.06878662109375,7.63671875,0.026824951171875,0.00885009765625,2.9309428088276515,0.791015625,6.55859375,0.27001953125,0.09722900390625,2.3208749086533187,0.5322265625,6.46484375,0.2293701171875,0.07073974609375,2.320484016375942,0.1826171875,7.1640625,0.0787353515625,0.024261474609375,1.2708642824277918,0.0051116943359375,6.46875,0.00402069091796875,0.0007886886596679688
18,train,baseline,0.3196203410625458,84.5625,84.5625,1.294921875,1.7587890625,1.7587890625,90,10,4.651352028085757,5.00390625,7.453125,1.349609375,0.32861328125,,,0.12635358857280302,10.086825667978516,2.563472392503777,0.07220458984375,7.421875,0.0281524658203125,0.0095367431640625,2.9309428088276515,0.79736328125,6.33984375,0.27197265625,0.1004638671875,2.3208749086533187,0.5283203125,6.265625,0.2276611328125,0.0721435546875,2.320484016375942,0.18017578125,6.96484375,0.07763671875,0.02459716796875,1.2708642824277918,0.0053558349609375,6.26171875,0.004215240478515625,0.0008535385131835938
19,train,baseline,0.320112407207489,84.0625,84.0625,1.3466796875,1.7490234375,1.7490234375,84,10,4.499989371246354,4.984375,7.42578125,1.376953125,0.328369140625,,,0.12130325507593123,10.086825667978497,2.563472392503777,0.07135009765625,7.40625,0.02783203125,0.00945281982421875,2.9309428088276523,0.80419921875,6.30859375,0.2744140625,0.10162353515625,2.3208749086533187,0.53125,6.24609375,0.2288818359375,0.07269287109375,2.320484016375942,0.177734375,6.94921875,0.07659912109375,0.0243377685546875,1.2708642824277918,0.005466461181640625,6.24609375,0.004302978515625,0.000873565673828125
20,train,baseline,0.30302926898002625,84.6875,84.6875,1.357421875,1.7607421875,1.7607421875,86,10,4.542980712454398,4.9921875,7.45703125,1.396484375,0.33056640625,,,0.12606817877926035,10.0868256679785,2.563472392503777,0.072021484375,7.41015625,0.0280914306640625,0.00952911376953125,2.9309428088276515,0.8017578125,6.3203125,0.273681640625,0.1011962890625,2.3208749086533187,0.54248046875,6.2265625,0.233642578125,0.07415771484375,2.320484016375942,0.1795654296875,6.953125,0.077392578125,0.024566650390625,1.2708642824277918,0.005245208740234375,6.25390625,0.00412750244140625,0.0008373260498046875
21,train,baseline,0.29883307218551636,85.3125,85.3125,1.349609375,1.7705078125,1.7705078125,77,10,4.4807003710785285,4.90234375,7.484375,1.42578125,0.344970703125,,,0.13102336065292902,10.086825667978504,2.563472392503777,0.07257080078125,7.3203125,0.0283050537109375,0.0097198486328125,2.9309428088276515,0.79931640625,6.234375,0.272705078125,0.10205078125,2.3208749086533187,0.541015625,6.140625,0.233154296875,0.07489013671875,2.320484016375942,0.1796875,6.86328125,0.07745361328125,0.0248870849609375,1.2708642824277918,0.00574493408203125,6.16015625,0.004520416259765625,0.0009307861328125
