epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_shape_nn,mutual_info_msg_shape_nn,variation_of_info_msg_shape_nn,proficiency_msg_shape_nn,redundancy_msg_shape_nn,entropy_color_nn,mutual_info_msg_color_nn,variation_of_info_msg_color_nn,proficiency_msg_color_nn,redundancy_msg_color_nn,entropy_xpos_nn,mutual_info_msg_xpos_nn,variation_of_info_msg_xpos_nn,proficiency_msg_xpos_nn,redundancy_msg_xpos_nn,entropy_ypos_nn,mutual_info_msg_ypos_nn,variation_of_info_msg_ypos_nn,proficiency_msg_ypos_nn,redundancy_msg_ypos_nn,entropy_rotation_nn,mutual_info_msg_rotation_nn,variation_of_info_msg_rotation_nn,proficiency_msg_rotation_nn,redundancy_msg_rotation_nn,topsim_nn
1,train,noise,1.270546793937683,38.125,39.28125,0.85009765625,0.83154296875,1.103515625,91,10,3.6087594193899806,3.14453125,3.609375,0.6318359375,0.12890625,,,0.08736993373408199,10.086825667978513,2.563472392503777,0.00855255126953125,5.69140625,0.0033359527587890625,0.0014982223510742188,2.9309428088276515,0.059173583984375,5.95703125,0.0201873779296875,0.00974273681640625,2.3208749086533187,0.2529296875,4.9609375,0.1090087890625,0.046295166015625,2.320484016375942,0.0030918121337890625,5.45703125,0.0013322830200195312,0.0005660057067871094,1.2708642824277918,0.0008916854858398438,4.4140625,0.0007014274597167969,0.00020194053649902344,91,10,0.7548828125,3.922796422678342,3.861328125,4.6015625,0.160400390625,,,2.563472392503777,0.013641357421875,6.3984375,0.005321502685546875,0.0021228790283203125,2.9309428088276515,0.0966796875,6.6015625,0.032989501953125,0.01422882080078125,2.3208749086533187,0.46728515625,5.25,0.2012939453125,0.0755615234375,2.320484016375942,0.00527191162109375,6.171875,0.0022716522216796875,0.0008525848388671875,1.2708642824277918,0.00145721435546875,5.12890625,0.0011472702026367188,0.00028395652770996094,0.1402865231301738
2,train,noise,0.9829129576683044,54.15625,57.0625,1.19921875,0.9052734375,1.197265625,88,10,3.0333741965031527,2.916015625,3.86328125,0.79150390625,0.2454833984375,,,0.11325295091469777,10.086825667978491,2.563472392503777,0.016571044921875,5.4453125,0.006465911865234375,0.003025054931640625,2.9309428088276523,0.132568359375,5.58203125,0.04522705078125,0.022674560546875,2.3208749086533187,0.3974609375,4.44140625,0.171142578125,0.07586669921875,2.320484016375942,0.0256195068359375,5.18359375,0.01103973388671875,0.004894256591796875,1.2708642824277918,0.002658843994140625,4.1796875,0.0020904541015625,0.0006351470947265625,90,10,0.9970703125,2.9881637144182194,3.359375,4.87890625,0.3115234375,,,2.563472392503777,0.025970458984375,5.87109375,0.0101318359375,0.00438690185546875,2.9309428088276523,0.2071533203125,5.875,0.0706787109375,0.032928466796875,2.3208749086533187,0.7236328125,4.23046875,0.311767578125,0.12744140625,2.320484016375942,0.03839111328125,5.6015625,0.01654052734375,0.0067596435546875,1.2708642824277918,0.004238128662109375,4.62109375,0.0033359527587890625,0.00091552734375,0.15662229304466152
3,train,noise,0.8092314600944519,63.625,66.875,1.6220703125,1.0673828125,1.41015625,89,10,3.455203983324097,3.625,4.37890625,0.970703125,0.1722412109375,,,0.11212579978334031,10.086825667978504,2.563472392503777,0.013031005859375,6.1640625,0.0050811767578125,0.002105712890625,2.9309428088276515,0.09539794921875,6.36328125,0.03253173828125,0.01454925537109375,2.3208749086533187,0.464111328125,5.015625,0.199951171875,0.07806396484375,2.320484016375942,0.04595947265625,5.8515625,0.019805908203125,0.00772857666015625,1.2708642824277918,0.003437042236328125,4.890625,0.002704620361328125,0.0007023811340332031,86,10,1.232421875,3.2816777485725233,4.23046875,5.4453125,0.2235107421875,,,2.563472392503777,0.0231475830078125,6.74609375,0.009033203125,0.0034084320068359375,2.9309428088276515,0.1644287109375,6.83203125,0.056121826171875,0.0229644775390625,2.3208749086533187,0.8359375,4.87890625,0.3603515625,0.127685546875,2.320484016375942,0.06744384765625,6.4140625,0.0290679931640625,0.0102996826171875,1.2708642824277918,0.005283355712890625,5.48828125,0.00415802001953125,0.0009603500366210938,0.17384455102649804
4,train,noise,0.7342387437820435,66.0,69.8125,1.7353515625,1.1162109375,1.5078125,86,10,3.5600813663630646,3.81640625,4.60546875,1.0166015625,0.1715087890625,,,0.11255967365068352,10.086825667978498,2.563472392503777,0.01482391357421875,6.34765625,0.0057830810546875,0.002323150634765625,2.9309428088276515,0.0980224609375,6.55078125,0.033447265625,0.0145263671875,2.3208749086533187,0.51220703125,5.11328125,0.220703125,0.08349609375,2.320484016375942,0.04351806640625,6.05078125,0.0187530517578125,0.007091522216796875,1.2708642824277918,0.003204345703125,5.08203125,0.002521514892578125,0.0006299018859863281,83,10,1.3115234375,3.3977916805576998,4.39453125,5.68359375,0.2265625,,,2.563472392503777,0.026641845703125,6.90625,0.0103912353515625,0.0038280487060546875,2.9309428088276515,0.1712646484375,6.984375,0.058441162109375,0.02337646484375,2.3208749086533187,0.9169921875,4.8828125,0.39501953125,0.136474609375,2.320484016375942,0.06304931640625,6.58984375,0.02716064453125,0.0093841552734375,1.2708642824277918,0.004856109619140625,5.65625,0.0038204193115234375,0.0008568763732910156,0.16990009047500335
5,train,noise,0.6939923763275146,68.0625,71.875,1.9287109375,1.216796875,1.6318359375,83,10,3.6735626742863374,4.01953125,4.87109375,1.109375,0.1746826171875,,,0.12845474880652138,10.086825667978507,2.563472392503777,0.01468658447265625,6.5546875,0.00572967529296875,0.002231597900390625,2.9309428088276515,0.0977783203125,6.7578125,0.033355712890625,0.01406097412109375,2.3208749086533187,0.5302734375,5.28125,0.2283935546875,0.0836181640625,2.320484016375942,0.04644775390625,6.25,0.02001953125,0.00732421875,1.2708642824277918,0.0034027099609375,5.28515625,0.00267791748046875,0.0006432533264160156,80,10,1.427734375,3.3931591911610464,4.54296875,5.921875,0.23291015625,,,2.563472392503777,0.0274200439453125,7.05078125,0.0106964111328125,0.0038585662841796875,2.9309428088276515,0.1668701171875,7.140625,0.056915283203125,0.0223236083984375,2.3208749086533187,0.92919921875,5.00390625,0.400390625,0.1353759765625,2.320484016375942,0.06805419921875,6.7265625,0.0293426513671875,0.009918212890625,1.2708642824277918,0.00537872314453125,5.80078125,0.00423431396484375,0.0009255409240722656,0.20255584164645954
6,train,noise,0.6470717787742615,70.625,75.0,2.02734375,1.2451171875,1.666015625,88,10,3.8863929631762724,4.15234375,4.9453125,1.1171875,0.159912109375,,,0.12000985793706807,10.086825667978502,2.563472392503777,0.01456451416015625,6.6875,0.00568389892578125,0.0021686553955078125,2.9309428088276515,0.0968017578125,6.890625,0.03302001953125,0.01366424560546875,2.3208749086533187,0.5576171875,5.359375,0.240234375,0.08612060546875,2.320484016375942,0.03814697265625,6.3984375,0.0164337158203125,0.005889892578125,1.2708642824277918,0.003200531005859375,5.41796875,0.0025177001953125,0.0005898475646972656,80,10,1.435546875,3.6253233123411124,4.70703125,5.99609375,0.21533203125,,,2.563472392503777,0.0277252197265625,7.21484375,0.0108184814453125,0.003814697265625,2.9309428088276515,0.1641845703125,7.30859375,0.0560302734375,0.0214996337890625,2.3208749086533187,0.974609375,5.078125,0.419921875,0.138671875,2.320484016375942,0.056243896484375,6.9140625,0.0242462158203125,0.00800323486328125,1.2708642824277918,0.00537872314453125,5.96484375,0.004230499267578125,0.0008997917175292969,0.16783931365028465
7,train,noise,0.6089274287223816,72.125,75.9375,2.064453125,1.279296875,1.7021484375,79,10,3.96578799774898,4.24609375,5.01953125,1.138671875,0.1536865234375,,,0.11319111229924951,10.086825667978516,2.563472392503777,0.01605224609375,6.77734375,0.006259918212890625,0.00235748291015625,2.9309428088276515,0.1004638671875,6.9765625,0.034271240234375,0.01399993896484375,2.3208749086533187,0.556640625,5.453125,0.23974609375,0.084716796875,2.320484016375942,0.039459228515625,6.48828125,0.016998291015625,0.006008148193359375,1.2708642824277918,0.0033473968505859375,5.51171875,0.0026340484619140625,0.000606536865234375,78,10,1.4521484375,3.7000568130639335,4.80078125,6.06640625,0.20849609375,,,2.563472392503777,0.0309906005859375,7.3046875,0.01209259033203125,0.004207611083984375,2.9309428088276515,0.168212890625,7.39453125,0.057403564453125,0.021759033203125,2.3208749086533187,0.97216796875,5.1796875,0.418701171875,0.136474609375,2.320484016375942,0.05975341796875,7.00390625,0.0257415771484375,0.008392333984375,1.2708642824277918,0.0057525634765625,6.0625,0.004528045654296875,0.0009474754333496094,0.18302558265191204
8,train,noise,0.5864406228065491,73.25,77.625,2.076171875,1.275390625,1.7119140625,78,10,4.150657820430198,4.3046875,5.0390625,1.1240234375,0.145751953125,,,0.08981890793212093,10.086825667978504,2.563472392503777,0.0176239013671875,6.83203125,0.00687408447265625,0.0025653839111328125,2.930942808827651,0.1063232421875,7.0234375,0.036285400390625,0.0146942138671875,2.3208749086533187,0.56591796875,5.4921875,0.243896484375,0.08544921875,2.320484016375942,0.038482666015625,6.546875,0.0165863037109375,0.005809783935546875,1.2708642824277918,0.003253936767578125,5.5703125,0.0025615692138671875,0.000583648681640625,73,10,1.431640625,3.9307606743535617,4.8671875,6.08203125,0.199951171875,,,2.563472392503777,0.034912109375,7.359375,0.01361846923828125,0.00469970703125,2.930942808827651,0.1761474609375,7.4453125,0.060089111328125,0.0225830078125,2.3208749086533187,0.98291015625,5.22265625,0.42333984375,0.13671875,2.320484016375942,0.0574951171875,7.0703125,0.0247802734375,0.00800323486328125,1.2708642824277918,0.005916595458984375,6.125,0.0046539306640625,0.0009641647338867188,0.1476247851982919
9,train,noise,0.5632730722427368,73.625,77.5,2.130859375,1.3212890625,1.740234375,81,10,4.295082690946268,4.37109375,5.08984375,1.146484375,0.14111328125,,,0.12404018492066511,10.086825667978506,2.563472392503777,0.01885986328125,6.8984375,0.007358551025390625,0.002719879150390625,2.9309428088276515,0.1094970703125,7.0859375,0.037353515625,0.01499176025390625,2.3208749086533187,0.5615234375,5.5703125,0.2418212890625,0.0838623046875,2.320484016375942,0.039031982421875,6.61328125,0.016815185546875,0.005832672119140625,1.2708642824277918,0.0038700103759765625,5.63671875,0.00304412841796875,0.0006856918334960938,76,10,1.4384765625,4.04692486755642,4.91796875,6.109375,0.194580078125,,,2.563472392503777,0.040283203125,7.40234375,0.015716552734375,0.005382537841796875,2.9309428088276515,0.1798095703125,7.4921875,0.06134033203125,0.02288818359375,2.3208749086533187,0.9658203125,5.30859375,0.416015625,0.1334228515625,2.320484016375942,0.057861328125,7.125,0.024932861328125,0.00798797607421875,1.2708642824277918,0.007617950439453125,6.17578125,0.0059967041015625,0.0012302398681640625,0.16773919158835837
10,train,noise,0.5568495988845825,74.5625,78.6875,2.123046875,1.3037109375,1.7431640625,77,10,4.340240769370078,4.359375,5.09765625,1.1259765625,0.1448974609375,,,0.10573732363529983,10.086825667978507,2.563472392503777,0.01904296875,6.8828125,0.0074310302734375,0.0027523040771484375,2.9309428088276515,0.11358642578125,7.0625,0.03875732421875,0.01558685302734375,2.3208749086533187,0.5810546875,5.515625,0.25048828125,0.08697509765625,2.320484016375942,0.034393310546875,6.609375,0.01482391357421875,0.00514984130859375,1.2708642824277918,0.003826141357421875,5.62109375,0.0030117034912109375,0.0006799697875976562,73,10,1.4306640625,4.115759844004137,4.890625,6.12109375,0.20068359375,,,2.563472392503777,0.040191650390625,7.375,0.0156707763671875,0.005390167236328125,2.9309428088276515,0.18505859375,7.453125,0.0631103515625,0.023651123046875,2.3208749086533187,0.99658203125,5.21875,0.429443359375,0.13818359375,2.320484016375942,0.05047607421875,7.109375,0.021759033203125,0.006999969482421875,1.2708642824277918,0.007404327392578125,6.1484375,0.005825042724609375,0.001201629638671875,0.1746372802966372
