epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.5829294323921204,71.75,75.125,1.94921875,1.587890625,1.9853515625,91,10,4.614529188098268,4.90625,5.86328125,1.3974609375,0.16357421875,,,0.22899581628472945,8.60268638224153,1.583984375,10.3359375,0.18408203125,0.11724853515625,3.4684406371171503,1.0341796875,6.3046875,0.298095703125,0.12347412109375,91,10,1.685546875,4.137464138146482,4.875,6.33984375,0.231201171875,,,8.60268638224153,2.068359375,9.34375,0.2403564453125,0.1534423828125,3.4684406371171503,1.3349609375,5.671875,0.384765625,0.1600341796875,0.330650019322874
2,train,noise,0.34856751561164856,82.5,85.875,2.32421875,1.6015625,2.0,61,10,4.642584746395958,4.828125,5.86328125,1.439453125,0.1767578125,,,0.24011786011197217,8.596031297111958,1.8603515625,9.703125,0.2164306640625,0.1385498046875,3.4924582165750127,1.1708984375,5.98046875,0.335205078125,0.1407470703125,52,10,1.748046875,4.012439722701409,4.734375,6.33984375,0.253173828125,,,8.596031297111958,2.41796875,8.4921875,0.28125,0.181396484375,3.4924582165750127,1.5048828125,5.21875,0.430908203125,0.182861328125,0.33807785785435734
3,train,noise,0.2868780791759491,85.75,89.1875,2.45703125,1.6015625,2.0,51,10,4.611343093704189,4.76171875,5.86328125,1.46484375,0.1883544921875,,,0.22918520578743212,8.593291637851472,1.9775390625,9.3984375,0.2301025390625,0.1480712890625,3.4708648169830636,1.2265625,5.77734375,0.353271484375,0.14892578125,44,10,1.7861328125,3.925814687945498,4.625,6.33984375,0.270263671875,,,8.593291637851472,2.5625,8.09375,0.29833984375,0.19384765625,3.4708648169830636,1.5712890625,4.953125,0.45263671875,0.194091796875,0.3192183972959349
4,train,noise,0.2556830942630768,87.1875,90.5,2.5234375,1.6005859375,2.0,45,10,4.626077479341711,4.7265625,5.86328125,1.4814453125,0.193603515625,,,0.2166980041349387,8.592808536985228,2.0625,9.1953125,0.239990234375,0.15478515625,3.4854745161127667,1.265625,5.68359375,0.36328125,0.1541748046875,37,10,1.814453125,3.919326013246581,4.57421875,6.33984375,0.278564453125,,,8.592808536985228,2.671875,7.8203125,0.31103515625,0.2030029296875,3.4854745161127667,1.6201171875,4.8203125,0.464599609375,0.200927734375,0.3193686782791844
5,train,noise,0.23817145824432373,87.875,91.5,2.572265625,1.599609375,2.0,46,10,4.587866590678498,4.67578125,5.86328125,1.50390625,0.20263671875,,,0.20762955220115328,8.592685101324404,2.138671875,8.9921875,0.2490234375,0.1612548828125,3.475883247109394,1.28515625,5.58203125,0.369873046875,0.15771484375,36,10,1.8515625,3.8465366478942067,4.4921875,6.33984375,0.29150390625,,,8.592685101324404,2.771484375,7.54296875,0.322509765625,0.2117919921875,3.475883247109394,1.642578125,4.68359375,0.47265625,0.2061767578125,0.32771071819350384
6,train,noise,0.22392287850379944,88.6875,92.125,2.611328125,1.6025390625,2.0,43,10,4.53914804263397,4.62890625,5.86328125,1.5234375,0.2103271484375,,,0.23191092156990348,8.594993809145537,2.20703125,8.8125,0.2568359375,0.1668701171875,3.502119754655473,1.30078125,5.53125,0.37158203125,0.1600341796875,34,10,1.8759765625,3.772973073230514,4.41796875,6.33984375,0.302978515625,,,8.594993809145537,2.859375,7.296875,0.33251953125,0.2196044921875,3.502119754655473,1.662109375,4.59765625,0.474609375,0.2098388671875,0.32646660422099755
7,train,noise,0.21457332372665405,89.25,92.6875,2.65234375,1.6005859375,2.0,41,10,4.526208088908799,4.62109375,5.86328125,1.52734375,0.2122802734375,,,0.2138192078347487,8.59525917375376,2.251953125,8.7109375,0.261962890625,0.17041015625,3.479330671799036,1.3134765625,5.47265625,0.37744140625,0.1622314453125,32,10,1.8857421875,3.7454813481952436,4.3984375,6.33984375,0.30615234375,,,8.59525917375376,2.912109375,7.16796875,0.3388671875,0.22412109375,3.479330671799036,1.67578125,4.52734375,0.481689453125,0.2127685546875,0.3233630063011405
8,train,noise,0.20294830203056335,89.8125,93.25,2.673828125,1.6015625,2.0,44,10,4.532062041877475,4.59765625,5.86328125,1.5283203125,0.2156982421875,,,0.2204890956128576,8.597431839516869,2.271484375,8.65625,0.26416015625,0.172119140625,3.488542454638846,1.3076171875,5.47265625,0.375,0.1617431640625,35,10,1.88671875,3.7465301836792615,4.3671875,6.33984375,0.310791015625,,,8.597431839516869,2.939453125,7.08984375,0.341796875,0.2266845703125,3.488542454638846,1.669921875,4.51953125,0.478759765625,0.2125244140625,0.33681359953444107
9,train,noise,0.1959630250930786,90.1875,93.5625,2.712890625,1.6015625,2.0,43,10,4.516310840782509,4.59375,5.86328125,1.5322265625,0.2169189453125,,,0.2197042817736247,8.59473432082204,2.29296875,8.6015625,0.266845703125,0.173828125,3.4940530221593837,1.3125,5.4609375,0.375732421875,0.162353515625,34,10,1.892578125,3.7253104300760533,4.35546875,6.33984375,0.312744140625,,,8.59473432082204,2.96484375,7.01953125,0.344970703125,0.22900390625,3.4940530221593837,1.6767578125,4.49609375,0.479736328125,0.2135009765625,0.3235818790882678
10,train,noise,0.18966281414031982,90.5625,94.0,2.740234375,1.6025390625,2.0,40,10,4.515613598957412,4.58984375,5.86328125,1.533203125,0.21728515625,,,0.22262728133037973,8.593729979228774,2.298828125,8.5859375,0.267578125,0.1744384765625,3.462954249112045,1.318359375,5.41796875,0.380615234375,0.1636962890625,32,10,1.892578125,3.7236682980550793,4.35546875,6.33984375,0.31298828125,,,8.593729979228774,2.97265625,7.00390625,0.345947265625,0.2294921875,3.462954249112045,1.6826171875,4.453125,0.48583984375,0.2152099609375,0.33664922616215964
11,train,noise,0.18369637429714203,90.875,94.1875,2.755859375,1.603515625,2.0,42,10,4.516018880964006,4.58984375,5.86328125,1.533203125,0.2171630859375,,,0.2157584760983653,8.595699844950138,2.302734375,8.578125,0.267822265625,0.174560546875,3.476164475074387,1.3125,5.44140625,0.377685546875,0.1627197265625,33,10,1.890625,3.731640240696038,4.35546875,6.33984375,0.312744140625,,,8.595699844950138,2.978515625,6.99609375,0.346435546875,0.22998046875,3.476164475074387,1.6767578125,4.48046875,0.482177734375,0.2139892578125,0.33313311316478844
12,train,noise,0.18226510286331177,90.8125,94.3125,2.76171875,1.599609375,2.0,38,10,4.5063751639590155,4.6015625,5.86328125,1.5322265625,0.2156982421875,,,0.22616957651753536,8.597353505952867,2.3125,8.5703125,0.26904296875,0.17529296875,3.4865004483636888,1.3037109375,5.4765625,0.3740234375,0.1612548828125,32,10,1.89453125,3.7139674292307716,4.3671875,6.33984375,0.31103515625,,,8.597353505952867,2.994140625,6.9765625,0.34814453125,0.2308349609375,3.4865004483636888,1.666015625,4.5234375,0.477783203125,0.2120361328125,0.3354598400767537
13,train,noise,0.17724838852882385,91.1875,94.6875,2.775390625,1.599609375,2.0,41,10,4.511325969898532,4.6015625,5.86328125,1.5322265625,0.215576171875,,,0.21027567203604217,8.598203835634294,2.3125,8.5703125,0.26904296875,0.17529296875,3.4951104554064503,1.306640625,5.48046875,0.373779296875,0.161376953125,31,10,1.8955078125,3.7136181824375893,4.37109375,6.33984375,0.310791015625,,,8.598203835634294,2.99609375,6.9765625,0.348388671875,0.23095703125,3.4951104554064503,1.669921875,4.5234375,0.47802734375,0.21240234375,0.31862763004203537
14,train,noise,0.17586730420589447,91.3125,94.75,2.771484375,1.6025390625,2.0,44,10,4.505296727455395,4.59765625,5.86328125,1.53515625,0.2159423828125,,,0.21527364223938766,8.587976665700234,2.328125,8.53125,0.271240234375,0.1766357421875,3.467974047464448,1.3251953125,5.4140625,0.382080078125,0.164306640625,36,10,1.8955078125,3.7123088748908804,4.3671875,6.33984375,0.311279296875,,,8.587976665700234,3.017578125,6.921875,0.351318359375,0.23291015625,3.467974047464448,1.6962890625,4.44140625,0.489013671875,0.216552734375,0.3295045818387528
15,train,noise,0.1677587777376175,91.75,95.0625,2.76953125,1.603515625,2.0,43,10,4.50905736480084,4.6171875,5.86328125,1.537109375,0.212646484375,,,0.2203474357760574,8.59407119909896,2.318359375,8.5703125,0.269775390625,0.175537109375,3.4749837226834703,1.3115234375,5.46875,0.37744140625,0.162109375,36,10,1.8955078125,3.71851734476363,4.39453125,6.33984375,0.306640625,,,8.59407119909896,3.0078125,6.9765625,0.349853515625,0.2315673828125,3.4749837226834703,1.6796875,4.51171875,0.4833984375,0.21337890625,0.33517111391328924
16,train,noise,0.16703401505947113,91.75,95.25,2.771484375,1.5986328125,2.0,45,10,4.51164655133734,4.62109375,5.86328125,1.533203125,0.2119140625,,,0.2145567310909182,8.59358506485284,2.326171875,8.5625,0.270751953125,0.176025390625,3.498042659427403,1.296875,5.52734375,0.370849609375,0.15966796875,36,10,1.896484375,3.719782281499888,4.40234375,6.33984375,0.305419921875,,,8.59358506485284,3.01953125,6.95703125,0.351318359375,0.2322998046875,3.498042659427403,1.662109375,4.578125,0.47509765625,0.2103271484375,0.3319442554139815
17,train,noise,0.16226665675640106,91.9375,95.3125,2.775390625,1.599609375,2.0,45,10,4.527402381300784,4.6328125,5.86328125,1.5302734375,0.2100830078125,,,0.2309052380406549,8.599341286892132,2.32421875,8.5859375,0.270263671875,0.1756591796875,3.47855852207528,1.279296875,5.55078125,0.36767578125,0.15771484375,37,10,1.890625,3.7478038915636005,4.421875,6.33984375,0.302734375,,,8.599341286892132,3.017578125,6.984375,0.350830078125,0.2318115234375,3.47855852207528,1.640625,4.6171875,0.471435546875,0.2076416015625,0.3319393546475349
18,train,noise,0.15889036655426025,92.1875,95.5625,2.78125,1.6015625,2.0,43,10,4.541668818726713,4.6328125,5.86328125,1.529296875,0.2100830078125,,,0.2241282776153339,8.596020021921829,2.328125,8.5703125,0.270751953125,0.176025390625,3.463260844988494,1.2802734375,5.53515625,0.36962890625,0.158203125,33,10,1.888671875,3.7635460254164874,4.421875,6.33984375,0.302734375,,,8.596020021921829,3.0234375,6.96875,0.3515625,0.232177734375,3.463260844988494,1.642578125,4.59765625,0.474365234375,0.2083740234375,0.32468461938801574
19,train,noise,0.157651886343956,92.1875,95.6875,2.787109375,1.599609375,2.0,48,10,4.539323565781408,4.6328125,5.86328125,1.529296875,0.209716796875,,,0.20230270777873255,8.593045985840307,2.32421875,8.578125,0.2705078125,0.1756591796875,3.4600420471503694,1.2802734375,5.53515625,0.3701171875,0.158203125,40,10,1.890625,3.762082976254081,4.42578125,6.33984375,0.302001953125,,,8.593045985840307,3.021484375,6.9765625,0.3515625,0.2320556640625,3.4600420471503694,1.6435546875,4.59765625,0.474853515625,0.2083740234375,0.3219576026392023
20,train,noise,0.15403108298778534,92.4375,95.8125,2.791015625,1.6015625,2.0,46,10,4.532277450446547,4.62890625,5.86328125,1.533203125,0.210693359375,,,0.23168050335267729,8.596745348790572,2.330078125,8.5625,0.27099609375,0.1761474609375,3.4656684408677445,1.2705078125,5.5546875,0.36669921875,0.156982421875,41,10,1.892578125,3.754996760897316,4.41796875,6.33984375,0.30322265625,,,8.596745348790572,3.029296875,6.953125,0.3525390625,0.2327880859375,3.4656684408677445,1.630859375,4.62109375,0.470703125,0.2069091796875,0.32833893869249403
