epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.5085466504096985,74.3125,74.6875,1.1015625,2.8671875,2.8671875,6176,11,7.397623460495353,7.9140625,12.1640625,1.7509765625,0.349365234375,,,0.32559739362023726,8.593660251311206,2.8515625,10.8046875,0.331787109375,0.1727294921875,3.476278521409299,1.4755859375,8.4375,0.424560546875,0.1295166015625,4192,10,1.9384765625,6.4661584695016545,6.95703125,11.71875,0.406494140625,,,8.593660251311206,2.880859375,9.7890625,0.335205078125,0.185302734375,3.476278521409299,1.4853515625,7.4609375,0.42724609375,0.142333984375,0.33359334762644527
2,train,noise,0.29372721910476685,85.125,85.5625,1.689453125,3.0625,3.0625,2311,11,6.630440786122114,8.1796875,12.84375,2.02734375,0.363037109375,,,0.24358399867911623,8.59614765270062,3.078125,10.6171875,0.358154296875,0.1834716796875,3.501393430010666,1.5615234375,8.5625,0.446044921875,0.1336669921875,1038,10,2.26953125,5.462742922633108,7.125,12.359375,0.423828125,,,8.59614765270062,3.13671875,9.4453125,0.364990234375,0.1995849609375,3.501393430010666,1.58203125,7.4609375,0.451904296875,0.14892578125,0.25430378271722986
3,train,noise,0.22314174473285675,89.0,89.5,1.8232421875,3.1796875,3.1796875,2715,11,7.019068434138816,8.6015625,13.0390625,1.9873046875,0.33984375,,,0.2704613676827524,8.598836909693137,3.2109375,10.78125,0.37353515625,0.1866455078125,3.4780196471709712,1.62109375,8.8359375,0.466064453125,0.1341552734375,1186,10,2.208984375,5.831861632927693,7.55078125,12.546875,0.39794921875,,,8.598836909693137,3.27734375,9.59375,0.381103515625,0.202880859375,3.4780196471709712,1.6435546875,7.7421875,0.47265625,0.1490478515625,0.2752490455909314
4,train,noise,0.18704980611801147,90.6875,91.1875,1.890625,3.2109375,3.2109375,2287,11,6.990778946164541,8.3359375,13.0546875,1.9296875,0.361572265625,,,0.25326963208205766,8.59316790226236,3.3203125,10.2890625,0.386474609375,0.1961669921875,3.4752585336116057,1.6767578125,8.453125,0.482666015625,0.1419677734375,946,10,2.12890625,5.772291048318353,7.24609375,12.5625,0.42333984375,,,8.59316790226236,3.388671875,9.0625,0.394287109375,0.2138671875,3.4752585336116057,1.701171875,7.31640625,0.489501953125,0.15869140625,0.2591706034692092
5,train,noise,0.16415968537330627,91.8125,92.3125,1.9677734375,3.23046875,3.23046875,2262,11,7.0338830634921905,8.640625,13.0546875,1.9140625,0.33837890625,,,0.24610606114737285,8.594850840547807,3.38671875,10.4609375,0.39404296875,0.196533203125,3.4660999149330967,1.736328125,8.6328125,0.5009765625,0.1434326171875,882,10,2.109375,5.798248120616323,7.578125,12.5625,0.396728515625,,,8.594850840547807,3.45703125,9.2578125,0.40234375,0.2137451171875,3.4660999149330967,1.763671875,7.51953125,0.5087890625,0.15966796875,0.2504938041484952
6,train,noise,0.14597675204277039,92.75,93.25,1.9921875,3.236328125,3.236328125,2362,11,7.217755659246779,8.8515625,13.125,1.8671875,0.325927734375,,,0.26195046443556963,8.594171601688618,3.55078125,10.34375,0.4130859375,0.2034912109375,3.4716526085251314,1.818359375,8.6875,0.52392578125,0.1475830078125,930,10,2.046875,6.012196123466606,7.796875,12.6328125,0.3828125,,,8.594171601688618,3.630859375,9.1328125,0.42236328125,0.2215576171875,3.4716526085251314,1.8515625,7.56640625,0.533203125,0.164306640625,0.2658434218859491
7,train,noise,0.1297384649515152,93.6875,94.1875,1.9990234375,3.23828125,3.23828125,2045,11,7.201851185307912,8.6953125,13.1328125,1.8359375,0.337890625,,,0.26521573045850766,8.598516519316794,3.73828125,9.8125,0.4345703125,0.2161865234375,3.486316109789546,1.888671875,8.3984375,0.54150390625,0.155029296875,788,10,2.005859375,5.9752043308972596,7.61328125,12.6328125,0.397216796875,,,8.598516519316794,3.828125,8.5546875,0.4453125,0.2362060546875,3.486316109789546,1.9267578125,7.24609375,0.552734375,0.173583984375,0.27105592255794825
8,train,noise,0.11724543571472168,94.25,94.75,2.046875,3.244140625,3.244140625,1919,11,7.206988748929989,8.7109375,13.046875,1.8505859375,0.33203125,,,0.27564932546878235,8.595660055452086,3.791015625,9.7265625,0.44091796875,0.218994140625,3.4694858634296506,1.927734375,8.328125,0.5556640625,0.158203125,708,10,2.017578125,5.96473671126914,7.6484375,12.5546875,0.390869140625,,,8.595660055452086,3.884765625,8.4765625,0.451904296875,0.2391357421875,3.4694858634296506,1.9658203125,7.1875,0.56640625,0.1768798828125,0.2812946817815282
9,train,noise,0.1051483228802681,95.0,95.5,2.0859375,3.244140625,3.244140625,1682,11,7.182539579258467,8.8125,13.1015625,1.8359375,0.32763671875,,,0.27219254076251626,8.593224822908,3.833984375,9.734375,0.4462890625,0.2203369140625,3.469726558154645,1.947265625,8.3828125,0.56103515625,0.1585693359375,605,10,2.001953125,5.92634860600266,7.7421875,12.609375,0.385986328125,,,8.593224822908,3.93359375,8.46875,0.457763671875,0.2408447265625,3.469726558154645,1.9873046875,7.23828125,0.57275390625,0.17724609375,0.27971647940150857
10,train,noise,0.09469493478536606,95.625,96.0625,2.111328125,3.24609375,3.24609375,1804,11,7.256882594756062,8.9453125,13.1328125,1.849609375,0.3193359375,,,0.2692549449047131,8.59758393405705,3.921875,9.6953125,0.4560546875,0.2236328125,3.4956064751303875,2.005859375,8.4296875,0.57373046875,0.1612548828125,665,10,2.017578125,6.009125486201245,7.87890625,12.640625,0.376708984375,,,8.59758393405705,4.0234375,8.4296875,0.468017578125,0.244140625,3.4956064751303875,2.048828125,7.27734375,0.5859375,0.1800537109375,0.2726554552609221
