epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat
1,train,baseline,0.47127750515937805,77.1875,77.1875,1.2802734375,3.349609375,3.349609375,7386,10,7.458814598245836,7.75,13.265625,2.1640625,0.415771484375,,,0.29278501581035754,8.597351960949467,3.34765625,9.6484375,0.389404296875,0.204833984375,3.479076654836336,1.6259765625,7.9765625,0.46728515625,0.144775390625
2,train,baseline,0.22416840493679047,88.3125,88.3125,1.44921875,3.603515625,3.603515625,3556,10,6.8458589772104395,7.6953125,13.3515625,2.396484375,0.423828125,,,0.2770746474529694,8.593492165070222,3.67578125,8.9375,0.427734375,0.2255859375,3.4575053559047544,1.673828125,7.8046875,0.484130859375,0.1500244140625
3,train,baseline,0.18017344176769257,90.5625,90.5625,1.6669921875,3.64453125,3.64453125,2543,10,6.40238745896847,7.54296875,13.390625,2.45703125,0.4365234375,,,0.2580447498034173,8.596291591499194,3.763671875,8.609375,0.437744140625,0.233154296875,3.4784064465346005,1.7001953125,7.62109375,0.48876953125,0.1541748046875
4,train,baseline,0.14667141437530518,92.5,92.5,1.9375,3.671875,3.671875,2236,10,6.189690431168766,7.87109375,13.4140625,2.486328125,0.413330078125,,,0.271853895617666,8.593983058593079,3.939453125,8.5859375,0.45849609375,0.2392578125,3.503874114021941,1.7890625,7.796875,0.5107421875,0.1573486328125
5,train,baseline,0.11938019841909409,94.0625,94.0625,2.041015625,3.7109375,3.7109375,2055,10,6.215891875844939,7.85546875,13.5390625,2.494140625,0.419677734375,,,0.2410818748123727,8.591143619404743,4.09765625,8.25,0.476806640625,0.2491455078125,3.483974180017541,1.8603515625,7.62109375,0.53369140625,0.1640625
6,train,baseline,0.09952756017446518,95.25,95.25,2.087890625,3.744140625,3.744140625,1926,10,6.398453943219006,8.125,13.65625,2.474609375,0.405029296875,,,0.2647542878333003,8.59380905378457,4.2734375,8.171875,0.497314453125,0.255615234375,3.478779798749808,1.9501953125,7.703125,0.560546875,0.16796875
7,train,baseline,0.08494473248720169,96.0,96.0,2.126953125,3.75390625,3.75390625,1413,10,6.474425358002096,8.1953125,13.8046875,2.474609375,0.40673828125,,,0.2716109088324509,8.593240299764613,4.5078125,7.76953125,0.5244140625,0.2685546875,3.470740388458149,2.041015625,7.58203125,0.587890625,0.1749267578125
8,train,baseline,0.07475608587265015,96.4375,96.4375,2.115234375,3.7578125,3.7578125,1458,10,6.685861111215462,8.2109375,13.75,2.443359375,0.403076171875,,,0.2634536035450176,8.594797252496685,4.6484375,7.5078125,0.54052734375,0.276611328125,3.48052990952728,2.107421875,7.47265625,0.60546875,0.1802978515625
9,train,baseline,0.06623738259077072,96.875,96.875,2.103515625,3.763671875,3.763671875,1505,10,6.864647360622496,8.1015625,13.6953125,2.365234375,0.408447265625,,,0.2736388232368412,8.596059354537406,4.765625,7.1640625,0.5546875,0.285400390625,3.4749111343736203,2.142578125,7.2890625,0.61669921875,0.18505859375
10,train,baseline,0.05940024182200432,97.1875,97.1875,2.12109375,3.76953125,3.76953125,1740,10,7.056353298207113,8.2109375,13.7578125,2.34375,0.4033203125,,,0.27922340982057814,8.594789486448917,4.8671875,7.0703125,0.56640625,0.28955078125,3.477074203912061,2.1953125,7.29296875,0.63134765625,0.1878662109375
