epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.6200559139251709,70.875,73.375,1.72265625,1.6435546875,2.34375,622,10,4.692669239682718,4.7890625,6.04296875,1.4326171875,0.2071533203125,,,0.2061969120861894,8.592472771464973,1.3310546875,10.71875,0.1549072265625,0.09942626953125,3.4853807354194437,0.7509765625,6.7734375,0.2154541015625,0.0906982421875,768,10,1.9775390625,4.422179146217104,6.0703125,8.9609375,0.322509765625,,,8.592472771464973,2.4921875,9.6796875,0.2900390625,0.169921875,3.4853807354194437,1.384765625,6.7890625,0.397216796875,0.1448974609375,0.35679838955823184
2,train,noise,0.3734591603279114,82.1875,84.9375,2.11328125,1.841796875,2.626953125,320,10,5.178144295304934,4.91015625,6.1640625,1.5927734375,0.2034912109375,,,0.210145825244056,8.59574287969322,1.4736328125,10.5546875,0.1715087890625,0.109130859375,3.47891365399407,0.84033203125,6.70703125,0.2415771484375,0.10015869140625,302,10,2.19140625,4.668833351202843,6.00390625,8.90625,0.326171875,,,8.59574287969322,2.609375,9.375,0.3037109375,0.1788330078125,3.47891365399407,1.484375,6.51171875,0.4267578125,0.1566162109375,0.34658388377975585
3,train,noise,0.3166547417640686,84.8125,87.5625,2.1875,1.8466796875,2.64453125,260,10,5.257728718659671,4.8515625,6.15234375,1.6220703125,0.211181640625,,,0.229131616594175,8.59308901819891,1.5751953125,10.296875,0.183349609375,0.1171875,3.468324338683598,0.8837890625,6.5546875,0.2548828125,0.106201171875,239,10,2.248046875,4.639420023737299,5.8515625,8.8984375,0.342041015625,,,8.59308901819891,2.77734375,8.890625,0.3232421875,0.1922607421875,3.468324338683598,1.5546875,6.2109375,0.4482421875,0.166748046875,0.3605318865096169
4,train,noise,0.2814280688762665,86.6875,89.3125,2.26171875,1.8623046875,2.654296875,209,10,5.0875031419864225,4.81640625,6.203125,1.69921875,0.2232666015625,,,0.2267844565671027,8.597421456426108,1.66796875,10.078125,0.194091796875,0.1243896484375,3.473200365855508,0.95703125,6.375,0.275390625,0.11541748046875,182,10,2.365234375,4.327293647160863,5.72265625,9.0,0.3642578125,,,8.597421456426108,2.92578125,8.46875,0.34033203125,0.204345703125,3.473200365855508,1.6513671875,5.89453125,0.4755859375,0.1795654296875,0.39739933569818303
5,train,noise,0.25647687911987305,88.0,90.625,2.33203125,1.8779296875,2.681640625,180,10,5.164574406190012,4.83984375,6.28515625,1.708984375,0.2301025390625,,,0.2004204898453303,8.594646661063466,1.7353515625,9.9609375,0.201904296875,0.129150390625,3.482921711891057,0.98046875,6.36328125,0.281494140625,0.11785888671875,157,10,2.38671875,4.417126367355076,5.68359375,9.140625,0.37841796875,,,8.594646661063466,3.01171875,8.25,0.3505859375,0.2110595703125,3.482921711891057,1.66015625,5.84375,0.476806640625,0.18115234375,0.36191854350262176
6,train,noise,0.23067978024482727,88.9375,91.625,2.416015625,1.9150390625,2.72265625,190,10,5.269101746086583,4.84765625,6.35546875,1.734375,0.2373046875,,,0.24376064464942204,8.596813971184208,1.771484375,9.8984375,0.2060546875,0.1317138671875,3.4768523715699686,1.0341796875,6.2578125,0.29736328125,0.12420654296875,163,10,2.41015625,4.5651032296174,5.63671875,9.2578125,0.390869140625,,,8.596813971184208,3.05078125,8.1328125,0.35498046875,0.21435546875,3.4768523715699686,1.712890625,5.6875,0.49267578125,0.18798828125,0.40603623067838435
7,train,noise,0.21030549705028534,89.8125,92.4375,2.498046875,1.9248046875,2.7421875,189,10,5.284351451387281,4.8828125,6.38671875,1.7587890625,0.2353515625,,,0.21328006996485177,8.597282541704432,1.7978515625,9.8828125,0.209228515625,0.1334228515625,3.4649639372571888,1.0400390625,6.26953125,0.300048828125,0.12457275390625,156,10,2.455078125,4.564300461350329,5.66796875,9.296875,0.390625,,,8.597282541704432,3.0859375,8.09375,0.35888671875,0.21630859375,3.4649639372571888,1.7177734375,5.69921875,0.49560546875,0.1881103515625,0.38775305023676815
8,train,noise,0.19534625113010406,90.625,93.125,2.55078125,1.92578125,2.744140625,170,10,5.239483303811947,4.8828125,6.37109375,1.783203125,0.23388671875,,,0.20531094225378962,8.59523621117815,1.828125,9.8203125,0.212646484375,0.1356201171875,3.4869752838315295,1.03125,6.3046875,0.2958984375,0.123291015625,141,10,2.494140625,4.4620201302144205,5.671875,9.296875,0.3896484375,,,8.59523621117815,3.140625,7.984375,0.365478515625,0.22021484375,3.4869752838315295,1.71484375,5.73046875,0.491943359375,0.187255859375,0.378578036429091
9,train,noise,0.18459078669548035,91.25,93.75,2.5859375,1.931640625,2.75,150,10,5.1941435607567215,4.89453125,6.38671875,1.8115234375,0.233642578125,,,0.22046698885403454,8.598426925986928,1.861328125,9.765625,0.2164306640625,0.137939453125,3.4742646899776544,1.046875,6.2734375,0.30126953125,0.1251220703125,122,10,2.5390625,4.350013506350776,5.671875,9.296875,0.389892578125,,,8.598426925986928,3.19921875,7.875,0.3720703125,0.22412109375,3.4742646899776544,1.7392578125,5.671875,0.50048828125,0.1900634765625,0.375098968117578
10,train,noise,0.17535540461540222,91.6875,94.25,2.6171875,1.9306640625,2.75,151,10,5.166751986628612,4.93359375,6.40234375,1.8251953125,0.2293701171875,,,0.171423021634037,8.595200719846583,1.8720703125,9.78125,0.2177734375,0.138427734375,3.478561896006257,1.046875,6.3203125,0.30078125,0.1243896484375,130,10,2.564453125,4.28413450087123,5.74609375,9.3046875,0.382568359375,,,8.595200719846583,3.220703125,7.90234375,0.374755859375,0.2244873046875,3.478561896006257,1.748046875,5.73046875,0.50244140625,0.189453125,0.3567335585408705
