epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.5931761860847473,70.6875,72.125,1.78125,1.3564453125,1.3564453125,111,11,4.482974136632547,4.91015625,5.671875,0.9716796875,0.1337890625,,,0.24951795853284045,8.59870431317296,1.521484375,10.46875,0.177001953125,0.11260986328125,3.472516355478058,0.9384765625,6.5078125,0.270263671875,0.1119384765625,91,10,1.0390625,4.045785222967234,4.6171875,5.765625,0.198974609375,,,8.59870431317296,1.669921875,9.875,0.1942138671875,0.1263427734375,3.472516355478058,0.99560546875,6.1015625,0.28662109375,0.123046875,0.27637689292603757
2,train,noise,0.3708009123802185,81.6875,83.5625,2.11328125,1.3759765625,1.3759765625,74,11,4.1152692502983745,4.796875,5.66015625,0.9951171875,0.1522216796875,,,0.23288627847736149,8.598032403363836,1.7138671875,9.96875,0.19921875,0.1279296875,3.4642113297697916,1.052734375,6.15625,0.303955078125,0.12744140625,61,10,1.0546875,3.5014366911865364,4.4375,5.75390625,0.2286376953125,,,8.598032403363836,1.908203125,9.21875,0.221923828125,0.1463623046875,3.4642113297697916,1.140625,5.62109375,0.329345703125,0.1444091796875,0.2711995507881201
3,train,noise,0.3043510615825653,84.875,86.9375,2.220703125,1.3759765625,1.3759765625,58,11,4.085176288437343,4.76171875,5.6640625,1.03125,0.159423828125,,,0.2267073960330481,8.595167409141789,1.8466796875,9.6640625,0.21484375,0.1383056640625,3.4785307845718854,1.125,5.98828125,0.3232421875,0.136474609375,41,10,1.1318359375,3.397298281304132,4.36328125,5.7578125,0.2420654296875,,,8.595167409141789,2.076171875,8.8046875,0.2415771484375,0.1602783203125,3.4785307845718854,1.234375,5.375,0.354736328125,0.1573486328125,0.2616628586639606
4,train,noise,0.2709157466888428,86.4375,88.5,2.2734375,1.3798828125,1.3798828125,55,11,4.131894876059494,4.79296875,5.671875,1.048828125,0.1549072265625,,,0.278754113217689,8.60107763705607,1.9208984375,9.5546875,0.223388671875,0.1434326171875,3.481269229291366,1.1650390625,5.9453125,0.334716796875,0.140869140625,44,10,1.162109375,3.426138491341507,4.3984375,5.76953125,0.2371826171875,,,8.60107763705607,2.169921875,8.6640625,0.252197265625,0.1668701171875,3.481269229291366,1.2890625,5.3046875,0.370361328125,0.16357421875,0.30548989809287325
5,train,noise,0.2481449693441391,87.625,89.6875,2.34765625,1.388671875,1.388671875,55,11,4.222443866322852,4.828125,5.72265625,1.056640625,0.156005859375,,,0.2404405169409443,8.589851583189429,1.9921875,9.4375,0.23193359375,0.1484375,3.4864618001400736,1.201171875,5.9140625,0.344482421875,0.1444091796875,39,10,1.177734375,3.5242849720437706,4.41796875,5.8203125,0.2408447265625,,,8.589851583189429,2.26171875,8.484375,0.26318359375,0.173828125,3.4864618001400736,1.3388671875,5.2265625,0.38427734375,0.16943359375,0.29095671546510227
6,train,noise,0.23299242556095123,88.25,90.5,2.3828125,1.3916015625,1.3916015625,59,11,4.2922716442629465,4.84375,5.71484375,1.064453125,0.15283203125,,,0.24080601915452443,8.586732224336965,2.03515625,9.359375,0.2369384765625,0.1514892578125,3.4816067163588835,1.21484375,5.89453125,0.348876953125,0.14599609375,43,10,1.185546875,3.608698034892126,4.4375,5.8125,0.236572265625,,,8.586732224336965,2.310546875,8.40625,0.26904296875,0.1773681640625,3.4816067163588835,1.3544921875,5.2109375,0.388916015625,0.1710205078125,0.27061281868757453
7,train,noise,0.2204764187335968,89.0,91.3125,2.41796875,1.3974609375,1.3974609375,58,11,4.347686240332082,4.88671875,5.73046875,1.0615234375,0.1468505859375,,,0.2718274701586318,8.5934588851371,2.060546875,9.359375,0.2398681640625,0.15283203125,3.4749534197717735,1.2255859375,5.91015625,0.3525390625,0.146484375,47,10,1.177734375,3.6775663939735432,4.48828125,5.82421875,0.229736328125,,,8.5934588851371,2.349609375,8.3828125,0.2734375,0.1796875,3.4749534197717735,1.3759765625,5.2109375,0.395751953125,0.1727294921875,0.30604519529844565
8,train,noise,0.20955441892147064,89.5,91.875,2.43359375,1.4033203125,1.4033203125,61,11,4.3815137630525465,4.87109375,5.72265625,1.0751953125,0.14892578125,,,0.2379297807343591,8.596758596210954,2.095703125,9.2734375,0.2437744140625,0.155517578125,3.4749281301586232,1.2421875,5.859375,0.357421875,0.1488037109375,47,10,1.2001953125,3.7087705817209,4.45703125,5.8203125,0.23388671875,,,8.596758596210954,2.390625,8.2734375,0.278076171875,0.18310546875,3.4749281301586232,1.3974609375,5.140625,0.402099609375,0.1761474609375,0.2746803874236824
9,train,noise,0.2035079151391983,89.875,92.0625,2.427734375,1.4052734375,1.4052734375,62,11,4.392974912939024,4.9140625,5.75390625,1.08203125,0.1456298828125,,,0.2482763180714608,8.598900434750952,2.119140625,9.2734375,0.246337890625,0.15673828125,3.4831292081711016,1.2392578125,5.921875,0.355712890625,0.1475830078125,53,10,1.2138671875,3.71846369737821,4.51171875,5.8515625,0.22900390625,,,8.598900434750952,2.427734375,8.2578125,0.2822265625,0.1851806640625,3.4831292081711016,1.3984375,5.1953125,0.401611328125,0.1749267578125,0.2853784462269627
10,train,noise,0.19206079840660095,90.4375,92.625,2.43359375,1.412109375,1.412109375,70,11,4.449253683068847,4.95703125,5.78125,1.0859375,0.142578125,,,0.23385463530482167,8.597998645702782,2.146484375,9.265625,0.2496337890625,0.1583251953125,3.4734796546339366,1.2412109375,5.9453125,0.357421875,0.1473388671875,55,10,1.2177734375,3.768035893827153,4.546875,5.87890625,0.2261962890625,,,8.597998645702782,2.466796875,8.21875,0.286865234375,0.1876220703125,3.4734796546339366,1.4072265625,5.20703125,0.405029296875,0.1754150390625,0.2680511940300793
