phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.5399806499481201,74.18868255615234,5.115307807922363,16889,,,,
train,0.2680796682834625,86.19577026367188,5.4490275382995605,4888,,,,
train,0.25313422083854675,87.08545684814453,5.490602493286133,4887,,,,
train,0.23558607697486877,87.92256164550781,5.560443878173828,5524,,,,
train,0.23036320507526398,88.13495635986328,5.515256881713867,4721,,,,
val,0.3539336025714874,80.74596405029297,5.30544376373291,302,97.77544392626581,0.15619406634072372,0.09845529496669769,0.09096992015838623
val,0.31552523374557495,82.96370697021484,5.490927219390869,334,94.57110700265787,0.16493832593294802,0.06708316504955292,0.10045374184846878
val,0.30683085322380066,83.97177124023438,5.540322780609131,358,95.39207526616428,0.15741770654452839,0.04124567285180092,0.0653219148516655
val,0.212505504488945,88.60887145996094,5.581653118133545,422,98.06661989202637,0.1554344821134687,0.026563700288534164,0.0547097772359848
val,0.2318546175956726,88.1048355102539,5.576612949371338,409,96.2094423675803,0.1516694492747916,0.03467925637960434,0.06055038422346115
val (no noise),0.34278690814971924,81.65322875976562,5.30544376373291,44,97.77544392626581,0.1929085229485237,0.13490527868270874,0.10440060496330261
val (no noise),0.29277127981185913,84.375,5.490927219390869,55,94.57110700265787,0.21188784148020362,0.10059795528650284,0.09412379562854767
val (no noise),0.29680392146110535,85.78629302978516,5.540322780609131,63,95.39207526616428,0.20039392390105312,0.04526210576295853,0.0737454742193222
val (no noise),0.18841838836669922,89.91935729980469,5.581653118133545,68,98.06661989202637,0.21530451066908096,0.03672894090414047,0.05334821343421936
val (no noise),0.2126675248146057,89.01210021972656,5.576612949371338,62,96.2094423675803,0.21015862051021542,0.048622407019138336,0.044950053095817566
