epoch,phase,loss,accuracy,length,message,message_nn,message_entropy,message_entropy_nn,symbol_entropy,symbol_entropy_nn,lexicon_size,actual_vocab_size,max_rep,topsim,topsim_cat
1,train,0.8754244446754456,45.15625,2.986328125,0.09088134765625,0.0999755859375,9.625,9.625,1.8037109375,1.8037109375,18455,11,0.77587890625,,
2,train,0.4324124753475189,60.15625,3.455078125,0.09088134765625,0.0999755859375,9.3359375,9.3359375,1.771484375,1.771484375,15674,11,1.0595703125,,
3,train,0.36300772428512573,62.65625,3.548828125,0.09088134765625,0.0999755859375,8.90625,8.90625,1.705078125,1.705078125,12850,11,1.177734375,,
4,train,0.3338592052459717,62.8125,3.5703125,0.09088134765625,0.0999755859375,8.5703125,8.5703125,1.6572265625,1.6572265625,11210,11,1.23828125,,
5,train,0.31931832432746887,62.71875,3.583984375,0.09088134765625,0.0999755859375,8.1640625,8.1640625,1.5966796875,1.5966796875,9512,11,1.26953125,,
6,train,0.30979621410369873,62.75,3.591796875,0.09088134765625,0.0999755859375,7.703125,7.703125,1.525390625,1.525390625,7520,11,1.296875,,
7,train,0.30313608050346375,62.71875,3.6015625,0.09088134765625,0.0999755859375,7.23046875,7.23046875,1.4521484375,1.4521484375,6102,11,1.3388671875,,
8,train,0.300819993019104,62.6875,3.603515625,0.09088134765625,0.0999755859375,6.87890625,6.87890625,1.3994140625,1.3994140625,5272,11,1.369140625,,
9,train,0.2966637909412384,62.46875,3.61328125,0.09088134765625,0.0999755859375,6.63671875,6.63671875,1.3623046875,1.3623046875,4693,11,1.3623046875,,
10,train,0.29470697045326233,62.40625,3.619140625,0.09088134765625,0.0999755859375,6.296875,6.296875,1.310546875,1.310546875,3909,11,1.3759765625,,
11,train,0.2932685315608978,62.28125,3.630859375,0.09088134765625,0.0999755859375,5.97265625,5.97265625,1.2587890625,1.2587890625,3295,11,1.3896484375,,
12,train,0.2950824797153473,61.9375,3.642578125,0.09088134765625,0.0999755859375,5.62109375,5.62109375,1.203125,1.203125,2810,11,1.4091796875,,
13,train,0.29264694452285767,62.09375,3.650390625,0.09088134765625,0.0999755859375,5.39453125,5.39453125,1.16796875,1.16796875,2441,11,1.4208984375,,
14,train,0.2926422655582428,61.96875,3.654296875,0.09088134765625,0.0999755859375,5.21484375,5.21484375,1.1396484375,1.1396484375,2214,11,1.4189453125,,
15,train,0.2868007719516754,62.09375,3.6484375,0.09088134765625,0.0999755859375,5.00390625,5.00390625,1.10546875,1.10546875,1962,11,1.4228515625,,
16,train,0.28192204236984253,62.21875,3.654296875,0.09088134765625,0.0999755859375,4.84765625,4.84765625,1.080078125,1.080078125,1820,11,1.4267578125,,
17,train,0.2782066762447357,62.21875,3.650390625,0.09088134765625,0.0999755859375,4.66015625,4.66015625,1.0498046875,1.0498046875,1612,11,1.4345703125,,
18,train,0.27273207902908325,62.5,3.658203125,0.09088134765625,0.0999755859375,4.52734375,4.52734375,1.02734375,1.02734375,1488,11,1.4384765625,,
19,train,0.2688952088356018,62.78125,3.65625,0.09088134765625,0.0999755859375,4.41796875,4.41796875,1.0107421875,1.0107421875,1336,11,1.4423828125,,
20,train,0.26487159729003906,62.9375,3.654296875,0.09088134765625,0.0999755859375,4.30078125,4.30078125,0.9912109375,0.9912109375,1237,11,1.4443359375,,
21,train,0.2616546154022217,63.125,3.6640625,0.09088134765625,0.0999755859375,4.234375,4.234375,0.97998046875,0.97998046875,1200,11,1.4462890625,,
22,train,0.25734779238700867,63.21875,3.6640625,0.09088134765625,0.0999755859375,4.14453125,4.14453125,0.96533203125,0.96533203125,1110,11,1.453125,,
23,train,0.2560189366340637,63.5,3.666015625,0.09088134765625,0.0999755859375,4.0546875,4.0546875,0.94970703125,0.94970703125,1060,11,1.4501953125,,
24,train,0.25288721919059753,63.75,3.666015625,0.09088134765625,0.0999755859375,3.984375,3.984375,0.93896484375,0.93896484375,1026,11,1.4580078125,,
25,train,0.24947232007980347,64.1875,3.669921875,0.09088134765625,0.0999755859375,3.89453125,3.89453125,0.923828125,0.923828125,968,11,1.46484375,,
1,val,0.8106556534767151,57.5,3.3203125,0.09088134765625,0.0999755859375,7.6484375,7.64453125,1.265625,1.265625,826,11,0.96240234375,0.3789577646333945,0.3649394065785848
2,val,0.8579193353652954,60.0625,3.435546875,0.09088134765625,0.0999755859375,6.9453125,6.9453125,1.1669921875,1.1669921875,809,11,1.0849609375,0.39049946886955617,0.3899011797327752
3,val,0.9394804835319519,60.1875,3.478515625,0.09088134765625,0.0999755859375,6.359375,6.359375,1.0830078125,1.0830078125,760,11,1.197265625,0.4023338330104846,0.4251087487900645
