epoch,phase,loss,accuracy,length,message,message_nn,message_entropy,message_entropy_nn,symbol_entropy,symbol_entropy_nn,lexicon_size,actual_vocab_size,max_rep,topsim,posdis,bosdis
1,train,1.6388697624206543,19.0625,2.318359375,0.09088134765625,0.0999755859375,7.6953125,7.6953125,2.478515625,2.478515625,111,11,0.64453125,,,
2,train,1.6217072010040283,19.046875,1.177734375,0.09088134765625,0.0999755859375,1.767578125,1.767578125,0.9033203125,0.9033203125,12,9,0.00687408447265625,,,
3,train,1.6198595762252808,19.828125,1.0341796875,0.09088134765625,0.0999755859375,1.0517578125,1.0517578125,0.8212890625,0.8212890625,3,3,0.00041675567626953125,,,
4,train,1.6196200847625732,19.671875,1.0126953125,0.09088134765625,0.0999755859375,0.9140625,0.9140625,0.81640625,0.81640625,2,2,0.00020837783813476562,,,
5,train,1.6195873022079468,20.328125,1.005859375,0.09088134765625,0.0999755859375,0.861328125,0.861328125,0.81494140625,0.81494140625,3,3,0.0006251335144042969,,,
6,train,1.6194337606430054,19.984375,1.0029296875,0.09088134765625,0.0999755859375,0.8359375,0.8359375,0.814453125,0.814453125,3,3,0.00041675567626953125,,,
7,train,1.6196098327636719,19.421875,1.0009765625,0.09088134765625,0.0999755859375,0.82373046875,0.82373046875,0.81396484375,0.81396484375,1,1,0.0,,,
8,train,1.6193019151687622,20.625,1.0009765625,0.09088134765625,0.0999755859375,0.81884765625,0.81884765625,0.81396484375,0.81396484375,1,1,0.0,,,
9,train,1.6196162700653076,20.3125,1.0,0.09088134765625,0.0999755859375,0.81591796875,0.81591796875,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
10,train,1.6195251941680908,19.203125,1.0,0.09088134765625,0.0999755859375,0.814453125,0.814453125,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
11,train,1.6194380521774292,21.328125,1.0,0.09088134765625,0.0999755859375,0.8134765625,0.8134765625,0.8134765625,0.8134765625,1,1,0.0,,,
12,train,1.6195236444473267,19.421875,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.8134765625,0.8134765625,1,1,0.0,,,
13,train,1.6193645000457764,20.6875,1.0,0.09088134765625,0.0999755859375,0.8134765625,0.8134765625,0.8134765625,0.8134765625,1,1,0.0,,,
14,train,1.6194747686386108,20.171875,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
15,train,1.6194247007369995,20.921875,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
16,train,1.6195225715637207,20.890625,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.8134765625,0.8134765625,1,1,0.0,,,
