epoch,phase,loss,accuracy,length,message,message_nn,message_entropy,message_entropy_nn,symbol_entropy,symbol_entropy_nn,lexicon_size,actual_vocab_size,max_rep,topsim,posdis,bosdis
1,train,1.6454311609268188,18.296875,2.763671875,0.218505859375,0.218505859375,16.875,16.875,5.04296875,5.04296875,1381,10,0.7509765625,,,
2,train,1.3779988288879395,26.484375,2.33984375,0.1702880859375,0.1702880859375,11.8515625,11.8515625,3.9296875,3.9296875,967,10,0.464599609375,,,
3,train,1.112540364265442,30.875,2.119140625,0.1474609375,0.1474609375,9.328125,9.328125,3.515625,3.515625,926,10,0.4013671875,,,
4,train,1.09956955909729,31.375,2.076171875,0.143798828125,0.143798828125,8.8828125,8.8828125,3.470703125,3.470703125,870,10,0.38134765625,,,
5,train,1.0872868299484253,33.9375,2.044921875,0.1396484375,0.1396484375,8.65625,8.65625,3.427734375,3.427734375,843,10,0.370361328125,,,
6,train,1.0882749557495117,35.15625,1.962890625,0.1363525390625,0.1363525390625,8.1328125,8.1328125,3.345703125,3.345703125,738,10,0.3388671875,,,
7,train,1.067245364189148,37.875,1.94140625,0.126708984375,0.126708984375,7.91015625,7.91015625,3.2421875,3.2421875,690,10,0.340087890625,,,
8,train,1.0588457584381104,37.15625,1.80078125,0.11846923828125,0.11846923828125,7.03515625,7.03515625,3.0703125,3.0703125,463,10,0.293701171875,,,
9,train,1.075557827949524,35.21875,1.7412109375,0.108154296875,0.108154296875,6.453125,6.453125,2.931640625,2.931640625,362,10,0.2607421875,,,
10,train,1.0241448879241943,36.28125,1.751953125,0.1094970703125,0.1094970703125,6.4921875,6.4921875,2.94140625,2.94140625,342,10,0.298095703125,,,
11,train,0.9869869947433472,37.90625,1.7861328125,0.11248779296875,0.11248779296875,6.6953125,6.6953125,2.984375,2.984375,391,10,0.321044921875,,,
12,train,0.9731888771057129,37.6875,1.8212890625,0.1143798828125,0.1143798828125,6.80078125,6.80078125,3.0,3.0,402,10,0.345458984375,,,
13,train,0.9659671783447266,37.21875,1.8212890625,0.11505126953125,0.11505126953125,6.7890625,6.7890625,3.00390625,3.00390625,414,10,0.366943359375,,,
14,train,0.954197108745575,38.375,1.8740234375,0.12139892578125,0.12139892578125,7.1328125,7.1328125,3.0703125,3.0703125,471,10,0.3876953125,,,
15,train,0.9865991473197937,37.03125,1.7978515625,0.11151123046875,0.11151123046875,6.53125,6.53125,2.94921875,2.94921875,402,10,0.335693359375,,,
16,train,1.0067548751831055,36.21875,1.75390625,0.1083984375,0.1083984375,6.21484375,6.21484375,2.896484375,2.896484375,344,10,0.318603515625,,,
17,train,0.9624790549278259,37.0,1.8056640625,0.10888671875,0.10888671875,6.44140625,6.44140625,2.91015625,2.91015625,381,10,0.349609375,,,
18,train,0.9669654369354248,36.9375,1.796875,0.1126708984375,0.1126708984375,6.4609375,6.4609375,2.9375,2.9375,360,10,0.347412109375,,,
19,train,0.9595857858657837,37.53125,1.7939453125,0.11224365234375,0.11224365234375,6.4453125,6.4453125,2.92578125,2.92578125,353,10,0.34716796875,,,
20,train,0.9606114625930786,37.75,1.779296875,0.1090087890625,0.1090087890625,6.33203125,6.33203125,2.904296875,2.904296875,334,10,0.34423828125,,,
21,train,0.9452947974205017,38.53125,1.7998046875,0.108642578125,0.108642578125,6.4296875,6.4296875,2.8984375,2.8984375,339,10,0.367919921875,,,
22,train,0.9355005621910095,38.375,1.8154296875,0.11627197265625,0.11627197265625,6.53515625,6.53515625,2.9609375,2.9609375,361,10,0.36962890625,,,
23,train,0.9295612573623657,38.25,1.8310546875,0.11407470703125,0.11407470703125,6.61328125,6.61328125,2.955078125,2.955078125,350,10,0.370849609375,,,
24,train,0.9186795949935913,38.40625,1.8330078125,0.113525390625,0.113525390625,6.65625,6.65625,2.951171875,2.951171875,350,10,0.3798828125,,,
25,train,0.9594213962554932,38.59375,1.701171875,0.1038818359375,0.1038818359375,5.86328125,5.86328125,2.796875,2.796875,191,10,0.3203125,,,
26,train,0.9206531643867493,39.875,1.7763671875,0.10906982421875,0.10906982421875,6.33203125,6.33203125,2.884765625,2.884765625,284,10,0.364013671875,,,
27,train,0.9201032519340515,38.5625,1.822265625,0.11041259765625,0.11041259765625,6.46484375,6.46484375,2.900390625,2.900390625,324,10,0.390625,,,
28,train,0.8986898064613342,40.0625,1.806640625,0.1126708984375,0.1126708984375,6.3671875,6.3671875,2.896484375,2.896484375,298,10,0.387939453125,,,
29,train,0.9098318219184875,39.40625,1.810546875,0.11102294921875,0.11102294921875,6.36328125,6.36328125,2.88671875,2.88671875,287,10,0.395263671875,,,
30,train,0.8821471333503723,39.84375,1.8310546875,0.11419677734375,0.11419677734375,6.47265625,6.47265625,2.90625,2.90625,311,10,0.4140625,,,
31,train,0.8915930390357971,39.40625,1.8203125,0.11212158203125,0.11212158203125,6.390625,6.390625,2.888671875,2.888671875,288,10,0.380126953125,,,
32,train,0.8955526947975159,39.46875,1.7998046875,0.1129150390625,0.1129150390625,6.3125,6.3125,2.87890625,2.87890625,289,10,0.37744140625,,,
33,train,0.8921062350273132,39.875,1.8330078125,0.11383056640625,0.11383056640625,6.4453125,6.4453125,2.896484375,2.896484375,317,10,0.398193359375,,,
34,train,0.8956703543663025,39.4375,1.7861328125,0.11138916015625,0.11138916015625,6.2265625,6.2265625,2.86328125,2.86328125,273,10,0.371337890625,,,
35,train,0.8874285817146301,39.40625,1.8037109375,0.11016845703125,0.11016845703125,6.25390625,6.25390625,2.857421875,2.857421875,257,10,0.371337890625,,,
36,train,0.8968400359153748,39.3125,1.7900390625,0.1136474609375,0.1136474609375,6.25,6.25,2.87890625,2.87890625,260,10,0.377685546875,,,
