epoch,phase,loss,accuracy,length,message,message_nn,message_entropy,message_entropy_nn,symbol_entropy,symbol_entropy_nn,lexicon_size,actual_vocab_size,max_rep,topsim,topsim_cat
1,train,1.0912221670150757,38.71875,2.158203125,0.12139892578125,0.12139892578125,9.7265625,9.7265625,3.17578125,3.17578125,5633,10,0.44775390625,,
2,train,0.7982840538024902,46.28125,1.765625,0.10443115234375,0.10443115234375,6.40625,6.40625,2.662109375,2.662109375,3438,10,0.312255859375,,
3,train,0.7472290992736816,48.375,1.7109375,0.1025390625,0.1025390625,5.79296875,5.79296875,2.5546875,2.5546875,1857,10,0.31494140625,,
4,train,0.7118566036224365,50.71875,1.7060546875,0.1021728515625,0.1021728515625,5.4375,5.4375,2.482421875,2.482421875,871,10,0.36328125,,
5,train,0.6898349523544312,52.25,1.7236328125,0.10296630859375,0.10296630859375,5.21484375,5.21484375,2.435546875,2.435546875,424,10,0.416015625,,
6,train,0.6784743666648865,52.625,1.7431640625,0.10333251953125,0.10333251953125,5.10546875,5.10546875,2.412109375,2.412109375,288,10,0.447509765625,,
7,train,0.6762811541557312,52.4375,1.7548828125,0.10382080078125,0.10382080078125,5.046875,5.046875,2.400390625,2.400390625,240,10,0.473388671875,,
8,train,0.6745152473449707,52.0,1.7666015625,0.1043701171875,0.1043701171875,5.01953125,5.01953125,2.392578125,2.392578125,194,10,0.50048828125,,
9,train,0.6825610399246216,51.59375,1.7705078125,0.1046142578125,0.1046142578125,4.94921875,4.94921875,2.376953125,2.376953125,168,10,0.5283203125,,
10,train,0.686957836151123,50.96875,1.7861328125,0.10443115234375,0.10443115234375,4.89453125,4.89453125,2.357421875,2.357421875,136,10,0.5673828125,,
11,train,0.6918855905532837,50.34375,1.796875,0.10528564453125,0.10528564453125,4.80078125,4.80078125,2.3359375,2.3359375,110,10,0.59716796875,,
12,train,0.6930314302444458,50.125,1.8115234375,0.10546875,0.10546875,4.76953125,4.76953125,2.32421875,2.32421875,84,10,0.61669921875,,
13,train,0.6893121004104614,50.46875,1.8359375,0.106201171875,0.106201171875,4.71875,4.71875,2.306640625,2.306640625,79,10,0.64453125,,
14,train,0.6847485303878784,50.90625,1.8525390625,0.10650634765625,0.10650634765625,4.6796875,4.6796875,2.294921875,2.294921875,78,10,0.65771484375,,
15,train,0.6676985025405884,52.125,1.8642578125,0.1068115234375,0.1068115234375,4.625,4.625,2.279296875,2.279296875,70,10,0.66845703125,,
16,train,0.6521334052085876,52.96875,1.8828125,0.10723876953125,0.10723876953125,4.60546875,4.60546875,2.26953125,2.26953125,64,10,0.68798828125,,
17,train,0.6463187336921692,52.9375,1.8837890625,0.107421875,0.107421875,4.56640625,4.56640625,2.26171875,2.26171875,67,10,0.68359375,,
18,train,0.6372877359390259,53.15625,1.8876953125,0.1075439453125,0.1075439453125,4.57421875,4.57421875,2.26171875,2.26171875,63,10,0.68408203125,,
19,train,0.6371344327926636,53.25,1.884765625,0.10723876953125,0.10723876953125,4.56640625,4.56640625,2.259765625,2.259765625,59,10,0.68505859375,,
20,train,0.6305067539215088,53.4375,1.8857421875,0.107177734375,0.107177734375,4.5703125,4.5703125,2.263671875,2.263671875,65,10,0.6787109375,,
21,train,0.6248670220375061,53.34375,1.892578125,0.107177734375,0.107177734375,4.6015625,4.6015625,2.267578125,2.267578125,65,10,0.6796875,,
22,train,0.6241498589515686,53.0625,1.8818359375,0.10772705078125,0.10772705078125,4.56640625,4.56640625,2.263671875,2.263671875,62,10,0.66552734375,,
23,train,0.6141711473464966,53.25,1.8916015625,0.10784912109375,0.10784912109375,4.59765625,4.59765625,2.265625,2.265625,68,10,0.6748046875,,
24,train,0.6098198890686035,53.28125,1.8994140625,0.10784912109375,0.10784912109375,4.63671875,4.63671875,2.271484375,2.271484375,78,10,0.677734375,,
25,train,0.6081838011741638,53.34375,1.896484375,0.10791015625,0.10791015625,4.640625,4.640625,2.275390625,2.275390625,97,10,0.67138671875,,
1,val,1.0010266304016113,50.59375,1.9912109375,0.0999755859375,0.0999755859375,5.37109375,5.37109375,0.97998046875,0.97998046875,335,10,0.47607421875,0.234569097507555,0.2517256343521493
2,val,1.027476191520691,52.53125,1.8173828125,0.0999755859375,0.0999755859375,4.1953125,4.1953125,0.7578125,0.7578125,259,10,0.40673828125,0.21165322213783364,0.21867495448648747
