epoch,phase,loss,accuracy,length,message,message_nn,message_entropy,message_entropy_nn,symbol_entropy,symbol_entropy_nn,lexicon_size,actual_vocab_size,max_rep,topsim,topsim_cat
1,train,0.8718847632408142,47.8125,2.794921875,0.0999755859375,0.0999755859375,5.98046875,5.98046875,1.0126953125,1.0126953125,6646,10,0.8408203125,,
2,train,0.4345852732658386,65.6875,3.455078125,0.0999755859375,0.0999755859375,4.2734375,4.2734375,0.76513671875,0.76513671875,4096,10,1.60546875,,
3,train,0.36168208718299866,68.8125,3.5546875,0.0999755859375,0.0999755859375,3.912109375,3.912109375,0.71826171875,0.71826171875,3352,10,1.703125,,
4,train,0.32414284348487854,69.4375,3.578125,0.0999755859375,0.0999755859375,3.623046875,3.623046875,0.671875,0.671875,3097,10,1.759765625,,
5,train,0.30045056343078613,69.75,3.587890625,0.0999755859375,0.0999755859375,3.380859375,3.380859375,0.6298828125,0.6298828125,2790,10,1.7978515625,,
6,train,0.28763696551322937,69.6875,3.578125,0.0999755859375,0.0999755859375,3.25390625,3.25390625,0.60888671875,0.60888671875,2422,10,1.78125,,
7,train,0.2800883948802948,69.875,3.568359375,0.0999755859375,0.0999755859375,3.177734375,3.177734375,0.5966796875,0.5966796875,2104,10,1.75390625,,
8,train,0.275631844997406,70.125,3.572265625,0.0999755859375,0.0999755859375,3.123046875,3.123046875,0.58984375,0.58984375,1852,10,1.73046875,,
9,train,0.2729840576648712,70.1875,3.583984375,0.0999755859375,0.0999755859375,3.1796875,3.1796875,0.60498046875,0.60498046875,1726,10,1.68359375,,
10,train,0.2699735164642334,70.4375,3.607421875,0.0999755859375,0.0999755859375,3.060546875,3.060546875,0.58544921875,0.58544921875,1453,10,1.6826171875,,
11,train,0.2647719085216522,70.8125,3.642578125,0.0999755859375,0.0999755859375,2.873046875,2.873046875,0.548828125,0.548828125,1241,10,1.744140625,,
12,train,0.2584429979324341,71.3125,3.658203125,0.0999755859375,0.0999755859375,2.69921875,2.69921875,0.513671875,0.513671875,1044,10,1.78515625,,
13,train,0.25367021560668945,71.6875,3.65625,0.0999755859375,0.0999755859375,2.455078125,2.455078125,0.46728515625,0.46728515625,893,10,1.8271484375,,
14,train,0.25183629989624023,71.6875,3.6484375,0.0999755859375,0.0999755859375,2.384765625,2.384765625,0.45556640625,0.45556640625,857,10,1.8310546875,,
15,train,0.24640309810638428,71.8125,3.63671875,0.0999755859375,0.0999755859375,2.20703125,2.20703125,0.4208984375,0.4208984375,758,10,1.84765625,,
16,train,0.2403615266084671,72.1875,3.65234375,0.0999755859375,0.0999755859375,2.056640625,2.056640625,0.391845703125,0.391845703125,659,10,1.8916015625,,
17,train,0.23855775594711304,72.4375,3.697265625,0.0999755859375,0.0999755859375,1.9453125,1.9453125,0.3720703125,0.3720703125,640,10,1.9453125,,
18,train,0.23382587730884552,72.5,3.681640625,0.0999755859375,0.0999755859375,1.853515625,1.853515625,0.35400390625,0.35400390625,602,10,1.935546875,,
19,train,0.2313849925994873,72.6875,3.6640625,0.0999755859375,0.0999755859375,1.71875,1.71875,0.32666015625,0.32666015625,480,10,1.9423828125,,
20,train,0.22849586606025696,72.875,3.669921875,0.0999755859375,0.0999755859375,1.6904296875,1.6904296875,0.322509765625,0.322509765625,478,10,1.9453125,,
21,train,0.22591517865657806,73.0,3.654296875,0.0999755859375,0.0999755859375,1.6337890625,1.6337890625,0.31103515625,0.31103515625,447,10,1.939453125,,
22,train,0.2230997383594513,73.125,3.65234375,0.0999755859375,0.0999755859375,1.6484375,1.6484375,0.31396484375,0.31396484375,454,10,1.9208984375,,
23,train,0.22199448943138123,73.125,3.6796875,0.0999755859375,0.0999755859375,1.619140625,1.619140625,0.30908203125,0.30908203125,450,10,1.94140625,,
24,train,0.21727043390274048,73.3125,3.662109375,0.0999755859375,0.0999755859375,1.6552734375,1.6552734375,0.3154296875,0.3154296875,446,10,1.9228515625,,
25,train,0.21511998772621155,73.5625,3.673828125,0.0999755859375,0.0999755859375,1.5263671875,1.5263671875,0.291015625,0.291015625,403,10,1.9580078125,,
1,val,0.9171789288520813,61.09375,3.267578125,0.0999755859375,0.0999755859375,4.84765625,4.84765625,0.8720703125,0.8720703125,502,10,1.3212890625,0.4566634699624401,0.38930299339922836
2,val,1.0363705158233643,62.21875,3.54296875,0.0999755859375,0.0999755859375,4.21484375,4.21484375,0.77978515625,0.77978515625,437,10,1.6484375,0.4640238940277772,0.38581295424193873
3,val,1.1257078647613525,63.15625,3.583984375,0.0999755859375,0.0999755859375,3.92578125,3.92578125,0.74267578125,0.74267578125,407,10,1.6845703125,0.45242744025789444,0.3959611842499573
4,val,1.2212425470352173,63.46875,3.599609375,0.0999755859375,0.0999755859375,3.546875,3.546875,0.67578125,0.67578125,378,10,1.7333984375,0.4488509055972245,0.4033322768380977
5,val,1.3042585849761963,62.9375,3.603515625,0.0999755859375,0.0999755859375,3.380859375,3.380859375,0.64501953125,0.64501953125,349,10,1.7451171875,0.4470507736791433,0.41012014800275165
6,val,1.3931013345718384,63.125,3.58203125,0.0999755859375,0.0999755859375,3.216796875,3.216796875,0.6171875,0.6171875,340,10,1.7294921875,0.4449309747748952,0.41479749893390955
7,val,1.4262622594833374,63.3125,3.568359375,0.0999755859375,0.0999755859375,3.205078125,3.205078125,0.61669921875,0.61669921875,331,10,1.650390625,0.4375245227126142,0.40654203163401087
