epoch,phase,loss,accuracy,length,message,message_nn,message_entropy,message_entropy_nn,symbol_entropy,symbol_entropy_nn,lexicon_size,actual_vocab_size,max_rep,topsim,topsim_cat
1,train,0.8409873247146606,45.25,3.6640625,0.09088134765625,0.0999755859375,13.0390625,13.0390625,1.82421875,1.82421875,27254,11,0.89501953125,,
2,train,0.40744465589523315,57.46875,4.31640625,0.09088134765625,0.0999755859375,13.765625,13.765625,1.8896484375,1.8896484375,34641,11,1.142578125,,
3,train,0.3446798026561737,59.3125,4.3359375,0.09088134765625,0.0999755859375,13.2421875,13.2421875,1.8466796875,1.8466796875,33368,11,1.1962890625,,
4,train,0.3177202045917511,60.0625,4.34765625,0.09088134765625,0.0999755859375,12.5859375,12.5859375,1.77734375,1.77734375,31636,11,1.2568359375,,
5,train,0.3037061095237732,60.40625,4.3515625,0.09088134765625,0.0999755859375,11.8515625,11.8515625,1.7001953125,1.7001953125,29029,11,1.3076171875,,
6,train,0.2954695224761963,60.5,4.36328125,0.09088134765625,0.0999755859375,10.9609375,10.9609375,1.603515625,1.603515625,25351,11,1.37890625,,
7,train,0.2909111976623535,60.46875,4.36328125,0.09088134765625,0.0999755859375,9.9296875,9.9296875,1.4921875,1.4921875,20429,11,1.4892578125,,
8,train,0.2872651517391205,60.53125,4.36328125,0.09088134765625,0.0999755859375,8.8984375,8.8984375,1.3798828125,1.3798828125,15412,11,1.6201171875,,
9,train,0.2839559018611908,60.5,4.37890625,0.09088134765625,0.0999755859375,7.57421875,7.57421875,1.2353515625,1.2353515625,9933,11,1.810546875,,
10,train,0.2854238748550415,60.03125,4.39453125,0.09088134765625,0.0999755859375,6.5390625,6.5390625,1.1220703125,1.1220703125,6569,11,1.951171875,,
11,train,0.284462034702301,59.84375,4.4140625,0.09088134765625,0.0999755859375,5.76953125,5.76953125,1.0380859375,1.0380859375,4526,11,2.0390625,,
12,train,0.2823711931705475,59.8125,4.41796875,0.09088134765625,0.0999755859375,5.33984375,5.33984375,0.9931640625,0.9931640625,3472,11,2.072265625,,
13,train,0.28280505537986755,59.4375,4.41796875,0.09088134765625,0.0999755859375,5.0625,5.0625,0.96484375,0.96484375,2987,11,2.087890625,,
14,train,0.2831462323665619,59.375,4.42578125,0.09088134765625,0.0999755859375,4.87890625,4.87890625,0.9462890625,0.9462890625,2558,11,2.10546875,,
15,train,0.27803367376327515,59.34375,4.43359375,0.09088134765625,0.0999755859375,4.75,4.75,0.93212890625,0.93212890625,2323,11,2.115234375,,
16,train,0.27364659309387207,59.625,4.4375,0.09088134765625,0.0999755859375,4.64453125,4.64453125,0.92041015625,0.92041015625,2123,11,2.126953125,,
17,train,0.27091172337532043,59.59375,4.4375,0.09088134765625,0.0999755859375,4.609375,4.609375,0.91796875,0.91796875,1971,11,2.130859375,,
18,train,0.2694090008735657,59.53125,4.42578125,0.09088134765625,0.0999755859375,4.51953125,4.51953125,0.90869140625,0.90869140625,1844,11,2.130859375,,
19,train,0.2660691440105438,59.65625,4.43359375,0.09088134765625,0.0999755859375,4.4375,4.4375,0.8994140625,0.8994140625,1774,11,2.12890625,,
20,train,0.26447904109954834,59.8125,4.43359375,0.09088134765625,0.0999755859375,4.41796875,4.41796875,0.8974609375,0.8974609375,1709,11,2.13671875,,
21,train,0.2610895037651062,59.9375,4.44140625,0.09088134765625,0.0999755859375,4.46484375,4.46484375,0.90234375,0.90234375,1717,11,2.138671875,,
22,train,0.258844792842865,59.90625,4.4453125,0.09088134765625,0.0999755859375,4.3984375,4.3984375,0.89501953125,0.89501953125,1710,11,2.13671875,,
23,train,0.25772544741630554,60.09375,4.44140625,0.09088134765625,0.0999755859375,4.30859375,4.30859375,0.884765625,0.884765625,1620,11,2.13671875,,
24,train,0.2566409409046173,60.1875,4.4375,0.09088134765625,0.0999755859375,4.26953125,4.26953125,0.880859375,0.880859375,1571,11,2.1328125,,
25,train,0.25416356325149536,60.25,4.4453125,0.09088134765625,0.0999755859375,4.23828125,4.23828125,0.87744140625,0.87744140625,1531,11,2.138671875,,
1,val,0.826371967792511,58.1875,4.30859375,0.09088134765625,0.0999755859375,11.5234375,11.5078125,1.3291015625,1.3291015625,1133,11,1.08203125,0.3919877160523573,0.36328510774653916
2,val,0.9299913644790649,59.75,4.43359375,0.09088134765625,0.0999755859375,11.234375,11.2265625,1.31640625,1.31640625,1179,11,1.1318359375,0.3975084442431798,0.3694106646850552
3,val,0.9947446584701538,60.09375,4.48046875,0.09088134765625,0.0999755859375,10.7734375,10.7734375,1.2744140625,1.2744140625,1178,11,1.185546875,0.4040734756481045,0.37691072333749676
4,val,1.001078486442566,60.5625,4.41796875,0.09088134765625,0.0999755859375,9.7109375,9.7109375,1.15625,1.15625,1144,11,1.25,0.40324807978755234,0.38576003930672154
5,val,1.0555542707443237,59.75,4.359375,0.09088134765625,0.0999755859375,8.8125,8.8125,1.0615234375,1.0615234375,1082,11,1.28125,0.41094366138966143,0.39107542831762115
6,val,1.0812740325927734,60.84375,4.37109375,0.09088134765625,0.0999755859375,7.78515625,7.78515625,0.9462890625,0.9462890625,1040,11,1.3564453125,0.4161839742041804,0.3995607943598213
7,val,1.0907199382781982,60.1875,4.421875,0.09088134765625,0.0999755859375,6.76953125,6.76953125,0.830078125,0.830078125,954,11,1.517578125,0.4274723468921736,0.4091520993350053
8,val,1.0487754344940186,61.34375,4.43359375,0.09088134765625,0.0999755859375,5.5078125,5.5078125,0.68505859375,0.68505859375,831,11,1.69140625,0.4453976519363677,0.42362245664553494
9,val,1.0928705930709839,61.0625,4.46484375,0.09088134765625,0.0999755859375,4.12109375,4.12109375,0.52197265625,0.52197265625,700,11,1.880859375,0.4533500882619165,0.43922696588353444
10,val,1.116467833518982,60.5625,4.48828125,0.09088134765625,0.0999755859375,3.158203125,3.158203125,0.409423828125,0.409423828125,582,11,2.03125,0.46032875615395097,0.44464486802941594
11,val,1.144160509109497,60.34375,4.46875,0.09088134765625,0.0999755859375,2.46484375,2.462890625,0.329345703125,0.329345703125,523,11,2.05859375,0.46356246126448913,0.4468449315819306
12,val,1.1355814933776855,61.1875,4.44921875,0.09088134765625,0.0999755859375,2.08984375,2.08984375,0.28662109375,0.28662109375,443,11,2.0859375,0.4606707720719311,0.44936442266358084
13,val,1.1400132179260254,60.59375,4.4375,0.09088134765625,0.0999755859375,1.9912109375,1.9912109375,0.275390625,0.275390625,435,11,2.08984375,0.4629743654526147,0.45017663686321924
14,val,1.2401541471481323,59.1875,4.5703125,0.09088134765625,0.0999755859375,1.7626953125,1.7626953125,0.2384033203125,0.2384033203125,425,11,2.15234375,0.4669599742416048,0.45657039393259696
15,val,1.0944743156433105,61.375,4.48046875,0.09088134765625,0.0999755859375,1.62109375,1.62109375,0.2213134765625,0.2213134765625,404,11,2.146484375,0.4605781930083786,0.4514469239786633
16,val,1.1712746620178223,60.8125,4.44921875,0.09088134765625,0.0999755859375,1.4501953125,1.4501953125,0.1993408203125,0.1993408203125,380,11,2.15625,0.46201872466496985,0.45364340891727567
17,val,1.1393682956695557,60.84375,4.47265625,0.09088134765625,0.0999755859375,1.3837890625,1.3828125,0.19580078125,0.19580078125,399,11,2.16796875,0.4615016518076022,0.45472301908707846
18,val,1.209172010421753,60.53125,4.4296875,0.09088134765625,0.0999755859375,1.478515625,1.478515625,0.2108154296875,0.2108154296875,378,11,2.158203125,0.45924947312472797,0.4578056899926993
