phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,1.3969157934188843,24.71875,1.0,100000,10,0.00030994415283203125,,,,,
train,1.3962838649749756,24.828125,1.0,100000,1,0.0,,,,,
train,1.396332025527954,24.890625,1.0,100000,1,0.0,,,,,
train,1.396392822265625,24.671875,1.0,100000,1,0.0,,,,,
train,1.3963658809661865,24.78125,1.0,100000,1,0.0,,,,,
train,1.3962693214416504,24.75,1.0,100000,1,0.0,,,,,
train,1.3962616920471191,24.75,1.0,100000,1,0.0,,,,,
train,1.3963274955749512,24.75,1.0,100000,1,0.0,,,,,
train,1.3962693214416504,24.75,1.0,98932,1,0.0,,,,,
train,1.3962693214416504,24.75,1.0,38741,1,0.0,,,,,
val,1.3962937593460083,25.703125,1.0,1,1,0.0,1.0,-0.07452132595534877,-0.0544046881557788,,
val,1.396295428276062,25.296875,1.0,1,1,0.0,1.0,-0.06403198120477628,-0.0544046881557788,,
val,1.3962949514389038,26.8125,1.0,1,1,0.0,1.0,-0.014812731108703809,-0.0544046881557788,,
val,1.3962947130203247,27.109375,1.0,1,1,0.0,1.0,-0.02893217697915919,-0.0544046881557788,,
val,1.3962939977645874,27.421875,1.0,1,1,0.0,1.0,-0.027302789500379725,-0.0544046881557788,,
val,1.3962939977645874,27.515625,1.0,1,1,0.0,1.0,,-0.0544046881557788,,
val,1.3962939977645874,27.515625,1.0,1,1,0.0,1.0,,-0.0544046881557788,,
val,1.3962939977645874,27.515625,1.0,1,1,0.0,1.0,,-0.0544046881557788,,
val,1.3962939977645874,27.515625,1.0,1,1,0.0,1.0,,-0.0544046881557788,,
val,1.3962939977645874,27.515625,1.0,1,1,0.0,1.0,,-0.0544046881557788,,
