phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,0.8739559650421143,51.65625,1.94140625,99891,10,0.8037109375,,,,,
train,0.697259247303009,59.375,1.94921875,99866,10,0.751953125,,,,,
train,0.6894385814666748,59.28125,1.9501953125,99888,8,0.72705078125,,,,,
train,0.6927499771118164,58.6875,1.951171875,99883,9,0.8251953125,,,,,
train,0.7049328684806824,58.875,1.9150390625,99882,10,0.81591796875,,,,,
train,0.720636785030365,58.25,1.92578125,99890,9,0.71875,,,,,
train,0.7178053259849548,58.21875,1.94921875,99892,9,0.72509765625,,,,,
train,0.6855635046958923,59.75,1.94921875,99867,7,0.70703125,,,,,
train,0.6667096018791199,60.71875,1.9501953125,99880,7,0.6826171875,,,,,
train,0.6400840282440186,62.1875,1.94921875,99871,6,0.72412109375,,,,,
val,0.7265421152114868,57.34375,1.9453125,9,5,0.73974609375,0.774931936528068,0.9107964065875969,0.3360661616625089,0.24011960625648499,0.0718032568693161
val,0.6890891194343567,60.46875,1.9423828125,10,5,0.66845703125,0.7686393771662466,0.8755317149755699,0.32885394846725224,0.275878369808197,0.0034487207885831594
val,0.6754897236824036,60.1875,1.94140625,12,6,0.77001953125,0.7556627172897438,0.9130880114518328,0.3304821369626714,0.24650779366493225,0.038464464247226715
val,0.6743484139442444,59.96875,1.9501953125,9,5,0.83154296875,0.7808173722240178,0.8675978943157252,0.3403066525980818,0.23067551851272583,0.002294148551300168
val,0.6639205813407898,62.3125,1.89453125,11,6,0.82861328125,0.7638336818881835,0.9114814878972671,0.3118542202286021,0.18593911826610565,0.00335015170276165
val,0.7344534993171692,55.4375,1.9365234375,9,5,0.67626953125,0.7870327797904394,0.9346522202086243,0.32861311602665705,0.22755727171897888,0.004987913649529219
val,0.702427089214325,59.28125,1.939453125,11,6,0.82177734375,0.7694004423560965,0.8377342473636304,0.3214102249985401,0.2431134134531021,0.0020078725647181273
val,0.6847288012504578,60.28125,1.939453125,12,6,0.6005859375,0.7591319312549438,0.90194906170161,0.3259194518518258,0.3354658782482147,0.1015288457274437
val,0.6200361847877502,63.40625,1.94921875,13,6,0.71044921875,0.7446032398707012,0.881706237965145,0.3349208207154427,0.2253783941268921,0.03505530208349228
val,0.6187069416046143,63.8125,1.9541015625,13,6,0.716796875,0.7455992760277883,0.8807130386123977,0.33730274815139505,0.22591237723827362,0.03449682146310806
val (no noise),0.7050013542175293,58.0625,1.9921875,6,5,0.76318359375,0.793918252157326,0.9107964065875969,0.36075588642388395,0.2843289375305176,0.07614202797412872
val (no noise),0.6689752340316772,61.09375,1.9921875,6,5,0.6943359375,0.7882085905538568,0.8755317149755699,0.3576519676907623,0.33244287967681885,0.003536189440637827
val (no noise),0.6488127708435059,60.78125,1.9921875,7,6,0.80419921875,0.7751002301877936,0.9130880114518328,0.3615336349449263,0.29143357276916504,0.03805041313171387
val (no noise),0.6718898415565491,59.78125,1.9921875,5,5,0.869140625,0.8001485796482114,0.8675978943157252,0.35994067619910475,0.2708248496055603,0.0024578128941357136
val (no noise),0.6388704180717468,62.90625,1.939453125,7,6,0.869140625,0.7766486515010482,0.9114814878972671,0.33350082128895175,0.2115994393825531,0.003556829644367099
val (no noise),0.7230419516563416,55.84375,1.9921875,5,5,0.6923828125,0.8121320899216274,0.9346522202086243,0.3587305223042916,0.29207855463027954,0.0051213763654232025
val (no noise),0.6801108717918396,59.96875,1.9921875,7,6,0.86376953125,0.7903540261514013,0.8377342473636304,0.3525775589478521,0.29380905628204346,0.002151709282770753
val (no noise),0.6542111039161682,61.78125,1.9921875,7,6,0.61669921875,0.7798118114427712,0.90194906170161,0.3570927894001204,0.4040921926498413,0.1072487011551857
val (no noise),0.6100916266441345,63.90625,1.9921875,8,6,0.73583984375,0.7625732511801173,0.881706237965145,0.360651471773203,0.26178812980651855,0.03464185819029808
val (no noise),0.610220730304718,64.3125,1.9921875,8,6,0.73583984375,0.7625732511801173,0.8807130386123977,0.360651471773203,0.26178812980651855,0.03464185819029808
