epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
1,train,1.1015706062316897,37.78125,4.89453125,100000,10,3.76953125,,,,,
2,train,1.6217223405838013,19.90625,8.4921875,100000,5,7.49609375,,,,,
3,train,1.6199312210083008,20.171875,8.5078125,100000,5,7.5078125,,,,,
4,train,1.6193407773971558,20.03125,8.5078125,100000,5,7.5078125,,,,,
5,train,1.6190354824066162,20.03125,8.5,100000,5,7.49609375,,,,,
6,train,1.61859130859375,20.203125,8.5,100000,5,7.50390625,,,,,
7,train,1.6184266805648804,20.015625,8.5,100000,4,7.49609375,,,,,
8,train,1.618301272392273,20.078125,8.5,100000,2,7.49609375,,,,,
9,train,1.6181397438049316,19.953125,8.5,100000,3,7.5,,,,,
10,train,1.6179291009902954,20.21875,8.5,100000,4,7.49609375,,,,,
1,val,1.6254127025604248,20.46875,8.484375,8,2,7.484375,0.7478602648914352,0.4552209678507805,0.0023321978490361,0.0028883756604045,0.0007835273863747
2,val,1.6188501119613647,23.390625,8.5390625,8,2,7.5390625,0.7562910597666237,0.4920311496639401,0.002292445933785,0.0037120829802006,0.0004866063827648
3,val,1.6196027994155884,21.265625,8.5546875,8,2,7.55078125,0.7512965907870044,0.4788832799101837,0.0022378494743914,0.0040736896917223,0.0009352032211609
4,val,1.6184849739074707,20.46875,8.5,8,2,7.5,0.7522773133699928,0.4576343495414944,0.002196229376701,0.0037593622691929,1.3900648809794802e-06
5,val,1.6189111471176147,19.5625,8.5546875,8,2,7.55078125,0.7545829366669953,0.4286034509714007,-0.0055932908159112,0.0104841357097029,0.0026636833790689
6,val,1.6216366291046145,19.15625,8.4765625,9,2,7.4765625,0.7540453468818824,0.4032037569513029,0.0037127701211294,0.0144285075366497,0.0003919261507689
7,val,1.6181819438934326,21.265625,8.46875,9,2,7.46875,0.751021824831685,0.3673581593459709,-0.0010661082553826,0.0024160083848983,0.0025256180670112
8,val,1.6173423528671265,21.78125,8.46875,8,2,7.47265625,0.7497669198819789,0.3608643061860472,0.0014884655944468,0.0024754784535616,0.0016488770488649
9,val,1.6176176071166992,21.265625,8.5546875,9,2,7.5546875,0.7513974596543438,0.3392425218627233,0.0163768204850576,0.0051517290994524,3.106292570009828e-05
10,val,1.6174994707107544,21.46875,8.453125,8,2,7.44921875,0.7507271353846279,0.3424859517911184,0.0001098107599121,0.0030329413712024,0.0033229859545826
1,val (no noise),1.6291424036026,20.671875,11.0,1,2,10.0,1.0,0.4552209678507805,-0.0547495252281364,,
2,val (no noise),1.6214836835861206,23.6875,11.0,1,2,10.0,1.0,0.4920311496639401,-0.0547495252281364,,
3,val (no noise),1.6220823526382446,21.578125,11.0,1,2,10.0,1.0,0.4788832799101837,-0.0547495252281364,,
4,val (no noise),1.620985746383667,20.671875,11.0,1,2,10.0,1.0,0.4576343495414944,-0.0547495252281364,,
5,val (no noise),1.6213735342025757,19.5625,11.0,1,2,10.0,1.0,0.4286034509714007,-0.0547495252281364,,
6,val (no noise),1.6241360902786257,19.15625,11.0,1,2,10.0,1.0,0.4032037569513029,-0.0547495252281364,,
7,val (no noise),1.62071692943573,21.265625,11.0,1,2,10.0,1.0,0.3673581593459709,-0.0547495252281364,,
8,val (no noise),1.619867920875549,21.875,11.0,1,2,10.0,1.0,0.3608643061860472,-0.0547495252281364,,
9,val (no noise),1.6200581789016724,21.171875,11.0,1,2,10.0,1.0,0.3392425218627233,-0.0547495252281364,,
10,val (no noise),1.620045185089111,21.46875,11.0,1,2,10.0,1.0,0.3424859517911184,-0.0547495252281364,,
