epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
1,train,0.5377725958824158,77.0,3.580078125,99409,11,1.669921875,,,,,
2,train,0.2142947614192962,91.1875,3.849609375,99304,11,1.81640625,,,,,
3,train,0.1784272640943527,92.1875,3.845703125,99331,11,1.84375,,,,,
4,train,0.1735970824956894,91.9375,3.888671875,99273,11,1.837890625,,,,,
5,train,0.1659907549619674,92.0625,3.869140625,99273,11,1.830078125,,,,,
6,train,0.1652602553367614,91.75,3.853515625,99293,11,1.8203125,,,,,
7,train,0.1614000499248504,91.6875,3.845703125,99276,11,1.78515625,,,,,
8,train,0.1523078233003616,91.875,3.876953125,99272,11,1.779296875,,,,,
9,train,0.1606940478086471,91.5,3.873046875,99285,11,1.767578125,,,,,
10,train,0.1568576246500015,91.4375,3.892578125,99273,11,1.80859375,,,,,
1,val,0.2787433266639709,88.9375,3.8203125,182,11,1.80859375,0.295000901535638,0.9328894288012192,0.2864961064857135,0.0400855727493763,0.0658925175666809
2,val,0.2135623544454574,91.0,3.828125,161,11,1.845703125,0.3098993109168803,0.9533768754285454,0.2869003485407313,0.0337682776153087,0.0618463046848773
3,val,0.1828649938106537,92.125,3.83984375,174,11,1.861328125,0.3019257629468124,0.9444010569330794,0.2879646467396011,0.0404593385756015,0.0499684363603591
4,val,0.2002068608999252,90.625,3.90234375,162,11,1.8154296875,0.3090711292172815,0.9250775118821684,0.293802491581131,0.0404675565659999,0.0523731186985969
5,val,0.1621566414833068,90.8125,3.87890625,156,11,1.8720703125,0.3143247758988469,0.9405063316532032,0.2795290376910129,0.0336935929954052,0.0483640357851982
6,val,0.1799391955137252,90.4375,3.875,155,11,1.8525390625,0.3200011343011176,0.9442105834164112,0.2772103048001854,0.0301909800618886,0.057552270591259
7,val,0.1391174048185348,91.75,3.892578125,145,11,1.80859375,0.3268653212402184,0.938893003152482,0.2968271830540471,0.0372344031929969,0.066331461071968
8,val,0.1169976517558097,93.75,3.884765625,141,11,1.794921875,0.3263850495184215,0.9330772205120306,0.302931602473034,0.0341747291386127,0.0607751831412315
9,val,0.137365847826004,91.5625,3.884765625,140,11,1.7841796875,0.3259839576263696,0.9384879899404206,0.2854531444089848,0.0230498239398002,0.0682791024446487
10,val,0.1218899190425872,93.4375,3.884765625,133,11,1.810546875,0.3304011701544969,0.9363597012846856,0.2968348062213608,0.0331367962062358,0.0709676370024681
1,val (no noise),0.1968158334493637,92.8125,3.8203125,68,10,2.05859375,0.4289189331211254,0.9328894288012192,0.3926431788601479,0.049166765064001,0.0796258300542831
2,val (no noise),0.1353104263544082,94.125,3.828125,59,10,2.09765625,0.4438964221514327,0.9533768754285454,0.3802248370138416,0.042238961905241,0.0707130879163742
3,val (no noise),0.1060523763298988,96.0625,3.83984375,61,10,2.119140625,0.4395078238652857,0.9444010569330794,0.385444909086578,0.0520934164524078,0.0535600520670414
4,val (no noise),0.0966545864939689,94.9375,3.90234375,52,10,2.095703125,0.4591191362897274,0.9250775118821684,0.4037211065653282,0.052378699183464,0.0523645728826522
5,val (no noise),0.0807089805603027,94.9375,3.87890625,46,10,2.1171875,0.4674543201499082,0.9405063316532032,0.4019738456895934,0.0428688488900661,0.0506623312830925
6,val (no noise),0.0856547951698303,95.1875,3.875,45,10,2.083984375,0.4743454945920633,0.9442105834164112,0.3957557398813182,0.0369630269706249,0.0620685294270515
7,val (no noise),0.0769289061427116,95.4375,3.892578125,36,10,2.072265625,0.4911150194604847,0.938893003152482,0.401204206756915,0.0469127893447876,0.0714325383305549
8,val (no noise),0.0731835290789604,95.875,3.884765625,33,10,2.025390625,0.496851210144216,0.9330772205120306,0.4152914332751198,0.0406260006129741,0.0655625164508819
9,val (no noise),0.073587067425251,95.375,3.884765625,32,10,2.0390625,0.499944196527317,0.9384879899404206,0.4193049717180646,0.029803866520524,0.0733503773808479
10,val (no noise),0.0716165527701377,96.25,3.884765625,33,10,2.060546875,0.4993086735977066,0.9363597012846856,0.4144011721803997,0.0461579747498035,0.0726504549384117
