phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,0.6731323599815369,65.5625,4.2890625,99883,11,2.267578125,,,,,
train,0.4520651698112488,77.8125,4.265625,99909,10,2.31640625,,,,,
train,0.45771488547325134,78.4375,5.23046875,99828,11,2.638671875,,,,,
train,0.3209530711174011,83.625,5.62890625,99812,10,2.67578125,,,,,
train,0.3268517851829529,82.8125,5.59375,99806,10,2.54296875,,,,,
train,0.29650750756263733,84.0625,5.78515625,99780,9,2.68359375,,,,,
train,0.26765742897987366,84.625,5.76953125,99770,8,2.6484375,,,,,
train,0.2619057893753052,84.0,5.6015625,99830,8,2.544921875,,,,,
train,0.362422376871109,79.9375,5.27734375,99871,8,2.33984375,,,,,
train,0.3194202184677124,81.6875,5.62890625,99823,8,2.61328125,,,,,
val,0.4370879828929901,74.6875,4.359375,142,5,2.373046875,0.38641009645766367,0.9296373898479405,0.35522271082508616,0.08760013431310654,0.0860692486166954
val,0.33335837721824646,83.5625,4.07421875,182,6,2.19921875,0.3703295991670428,0.895327495430057,0.30210603307393674,0.04961065575480461,0.05987614393234253
val,0.3748946487903595,81.375,5.5625,261,7,2.689453125,0.25375856042665434,0.9221818382679748,0.3093159783165032,0.14020144939422607,0.15079568326473236
val,0.2685510218143463,84.5,5.546875,248,7,2.576171875,0.25586973170910376,0.9346409876950907,0.3144342651315528,0.13539603352546692,0.1801615208387375
val,0.26426780223846436,84.1875,5.5546875,273,8,2.533203125,0.24990529123791938,0.9395078667848604,0.2957500232985077,0.08559145033359528,0.12068992108106613
val,0.24610063433647156,86.6875,5.82421875,298,8,2.626953125,0.21730347343139322,0.9115535901104319,0.28799390642213646,0.08899620175361633,0.11565711349248886
val,0.2513793408870697,85.6875,5.46875,238,8,2.501953125,0.2674762950803552,0.9308119529960479,0.3156108457637309,0.08915534615516663,0.11536351591348648
val,0.24454599618911743,85.0625,5.64453125,250,8,2.53515625,0.2531205088152425,0.9322311362169495,0.3126621788012116,0.0857314020395279,0.1301947832107544
val,0.2629149854183197,83.875,5.296875,223,8,2.388671875,0.27960852065912056,0.9003672493418697,0.30315742691840636,0.061354540288448334,0.1012013778090477
val,0.26426663994789124,84.5625,5.78125,276,8,2.619140625,0.23561059880447854,0.9518343167030692,0.26275531061028545,0.03672993928194046,0.1013885959982872
val (no noise),0.4044833779335022,77.4375,4.359375,13,4,3.107421875,0.6595826843564598,0.9296373898479405,0.39752228307386905,0.06802430003881454,0.09424203634262085
val (no noise),0.3076731264591217,85.875,4.07421875,22,5,2.81640625,0.601319757529283,0.895327495430057,0.3395128056370875,0.03912602365016937,0.060096800327301025
val (no noise),0.2971126437187195,84.875,5.5625,21,6,3.2421875,0.6080331406644249,0.9221818382679748,0.3888944946460295,0.2244463860988617,0.19642087817192078
val (no noise),0.22465072572231293,87.5,5.546875,17,6,3.08984375,0.6134197015724461,0.9346409876950907,0.39380409913984116,0.21538253128528595,0.2057984173297882
val (no noise),0.21863502264022827,85.5,5.5546875,19,7,2.994140625,0.6056509850840874,0.9395078667848604,0.387250443076995,0.1393805295228958,0.17303645610809326
val (no noise),0.21317394077777863,87.1875,5.82421875,20,7,3.1640625,0.5916238411563142,0.9115535901104319,0.39988594150006956,0.13844077289104462,0.14991453289985657
val (no noise),0.20411184430122375,88.125,5.46875,17,7,2.927734375,0.6160833027734045,0.9308119529960479,0.41170209993367285,0.13587012887001038,0.1513565182685852
val (no noise),0.21741589903831482,85.6875,5.64453125,15,7,2.94140625,0.6249087998167393,0.9322311362169495,0.4001122949527372,0.13462518155574799,0.1794114112854004
val (no noise),0.2126419097185135,86.0625,5.296875,16,7,2.794921875,0.624927063811058,0.9003672493418697,0.39852473109958764,0.09107322990894318,0.16640983521938324
val (no noise),0.217939555644989,86.875,5.78125,18,7,3.10546875,0.609409894905067,0.9518343167030692,0.36456186112702227,0.04863402992486954,0.14327387511730194
