epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
1,train,0.8291558623313904,54.40625,1.7509765625,99842,10,0.6083984375,,,,,
2,train,0.7069500684738159,60.59375,1.765625,99781,10,0.57177734375,,,,,
3,train,0.7378461956977844,58.9375,2.0,99597,10,0.67578125,,,,,
4,train,0.6927444338798523,60.46875,1.892578125,99687,10,0.650390625,,,,,
5,train,0.6662583351135254,61.15625,1.873046875,99663,10,0.6572265625,,,,,
6,train,0.6624679565429688,61.03125,1.873046875,99711,10,0.65673828125,,,,,
7,train,0.8757450580596924,55.1875,2.73046875,99188,10,1.099609375,,,,,
8,train,0.7627719044685364,61.78125,3.0,99086,10,1.345703125,,,,,
9,train,0.7516563534736633,61.15625,3.0,99065,10,1.369140625,,,,,
10,train,0.7428417801856995,60.125,3.0,99011,10,1.396484375,,,,,
1,val,0.7037767767906189,60.375,1.73828125,35,10,0.55859375,0.7231581736176951,0.9338942810065248,0.2755417621999036,0.2038056254386901,0.0991297960281372
2,val,0.7860411405563354,57.96875,1.9921875,44,10,0.7197265625,0.7307765139264403,0.8763689417097751,0.3483412661279075,0.3746750354766845,0.1195386946201324
3,val,0.6926414370536804,60.28125,1.9921875,46,10,0.65625,0.7105289791287188,0.906851441871762,0.3534232143823072,0.3422058820724487,0.1087178513407707
4,val,0.6651098132133484,62.3125,1.865234375,46,10,0.6513671875,0.7168900269693279,0.8855148833972808,0.3124775144277714,0.2840142250061035,0.1184749603271484
5,val,0.6744979023933411,61.90625,1.865234375,44,10,0.6552734375,0.7173206312050598,0.8697090561098382,0.3109312221148412,0.286748856306076,0.1213401034474372
6,val,0.6463630199432373,61.28125,1.865234375,42,10,0.6591796875,0.7252375367846157,0.8635562304196849,0.3181496481844509,0.2901825904846191,0.092018224298954
7,val,0.8401581048965454,56.0625,3.0,45,10,1.216796875,0.6828889082297742,0.9293015339947708,0.216495917193492,0.0799330249428749,0.050349086523056
8,val,0.8163591623306274,60.875,3.0,47,10,1.392578125,0.6807220098633876,0.8829078010494231,0.2335126040007132,0.2416612654924392,0.1076398715376854
9,val,0.6881648302078247,63.21875,3.0,53,10,1.3681640625,0.6402483461414505,0.937376298363106,0.2780477582426021,0.1689998358488083,0.0890888646245002
10,val,0.719846248626709,62.59375,3.0,47,10,1.4208984375,0.6616872913255545,0.9375120881075576,0.2910274427456659,0.168803334236145,0.0762347728013992
1,val (no noise),0.6794281005859375,61.78125,1.73828125,8,5,0.5595703125,0.761075592905228,0.9338942810065248,0.2929621625656505,0.220420703291893,0.1040854230523109
2,val (no noise),0.7538367509841919,59.96875,1.9921875,6,4,0.77294921875,0.7909769088765949,0.8763689417097751,0.3647328699777907,0.3983079493045807,0.1196298375725746
3,val (no noise),0.6370279788970947,62.6875,1.9921875,8,5,0.67529296875,0.7635053345743982,0.906851441871762,0.374168669218762,0.3448162078857422,0.0563555620610713
4,val (no noise),0.6269152164459229,63.59375,1.865234375,8,4,0.6865234375,0.7630686424372474,0.8855148833972808,0.3334696565171359,0.2937353253364563,0.1554178744554519
5,val (no noise),0.6277248859405518,63.71875,1.865234375,8,4,0.6865234375,0.7630686424372474,0.8697090561098382,0.3334696565171359,0.2937353253364563,0.1554178744554519
6,val (no noise),0.6262497305870056,62.3125,1.865234375,8,4,0.6865234375,0.7630686424372474,0.8635562304196849,0.3334696565171359,0.2937353253364563,0.1554178744554519
7,val (no noise),0.674580991268158,61.40625,3.0,4,5,1.2626953125,0.7997495566804056,0.9293015339947708,0.2729158651559822,0.1668880581855774,0.1591857820749282
8,val (no noise),0.5987668633460999,67.3125,3.0,5,5,1.4501953125,0.7772714392503772,0.8829078010494231,0.3171019470268377,0.3968397974967956,0.3021840453147888
9,val (no noise),0.5237085819244385,69.125,3.0,6,5,1.4501953125,0.758512255060853,0.937376298363106,0.3540214049231422,0.3121457099914551,0.2687038779258728
10,val (no noise),0.5556896328926086,68.5625,3.0,5,4,1.521484375,0.7804541532141953,0.9375120881075576,0.3699606374231287,0.2965272068977356,0.2914510667324066
