phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,0.7376068234443665,64.0625,5.2734375,100000,10,2.48828125,,,,,
train,0.32184964418411255,84.25,6.62890625,100000,10,3.818359375,,,,,
train,0.2884398400783539,85.125,6.73828125,100000,10,3.97265625,,,,,
train,0.3312622010707855,83.0625,7.828125,100000,10,4.515625,,,,,
train,0.34299570322036743,82.6875,8.1171875,100000,10,4.43359375,,,,,
train,0.26898905634880066,86.0,7.90625,100000,10,4.25,,,,,
train,0.22898635268211365,88.1875,8.328125,100000,10,4.6015625,,,,,
train,0.2451944202184677,87.5,9.109375,100000,10,5.0390625,,,,,
train,0.28749504685401917,86.0625,8.2734375,100000,10,4.55859375,,,,,
train,0.27544504404067993,85.4375,6.51953125,100000,10,3.640625,,,,,
val,0.33146902918815613,85.0,6.92578125,575,10,3.818359375,0.2278001864684781,0.9141405434065465,0.3223979664597824,0.18353387713432312,0.06374035775661469
val,0.2610708773136139,86.3125,6.7578125,557,10,3.865234375,0.23831878757352654,0.8952177201551735,0.3210944935202282,0.18201778829097748,0.06360606849193573
val,0.9861640930175781,65.625,6.13671875,514,10,3.65234375,0.28939837110680966,0.8355114518833894,0.2841232838238655,0.18802621960639954,0.07322237640619278
val,0.30806389451026917,83.0625,8.59375,667,10,4.7109375,0.18025267896276165,0.9237557665278332,0.2652215654368125,0.013636651448905468,0.03198220208287239
val,0.2609832286834717,86.5,7.51171875,619,10,3.978515625,0.19884545190993708,0.9071406499372952,0.37139039428968745,0.16497468948364258,0.045913830399513245
val,0.2148871123790741,88.625,8.65625,729,10,4.80078125,0.10707674499069342,0.9413063431690392,0.38272099900739964,0.10821302235126495,0.014328552410006523
val,0.2076157033443451,88.125,8.6875,724,10,4.84375,0.11024806201064019,0.9017690585934061,0.3399916838714677,0.07480262219905853,0.016336016356945038
val,0.2511310577392578,88.625,9.125,796,10,4.94921875,0.06567499360503393,0.9450759281797039,0.3889063014503887,0.12527382373809814,0.02504783682525158
val,0.2887569069862366,85.6875,6.125,544,10,3.474609375,0.21750388784915398,0.8713324658444721,0.2773673877529613,0.04722803458571434,0.028163088485598564
val,0.24456338584423065,87.125,6.79296875,594,10,3.599609375,0.19126015264017338,0.9343427192290921,0.26885435185440193,0.023180531337857246,0.01797669194638729
val (no noise),0.315497487783432,86.3125,6.92578125,33,5,4.671875,0.5456570740120099,0.9141405434065465,0.3380396854526032,0.18457968533039093,0.06435205787420273
val (no noise),0.25624120235443115,87.0,6.7578125,27,5,4.69921875,0.5708831651480132,0.8952177201551735,0.3425719179253388,0.16745726764202118,0.0741918683052063
val (no noise),0.9588148593902588,66.4375,6.13671875,50,5,4.5,0.5776974251256439,0.8355114518833894,0.2990598420444439,0.19911977648735046,0.06940124183893204
val (no noise),0.26163873076438904,85.1875,8.59375,24,6,5.77734375,0.5944289347317113,0.9237557665278332,0.29121390464075064,0.03876030817627907,0.05603363364934921
val (no noise),0.23334644734859467,88.4375,7.51171875,30,6,4.83984375,0.5550761921896739,0.9071406499372952,0.3933547075326184,0.1980423927307129,0.031246919184923172
val (no noise),0.18563596904277802,89.3125,8.65625,24,6,5.87890625,0.563006748086913,0.9413063431690392,0.41357715812393314,0.13565781712532043,0.032940126955509186
val (no noise),0.1696883887052536,90.25,8.6875,27,6,5.9296875,0.5587783820278605,0.9017690585934061,0.3736316917740654,0.09195806086063385,0.01608019694685936
val (no noise),0.20251289010047913,90.3125,9.125,41,6,5.984375,0.5135327793748448,0.9450759281797039,0.41642104025811144,0.15982754528522491,0.07021386921405792
val (no noise),0.24610736966133118,87.125,6.125,33,6,4.23828125,0.5498570806308596,0.8713324658444721,0.31134273696757764,0.03382466733455658,0.052580080926418304
val (no noise),0.21606041491031647,89.0,6.79296875,31,6,4.33984375,0.551217128773873,0.9343427192290921,0.29785095902635766,0.03748330473899841,0.03165878355503082
