phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis,redundancy
train,0.5792850852012634,72.45024871826172,4.807827472686768,16123,,,,,
train,0.3156548738479614,84.98052215576172,5.219706058502197,4377,,,,,
train,0.24625593423843384,87.57823181152344,5.275205612182617,3579,,,,,
train,0.24499937891960144,87.85616302490234,5.53473424911499,4538,,,,,
train,0.2405000627040863,88.0739974975586,5.403075218200684,3785,,,,,
val,0.3599759340286255,82.25806427001953,5.15625,194,94.89924430935794,0.17776741175206728,0.02540302835404873,0.03032846935093403,
val,0.5574392080307007,74.19355010986328,4.782258033752441,267,94.28073018774808,0.13814391411873153,0.002762634539976716,0.033732373267412186,
val,0.2225094735622406,87.80242156982422,5.332661151885986,262,96.95855980751294,0.1694861006276874,0.027607837691903114,0.024581918492913246,
val,0.3101787269115448,84.87903594970703,5.53830623626709,299,95.69041383544273,0.20889094003239153,0.05770634859800339,0.05897162854671478,
val,0.39778125286102295,81.3508071899414,5.517137050628662,268,94.95820989837092,0.18641055946905694,0.020577458664774895,0.05958202853798866,
val (no noise),0.343173623085022,82.96370697021484,5.15625,31,94.89924430935794,0.18826167987593875,0.026756469160318375,0.036665380001068115,
val (no noise),0.5534099340438843,74.79838562011719,4.782258033752441,65,94.28073018774808,0.13684448095163845,0.01092312578111887,0.029737439006567,
val (no noise),0.21722424030303955,87.3991928100586,5.332661151885986,50,96.95855980751294,0.18023180255381807,0.030615881085395813,0.03036634437739849,
val (no noise),0.28746679425239563,86.29032135009766,5.53830623626709,84,95.69041383544273,0.2302395173380115,0.06825938075780869,0.05915370211005211,
val (no noise),0.3882882297039032,81.95564270019531,5.517137050628662,64,94.95820989837092,0.20727327880032612,0.01913885772228241,0.06490465253591537,
