,max_len,channel,error_prob,noise,metric,value
0,10,deletion,0.0,no noise,accuracy,0.8245967626571655
1,10,deletion,0.0,noise,accuracy,0.8245967626571655
2,10,deletion,0.0,no noise,accuracy,0.17439515888690948
3,10,deletion,0.0,noise,accuracy,0.17439515888690948
4,10,deletion,0.0,no noise,accuracy,0.7379032373428345
5,10,deletion,0.0,noise,accuracy,0.7379032373428345
6,10,deletion,0.0,no noise,accuracy,0.8810483813285828
7,10,deletion,0.0,noise,accuracy,0.8810483813285828
8,10,deletion,0.0,no noise,accuracy,0.1875
9,10,deletion,0.0,noise,accuracy,0.1875
10,2,deletion,0.0,no noise,accuracy,0.39919355511665344
11,2,deletion,0.0,noise,accuracy,0.39919355511665344
12,2,deletion,0.0,no noise,accuracy,0.7792338728904724
13,2,deletion,0.0,noise,accuracy,0.7792338728904724
14,2,deletion,0.0,no noise,accuracy,0.8225806355476379
15,2,deletion,0.0,noise,accuracy,0.8225806355476379
16,2,deletion,0.0,no noise,accuracy,0.8457661271095276
17,2,deletion,0.0,noise,accuracy,0.8457661271095276
18,2,deletion,0.0,no noise,accuracy,0.8266128897666931
19,2,deletion,0.0,noise,accuracy,0.8266128897666931
20,3,deletion,0.0,no noise,accuracy,0.18447580933570862
21,3,deletion,0.0,noise,accuracy,0.18447580933570862
22,3,deletion,0.0,no noise,accuracy,0.5665322542190552
23,3,deletion,0.0,noise,accuracy,0.5665322542190552
24,3,deletion,0.0,no noise,accuracy,0.9153226017951965
25,3,deletion,0.0,noise,accuracy,0.9153226017951965
26,3,deletion,0.0,no noise,accuracy,0.9092742204666138
27,3,deletion,0.0,noise,accuracy,0.9092742204666138
28,3,deletion,0.0,no noise,accuracy,0.9092742204666138
29,3,deletion,0.0,noise,accuracy,0.9092742204666138
30,5,deletion,0.0,no noise,accuracy,0.8881048560142517
31,5,deletion,0.0,noise,accuracy,0.8881048560142517
32,5,deletion,0.0,no noise,accuracy,0.8629032373428345
33,5,deletion,0.0,noise,accuracy,0.8629032373428345
34,5,deletion,0.0,no noise,accuracy,0.8961693644523621
35,5,deletion,0.0,noise,accuracy,0.8961693644523621
36,5,deletion,0.0,no noise,accuracy,0.9102822542190552
37,5,deletion,0.0,noise,accuracy,0.9102822542190552
38,5,deletion,0.0,no noise,accuracy,0.38104838132858276
