epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat
1,train,baseline,0.48079630732536316,76.75,76.75,1.677734375,2.203125,2.203125,679,10,5.308465899644006,5.6640625,8.9609375,1.474609375,0.367919921875,,,0.3706015414039657,8.594211739618943,2.689453125,8.875,0.31298828125,0.188720703125,3.46952942652348,1.427734375,6.27734375,0.41162109375,0.1563720703125
2,train,baseline,0.23768790066242218,88.375,88.375,2.037109375,2.51171875,2.51171875,126,10,5.208098490158718,5.80078125,9.21875,1.5869140625,0.370361328125,,,0.3390248936383824,8.592679172415547,3.1328125,8.1328125,0.364501953125,0.2176513671875,3.4543609878646797,1.57421875,6.109375,0.45556640625,0.1700439453125
3,train,baseline,0.180999755859375,90.9375,90.9375,2.13671875,2.583984375,2.583984375,120,10,5.175587328892979,5.91015625,9.328125,1.7001953125,0.366455078125,,,0.3227100166499433,8.593213866017534,3.353515625,7.796875,0.390380859375,0.231201171875,3.481821927882,1.65625,6.08203125,0.4755859375,0.1763916015625
4,train,baseline,0.15521155297756195,92.25,92.25,2.177734375,2.630859375,2.630859375,152,10,5.202354754698516,6.21875,9.3671875,1.751953125,0.336181640625,,,0.33571603656971366,8.599462004463586,3.541015625,7.734375,0.411865234375,0.239013671875,3.4763780058231704,1.7060546875,6.28125,0.49072265625,0.1759033203125
5,train,baseline,0.13490676879882812,93.25,93.25,2.2265625,2.640625,2.640625,164,10,5.479301700835678,6.26171875,9.3671875,1.6806640625,0.33154296875,,,0.3470433056512185,8.598464626715044,3.701171875,7.45703125,0.430419921875,0.2491455078125,3.468278643193199,1.763671875,6.203125,0.5087890625,0.1812744140625
6,train,baseline,0.12569431960582733,93.75,93.75,2.248046875,2.646484375,2.646484375,166,10,5.580785281226473,6.40625,9.34375,1.6494140625,0.314697265625,,,0.34553064345313256,8.600301090874689,3.755859375,7.4921875,0.436767578125,0.250244140625,3.466130185547445,1.7822265625,6.3046875,0.51416015625,0.1805419921875
7,train,baseline,0.11639953404664993,94.3125,94.3125,2.255859375,2.646484375,2.646484375,173,10,5.6551209621724325,6.34375,9.375,1.638671875,0.3232421875,,,0.32879080599484634,8.597129281557988,3.884765625,7.16796875,0.451904296875,0.260009765625,3.4699976258565197,1.82421875,6.1640625,0.52587890625,0.1859130859375
8,train,baseline,0.10565971583127975,94.6875,94.6875,2.26953125,2.646484375,2.646484375,190,10,5.670055237186956,6.4296875,9.3671875,1.634765625,0.313720703125,,,0.3292941935634155,8.594390143642505,4.0234375,6.98046875,0.468017578125,0.267822265625,3.4707551281158695,1.8984375,6.1015625,0.546875,0.1917724609375
9,train,baseline,0.09702374041080475,95.125,95.125,2.28125,2.6328125,2.6328125,188,10,5.728103652966107,6.53125,9.3125,1.630859375,0.298583984375,,,0.3641446127550614,8.59568580779943,4.12109375,6.8828125,0.479736328125,0.2724609375,3.4796322741239973,1.94140625,6.12890625,0.55810546875,0.1939697265625
10,train,baseline,0.09372486919164658,95.25,95.25,2.294921875,2.62109375,2.62109375,211,10,5.865333652227925,6.65625,9.2734375,1.6064453125,0.281982421875,,,0.3492323542676369,8.592920391456584,4.265625,6.72265625,0.49609375,0.279541015625,3.4658881985573893,2.001953125,6.1171875,0.57763671875,0.19775390625
11,train,baseline,0.08835574239492416,95.5,95.5,2.302734375,2.611328125,2.611328125,224,10,5.995625975870573,6.61328125,9.2578125,1.5771484375,0.285888671875,,,0.3360731369552365,8.595533176534781,4.3203125,6.56640625,0.5029296875,0.2841796875,3.4808708704293068,2.03125,6.03125,0.58349609375,0.2012939453125
12,train,baseline,0.08829540014266968,95.625,95.625,2.3046875,2.611328125,2.611328125,241,10,6.002277931510098,6.71875,9.3046875,1.5966796875,0.27783203125,,,0.35284826798013824,8.595918532310856,4.3359375,6.640625,0.50439453125,0.283203125,3.498295408753608,2.05078125,6.11328125,0.5859375,0.20068359375
13,train,baseline,0.08293227106332779,95.8125,95.8125,2.279296875,2.607421875,2.607421875,283,10,6.031347775724246,6.77734375,9.2890625,1.5966796875,0.270751953125,,,0.317929897032319,8.596436796590147,4.44140625,6.48828125,0.5166015625,0.2890625,3.4755255497381827,2.048828125,6.15234375,0.58935546875,0.1998291015625
14,train,baseline,0.07808861881494522,96.0,96.0,2.279296875,2.607421875,2.607421875,285,10,6.070091236911008,6.7890625,9.2578125,1.5986328125,0.266845703125,,,0.32432405966916517,8.59367236229001,4.4921875,6.3984375,0.52294921875,0.2919921875,3.4657059781878687,2.0625,6.1328125,0.5947265625,0.2010498046875
15,train,baseline,0.07815082371234894,96.0,96.0,2.2734375,2.603515625,2.603515625,288,10,6.150228335104339,6.74609375,9.265625,1.5654296875,0.27197265625,,,0.31320368467163,8.593236945933336,4.515625,6.30859375,0.52587890625,0.29443359375,3.4775813897298113,2.064453125,6.09765625,0.59375,0.201904296875
16,train,baseline,0.07763777673244476,96.0625,96.0625,2.28125,2.599609375,2.599609375,277,10,6.140051733964577,6.8125,9.296875,1.54296875,0.267578125,,,0.3365940026656148,8.595556532382359,4.54296875,6.31640625,0.52880859375,0.294921875,3.4876648943395856,2.044921875,6.20703125,0.58642578125,0.1986083984375
17,train,baseline,0.07030751556158066,96.4375,96.4375,2.30859375,2.58984375,2.58984375,271,10,6.173810371167718,6.89453125,9.2890625,1.546875,0.2578125,,,0.3473902254484949,8.594625918475424,4.59375,6.30078125,0.53466796875,0.296630859375,3.4788314512362666,2.123046875,6.125,0.6103515625,0.2047119140625
18,train,baseline,0.06970752030611038,96.5,96.5,2.322265625,2.587890625,2.587890625,303,10,6.232130917158465,6.921875,9.2578125,1.505859375,0.25244140625,,,0.3464531649039758,8.593349015092851,4.59375,6.328125,0.53466796875,0.2958984375,3.473996924237254,2.11328125,6.171875,0.60791015625,0.2032470703125
19,train,baseline,0.0641632005572319,96.75,96.75,2.349609375,2.591796875,2.591796875,297,10,6.250378408138096,6.9296875,9.2734375,1.5244140625,0.252685546875,,,0.34019163374593797,8.59674678860139,4.625,6.28125,0.53759765625,0.2978515625,3.4798377037654786,2.150390625,6.109375,0.61767578125,0.20654296875
20,train,baseline,0.062011584639549255,96.875,96.875,2.3515625,2.58984375,2.58984375,307,10,6.2205547052453465,6.94921875,9.296875,1.5224609375,0.252685546875,,,0.3620899460709143,8.594027461969633,4.6328125,6.2734375,0.5390625,0.298095703125,3.473047009516735,2.166015625,6.08984375,0.6240234375,0.2078857421875
21,train,baseline,0.060320835560560226,97.0,97.0,2.345703125,2.583984375,2.583984375,323,10,6.32120113193844,7.01953125,9.3046875,1.501953125,0.2452392578125,,,0.3398157677252645,8.59602697721117,4.67578125,6.26953125,0.5439453125,0.29931640625,3.4685285273326576,2.169921875,6.1484375,0.62548828125,0.2069091796875
22,train,baseline,0.05737508833408356,97.125,97.125,2.357421875,2.583984375,2.583984375,347,10,6.439770952223895,7.04296875,9.28125,1.4873046875,0.2410888671875,,,0.33346741530319735,8.599335065852895,4.7265625,6.1875,0.5498046875,0.30224609375,3.4749001750549877,2.208984375,6.09765625,0.6357421875,0.2100830078125
23,train,baseline,0.05275295674800873,97.375,97.375,2.36328125,2.58984375,2.58984375,339,10,6.4632153113623065,7.09375,9.265625,1.48828125,0.2340087890625,,,0.3239319809939485,8.595931098947322,4.765625,6.1640625,0.55419921875,0.3037109375,3.4661498640429524,2.22265625,6.1171875,0.64111328125,0.21044921875
24,train,baseline,0.049696922302246094,97.5,97.5,2.37109375,2.58984375,2.58984375,355,10,6.439369765047169,7.0703125,9.2734375,1.4931640625,0.2376708984375,,,0.33428583302289305,8.59519413996187,4.8203125,6.02734375,0.560546875,0.3076171875,3.478096165755336,2.224609375,6.1015625,0.6396484375,0.2108154296875
25,train,baseline,0.04849260300397873,97.5625,97.5625,2.36328125,2.58984375,2.58984375,358,10,6.422450488440248,7.08203125,9.265625,1.505859375,0.2359619140625,,,0.3422411241778127,8.592551491894554,4.86328125,5.94921875,0.56591796875,0.310302734375,3.490304585167124,2.259765625,6.0546875,0.6474609375,0.2137451171875
26,train,baseline,0.046921245753765106,97.625,97.625,2.369140625,2.59375,2.59375,405,10,6.572815389945017,7.2109375,9.265625,1.486328125,0.2215576171875,,,0.33297219399355227,8.596130210290497,4.88671875,6.03515625,0.568359375,0.30908203125,3.4764109060846065,2.244140625,6.19921875,0.6455078125,0.2099609375
27,train,baseline,0.046357497572898865,97.6875,97.6875,2.373046875,2.591796875,2.591796875,395,10,6.587593242934626,7.16015625,9.2421875,1.4853515625,0.2254638671875,,,0.32929114796628534,8.600149930879814,4.91796875,5.921875,0.572265625,0.312255859375,3.478433026607337,2.263671875,6.109375,0.65087890625,0.2127685546875
28,train,baseline,0.04436638951301575,97.6875,97.6875,2.380859375,2.591796875,2.591796875,389,10,6.493476992092063,7.1640625,9.2734375,1.4765625,0.2274169921875,,,0.3331904537820136,8.598276803329934,4.9609375,5.83984375,0.5771484375,0.314697265625,3.474965982783487,2.26171875,6.1171875,0.650390625,0.2125244140625
29,train,baseline,0.044626232236623764,97.75,97.75,2.380859375,2.59375,2.59375,381,10,6.568561264231063,7.21875,9.265625,1.4677734375,0.220458984375,,,0.3260421115023544,8.59871818880382,4.94140625,5.93359375,0.57470703125,0.3125,3.4845237462239576,2.259765625,6.18359375,0.6484375,0.2110595703125
30,train,baseline,0.047776516526937485,97.75,97.75,2.3671875,2.587890625,2.587890625,393,10,6.510564609812162,7.18359375,9.2890625,1.4736328125,0.226806640625,,,0.3147188299618886,8.594949497546924,5.00390625,5.76953125,0.58251953125,0.317138671875,3.4915625652326536,2.287109375,6.1015625,0.65478515625,0.2142333984375
1,test,,0.9862798452377319,70.5625,70.5625,1.9072265625,2.31640625,2.31640625,118,10,5.508576741055896,5.58984375,8.6953125,1.396484375,0.356689453125,2.615234375,2.68359375,0.4004736713341076,6.65821148275179,2.673828125,6.90234375,0.401611328125,0.21826171875,3.1852953424983985,1.546875,5.68359375,0.48583984375,0.17626953125
2,test,,0.9704468250274658,72.6875,72.6875,2.013671875,2.435546875,2.435546875,141,10,5.752702170715157,5.80078125,8.8984375,1.3486328125,0.34814453125,2.734375,2.826171875,0.39059018477452817,6.65821148275179,3.00390625,6.453125,0.451171875,0.2410888671875,3.1852953424983985,1.658203125,5.66796875,0.5205078125,0.1845703125
3,test,,1.00517737865448,74.75,74.75,2.01953125,2.4453125,2.4453125,125,10,5.590320337385213,5.7578125,9.0078125,1.3837890625,0.36083984375,2.7890625,2.794921875,0.38714869980900135,6.65821148275179,3.236328125,5.9453125,0.486083984375,0.260498046875,3.1852953424983985,1.787109375,5.37109375,0.56103515625,0.1998291015625
4,test,,0.9925538301467896,74.4375,74.4375,2.046875,2.439453125,2.439453125,158,10,5.927641378723327,6.1328125,9.0,1.3408203125,0.318603515625,2.875,2.951171875,0.3909885296125586,6.65821148275179,3.291015625,6.20703125,0.494384765625,0.25732421875,3.1852953424983985,1.806640625,5.703125,0.5673828125,0.1939697265625
5,test,,0.982280433177948,75.8125,75.8125,2.080078125,2.421875,2.421875,148,10,5.803440116860787,5.98828125,8.9609375,1.359375,0.331787109375,2.9453125,2.916015625,0.404523133068656,6.65821148275179,3.396484375,5.85546875,0.51025390625,0.2685546875,3.1852953424983985,1.8984375,5.375,0.59619140625,0.2069091796875
6,test,,0.9853672981262207,75.75,75.75,2.080078125,2.42578125,2.42578125,175,10,6.031839616663952,6.23046875,9.0078125,1.3193359375,0.30810546875,2.982421875,2.974609375,0.401371834645219,6.65821148275179,3.419921875,6.05078125,0.513671875,0.265380859375,3.1852953424983985,1.880859375,5.65234375,0.59033203125,0.1998291015625
7,test,,1.0956875085830688,75.1875,75.1875,2.091796875,2.4296875,2.4296875,165,10,5.944481446320584,6.125,8.96875,1.3681640625,0.317138671875,3.05078125,3.01171875,0.3927758891196366,6.65821148275179,3.5078125,5.765625,0.52685546875,0.2744140625,3.1852953424983985,1.93359375,5.44140625,0.607421875,0.207763671875
8,test,,1.0279486179351807,75.0625,75.0625,2.10546875,2.421875,2.421875,179,10,6.099491985665173,6.26171875,8.9453125,1.3251953125,0.30029296875,3.037109375,3.0859375,0.3918820836698074,6.65821148275179,3.587890625,5.7421875,0.5390625,0.27783203125,3.1852953424983985,2.005859375,5.43359375,0.6298828125,0.2122802734375
9,test,,1.16847562789917,75.4375,75.4375,2.14453125,2.396484375,2.396484375,194,10,6.295830986316718,6.51953125,8.8203125,1.2890625,0.26123046875,3.0390625,3.11328125,0.3843655539006804,6.65821148275179,3.603515625,5.96875,0.54150390625,0.2734375,3.1852953424983985,2.02734375,5.6484375,0.63623046875,0.2088623046875
10,test,,1.2992348670959473,73.75,73.75,2.16015625,2.37890625,2.37890625,195,10,6.284645140789875,6.5234375,8.78125,1.29296875,0.256591796875,3.185546875,3.197265625,0.40085127204439297,6.65821148275179,3.76953125,5.64453125,0.56591796875,0.285888671875,3.1852953424983985,2.087890625,5.53125,0.65576171875,0.215087890625
11,test,,1.324389100074768,74.5,74.5,2.205078125,2.359375,2.359375,187,10,6.182084587554973,6.46875,8.703125,1.3125,0.25634765625,3.11328125,3.171875,0.41962843892802393,6.65821148275179,3.861328125,5.40234375,0.580078125,0.294189453125,3.1852953424983985,2.197265625,5.2578125,0.68994140625,0.2276611328125
12,test,,1.3442068099975586,74.8125,74.8125,2.16015625,2.361328125,2.361328125,196,10,6.243883350018179,6.53515625,8.6796875,1.3271484375,0.2469482421875,3.044921875,3.1328125,0.42415103229254486,6.65821148275179,3.89453125,5.40625,0.5849609375,0.295166015625,3.1852953424983985,2.21875,5.28125,0.69677734375,0.228271484375
13,test,,1.223719596862793,74.4375,74.4375,2.140625,2.36328125,2.36328125,202,10,6.242411528458405,6.54296875,8.6640625,1.3291015625,0.2451171875,3.16015625,3.18359375,0.43655477158651734,6.65821148275179,3.91796875,5.36328125,0.58837890625,0.296875,3.1852953424983985,2.224609375,5.27734375,0.69873046875,0.228759765625
14,test,,1.1958729028701782,76.125,76.125,2.185546875,2.357421875,2.357421875,211,10,6.3037776441359465,6.59375,8.640625,1.265625,0.237060546875,3.166015625,3.208984375,0.43684914843776446,6.65821148275179,3.947265625,5.359375,0.5927734375,0.2978515625,3.1852953424983985,2.234375,5.30859375,0.70166015625,0.228515625
15,test,,1.2183377742767334,74.75,74.75,2.111328125,2.3515625,2.3515625,215,10,6.2496256325297805,6.49609375,8.703125,1.2451171875,0.25341796875,3.1171875,3.1875,0.42116338720569835,6.65821148275179,3.998046875,5.16015625,0.6005859375,0.303955078125,3.1852953424983985,2.244140625,5.1953125,0.7041015625,0.231689453125
16,test,,1.1774684190750122,75.4375,75.4375,2.125,2.353515625,2.353515625,201,10,6.289773326975399,6.5625,8.734375,1.2734375,0.2486572265625,3.171875,3.169921875,0.42455330005933345,6.65821148275179,4.015625,5.19140625,0.60302734375,0.3037109375,3.1852953424983985,2.205078125,5.33984375,0.69189453125,0.22607421875
17,test,,1.0799602270126343,77.5625,77.5625,2.1796875,2.36328125,2.36328125,214,10,6.352346978213027,6.62890625,8.734375,1.2763671875,0.2408447265625,3.107421875,3.166015625,0.4225879621280478,6.65821148275179,4.0390625,5.2109375,0.6064453125,0.303955078125,3.1852953424983985,2.234375,5.34375,0.70166015625,0.227783203125
18,test,,1.1191002130508423,78.125,78.125,2.185546875,2.34375,2.34375,209,10,6.361568203085278,6.609375,8.7265625,1.2470703125,0.2430419921875,3.21875,3.236328125,0.4214254282604584,6.65821148275179,4.0234375,5.21875,0.6044921875,0.30322265625,3.1852953424983985,2.23828125,5.31640625,0.703125,0.2286376953125
19,test,,1.0986623764038086,78.125,78.125,2.171875,2.36328125,2.36328125,215,10,6.364353314264121,6.6640625,8.71875,1.2333984375,0.23583984375,3.21875,3.2578125,0.41092076409351347,6.65821148275179,4.0390625,5.24609375,0.6064453125,0.302978515625,3.1852953424983985,2.240234375,5.3671875,0.70361328125,0.2274169921875
20,test,,1.120283603668213,77.0625,77.0625,2.13671875,2.3515625,2.3515625,211,10,6.299846503049653,6.6328125,8.7109375,1.2744140625,0.23828125,3.2265625,3.19921875,0.433401387739079,6.65821148275179,4.1171875,5.0546875,0.61865234375,0.309814453125,3.1852953424983985,2.251953125,5.31640625,0.70703125,0.2293701171875
21,test,,1.0058242082595825,78.0,78.0,2.1640625,2.353515625,2.353515625,194,10,6.302337350918468,6.65234375,8.7421875,1.189453125,0.2391357421875,3.279296875,3.28125,0.4149762743133681,6.65821148275179,4.109375,5.08984375,0.6171875,0.308837890625,3.1852953424983985,2.29296875,5.25390625,0.72021484375,0.233154296875
22,test,,1.0815080404281616,77.25,77.25,2.16015625,2.3515625,2.3515625,206,10,6.413505178016768,6.6796875,8.75,1.2275390625,0.2366943359375,3.185546875,3.205078125,0.40274202214789206,6.65821148275179,4.12109375,5.09765625,0.61865234375,0.308837890625,3.1852953424983985,2.275390625,5.31640625,0.71435546875,0.2305908203125
23,test,,0.8900150656700134,79.875,79.875,2.197265625,2.359375,2.359375,214,10,6.453623459767434,6.77734375,8.7265625,1.2421875,0.223388671875,3.271484375,3.271484375,0.3972088790414063,6.65821148275179,4.16015625,5.1171875,0.62451171875,0.3095703125,3.1852953424983985,2.306640625,5.34765625,0.724609375,0.231689453125
24,test,,1.037583589553833,78.5625,78.5625,2.181640625,2.34765625,2.34765625,209,10,6.367031958710353,6.70703125,8.734375,1.2197265625,0.232421875,3.203125,3.244140625,0.4037322654472439,6.65821148275179,4.1484375,5.06640625,0.623046875,0.310546875,3.1852953424983985,2.337890625,5.21484375,0.73388671875,0.236328125
25,test,,1.044803261756897,78.5625,78.5625,2.23828125,2.365234375,2.365234375,229,10,6.448102123341534,6.8046875,8.71875,1.255859375,0.2197265625,3.193359375,3.23828125,0.40272525563445055,6.65821148275179,4.16796875,5.125,0.6259765625,0.3095703125,3.1852953424983985,2.30859375,5.37109375,0.72509765625,0.231201171875
26,test,,1.0559297800064087,78.875,78.875,2.212890625,2.357421875,2.357421875,237,10,6.547911970930096,6.80078125,8.75,1.2314453125,0.22265625,3.255859375,3.26953125,0.3960025118819457,6.65821148275179,4.2265625,5.00390625,0.634765625,0.31396484375,3.1852953424983985,2.3359375,5.31640625,0.73291015625,0.2337646484375
27,test,,1.0959478616714478,78.375,78.375,2.166015625,2.326171875,2.326171875,218,10,6.425298985652889,6.7109375,8.671875,1.2421875,0.2265625,3.28515625,3.3203125,0.4121610455699387,6.65821148275179,4.234375,4.89453125,0.63623046875,0.31689453125,3.1852953424983985,2.3671875,5.16015625,0.7431640625,0.2391357421875
28,test,,1.1213730573654175,77.875,77.875,2.15625,2.32421875,2.32421875,210,10,6.353416908807711,6.65234375,8.6796875,1.2275390625,0.23388671875,3.353515625,3.365234375,0.397939654312025,6.65821148275179,4.22265625,4.8671875,0.63427734375,0.317138671875,3.1852953424983985,2.357421875,5.12109375,0.73974609375,0.2396240234375
29,test,,1.1154274940490723,79.0625,79.0625,2.19140625,2.33984375,2.33984375,198,10,6.358326598337952,6.70703125,8.6953125,1.208984375,0.2283935546875,3.361328125,3.314453125,0.39271781338443146,6.65821148275179,4.22265625,4.921875,0.6337890625,0.31591796875,3.1852953424983985,2.349609375,5.19140625,0.73779296875,0.237548828125
30,test,,1.478559136390686,74.25,74.25,2.06640625,2.2734375,2.2734375,213,10,6.429565502907072,6.69921875,8.640625,1.19921875,0.2244873046875,3.37109375,3.376953125,0.396505798475024,6.65821148275179,4.19921875,4.9609375,0.630859375,0.314453125,3.1852953424983985,2.33203125,5.22265625,0.73193359375,0.23583984375
