epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_shape_nn,mutual_info_msg_shape_nn,variation_of_info_msg_shape_nn,proficiency_msg_shape_nn,redundancy_msg_shape_nn,entropy_color_nn,mutual_info_msg_color_nn,variation_of_info_msg_color_nn,proficiency_msg_color_nn,redundancy_msg_color_nn,entropy_xpos_nn,mutual_info_msg_xpos_nn,variation_of_info_msg_xpos_nn,proficiency_msg_xpos_nn,redundancy_msg_xpos_nn,entropy_ypos_nn,mutual_info_msg_ypos_nn,variation_of_info_msg_ypos_nn,proficiency_msg_ypos_nn,redundancy_msg_ypos_nn,entropy_rotation_nn,mutual_info_msg_rotation_nn,variation_of_info_msg_rotation_nn,proficiency_msg_rotation_nn,redundancy_msg_rotation_nn,topsim_nn
1,train,noise,1.2214107513427734,39.625,40.46875,0.78173828125,1.8564453125,2.146484375,1896,10,6.423146428088627,5.984375,6.2421875,0.76708984375,0.041717529296875,,,0.09914930404193477,10.086825667978504,2.563472392503777,0.0157012939453125,8.515625,0.00612640380859375,0.0018377304077148438,2.9309428088276523,0.0654296875,8.78125,0.022308349609375,0.007335662841796875,2.3208749086533187,0.2166748046875,7.87109375,0.0933837890625,0.026092529296875,2.320484016375942,0.0269012451171875,8.25,0.0115966796875,0.0032405853271484375,1.2708642824277918,0.0010366439819335938,7.25,0.0008158683776855469,0.00014293193817138672,2095,10,0.8232421875,6.646056554882167,7.8671875,8.3828125,0.06121826171875,,,2.563472392503777,0.0249786376953125,10.3828125,0.0097503662109375,0.0023956298828125,2.9309428088276523,0.128173828125,10.5390625,0.043731689453125,0.01186370849609375,2.3208749086533187,0.330078125,9.53125,0.1422119140625,0.03240966796875,2.320484016375942,0.0628662109375,10.0625,0.027099609375,0.00617218017578125,1.2708642824277918,0.00217437744140625,9.1328125,0.0017099380493164062,0.0002378225326538086,0.10944287468696141
2,train,noise,0.8866105079650879,54.4375,56.34375,0.8369140625,2.1171875,2.501953125,970,10,5.971941119860286,5.6015625,7.421875,1.419921875,0.2452392578125,,,0.10382899889542961,10.086825667978504,2.563472392503777,0.037628173828125,8.09375,0.01468658447265625,0.004608154296875,2.9309428088276523,0.1322021484375,8.265625,0.04510498046875,0.01549530029296875,2.3208749086533187,0.335205078125,7.25390625,0.1444091796875,0.04229736328125,2.320484016375942,0.125244140625,7.671875,0.053985595703125,0.01580810546875,1.2708642824277918,0.0030364990234375,6.8671875,0.0023899078369140625,0.0004417896270751953,1146,10,1.6162109375,6.102276640600858,6.55078125,9.984375,0.34375,,,2.563472392503777,0.058929443359375,8.9921875,0.022979736328125,0.006465911865234375,2.9309428088276523,0.2252197265625,9.03125,0.07684326171875,0.0237579345703125,2.3208749086533187,0.580078125,7.7109375,0.2498779296875,0.06536865234375,2.320484016375942,0.195068359375,8.484375,0.08404541015625,0.0219879150390625,1.2708642824277918,0.00506591796875,7.8125,0.003986358642578125,0.0006480216979980469,0.12609611916082816
3,train,noise,0.7298043966293335,64.3125,66.125,1.0537109375,2.572265625,3.037109375,1283,10,6.459576211601205,6.54296875,8.59375,1.7333984375,0.2391357421875,,,0.11390636519079234,10.08682566797851,2.563472392503777,0.04541015625,9.015625,0.0177154541015625,0.0049896240234375,2.9309428088276515,0.1903076171875,9.09375,0.06494140625,0.0200958251953125,2.3208749086533187,0.3310546875,8.203125,0.1427001953125,0.037384033203125,2.320484016375942,0.1552734375,8.5546875,0.06689453125,0.01751708984375,1.2708642824277918,0.0036983489990234375,7.8046875,0.002910614013671875,0.0004734992980957031,1437,10,1.9931640625,6.442445190540052,7.8828125,11.609375,0.32080078125,,,2.563472392503777,0.0738525390625,10.296875,0.0287933349609375,0.0070648193359375,2.9309428088276515,0.274658203125,10.265625,0.09375,0.0254058837890625,2.3208749086533187,0.615234375,8.9765625,0.26513671875,0.060302734375,2.320484016375942,0.25341796875,9.6953125,0.10919189453125,0.0248260498046875,1.2708642824277918,0.0058746337890625,9.140625,0.0046234130859375,0.0006418228149414062,0.1442700146244836
4,train,noise,0.6450281143188477,67.625,69.375,1.2294921875,2.787109375,3.2734375,1190,10,6.1994417981528755,6.62109375,9.0859375,2.03125,0.27099609375,,,0.13619871058297867,10.086825667978509,2.563472392503777,0.049346923828125,9.0859375,0.019256591796875,0.005374908447265625,2.9309428088276515,0.232666015625,9.0859375,0.07940673828125,0.02435302734375,2.3208749086533187,0.36767578125,8.2109375,0.1583251953125,0.041107177734375,2.320484016375942,0.160400390625,8.625,0.069091796875,0.0179290771484375,1.2708642824277918,0.0036773681640625,7.88671875,0.0028934478759765625,0.0004661083221435547,1248,10,2.328125,6.078719120666029,7.9453125,12.25,0.351318359375,,,2.563472392503777,0.08001708984375,10.34375,0.031219482421875,0.007617950439453125,2.9309428088276515,0.32177734375,10.234375,0.1097412109375,0.0295867919921875,2.3208749086533187,0.6650390625,8.9375,0.28662109375,0.06475830078125,2.320484016375942,0.268310546875,9.7265625,0.1156005859375,0.0261383056640625,1.2708642824277918,0.0056610107421875,9.203125,0.004451751708984375,0.000614166259765625,0.1622228885047309
5,train,noise,0.5937636494636536,71.125,72.6875,1.388671875,2.94140625,3.466796875,1161,10,6.260410165179903,6.84765625,9.4921875,2.169921875,0.27880859375,,,0.1344283042301905,10.08682566797852,2.563472392503777,0.054931640625,9.296875,0.02142333984375,0.00583648681640625,2.9309428088276523,0.271240234375,9.234375,0.092529296875,0.027740478515625,2.3208749086533187,0.389892578125,8.390625,0.16796875,0.042510986328125,2.320484016375942,0.146484375,8.875,0.0631103515625,0.0159759521484375,1.2708642824277918,0.0042724609375,8.109375,0.0033626556396484375,0.00052642822265625,1191,10,2.509765625,6.067904520343012,8.2265625,12.8046875,0.357177734375,,,2.563472392503777,0.09161376953125,10.609375,0.035736083984375,0.00848388671875,2.9309428088276523,0.365966796875,10.4296875,0.12481689453125,0.03277587890625,2.3208749086533187,0.66748046875,9.21875,0.28759765625,0.06329345703125,2.320484016375942,0.257080078125,10.0390625,0.11083984375,0.0243682861328125,1.2708642824277918,0.006954193115234375,9.484375,0.005474090576171875,0.0007319450378417969,0.14179118865225648
6,train,noise,0.5507063269615173,72.625,73.9375,1.5068359375,3.177734375,3.7265625,1154,10,6.400082718568984,7.16796875,9.9921875,2.380859375,0.282958984375,,,0.11059574776801216,10.086825667978504,2.563472392503777,0.053924560546875,9.625,0.0210418701171875,0.005542755126953125,2.9309428088276523,0.275634765625,9.546875,0.093994140625,0.02728271484375,2.3208749086533187,0.393798828125,8.703125,0.169677734375,0.04150390625,2.320484016375942,0.1644287109375,9.15625,0.07086181640625,0.017333984375,1.2708642824277918,0.004486083984375,8.4296875,0.003528594970703125,0.0005316734313964844,1167,10,2.734375,6.149873245345982,8.578125,13.4453125,0.36181640625,,,2.563472392503777,0.09423828125,10.953125,0.0367431640625,0.008453369140625,2.9309428088276523,0.365966796875,10.7734375,0.1248779296875,0.03179931640625,2.3208749086533187,0.65576171875,9.5859375,0.282470703125,0.0601806640625,2.320484016375942,0.2890625,10.3203125,0.12457275390625,0.026519775390625,1.2708642824277918,0.006923675537109375,9.8359375,0.0054473876953125,0.0007033348083496094,0.13085879460903452
7,train,noise,0.5102782249450684,75.375,76.3125,1.6259765625,3.21875,3.78125,1142,10,6.462674814173726,7.34375,10.078125,2.412109375,0.271484375,,,0.1111412420368043,10.086825667978498,2.563472392503777,0.0631103515625,9.78125,0.0246124267578125,0.00637054443359375,2.9309428088276515,0.30517578125,9.6640625,0.1041259765625,0.0297088623046875,2.3208749086533187,0.422607421875,8.8203125,0.18212890625,0.043731689453125,2.320484016375942,0.1544189453125,9.3515625,0.0665283203125,0.0159759521484375,1.2708642824277918,0.004878997802734375,8.6015625,0.0038394927978515625,0.0005664825439453125,1104,10,2.783203125,6.118675632574278,8.8359375,13.53125,0.346923828125,,,2.563472392503777,0.1090087890625,11.1796875,0.042510986328125,0.00955963134765625,2.9309428088276515,0.406494140625,10.953125,0.138671875,0.0345458984375,2.3208749086533187,0.6845703125,9.7890625,0.294921875,0.06134033203125,2.320484016375942,0.277587890625,10.6015625,0.11962890625,0.0248870849609375,1.2708642824277918,0.007480621337890625,10.09375,0.005886077880859375,0.0007405281066894531,0.1316828128129337
8,train,noise,0.4739374816417694,76.6875,78.3125,1.69921875,3.28125,3.84765625,1127,10,6.476355224441985,7.453125,10.2265625,2.46875,0.271240234375,,,0.10675796828178032,10.086825667978502,2.563472392503777,0.06475830078125,9.890625,0.0252685546875,0.006465911865234375,2.9309428088276515,0.314453125,9.7578125,0.1072998046875,0.0302886962890625,2.3208749086533187,0.442138671875,8.890625,0.1905517578125,0.04522705078125,2.320484016375942,0.1632080078125,9.4453125,0.0703125,0.016693115234375,1.2708642824277918,0.00501251220703125,8.7109375,0.00394439697265625,0.0005745887756347656,1102,10,2.841796875,6.120596739285795,8.9453125,13.7109375,0.34765625,,,2.563472392503777,0.113525390625,11.28125,0.044281005859375,0.00986480712890625,2.9309428088276515,0.416259765625,11.0390625,0.1419677734375,0.035064697265625,2.3208749086533187,0.7109375,9.84375,0.306396484375,0.0631103515625,2.320484016375942,0.294189453125,10.6796875,0.126708984375,0.0261077880859375,1.2708642824277918,0.00821685791015625,10.1953125,0.006465911865234375,0.000804901123046875,0.14190371246157507
9,train,noise,0.46028566360473633,77.8125,79.0625,1.7646484375,3.298828125,3.88671875,1226,10,6.6758200335364055,7.58203125,10.296875,2.44140625,0.263916015625,,,0.11465971256803309,10.086825667978504,2.563472392503777,0.06494140625,10.015625,0.02532958984375,0.00640106201171875,2.9309428088276523,0.32421875,9.859375,0.11065673828125,0.030853271484375,2.3208749086533187,0.454345703125,8.9921875,0.19580078125,0.0458984375,2.320484016375942,0.1551513671875,9.59375,0.06689453125,0.0156707763671875,1.2708642824277918,0.0048675537109375,8.84375,0.0038280487060546875,0.0005497932434082031,1214,10,2.810546875,6.333367402328547,9.1328125,13.8046875,0.33837890625,,,2.563472392503777,0.11456298828125,11.46875,0.044708251953125,0.009796142578125,2.9309428088276523,0.429931640625,11.203125,0.146728515625,0.03564453125,2.3208749086533187,0.7158203125,10.0234375,0.308349609375,0.062469482421875,2.320484016375942,0.27880859375,10.8984375,0.1201171875,0.0243377685546875,1.2708642824277918,0.007598876953125,10.390625,0.0059814453125,0.0007305145263671875,0.13638320607809853
10,train,noise,0.45188000798225403,77.875,78.75,1.8388671875,3.36328125,3.962890625,1315,10,6.904994848491355,7.87890625,10.46875,2.44140625,0.2474365234375,,,0.11803884498358523,10.086825667978488,2.563472392503777,0.06964111328125,10.3046875,0.0271759033203125,0.006671905517578125,2.9309428088276523,0.340576171875,10.1328125,0.1162109375,0.031524658203125,2.3208749086533187,0.451171875,9.296875,0.1943359375,0.044219970703125,2.320484016375942,0.1456298828125,9.90625,0.062744140625,0.01427459716796875,1.2708642824277918,0.00542449951171875,9.140625,0.004268646240234375,0.0005931854248046875,1297,10,2.806640625,6.5889653959852925,9.5390625,14.046875,0.32080078125,,,2.563472392503777,0.121826171875,11.859375,0.047515869140625,0.01006317138671875,2.9309428088276523,0.452392578125,11.5703125,0.154296875,0.0362548828125,2.3208749086533187,0.6962890625,10.46875,0.300048828125,0.058685302734375,2.320484016375942,0.265625,11.328125,0.11444091796875,0.0223846435546875,1.2708642824277918,0.00811767578125,10.796875,0.006389617919921875,0.0007510185241699219,0.13997154187482627
