epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_shape_nn,mutual_info_msg_shape_nn,variation_of_info_msg_shape_nn,proficiency_msg_shape_nn,redundancy_msg_shape_nn,entropy_color_nn,mutual_info_msg_color_nn,variation_of_info_msg_color_nn,proficiency_msg_color_nn,redundancy_msg_color_nn,entropy_xpos_nn,mutual_info_msg_xpos_nn,variation_of_info_msg_xpos_nn,proficiency_msg_xpos_nn,redundancy_msg_xpos_nn,entropy_ypos_nn,mutual_info_msg_ypos_nn,variation_of_info_msg_ypos_nn,proficiency_msg_ypos_nn,redundancy_msg_ypos_nn,entropy_rotation_nn,mutual_info_msg_rotation_nn,variation_of_info_msg_rotation_nn,proficiency_msg_rotation_nn,redundancy_msg_rotation_nn,topsim_nn
1,train,noise,1.2321192026138306,39.125,39.125,0.95458984375,1.6923828125,1.6923828125,927,11,6.476753475313104,6.453125,7.11328125,0.822265625,0.09295654296875,,,0.11283866225949937,10.086825667978518,2.563472392503777,0.015289306640625,8.984375,0.005962371826171875,0.0016956329345703125,2.9309428088276515,0.06646728515625,9.25,0.022674560546875,0.007083892822265625,2.3208749086533187,0.358154296875,8.0546875,0.154296875,0.040802001953125,2.320484016375942,0.035400390625,8.703125,0.01525115966796875,0.004032135009765625,1.2708642824277918,0.00481414794921875,7.71484375,0.003787994384765625,0.0006232261657714844,733,10,0.84619140625,6.15680866373886,6.1171875,6.86328125,0.10858154296875,,,2.563472392503777,0.0157470703125,8.6484375,0.00614166259765625,0.0018138885498046875,2.9309428088276515,0.06768798828125,8.9140625,0.0230865478515625,0.007480621337890625,2.3208749086533187,0.36083984375,7.71484375,0.1553955078125,0.042755126953125,2.320484016375942,0.03558349609375,8.3671875,0.01534271240234375,0.00421905517578125,1.2708642824277918,0.00489044189453125,7.37890625,0.003849029541015625,0.0006623268127441406,0.12032134971386789
2,train,noise,0.7353355288505554,61.84375,61.96875,1.1640625,1.7177734375,1.7177734375,631,11,5.696101057144857,5.93359375,7.53515625,1.1201171875,0.2127685546875,,,0.12419590582743487,10.086825667978484,2.563472392503777,0.0594482421875,8.375,0.023193359375,0.00699615478515625,2.9309428088276515,0.283203125,8.296875,0.09661865234375,0.031951904296875,2.3208749086533187,0.69287109375,6.8671875,0.298583984375,0.083984375,2.320484016375942,0.12335205078125,8.0078125,0.053131103515625,0.01494598388671875,1.2708642824277918,0.00705718994140625,7.1875,0.005550384521484375,0.0009794235229492188,509,10,1.1982421875,5.244721109284532,5.46484375,7.27734375,0.248779296875,,,2.563472392503777,0.06048583984375,7.91015625,0.0236053466796875,0.007534027099609375,2.9309428088276515,0.287841796875,7.8203125,0.09820556640625,0.034271240234375,2.3208749086533187,0.6962890625,6.39453125,0.300048828125,0.08941650390625,2.320484016375942,0.12353515625,7.5390625,0.05322265625,0.015869140625,1.2708642824277918,0.00708770751953125,6.72265625,0.00557708740234375,0.0010519027709960938,0.13120329733094113
3,train,noise,0.620178759098053,68.0,68.125,1.33984375,1.74609375,1.74609375,604,11,5.756672680097186,6.2109375,7.65625,1.1279296875,0.18896484375,,,0.09463454407533582,10.086825667978504,2.563472392503777,0.057220458984375,8.65625,0.022308349609375,0.006519317626953125,2.930942808827651,0.287353515625,8.5625,0.0980224609375,0.03143310546875,2.3208749086533187,0.701171875,7.12890625,0.302001953125,0.08221435546875,2.320484016375942,0.1640625,8.203125,0.0706787109375,0.0192413330078125,1.2708642824277918,0.0069427490234375,7.46484375,0.005462646484375,0.0009284019470214844,476,10,1.2041015625,5.299627300765791,5.75390625,7.390625,0.2218017578125,,,2.563472392503777,0.058074951171875,8.203125,0.02264404296875,0.00698089599609375,2.930942808827651,0.291015625,8.1015625,0.09930419921875,0.033538818359375,2.3208749086533187,0.70458984375,6.6640625,0.303466796875,0.0872802734375,2.320484016375942,0.1644287109375,7.74609375,0.07086181640625,0.020355224609375,1.2708642824277918,0.006999969482421875,7.0078125,0.0055084228515625,0.0009965896606445312,0.10252781310589218
4,train,noise,0.5814218521118164,69.6875,69.75,1.5,1.8173828125,1.8173828125,612,11,5.798605522084864,6.359375,7.89453125,1.185546875,0.1943359375,,,0.1258422641263251,10.08682566797852,2.563472392503777,0.058563232421875,8.8046875,0.0228424072265625,0.006565093994140625,2.9309428088276515,0.296630859375,8.6953125,0.1011962890625,0.03192138671875,2.3208749086533187,0.70263671875,7.2734375,0.302734375,0.0809326171875,2.320484016375942,0.1644287109375,8.3515625,0.07086181640625,0.0189361572265625,1.2708642824277918,0.007965087890625,7.61328125,0.006267547607421875,0.0010433197021484375,496,10,1.271484375,5.290095384681378,5.87890625,7.6171875,0.2281494140625,,,2.563472392503777,0.059722900390625,8.328125,0.0233001708984375,0.00707244873046875,2.9309428088276515,0.302001953125,8.2109375,0.10302734375,0.034271240234375,2.3208749086533187,0.70654296875,6.7890625,0.304443359375,0.08612060546875,2.320484016375942,0.1646728515625,7.87109375,0.07098388671875,0.02008056640625,1.2708642824277918,0.008026123046875,7.13671875,0.006317138671875,0.0011224746704101562,0.13157115050309492
5,train,noise,0.5267343521118164,73.625,74.1875,1.681640625,1.9140625,1.9140625,640,11,6.034148655192175,6.8671875,8.203125,1.2158203125,0.16259765625,,,0.11845708475703932,10.086825667978493,2.563472392503777,0.056732177734375,9.3203125,0.022125244140625,0.006015777587890625,2.9309428088276515,0.2744140625,9.25,0.0936279296875,0.0279998779296875,2.3208749086533187,0.69921875,7.7890625,0.30126953125,0.07611083984375,2.320484016375942,0.1624755859375,8.8671875,0.07000732421875,0.0176849365234375,1.2708642824277918,0.0080108642578125,8.125,0.006305694580078125,0.00098419189453125,498,10,1.294921875,5.524617506464464,6.3984375,7.91015625,0.1915283203125,,,2.563472392503777,0.058502197265625,8.84375,0.0228118896484375,0.006526947021484375,2.9309428088276515,0.28125,8.765625,0.095947265625,0.0301513671875,2.3208749086533187,0.705078125,7.30859375,0.3037109375,0.08087158203125,2.320484016375942,0.1630859375,8.390625,0.07025146484375,0.018707275390625,1.2708642824277918,0.00809478759765625,7.65234375,0.00637054443359375,0.0010557174682617188,0.12585605515103335
6,train,noise,0.49504753947257996,74.8125,75.25,1.732421875,1.9755859375,1.9755859375,636,11,6.125153073494515,7.015625,8.3828125,1.26953125,0.1629638671875,,,0.12236225496879356,10.086825667978506,2.563472392503777,0.0625,9.453125,0.024383544921875,0.00652313232421875,2.9309428088276523,0.27978515625,9.390625,0.09539794921875,0.028106689453125,2.3208749086533187,0.6953125,7.94921875,0.299560546875,0.074462890625,2.320484016375942,0.16796875,9.0,0.0723876953125,0.0179901123046875,1.2708642824277918,0.0079345703125,8.2734375,0.0062408447265625,0.0009570121765136719,483,10,1.357421875,5.5626907811601845,6.53125,8.0859375,0.192138671875,,,2.563472392503777,0.06488037109375,8.9609375,0.0253143310546875,0.00713348388671875,2.9309428088276523,0.288330078125,8.8828125,0.098388671875,0.030487060546875,2.3208749086533187,0.701171875,7.44921875,0.302001953125,0.0792236328125,2.320484016375942,0.1688232421875,8.515625,0.07275390625,0.019073486328125,1.2708642824277918,0.0080413818359375,7.78515625,0.00632476806640625,0.0010309219360351562,0.12635979250901033
7,train,noise,0.46510303020477295,77.3125,77.5625,1.82421875,1.99609375,1.99609375,611,11,6.191826331820491,7.15625,8.4296875,1.267578125,0.1514892578125,,,0.12953852286477016,10.086825667978507,2.563472392503777,0.06634521484375,9.5859375,0.02587890625,0.00682830810546875,2.9309428088276515,0.275634765625,9.53125,0.093994140625,0.0273284912109375,2.3208749086533187,0.70703125,8.0625,0.304443359375,0.0745849609375,2.320484016375942,0.16259765625,9.1484375,0.070068359375,0.0171661376953125,1.2708642824277918,0.00824737548828125,8.40625,0.006488800048828125,0.0009794235229492188,458,10,1.3525390625,5.623953530190019,6.67578125,8.1328125,0.1788330078125,,,2.563472392503777,0.06903076171875,9.1015625,0.0269317626953125,0.007472991943359375,2.9309428088276515,0.284912109375,9.0390625,0.09722900390625,0.0296630859375,2.3208749086533187,0.71337890625,7.5703125,0.307373046875,0.07928466796875,2.320484016375942,0.1636962890625,8.671875,0.070556640625,0.0182037353515625,1.2708642824277918,0.00836944580078125,7.9296875,0.006587982177734375,0.0010528564453125,0.13806195741965055
8,train,noise,0.42702195048332214,79.5625,79.75,1.869140625,1.9970703125,1.9970703125,590,11,6.168342840604927,7.15625,8.4296875,1.2802734375,0.1513671875,,,0.12456492122709073,10.086825667978507,2.563472392503777,0.0721435546875,9.578125,0.02813720703125,0.007419586181640625,2.9309428088276515,0.284423828125,9.515625,0.0970458984375,0.0281829833984375,2.3208749086533187,0.6962890625,8.0859375,0.300048828125,0.07342529296875,2.320484016375942,0.1640625,9.1484375,0.07073974609375,0.0173187255859375,1.2708642824277918,0.00901031494140625,8.40625,0.007091522216796875,0.0010690689086914062,443,10,1.35546875,5.613561154813147,6.67578125,8.1328125,0.1788330078125,,,2.563472392503777,0.0751953125,9.0859375,0.0293426513671875,0.00814056396484375,2.9309428088276515,0.294921875,9.015625,0.1005859375,0.03070068359375,2.3208749086533187,0.7021484375,7.59375,0.302490234375,0.0780029296875,2.320484016375942,0.16552734375,8.6640625,0.07135009765625,0.018402099609375,1.2708642824277918,0.00916290283203125,7.9296875,0.00720977783203125,0.0011529922485351562,0.1323122473716943
9,train,noise,0.41668641567230225,79.4375,79.8125,1.8984375,2.017578125,2.017578125,543,11,6.177356119891568,7.203125,8.5,1.2822265625,0.15234375,,,0.1316517257785613,10.086825667978495,2.563472392503777,0.07470703125,9.6171875,0.029144287109375,0.007648468017578125,2.9309428088276515,0.2880859375,9.5546875,0.0982666015625,0.028411865234375,2.3208749086533187,0.7021484375,8.1171875,0.302490234375,0.07373046875,2.320484016375942,0.1673583984375,9.1875,0.0721435546875,0.017578125,1.2708642824277918,0.00838470458984375,8.453125,0.00659942626953125,0.0009899139404296875,397,10,1.3623046875,5.611032930171481,6.71484375,8.1875,0.1800537109375,,,2.563472392503777,0.078125,9.125,0.0304718017578125,0.00841522216796875,2.9309428088276515,0.299072265625,9.046875,0.10198974609375,0.0309906005859375,2.3208749086533187,0.7080078125,7.62109375,0.30517578125,0.078369140625,2.320484016375942,0.1690673828125,8.6953125,0.07281494140625,0.018707275390625,1.2708642824277918,0.0085601806640625,7.96875,0.00673675537109375,0.001071929931640625,0.1382865179879756
10,train,noise,0.40171295404434204,80.1875,80.5625,1.927734375,2.017578125,2.017578125,497,11,6.080591785288072,7.22265625,8.4921875,1.2802734375,0.1494140625,,,0.12586699964028328,10.08682566797851,2.563472392503777,0.0755615234375,9.6328125,0.02947998046875,0.007724761962890625,2.930942808827651,0.2890625,9.578125,0.0986328125,0.0284576416015625,2.3208749086533187,0.6943359375,8.15625,0.299072265625,0.07275390625,2.320484016375942,0.171142578125,9.203125,0.07373046875,0.0179290771484375,1.2708642824277918,0.00861358642578125,8.4765625,0.00677490234375,0.0010137557983398438,369,10,1.375,5.470268264771763,6.7421875,8.1875,0.176513671875,,,2.563472392503777,0.0792236328125,9.1484375,0.030914306640625,0.008514404296875,2.930942808827651,0.30078125,9.0703125,0.1026611328125,0.031097412109375,2.3208749086533187,0.70068359375,7.66015625,0.3017578125,0.07733154296875,2.320484016375942,0.1728515625,8.71875,0.07452392578125,0.019073486328125,1.2708642824277918,0.008758544921875,7.99609375,0.006893157958984375,0.0010938644409179688,0.13562549557894543
