epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_shape_nn,mutual_info_msg_shape_nn,variation_of_info_msg_shape_nn,proficiency_msg_shape_nn,redundancy_msg_shape_nn,entropy_color_nn,mutual_info_msg_color_nn,variation_of_info_msg_color_nn,proficiency_msg_color_nn,redundancy_msg_color_nn,entropy_xpos_nn,mutual_info_msg_xpos_nn,variation_of_info_msg_xpos_nn,proficiency_msg_xpos_nn,redundancy_msg_xpos_nn,entropy_ypos_nn,mutual_info_msg_ypos_nn,variation_of_info_msg_ypos_nn,proficiency_msg_ypos_nn,redundancy_msg_ypos_nn,entropy_rotation_nn,mutual_info_msg_rotation_nn,variation_of_info_msg_rotation_nn,proficiency_msg_rotation_nn,redundancy_msg_rotation_nn,topsim_nn
1,train,noise,1.1133973598480225,42.5625,42.65625,0.9033203125,2.69140625,2.69140625,662,10,5.955332064868131,8.0703125,9.359375,1.9404296875,0.137939453125,,,0.12496853832965057,10.086825667978495,2.563472392503777,0.0075836181640625,10.6171875,0.0029582977294921875,0.000713348388671875,2.9309428088276515,0.2120361328125,10.5703125,0.07232666015625,0.0192718505859375,2.3208749086533187,0.228759765625,9.9296875,0.09857177734375,0.0220184326171875,2.320484016375942,0.00330352783203125,10.3828125,0.001422882080078125,0.0003180503845214844,1.2708642824277918,0.0014629364013671875,9.3359375,0.0011510848999023438,0.00015664100646972656,670,10,1.9375,5.972158911631944,5.92578125,9.359375,0.36669921875,,,2.563472392503777,0.0106658935546875,8.46875,0.004161834716796875,0.0012569427490234375,2.9309428088276515,0.299072265625,8.2578125,0.10205078125,0.03375244140625,2.3208749086533187,0.334228515625,7.578125,0.14404296875,0.04052734375,2.320484016375942,0.007183074951171875,8.234375,0.0030956268310546875,0.0008711814880371094,1.2708642824277918,0.0022983551025390625,7.19140625,0.0018091201782226562,0.00031948089599609375,0.1261607458293775
2,train,noise,0.6674851775169373,64.25,64.8125,1.333984375,2.912109375,2.912109375,468,10,5.211229138540821,8.2109375,9.5703125,2.228515625,0.142333984375,,,0.13825058926837838,10.0868256679785,2.563472392503777,0.0135345458984375,10.7421875,0.005279541015625,0.0012569427490234375,2.9309428088276523,0.459228515625,10.21875,0.1566162109375,0.041229248046875,2.3208749086533187,0.408935546875,9.7109375,0.1761474609375,0.038848876953125,2.320484016375942,0.015167236328125,10.5,0.006534576416015625,0.0014400482177734375,1.2708642824277918,0.001766204833984375,9.4765625,0.0013895034790039062,0.0001863241195678711,457,10,2.2265625,5.183358259262007,5.9296875,9.5703125,0.38037109375,,,2.563472392503777,0.0214691162109375,8.453125,0.0083770751953125,0.0025272369384765625,2.9309428088276523,0.7294921875,7.40234375,0.2489013671875,0.08233642578125,2.3208749086533187,0.7275390625,6.796875,0.3134765625,0.08819580078125,2.320484016375942,0.029815673828125,8.1875,0.01285552978515625,0.0036144256591796875,1.2708642824277918,0.0033588409423828125,7.1953125,0.002643585205078125,0.0004665851593017578,0.13749125120389738
3,train,noise,0.5648141503334045,70.5625,70.5625,1.4560546875,2.962890625,2.962890625,341,10,4.750896554622457,8.1484375,9.5546875,2.298828125,0.1473388671875,,,0.15165236809742536,10.086825667978498,2.563472392503777,0.01459503173828125,10.6796875,0.0056915283203125,0.0013628005981445312,2.9309428088276515,0.48291015625,10.109375,0.164794921875,0.043609619140625,2.3208749086533187,0.448486328125,9.5703125,0.1932373046875,0.0428466796875,2.320484016375942,0.01393890380859375,10.4375,0.00600433349609375,0.001331329345703125,1.2708642824277918,0.001857757568359375,9.4140625,0.0014619827270507812,0.00019729137420654297,324,10,2.302734375,4.71834157711923,5.7421875,9.5546875,0.399169921875,,,2.563472392503777,0.0229949951171875,8.2578125,0.00897216796875,0.00276947021484375,2.9309428088276515,0.75146484375,7.16796875,0.25634765625,0.086669921875,2.3208749086533187,0.810546875,6.44140625,0.34912109375,0.10052490234375,2.320484016375942,0.028900146484375,8.0,0.01245880126953125,0.0035858154296875,1.2708642824277918,0.00368499755859375,7.00390625,0.002899169921875,0.0005254745483398438,0.15346650376137808
4,train,noise,0.5198599696159363,71.75,71.6875,1.5263671875,2.98046875,2.98046875,267,10,4.698587912163273,8.1640625,9.5390625,2.279296875,0.1439208984375,,,0.15461498663883697,10.086825667978497,2.563472392503777,0.01480865478515625,10.703125,0.00577545166015625,0.0013799667358398438,2.9309428088276523,0.47900390625,10.140625,0.1634521484375,0.043182373046875,2.3208749086533187,0.4541015625,9.578125,0.195556640625,0.04327392578125,2.320484016375942,0.0182952880859375,10.453125,0.00788116455078125,0.0017442703247070312,1.2708642824277918,0.0021514892578125,9.4375,0.0016918182373046875,0.00022780895233154297,252,10,2.28125,4.656331809376333,5.7890625,9.5390625,0.393310546875,,,2.563472392503777,0.025177001953125,8.3046875,0.00982666015625,0.0030155181884765625,2.9309428088276523,0.75830078125,7.203125,0.258544921875,0.08697509765625,2.3208749086533187,0.826171875,6.45703125,0.35595703125,0.10186767578125,2.320484016375942,0.035491943359375,8.0390625,0.01529693603515625,0.0043792724609375,1.2708642824277918,0.004611968994140625,7.05078125,0.0036296844482421875,0.0006537437438964844,0.15480977462133325
5,train,noise,0.4964407682418823,73.625,73.625,1.6240234375,2.990234375,2.990234375,270,10,4.677949267697801,8.125,9.53125,2.279296875,0.1475830078125,,,0.16869016645951115,10.086825667978507,2.563472392503777,0.0140228271484375,10.65625,0.00547027587890625,0.001312255859375,2.9309428088276515,0.447998046875,10.15625,0.15283203125,0.04052734375,2.3208749086533187,0.490966796875,9.4609375,0.2115478515625,0.0469970703125,2.320484016375942,0.0229034423828125,10.3984375,0.00986480712890625,0.002193450927734375,1.2708642824277918,0.002292633056640625,9.390625,0.001804351806640625,0.000244140625,249,10,2.279296875,4.607701810158776,5.6875,9.53125,0.4033203125,,,2.563472392503777,0.0241851806640625,8.203125,0.00943756103515625,0.0029315948486328125,2.9309428088276515,0.73681640625,7.14453125,0.25146484375,0.08551025390625,2.3208749086533187,0.8818359375,6.2421875,0.380126953125,0.11016845703125,2.320484016375942,0.04376220703125,7.91796875,0.01885986328125,0.005466461181640625,1.2708642824277918,0.005100250244140625,6.9453125,0.0040130615234375,0.0007328987121582031,0.17001663645682707
6,train,noise,0.46599751710891724,75.5,75.625,1.6416015625,2.99609375,2.99609375,228,10,4.6523307386252535,8.140625,9.5234375,2.2421875,0.1451416015625,,,0.1564663477755725,10.086825667978497,2.563472392503777,0.01409149169921875,10.671875,0.005496978759765625,0.0013170242309570312,2.9309428088276515,0.44873046875,10.171875,0.153076171875,0.04052734375,2.3208749086533187,0.5029296875,9.453125,0.2166748046875,0.048065185546875,2.320484016375942,0.0240478515625,10.4140625,0.01036834716796875,0.002300262451171875,1.2708642824277918,0.0024051666259765625,9.40625,0.00189208984375,0.000255584716796875,220,10,2.263671875,4.565109193923773,5.71484375,9.5234375,0.399658203125,,,2.563472392503777,0.025054931640625,8.2265625,0.00977325439453125,0.0030269622802734375,2.9309428088276515,0.74072265625,7.16796875,0.252685546875,0.08563232421875,2.3208749086533187,0.89990234375,6.23828125,0.3876953125,0.11199951171875,2.320484016375942,0.04534912109375,7.9453125,0.0195465087890625,0.005641937255859375,1.2708642824277918,0.00531768798828125,6.9765625,0.004184722900390625,0.0007610321044921875,0.1590662989163653
7,train,noise,0.4579862952232361,75.9375,76.0,1.669921875,2.998046875,2.998046875,202,10,4.483971930501463,8.0703125,9.515625,2.255859375,0.15234375,,,0.16581716317848222,10.08682566797851,2.563472392503777,0.0135650634765625,10.6015625,0.005290985107421875,0.0012760162353515625,2.9309428088276515,0.44384765625,10.109375,0.1513671875,0.04034423828125,2.3208749086533187,0.5263671875,9.3359375,0.226806640625,0.050689697265625,2.320484016375942,0.0202789306640625,10.34375,0.0087432861328125,0.001953125,1.2708642824277918,0.002574920654296875,9.3359375,0.0020275115966796875,0.0002758502960205078,185,10,2.27734375,4.376344640707812,5.5390625,9.515625,0.41796875,,,2.563472392503777,0.0234527587890625,8.0546875,0.00914764404296875,0.002895355224609375,2.9309428088276515,0.732421875,7.00390625,0.2498779296875,0.08642578125,2.3208749086533187,0.93603515625,5.98828125,0.4033203125,0.11907958984375,2.320484016375942,0.0379638671875,7.78515625,0.016357421875,0.004833221435546875,1.2708642824277918,0.00555419921875,6.796875,0.004367828369140625,0.0008153915405273438,0.16647181057361482
8,train,noise,0.4292619824409485,77.5,77.5625,1.6396484375,2.998046875,2.998046875,199,10,4.564472060430153,8.1015625,9.515625,2.25,0.1485595703125,,,0.18097492154453226,10.086825667978504,2.563472392503777,0.0144195556640625,10.6328125,0.00562286376953125,0.0013523101806640625,2.9309428088276523,0.4599609375,10.109375,0.156982421875,0.041717529296875,2.3208749086533187,0.52783203125,9.3671875,0.2274169921875,0.0506591796875,2.320484016375942,0.021697998046875,10.375,0.00934600830078125,0.0020809173583984375,1.2708642824277918,0.002613067626953125,9.3671875,0.002056121826171875,0.00027871131896972656,185,10,2.275390625,4.430423629953322,5.59765625,9.515625,0.41162109375,,,2.563472392503777,0.0261688232421875,8.109375,0.0102081298828125,0.003208160400390625,2.9309428088276523,0.755859375,7.015625,0.258056640625,0.08868408203125,2.3208749086533187,0.9462890625,6.0234375,0.40771484375,0.1195068359375,2.320484016375942,0.041107177734375,7.8359375,0.0177154541015625,0.005191802978515625,1.2708642824277918,0.005832672119140625,6.85546875,0.004589080810546875,0.0008492469787597656,0.18544073065221192
9,train,noise,0.41115954518318176,78.125,78.3125,1.6884765625,3.0,3.0,202,10,4.603704582929686,8.125,9.515625,2.23828125,0.1455078125,,,0.16991137379243845,10.086825667978504,2.563472392503777,0.01470947265625,10.6640625,0.0057373046875,0.0013761520385742188,2.9309428088276523,0.459716796875,10.140625,0.1568603515625,0.04156494140625,2.3208749086533187,0.5361328125,9.375,0.23095703125,0.051300048828125,2.320484016375942,0.0206756591796875,10.40625,0.0089111328125,0.001979827880859375,1.2708642824277918,0.002895355224609375,9.390625,0.002277374267578125,0.00030803680419921875,181,10,2.271484375,4.455538217272318,5.6484375,9.515625,0.40625,,,2.563472392503777,0.02667236328125,8.15625,0.010406494140625,0.0032482147216796875,2.9309428088276523,0.75341796875,7.0703125,0.257080078125,0.08782958984375,2.3208749086533187,0.95947265625,6.05078125,0.413330078125,0.12042236328125,2.320484016375942,0.03857421875,7.890625,0.016632080078125,0.004840850830078125,1.2708642824277918,0.0065460205078125,6.90625,0.00514984130859375,0.0009465217590332031,0.17181141001418615
10,train,noise,0.406995564699173,79.6875,79.5625,1.697265625,3.0,3.0,169,10,4.440968112799318,8.0859375,9.5078125,2.251953125,0.1495361328125,,,0.17543339375921949,10.086825667978484,2.563472392503777,0.015472412109375,10.625,0.00603485107421875,0.0014524459838867188,2.9309428088276523,0.4658203125,10.0859375,0.158935546875,0.042266845703125,2.3208749086533187,0.544921875,9.3203125,0.2347412109375,0.052337646484375,2.320484016375942,0.019500732421875,10.3671875,0.00839996337890625,0.001873016357421875,1.2708642824277918,0.0029468536376953125,9.3515625,0.0023193359375,0.00031495094299316406,152,10,2.30078125,4.223892130045979,5.55078125,9.5078125,0.41650390625,,,2.563472392503777,0.028411865234375,8.0546875,0.011077880859375,0.0034999847412109375,2.9309428088276523,0.7578125,6.96484375,0.258544921875,0.08935546875,2.3208749086533187,0.97021484375,5.9296875,0.41796875,0.123291015625,2.320484016375942,0.036102294921875,7.796875,0.01556396484375,0.004589080810546875,1.2708642824277918,0.006683349609375,6.80859375,0.005260467529296875,0.000980377197265625,0.1770268589619841
