epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.5866202116012573,71.5,72.1875,1.427734375,1.740234375,1.740234375,822,11,5.746049997030723,6.1171875,8.0546875,1.1337890625,0.240234375,,,0.110429201387953,8.596779236071269,2.2578125,10.203125,0.262451171875,0.1534423828125,3.4703042186525344,0.876953125,7.83203125,0.252685546875,0.09149169921875,663,10,1.2548828125,5.091173446327731,5.390625,7.88671875,0.31640625,,,8.596779236071269,2.36328125,9.265625,0.27490234375,0.1689453125,3.4703042186525344,0.92041015625,7.0234375,0.26513671875,0.10382080078125,0.1379799166308412
2,train,noise,0.2965553402900696,86.125,87.4375,1.8876953125,1.9365234375,1.9365234375,333,11,5.635716731816711,6.6875,8.2109375,1.31640625,0.185546875,,,0.12958551010365338,8.589173584290352,2.470703125,10.3359375,0.28759765625,0.1617431640625,3.4671498527152087,1.0458984375,8.0625,0.301513671875,0.10296630859375,214,10,1.4970703125,4.747093871028403,6.0390625,8.0390625,0.2490234375,,,8.589173584290352,2.638671875,9.3515625,0.30712890625,0.180419921875,3.4671498527152087,1.1240234375,7.2578125,0.32421875,0.1182861328125,0.17891146317609166
3,train,noise,0.19318750500679016,91.3125,92.75,2.068359375,1.9951171875,1.9951171875,334,11,6.021105235574262,6.9453125,8.390625,1.3271484375,0.1719970703125,,,0.15612113176987588,8.594228542407214,2.736328125,10.0625,0.318359375,0.1761474609375,3.4706238679680563,1.19140625,8.03125,0.34326171875,0.11444091796875,212,10,1.49609375,5.160721713318296,6.27734375,8.2109375,0.2354736328125,,,8.594228542407214,2.953125,8.9609375,0.34375,0.1986083984375,3.4706238679680563,1.291015625,7.1640625,0.3720703125,0.1324462890625,0.21360173195447021
4,train,noise,0.1496911495923996,93.3125,94.6875,2.15625,2.046875,2.046875,316,11,6.074163604836393,7.07421875,8.4375,1.3662109375,0.16162109375,,,0.13605307450032839,8.59655703281459,2.853515625,9.9609375,0.33203125,0.18212890625,3.480563189959795,1.2255859375,8.1015625,0.35205078125,0.1160888671875,201,10,1.546875,5.139826327575293,6.41015625,8.2578125,0.22412109375,,,8.59655703281459,3.087890625,8.828125,0.359375,0.205810546875,3.480563189959795,1.3291015625,7.23046875,0.3818359375,0.1343994140625,0.18673140369082994
5,train,noise,0.12241579592227936,94.5625,95.6875,2.1875,2.056640625,2.056640625,347,11,6.257385832802789,7.19921875,8.515625,1.3544921875,0.1541748046875,,,0.1426933256214201,8.59256703175391,2.951171875,9.890625,0.343505859375,0.1868896484375,3.479212660260831,1.2705078125,8.140625,0.365234375,0.11895751953125,204,10,1.52734375,5.323006685126471,6.53125,8.3359375,0.216064453125,,,8.59256703175391,3.201171875,8.71875,0.37255859375,0.211669921875,3.479212660260831,1.3837890625,7.24609375,0.397705078125,0.13818359375,0.19662384294189283
6,train,noise,0.1086265966296196,95.25,96.375,2.341796875,2.123046875,2.123046875,349,11,6.419630165081645,7.2578125,8.6796875,1.3935546875,0.1634521484375,,,0.15473337415707158,8.596761561191844,2.9453125,9.96875,0.342529296875,0.185791015625,3.463994183449106,1.28515625,8.1484375,0.37109375,0.119873046875,207,10,1.5830078125,5.453999399320233,6.5546875,8.4921875,0.22802734375,,,8.596761561191844,3.203125,8.7421875,0.37255859375,0.21142578125,3.463994183449106,1.3984375,7.21875,0.40380859375,0.1396484375,0.21174182263977215
7,train,noise,0.09364273399114609,96.0,97.0,2.419921875,2.154296875,2.154296875,358,11,6.510388136505134,7.3671875,8.7734375,1.427734375,0.1600341796875,,,0.16281900397505808,8.599436858254181,2.96484375,10.0390625,0.3447265625,0.1856689453125,3.483883089201017,1.296875,8.2578125,0.372314453125,0.1195068359375,210,10,1.626953125,5.530447788696274,6.66015625,8.578125,0.223876953125,,,8.599436858254181,3.232421875,8.796875,0.3759765625,0.2117919921875,3.483883089201017,1.4130859375,7.31640625,0.405517578125,0.1392822265625,0.21845047784591695
8,train,noise,0.08397708833217621,96.4375,97.375,2.435546875,2.171875,2.171875,345,11,6.575134278613982,7.33984375,8.734375,1.4462890625,0.1597900390625,,,0.17189215535379784,8.594386188466286,3.0390625,9.8515625,0.353759765625,0.1907958984375,3.4752195066829943,1.322265625,8.171875,0.38037109375,0.12225341796875,203,10,1.654296875,5.5816283808037515,6.62890625,8.546875,0.22412109375,,,8.594386188466286,3.314453125,8.59375,0.3857421875,0.2176513671875,3.4752195066829943,1.4443359375,7.21875,0.41552734375,0.1429443359375,0.21707416510016325
9,train,noise,0.07592497020959854,96.75,97.625,2.4375,2.15625,2.15625,352,11,6.627894404266383,7.38671875,8.71875,1.439453125,0.1529541015625,,,0.14553945824543071,8.594810587977522,3.087890625,9.8046875,0.359130859375,0.1932373046875,3.463267307195143,1.3232421875,8.203125,0.3818359375,0.12188720703125,206,10,1.646484375,5.6498808688070605,6.68359375,8.53125,0.2169189453125,,,8.594810587977522,3.3671875,8.5390625,0.391845703125,0.220458984375,3.463267307195143,1.4501953125,7.2421875,0.4189453125,0.1429443359375,0.19396949881710973
10,train,noise,0.0695548951625824,97.0,97.8125,2.44921875,2.16796875,2.16796875,354,11,6.641821023360839,7.421875,8.84375,1.447265625,0.160888671875,,,0.14214871507738353,8.592830324255559,3.056640625,9.90625,0.355712890625,0.19091796875,3.4817229817084123,1.337890625,8.2265625,0.38427734375,0.1226806640625,209,10,1.65625,5.6592245935244225,6.6875,8.65625,0.22705078125,,,8.592830324255559,3.341796875,8.6015625,0.388916015625,0.2186279296875,3.4817229817084123,1.4638671875,7.2421875,0.42041015625,0.1439208984375,0.20172928198037796
