epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.49612581729888916,75.8125,75.9375,1.53125,2.318359375,2.318359375,796,10,5.463413031031357,6.453125,9.09375,1.6767578125,0.29052734375,,,0.2877902289416363,8.594974076906343,2.66796875,9.7109375,0.310302734375,0.17724609375,3.4874880493847207,1.22265625,7.49609375,0.350341796875,0.1229248046875,795,10,1.6767578125,5.465024597479785,5.98046875,9.09375,0.342529296875,,,8.594974076906343,2.81640625,8.9453125,0.32763671875,0.193115234375,3.4874880493847207,1.2734375,6.921875,0.364990234375,0.134521484375,0.28771432664745605
2,train,noise,0.25661394000053406,86.8125,86.875,1.583984375,2.45703125,2.45703125,263,10,5.108463971349193,6.41796875,9.046875,1.69921875,0.290283203125,,,0.26393911911819556,8.594477526034684,2.92578125,9.1640625,0.340576171875,0.1949462890625,3.473697809756126,1.341796875,7.2109375,0.38623046875,0.1356201171875,262,10,1.69921875,5.109822672356864,5.953125,9.046875,0.341796875,,,8.594477526034684,3.11328125,8.3203125,0.362060546875,0.2139892578125,3.473697809756126,1.416015625,6.59375,0.407470703125,0.150146484375,0.2626370541911701
3,train,noise,0.20906277000904083,88.875,88.875,1.65625,2.453125,2.453125,236,10,5.0649686934502265,6.25390625,9.0390625,1.6572265625,0.30810546875,,,0.264982993756056,8.59699680522798,3.037109375,8.7734375,0.353271484375,0.20458984375,3.487437126174584,1.3662109375,7.0078125,0.391845703125,0.1402587890625,235,10,1.6572265625,5.065749180208129,5.74609375,9.0390625,0.3642578125,,,8.59699680522798,3.2265625,7.890625,0.37548828125,0.2249755859375,3.487437126174584,1.4462890625,6.33984375,0.414794921875,0.1566162109375,0.2651064028142531
4,train,noise,0.1841474175453186,90.0625,90.0625,1.7548828125,2.453125,2.453125,176,10,4.727378929684055,6.21484375,9.09375,1.6689453125,0.31640625,,,0.29562810575417425,8.595664865263327,3.158203125,8.4921875,0.367431640625,0.2132568359375,3.4720877143718547,1.392578125,6.90234375,0.401123046875,0.143798828125,174,10,1.669921875,4.726385639337023,5.69140625,9.09375,0.3740234375,,,8.595664865263327,3.361328125,7.56640625,0.39111328125,0.2352294921875,3.4720877143718547,1.4755859375,6.21484375,0.425048828125,0.1610107421875,0.29536949182931616
5,train,noise,0.16594257950782776,90.9375,90.9375,1.8798828125,2.458984375,2.458984375,156,10,4.684220063662857,6.23046875,9.0703125,1.6845703125,0.3134765625,,,0.2661058250084575,8.596023079117497,3.208984375,8.40625,0.373291015625,0.2164306640625,3.4784406339081264,1.4091796875,6.890625,0.405029296875,0.1451416015625,156,10,1.6845703125,4.68521510496034,5.71484375,9.0703125,0.3701171875,,,8.596023079117497,3.41015625,7.4921875,0.396728515625,0.23828125,3.4784406339081264,1.4931640625,6.20703125,0.429443359375,0.1624755859375,0.26617700120044147
6,train,noise,0.14875566959381104,92.0625,92.0625,1.9775390625,2.462890625,2.462890625,138,10,4.68352326680825,6.41015625,9.109375,1.69921875,0.296630859375,,,0.2618302582432883,8.594556836066866,3.3203125,8.3671875,0.38623046875,0.2213134765625,3.4787803448208003,1.439453125,7.0078125,0.413818359375,0.1456298828125,136,10,1.69921875,4.683099560622822,5.92578125,9.109375,0.349853515625,,,8.594556836066866,3.546875,7.421875,0.412841796875,0.244384765625,3.4787803448208003,1.5341796875,6.33203125,0.441162109375,0.1632080078125,0.26196301944736317
7,train,noise,0.1276099681854248,93.3125,93.3125,1.9560546875,2.462890625,2.462890625,155,10,4.9339689829748155,6.63671875,9.1015625,1.6875,0.270751953125,,,0.2720466932184158,8.59711614307452,3.494140625,8.2421875,0.406494140625,0.2293701171875,3.475250862481281,1.525390625,7.0625,0.43896484375,0.15087890625,154,10,1.6875,4.934958722886919,6.1875,9.1015625,0.3203125,,,8.59711614307452,3.74609375,7.29296875,0.435546875,0.25341796875,3.475250862481281,1.634765625,6.39453125,0.470458984375,0.169189453125,0.27225540203830983
8,train,noise,0.10729897767305374,94.625,94.6875,1.9775390625,2.466796875,2.466796875,179,10,5.31231836814009,6.86328125,9.109375,1.5947265625,0.2470703125,,,0.2530834343600405,8.598545166212773,3.595703125,8.265625,0.418212890625,0.2325439453125,3.478285494252827,1.5703125,7.19921875,0.451416015625,0.15185546875,178,10,1.5947265625,5.312400403415943,6.4375,9.109375,0.29345703125,,,8.598545166212773,3.8671875,7.3046875,0.44970703125,0.257080078125,3.478285494252827,1.6875,6.54296875,0.485107421875,0.170166015625,0.2528380744530173
9,train,noise,0.09119172394275665,95.5625,95.5625,1.9912109375,2.4765625,2.4765625,196,10,5.47656152204217,6.828125,9.125,1.5439453125,0.251953125,,,0.25115143337265167,8.597252734490056,3.7421875,7.9375,0.435302734375,0.24267578125,3.4805098870011686,1.6328125,7.04296875,0.468994140625,0.1583251953125,193,10,1.5439453125,5.476901124120971,6.390625,9.125,0.300048828125,,,8.597252734490056,4.01953125,6.9453125,0.4677734375,0.268310546875,3.4805098870011686,1.75390625,6.36328125,0.50390625,0.177734375,0.25103856384083245
10,train,noise,0.08103082329034805,96.0625,96.0625,2.00390625,2.4765625,2.4765625,208,10,5.543246455250026,7.0234375,9.125,1.541015625,0.22998046875,,,0.26594091183279694,8.59374108557091,3.806640625,8.0078125,0.44287109375,0.24365234375,3.4910565161006883,1.6748046875,7.1640625,0.479736328125,0.1593017578125,209,10,1.5400390625,5.5451913066975544,6.62890625,9.125,0.273193359375,,,8.59374108557091,4.1015625,7.01953125,0.477294921875,0.26953125,3.4910565161006883,1.8037109375,6.51171875,0.5166015625,0.17822265625,0.2654887328593069
11,train,noise,0.07314283400774002,96.5,96.5,1.9931640625,2.478515625,2.478515625,224,10,5.659313521034541,7.1015625,9.1484375,1.5126953125,0.223388671875,,,0.29495871218320463,8.596961289568878,3.892578125,7.9140625,0.452880859375,0.2479248046875,3.4576333823460867,1.7109375,7.13671875,0.494873046875,0.1619873046875,223,10,1.5126953125,5.660373412045322,6.703125,9.1484375,0.266845703125,,,8.596961289568878,4.1953125,6.91015625,0.488037109375,0.274169921875,3.4576333823460867,1.8447265625,6.47265625,0.53369140625,0.1815185546875,0.2939807991689754
12,train,noise,0.0662747174501419,96.75,96.75,2.005859375,2.484375,2.484375,221,10,5.817185914940922,7.20703125,9.1484375,1.5068359375,0.2122802734375,,,0.2661411117702895,8.598920447663003,3.962890625,7.87890625,0.4609375,0.250732421875,3.4933428042157435,1.728515625,7.24609375,0.49462890625,0.1614990234375,221,10,1.5068359375,5.818034450094216,6.828125,9.1484375,0.25390625,,,8.598920447663003,4.28125,6.86328125,0.497802734375,0.277587890625,3.4933428042157435,1.8701171875,6.578125,0.53564453125,0.1812744140625,0.2658296807269076
13,train,noise,0.05927024036645889,97.1875,97.25,2.044921875,2.48828125,2.48828125,235,10,5.939842778743924,7.27734375,9.140625,1.5078125,0.2039794921875,,,0.2806769349571447,8.59380031342756,4.01953125,7.83203125,0.4677734375,0.253173828125,3.4758755866098654,1.7822265625,7.1875,0.5126953125,0.165771484375,233,10,1.5078125,5.93914650905211,6.91015625,9.140625,0.244384765625,,,8.59380031342756,4.34375,6.81640625,0.50537109375,0.280029296875,3.4758755866098654,1.927734375,6.52734375,0.5546875,0.1856689453125,0.28034086581954115
14,train,noise,0.054427314549684525,97.4375,97.5,2.041015625,2.490234375,2.490234375,236,10,6.035778374056031,7.265625,9.1640625,1.466796875,0.2071533203125,,,0.28693245888581764,8.598955238844436,4.125,7.609375,0.47998046875,0.260009765625,3.4637190256444335,1.794921875,7.140625,0.51806640625,0.167236328125,236,10,1.466796875,6.034532158533198,6.8828125,9.1640625,0.2486572265625,,,8.598955238844436,4.46484375,6.55859375,0.51904296875,0.288330078125,3.4637190256444335,1.94921875,6.44921875,0.56298828125,0.1883544921875,0.28676260417168237
15,train,noise,0.050476305186748505,97.625,97.6875,2.05078125,2.48828125,2.48828125,233,10,6.102511110625087,7.3125,9.171875,1.4814453125,0.202392578125,,,0.25507224119734,8.59956244922023,4.17578125,7.5625,0.485595703125,0.262451171875,3.4913304094923747,1.8154296875,7.17578125,0.52001953125,0.16796875,234,10,1.48046875,6.100090281673566,6.9375,9.171875,0.2432861328125,,,8.59956244922023,4.51953125,6.5,0.525390625,0.290771484375,3.4913304094923747,1.9736328125,6.484375,0.5654296875,0.189208984375,0.25501742127398197
16,train,noise,0.047683294862508774,97.8125,97.875,2.03515625,2.482421875,2.482421875,240,10,6.176613448521068,7.40234375,9.1796875,1.4775390625,0.1934814453125,,,0.26325426700333776,8.5961828913496,4.2109375,7.578125,0.48974609375,0.26318359375,3.464842481098494,1.8095703125,7.24609375,0.5224609375,0.16650390625,240,10,1.4775390625,6.175880906247104,7.046875,9.1796875,0.232177734375,,,8.5961828913496,4.5625,6.51953125,0.53076171875,0.29150390625,3.464842481098494,1.9755859375,6.55859375,0.5703125,0.18798828125,0.2636177479304954
17,train,noise,0.043763067573308945,98.0,98.0,2.0234375,2.48046875,2.48046875,248,10,6.184473181110238,7.33984375,9.140625,1.484375,0.1971435546875,,,0.25597810777021707,8.594546162240514,4.3046875,7.328125,0.50048828125,0.27001953125,3.4671915681213585,1.853515625,7.1015625,0.53466796875,0.1715087890625,244,10,1.4833984375,6.181953160335679,6.9765625,9.140625,0.2369384765625,,,8.594546162240514,4.6640625,6.2421875,0.54248046875,0.299560546875,3.4671915681213585,2.0234375,6.3984375,0.58349609375,0.193603515625,0.2562361969311185
18,train,noise,0.041130099445581436,98.125,98.125,2.01953125,2.478515625,2.478515625,256,10,6.217866135399909,7.40625,9.15625,1.49609375,0.1912841796875,,,0.26653909549008026,8.593473084046163,4.3359375,7.328125,0.50439453125,0.27099609375,3.4750385713408907,1.8798828125,7.12109375,0.541015625,0.1727294921875,255,10,1.4951171875,6.216265027083483,7.046875,9.15625,0.230712890625,,,8.593473084046163,4.703125,6.234375,0.54736328125,0.300537109375,3.4750385713408907,2.052734375,6.4140625,0.5908203125,0.195068359375,0.2665744779967586
