epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,time_entropy_msg,entropy_msg_mc,time_entropy_msg_mc,max_rep,redundancy,KLD_train_test,KLD_test_train,MI_sent_received,topsim,entropy_attr,mutual_info_msg_attr,proficiency_msg_attr,entropy_shape,mutual_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_nn,time_entropy_msg_nn,time_entropy_msg_mc_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,mutual_info_msg_attr_nn,proficiency_msg_attr_nn,entropy_shape_nn,mutual_info_msg_shape_nn,proficiency_msg_shape_nn,redundancy_msg_shape_nn,entropy_color_nn,mutual_info_msg_color_nn,proficiency_msg_color_nn,redundancy_msg_color_nn,entropy_xpos_nn,mutual_info_msg_xpos_nn,proficiency_msg_xpos_nn,redundancy_msg_xpos_nn,entropy_ypos_nn,mutual_info_msg_ypos_nn,proficiency_msg_ypos_nn,redundancy_msg_ypos_nn,entropy_rotation_nn,mutual_info_msg_rotation_nn,proficiency_msg_rotation_nn,redundancy_msg_rotation_nn,topsim_nn
1,train,sent,1.1184849739074707,45.25,45.21875,0.82275390625,2.546875,2.546875,1075,10,8.1640625,9.8046875,0.8079934439156204,8.070524613033752,1.808346153004095,1.80078125,0.1673583984375,,,3.6393092640494524,0.16660442087590882,10.086951803081298,3.086920127245758,0.30603101784453707,2.5634801773639495,0.26669968600945726,0.10403813080532849,0.024871826171875,2.9309686518053804,0.42934869421737965,0.1464869622378646,0.0386962890625,2.320875273285566,0.7022210300439164,0.30256732799337877,0.0670166015625,2.320484517015999,0.24852683754353677,0.10710126946381314,0.023712158203125,1.271115473011929,0.12381148092835659,0.0974038028464741,0.01313018798828125,1071,10,1.80078125,6.08984375,9.8046875,6.007063598237358,1.1592362949158996,1.7138172341510653,0.378662109375,,,2.4277088738907766,0.2406781475003356,2.5634801773639495,0.19978450170162265,0.07793487285985684,0.0230865478515625,2.9309686518053804,0.3536696526430987,0.12066647400860116,0.039215087890625,2.320875273285566,0.6752092953532305,0.2909287298310369,0.08026123046875,2.320484517015999,0.1923024488218692,0.08287167934615586,0.0228729248046875,1.271115473011929,0.08816470598566717,0.06936010760435435,0.0119781494140625,0.16579079401531763
2,train,sent,0.7069821953773499,67.0625,66.9375,0.77734375,3.12890625,3.12890625,941,10,9.84375,12.0625,0.6705135549418628,9.764804891544262,1.7944170660339296,2.232421875,0.1839599609375,,,4.53211706604029,0.13986920495516075,10.086951803081298,3.986895460547995,0.3952527521079364,2.5634801773639495,0.3116081432781357,0.12155668143241319,0.025115966796875,2.9309686518053804,0.5610871590865845,0.1914340362326882,0.043914794921875,2.320875273285566,0.9626246460169412,0.41476793565653086,0.0791015625,2.320484517015999,0.3392482977132971,0.1461971821943245,0.02789306640625,1.271115473011929,0.13847940021157434,0.10894321023678921,0.01245880126953125,939,10,2.23046875,6.60546875,12.0625,6.56168533892297,1.5350052430294454,1.7191093128640205,0.45263671875,,,3.0384141984549036,0.3012222381717684,2.5634801773639495,0.1681653197919557,0.06560039795778007,0.018341064453125,2.9309686518053804,0.4249038263639404,0.14497044385043614,0.0445556640625,2.320875273285566,0.9337656858403482,0.4023334198905291,0.1046142578125,2.320484517015999,0.21938972917762278,0.09454479336916437,0.0245819091796875,1.271115473011929,0.06253446598918089,0.049196526450114283,0.00794219970703125,0.14055323512563003
3,train,sent,0.5960636734962463,72.5625,72.8125,0.93701171875,3.458984375,3.458984375,813,10,10.453125,13.03125,1.0538242789916694,10.36563379858777,1.806115560932085,2.5859375,0.197998046875,,,4.9504069171474665,0.16286598068612163,10.086951803081298,4.34317968792887,0.43057404979392716,2.5634801773639495,0.3478380800181551,0.13568978730151143,0.0267181396484375,2.9309686518053804,0.6355119508205842,0.21682659431690943,0.0474853515625,2.320875273285566,0.9906066323879799,0.4268245880295064,0.07757568359375,2.320484517015999,0.3779039833347344,0.16285563664122,0.0295867919921875,1.271115473011929,0.15334059876282424,0.1206346724735253,0.0130767822265625,811,10,2.5859375,6.67578125,13.03125,6.6254208849976015,1.5564098090399057,1.7292070691473782,0.48779296875,,,3.335091733265121,0.3306342489161431,2.5634801773639495,0.20721291988991997,0.08083265933540354,0.022430419921875,2.9309686518053804,0.5219137379252956,0.17806868647462806,0.0543212890625,2.320875273285566,0.9882756850401284,0.42582024825533504,0.10986328125,2.320484517015999,0.25756939172381266,0.11099810829810282,0.02862548828125,1.271115473011929,0.07424549811359515,0.05840971940784359,0.00933837890625,0.16328038816364437
4,train,sent,0.5294547080993652,76.25,76.3125,1.048828125,3.4296875,3.4296875,741,10,10.53125,12.9609375,1.2968373999465257,10.441056628950692,1.8148678201250732,2.515625,0.1873779296875,,,5.209969446451341,0.20515674528485306,10.086951803081298,4.406415187581352,0.43684308933004995,2.5634801773639495,0.3644007197779864,0.1421507850911892,0.02783203125,2.9309686518053804,0.6862633094948318,0.23414215265390717,0.050994873046875,2.320875273285566,0.987257314131881,0.4253814608202801,0.07684326171875,2.320484517015999,0.36999169843204704,0.1594458811161704,0.0287933349609375,1.271115473011929,0.1581698860753118,0.12443392393023558,0.01340484619140625,735,10,2.515625,6.95703125,12.9609375,6.903432798040461,1.6119481171481311,1.824317020131275,0.463134765625,,,3.442293922329264,0.3412620571139969,2.5634801773639495,0.2272309315339971,0.08864157934221312,0.02386474609375,2.9309686518053804,0.594507261193316,0.202836444813942,0.06011962890625,2.320875273285566,0.9991466514828353,0.4305042425086399,0.107666015625,2.320484517015999,0.2506627948026203,0.10802174846008339,0.027008056640625,1.271115473011929,0.07908821684349565,0.06221953750283192,0.009613037109375,0.20495119716485405
5,train,sent,0.5171568989753723,76.9375,76.9375,1.060546875,3.3359375,3.3359375,645,10,10.40625,12.734375,1.4148483690805733,10.316777167976133,1.821530690882355,2.462890625,0.182861328125,,,5.282448828393145,0.15877489461839542,10.086951803081298,4.408736340042196,0.4370732036902807,2.5634801773639495,0.3809993455471563,0.14862582083195255,0.0293731689453125,2.9309686518053804,0.7174206085189159,0.24477252872595834,0.05377197265625,2.320875273285566,0.9815679788774077,0.42293008597908965,0.07708740234375,2.320484517015999,0.3931009161209431,0.16940467098071693,0.0308837890625,1.271115473011929,0.16152752301623075,0.12707541245917542,0.01383209228515625,649,10,2.462890625,6.95703125,12.734375,6.898390258886996,1.7740383639466017,2.0166308539919555,0.453857421875,,,3.455893575491764,0.34261029922201863,2.5634801773639495,0.252708623600328,0.09858029167995776,0.0265350341796875,2.9309686518053804,0.6244938411289631,0.2130673901081458,0.06317138671875,2.320875273285566,0.9811935666171525,0.4227687622472352,0.10577392578125,2.320484517015999,0.273993937052075,0.11807617548959749,0.0295257568359375,1.271115473011929,0.08541919246041907,0.06720018304711285,0.01038360595703125,0.15781277447992612
6,train,sent,0.46685299277305603,78.8125,79.125,1.2705078125,3.490234375,3.490234375,737,10,10.84375,12.96875,1.4186608060263097,10.755955805082193,1.8239485789090395,2.517578125,0.16357421875,,,5.7688924670235115,0.1676407651534725,10.086951803081298,4.676136742641974,0.4635827387629172,2.5634801773639495,0.4086918727156821,0.15942852857787407,0.0304718017578125,2.9309686518053804,0.7579605761541348,0.2586041224587155,0.055023193359375,2.320875273285566,1.0412361049070658,0.4486394063878458,0.0791015625,2.320484517015999,0.40340588804144417,0.1738455417751287,0.0306396484375,1.271115473011929,0.1787741404958414,0.140643509021437,0.0147552490234375,731,10,2.51953125,7.55078125,12.96875,7.4856477638363215,1.601602653041482,1.8745793208945543,0.417724609375,,,3.7607540561065678,0.3728335506627241,2.5634801773639495,0.293634892696371,0.11454541185425451,0.0290374755859375,2.9309686518053804,0.6955245547331073,0.23730194258634837,0.06634521484375,2.320875273285566,1.065329203363257,0.4590204461332879,0.10791015625,2.320484517015999,0.2962338591861382,0.1276603472308778,0.0300140380859375,1.271115473011929,0.109072145916695,0.08580821194650928,0.01236724853515625,0.1679035932897135
7,train,sent,0.46535542607307434,78.5,78.5625,1.3330078125,3.3984375,3.3984375,699,10,10.6328125,12.7265625,1.504862820962444,10.542447812866866,1.9319432249758393,2.46484375,0.164794921875,,,5.703861833377035,0.19221589464209912,10.086951803081298,4.596476764846928,0.45568540968370896,2.5634801773639495,0.41059389745221786,0.1601704983240539,0.0311126708984375,2.9309686518053804,0.7552667783490268,0.257685041388555,0.055694580078125,2.320875273285566,1.0274348411108605,0.4426928292688318,0.079345703125,2.320484517015999,0.38073911258517157,0.16407741994968308,0.0294036865234375,1.271115473011929,0.18095911613994176,0.14236245249312887,0.01520538330078125,697,10,2.46484375,7.390625,12.7265625,7.320145224407497,1.7164570670574903,2.052956643048674,0.41943359375,,,3.7173098322786355,0.36852657818223095,2.5634801773639495,0.30461135992428545,0.11882727341294293,0.030609130859375,2.9309686518053804,0.7072199665671075,0.24129223153972776,0.06854248046875,2.320875273285566,1.0516468792046396,0.45312511676505,0.1082763671875,2.320484517015999,0.27835352208039765,0.11995491460479264,0.0286712646484375,1.271115473011929,0.11306873877166623,0.08895237385770154,0.01305389404296875,0.1926037312811877
8,train,sent,0.4430103003978729,79.8125,79.625,1.3759765625,3.515625,3.515625,773,10,10.9609375,13.0234375,1.4288173168897629,10.877743645987877,1.9539601870346814,2.521484375,0.158203125,,,5.997530948500208,0.19555472105282548,10.086951803081298,4.7364539705338675,0.4695624667391595,2.5634801773639495,0.4271302022253316,0.16662122297530443,0.031585693359375,2.9309686518053804,0.7782545414273532,0.2655281014172478,0.0560302734375,2.320875273285566,1.0169377825875774,0.43816994144107585,0.0765380859375,2.320484517015999,0.3981925910322843,0.17159890019190288,0.0299835205078125,1.271115473011929,0.1896713490548585,0.14921645836426578,0.0155029296875,769,10,2.521484375,7.703125,13.0234375,7.630599705173943,1.5968893440440297,1.8351653299760073,0.408203125,,,3.8396456667851924,0.3806547053801012,2.5634801773639495,0.319642438341587,0.12469081725854354,0.0311279296875,2.9309686518053804,0.7202486095748535,0.24573739781597595,0.0677490234375,2.320875273285566,1.0507304395444743,0.4527302486432195,0.10479736328125,2.320484517015999,0.2952646429280703,0.12724266883183627,0.029449462890625,1.271115473011929,0.12127900863827623,0.09541148008442037,0.01351165771484375,0.19398283577204573
9,train,sent,0.4337807893753052,79.6875,79.8125,1.4296875,3.65234375,3.65234375,797,10,11.234375,13.3984375,1.400207414990291,11.1495336421159,1.8554372119251639,2.599609375,0.1612548828125,,,6.006718538319266,0.17778935452139882,10.086951803081298,4.825772281223919,0.47841730340674105,2.5634801773639495,0.43083746287035574,0.16806740565998443,0.031219482421875,2.9309686518053804,0.786119245417753,0.26821141363403167,0.05548095703125,2.320875273285566,1.0060469086821708,0.4334773696209673,0.07421875,2.320484517015999,0.40865752541350986,0.17610870592621683,0.0301513671875,1.271115473011929,0.18806371005364753,0.1479517117418353,0.01503753662109375,806,10,2.6015625,7.80078125,13.3984375,7.7278436684254155,1.6136433908250183,1.9651523721404374,0.417724609375,,,3.885826011508388,0.38523293135210285,2.5634801773639495,0.3173284429649783,0.12378813995405656,0.0306243896484375,2.9309686518053804,0.7261012307705954,0.24773421930778444,0.06768798828125,2.320875273285566,1.039221748297595,0.4477714766750098,0.1026611328125,2.320484517015999,0.2982974819402422,0.12854965407131203,0.02947998046875,1.271115473011929,0.11536813694534764,0.0907613347448135,0.01271820068359375,0.1775679153818039
10,train,sent,0.4253753125667572,80.125,80.375,1.431640625,3.4140625,3.4140625,704,10,10.7109375,12.8359375,1.6121790648903698,10.62790543841343,1.8230541730299592,2.462890625,0.1654052734375,,,5.783867049679236,0.16201528064308482,10.086951803081298,4.600011871548645,0.45603587301204934,2.5634801773639495,0.4226767567684444,0.16488395755924543,0.031829833984375,2.9309686518053804,0.7755586212280523,0.2646082962198636,0.056854248046875,2.320875273285566,0.9796689094230864,0.42211183026488536,0.07513427734375,2.320484517015999,0.39373713567840163,0.16967884628884466,0.03021240234375,1.271115473011929,0.1812376019031099,0.14258154019135996,0.0151214599609375,696,10,2.462890625,7.42578125,12.8359375,7.356010831081406,1.785995587008074,1.9613238479942083,0.421630859375,,,3.6938802356196927,0.3662038153579072,2.5634801773639495,0.30847742094808517,0.12033540328183671,0.0308837890625,2.9309686518053804,0.7086672059988057,0.24178600667130642,0.06842041015625,2.320875273285566,0.9923145830841742,0.42756049603621993,0.101806640625,2.320484517015999,0.28251757272977773,0.12174938925818736,0.02899169921875,1.271115473011929,0.11032694699480317,0.08679537723931693,0.01268768310546875,0.16349282415888325
