epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,time_entropy_msg,entropy_msg_mc,time_entropy_msg_mc,max_rep,redundancy,KLD_train_test,KLD_test_train,MI_sent_received,topsim,entropy_input,mutual_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat
1,train,baseline,0.505327582359314,76.1875,76.1875,2.609375,1.607421875,1.607421875,91,10,5.2890625,6.375,0.0032810720149427652,5.284582100149667,0.5559439910575747,1.3037109375,0.170654296875,,,1.5815419157607336,0.3776681063021151,8.594980844323246,2.064470592869462,0.2401949033118543,0.148681640625,3.4875959785088613,1.263441810358234,0.3622672517527173,0.14404296875
2,train,baseline,0.26818907260894775,87.625,87.625,2.873046875,1.7470703125,1.7470703125,73,10,5.37890625,6.3984375,0.0029187339823693037,5.376123472336449,0.5574803701601923,1.3134765625,0.1595458984375,,,1.8050896111810184,0.3440037365812467,8.592837343033747,2.3387230527108205,0.27217122346751205,0.1673583984375,3.4727816334185997,1.367473784832275,0.39376900973935886,0.154541015625
3,train,baseline,0.21177679300308228,90.375,90.375,3.06640625,1.7783203125,1.7783203125,72,10,5.45703125,6.40625,0.002992758061736822,5.464268535865635,0.5577893950976431,1.24609375,0.147705078125,,,1.9045501109582732,0.3620533263568308,8.597866665710086,2.457216784248854,0.28579377650140797,0.1748046875,3.46143496546962,1.4167532073869964,0.40929649741224666,0.1588134765625
4,train,baseline,0.18094559013843536,91.9375,91.9375,3.197265625,1.7900390625,1.7900390625,72,10,5.46875,6.421875,0.0030065819155424833,5.464359399714751,0.5558124650269747,1.2294921875,0.148681640625,,,1.9826366708392085,0.3386006079443964,8.593513826515796,2.5377347192574744,0.29530815571939195,0.1805419921875,3.477071225857339,1.467418798433481,0.42202724739170694,0.1640625
5,train,baseline,0.16279178857803345,92.625,92.625,3.28125,1.7919921875,1.7919921875,70,10,5.44140625,6.42578125,0.0029187470208853483,5.444280564461141,0.5568537630606443,1.236328125,0.1531982421875,,,2.035792924907067,0.3350864125583066,8.594218501845301,2.6039830516779148,0.3029924188125776,0.185546875,3.4854370676278617,1.4745383151892821,0.4230569327687881,0.1651611328125
6,train,baseline,0.1498272866010666,93.3125,93.3125,3.32421875,1.791015625,1.791015625,66,10,5.43359375,6.41796875,0.0029000858776271343,5.439243384724409,0.5546605200506747,1.2265625,0.1533203125,,,2.0763536582284567,0.3235159423422583,8.596486327554167,2.6555633673187966,0.3089126494399189,0.189208984375,3.494851963622014,1.5026634871380482,0.42996484623077125,0.168212890625
7,train,baseline,0.1400967389345169,93.8125,93.8125,3.380859375,1.7890625,1.7890625,63,10,5.4296875,6.41015625,0.0029851188883185387,5.425330538414814,0.5556437140330672,1.2177734375,0.15283203125,,,2.124979123413212,0.3157672075541276,8.596388841169142,2.71838807004732,0.31622441937812673,0.19384765625,3.4766111437693645,1.5220637879880865,0.4378009863760187,0.1708984375
8,train,baseline,0.13194744288921356,94.125,94.125,3.43359375,1.7900390625,1.7900390625,59,10,5.46484375,6.42578125,0.0030381500255316496,5.4621837971669285,0.560363395139575,1.208984375,0.1495361328125,,,2.1733138091551654,0.29880653780529437,8.596626660525237,2.7761165363782903,0.32293091767331383,0.1973876953125,3.4859313021674203,1.5449943119758278,0.4432084794715285,0.172607421875
9,train,baseline,0.1263459473848343,94.375,94.375,3.494140625,1.7890625,1.7890625,59,10,5.4609375,6.421875,0.0029904991388320923,5.4599974334641574,0.5541982830036432,1.2099609375,0.1495361328125,,,2.2219681054175977,0.293191073931472,8.596606277158289,2.823950027102521,0.3284959129285623,0.200927734375,3.4780470403834682,1.5669242955883282,0.45051843100304034,0.17529296875
10,train,baseline,0.12263385951519012,94.5,94.5,3.5,1.7880859375,1.7880859375,59,10,5.42578125,6.41015625,0.0030714909080415964,5.42699289698981,0.5569406130816787,1.18359375,0.1536865234375,,,2.2697401691957877,0.29352923556546284,8.59625558164824,2.8948387954603696,0.3367557848838779,0.2064208984375,3.4868429283167877,1.5865582718545945,0.4550128309394418,0.177978515625
11,train,baseline,0.11744855344295502,94.8125,94.8125,3.53125,1.7890625,1.7890625,61,10,5.42578125,6.41015625,0.003032807959243655,5.425538783324796,0.5571199529804289,1.169921875,0.1539306640625,,,2.3127430850205757,0.3301693747777643,8.597569017874157,2.9302929980827885,0.3408280866359751,0.208984375,3.4730018268853557,1.6163385949186013,0.4654010206404527,0.181640625
12,train,baseline,0.11400019377470016,95.0,95.0,3.5703125,1.7890625,1.7890625,60,10,5.44921875,6.41796875,0.0029019550420343876,5.449832974688446,0.5578915900550783,1.1591796875,0.1507568359375,,,2.367934981442235,0.31005626779125384,8.597698754168327,2.9866963382812513,0.34738322703307606,0.212646484375,3.4950174184372074,1.6223017790612952,0.464175591945034,0.181396484375
