epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,time_entropy_msg,entropy_msg_mc,time_entropy_msg_mc,max_rep,redundancy,KLD_train_test,KLD_test_train,MI_sent_received,topsim,entropy_input,mutual_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_nn,time_entropy_msg_nn,time_entropy_msg_mc_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,sent,0.5603817105293274,74.25,75.6875,2.494140625,2.001953125,2.353515625,753,10,7.0859375,8.546875,0.016024254029616714,7.082178598756213,0.5805626579094678,1.6015625,0.171142578125,,,2.395417542556328,0.20299570124311983,8.595613120452239,2.371321689324109,0.275875805029176,0.1512451171875,3.4763183230935146,1.2131126202098317,0.348964768890987,0.11480712890625,790,10,1.8408203125,7.0234375,8.9921875,7.022480174962141,0.015265618916600943,0.583586964989081,0.218994140625,,,8.595613120452239,2.5874886555958154,0.3010243270999708,0.1656494140625,3.4763183230935146,1.296817423691369,0.3730433473472458,0.12353515625,0.28478182367697147
2,train,sent,0.31368038058280945,86.0,87.1875,3.09375,2.17578125,2.560546875,407,10,7.109375,8.7578125,0.015440666815266013,7.108432643208427,0.5835581279825419,1.7744140625,0.1884765625,,,2.34247094226611,0.19236810097860763,8.595914504875902,2.4438043397653395,0.2842983534072063,0.1556396484375,3.495569110290365,1.2924929596232086,0.36975179687288334,0.12188720703125,362,10,2.044921875,6.9609375,9.1796875,6.962771657714016,0.014699043007567525,0.5867622410878539,0.2418212890625,,,8.595914504875902,2.647472093359208,0.30799190613837185,0.170166015625,3.495569110290365,1.3764383511977796,0.39376659644513323,0.131591796875,0.2911986516815828
3,train,sent,0.24924121797084808,89.125,90.0,3.388671875,2.279296875,2.6796875,276,10,7.05859375,8.8515625,0.01470877300016582,7.05548850528201,0.5850149840116501,1.89453125,0.2027587890625,,,2.288799949161917,0.21719754662493318,8.59382335341982,2.508464732161273,0.2918915864337677,0.1602783203125,3.477475699328207,1.360024011591868,0.3910951877692785,0.1290283203125,239,10,2.1875,6.83984375,9.21875,6.838385473653183,0.014553089160472155,0.5827814829535782,0.25830078125,,,8.59382335341982,2.692151809780487,0.31326590029444507,0.1744384765625,3.477475699328207,1.4401434904915078,0.41413473881923046,0.1395263671875,0.3026109027654581
4,train,sent,0.21330927312374115,90.75,91.5625,3.525390625,2.294921875,2.697265625,222,10,7.01953125,8.8671875,0.014951509889215231,7.0191504629893995,0.5835542930290103,1.947265625,0.2083740234375,,,2.3088963772339524,0.21109927097172929,8.598080565179,2.581239896346064,0.30021117815524057,0.165283203125,3.4809420276338603,1.3979296475066523,0.40159521083919997,0.1331787109375,188,10,2.25390625,6.765625,9.2109375,6.76530799024233,0.014502955134958029,0.578947631875053,0.265380859375,,,8.598080565179,2.761842660315839,0.3212161876571508,0.1798095703125,3.4809420276338603,1.4805645166630406,0.4253344367442515,0.14453125,0.2972358418757356
5,train,sent,0.19229818880558014,91.6875,92.5,3.59375,2.294921875,2.701171875,197,10,6.9453125,8.84375,0.015422032913193107,6.941685483946293,0.5817478918470442,1.982421875,0.214599609375,,,2.310002366785344,0.19510221557602825,8.59913310047407,2.634141773786209,0.3063264334914166,0.16943359375,3.4770190972905732,1.4501750830954077,0.4170742358664178,0.13916015625,158,10,2.298828125,6.67578125,9.1953125,6.669814152654369,0.01549932500347495,0.5817850232124329,0.27392578125,,,8.59913310047407,2.8194544300752016,0.32787658908544687,0.1845703125,3.4770190972905732,1.532658395001559,0.4407966571698917,0.1510009765625,0.27601096438135164
6,train,sent,0.17665086686611176,92.5,93.1875,3.67578125,2.3046875,2.70703125,187,10,6.91796875,8.8671875,0.016229474917054176,6.923038767285858,0.5838771080598235,2.0078125,0.2197265625,,,2.3299593904369384,0.21087658513045954,8.593863510320576,2.683490876689441,0.31225663212672305,0.1729736328125,3.472238389866943,1.4734373633429927,0.4243479847590347,0.141845703125,150,10,2.330078125,6.6328125,9.21875,6.627830599418267,0.014809814048931003,0.5842274820897728,0.280517578125,,,8.593863510320576,2.8705726192505976,0.3340258564501587,0.1884765625,3.472238389866943,1.560577114111907,0.44944411612582524,0.1544189453125,0.30118707246167886
7,train,sent,0.1658441573381424,93.0,93.75,3.70703125,2.3046875,2.708984375,163,10,6.88671875,8.859375,0.015630468958988786,6.886632016886653,0.5774715191219002,2.037109375,0.2225341796875,,,2.367771087193697,0.20824626930802068,8.593568037374055,2.7290147306463437,0.3175648018119667,0.17626953125,3.482380873025318,1.4932933690480032,0.42881391309466527,0.14404296875,126,10,2.3671875,6.58203125,9.1953125,6.575439853119208,0.016299801878631115,0.5794149441644549,0.2841796875,,,8.593568037374055,2.914248234571051,0.3391197023048835,0.1920166015625,3.482380873025318,1.5857998036930088,0.4553780478111073,0.1575927734375,0.2911830187083537
8,train,sent,0.15517154335975647,93.5,94.125,3.771484375,2.3125,2.712890625,154,10,6.80859375,8.8828125,0.016175958095118403,6.80656666142742,0.5813858758192509,2.05859375,0.2335205078125,,,2.3833352475079987,0.2136800408277744,8.5949554698539,2.7598569204939905,0.32110194522519186,0.17919921875,3.48453022204212,1.5308866546584987,0.43933803328051424,0.148681640625,116,10,2.390625,6.48046875,9.2265625,6.474140552001591,0.014916886109858751,0.5755250309593976,0.297607421875,,,8.5949554698539,2.9441615681389477,0.34254529630378566,0.1953125,3.48453022204212,1.6187174097555337,0.4645439432598404,0.1624755859375,0.29502744532199804
9,train,sent,0.14899317920207977,93.875,94.5625,3.853515625,2.31640625,2.720703125,153,10,6.85546875,8.8984375,0.016378023894503713,6.859318074382254,0.5875656649004668,2.080078125,0.2298583984375,,,2.381822087084913,0.24866821662533511,8.593460142408702,2.770451721139268,0.32239071052032886,0.1793212890625,3.4777960057103874,1.522876028215764,0.4378853807742803,0.1473388671875,117,10,2.419921875,6.53125,9.25,6.530381691497977,0.01627408992499113,0.5770965390838683,0.293701171875,,,8.593460142408702,2.9621191525522104,0.3446945820966994,0.19580078125,3.4777960057103874,1.6147186173095989,0.464293654561194,0.161376953125,0.32552530260955204
10,train,sent,0.14226682484149933,94.25,94.9375,3.927734375,2.322265625,2.73046875,141,10,6.78125,8.90625,0.017053766874596477,6.778827418892871,0.5953817318659276,2.11328125,0.2384033203125,,,2.400456823807204,0.22068688821457372,8.593609911363322,2.802016426268393,0.3260581356576693,0.1822509765625,3.4690376256115174,1.545130448338032,0.4454060794643755,0.1507568359375,106,10,2.466796875,6.453125,9.2734375,6.452555359495796,0.01470334897749126,0.5802753299940377,0.303955078125,,,8.593609911363322,2.99564797291006,0.3485901738393917,0.1990966796875,3.4690376256115174,1.6307424820451395,0.47008497976659286,0.1644287109375,0.3068188802000112
