epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,time_entropy_msg,entropy_msg_mc,time_entropy_msg_mc,max_rep,redundancy,KLD_train_test,KLD_test_train,MI_sent_received,topsim,entropy_input,mutual_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_nn,time_entropy_msg_nn,time_entropy_msg_mc_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,sent,0.5196380019187927,76.25,76.3125,1.3955078125,3.15234375,3.15234375,2962,10,10.8515625,13.2890625,2.2793188509967877,10.667671571282686,0.45891435600060504,2.201171875,0.1832275390625,,,5.061772340920799,0.29649443139737564,8.593897671068445,4.375391692523136,0.5091277392390874,0.2249755859375,3.491340202277003,1.7538029103551782,0.5023294233003627,0.12225341796875,2860,10,2.212890625,7.390625,13.2890625,7.327804144346921,2.3726220480020856,0.4381950739916647,0.444091796875,,,8.593897671068445,3.596691558745639,0.4185169170508027,0.2249755859375,3.491340202277003,1.7169451987210138,0.4917725283835836,0.1578369140625,0.29951523620148957
2,train,sent,0.25350862741470337,89.4375,89.5,1.6953125,3.87109375,3.87109375,919,10,11.3515625,14.0390625,2.6265044470055727,11.14130391573897,0.4521799869980896,2.666015625,0.1917724609375,,,5.217626813888441,0.26171719543584526,8.59663281884922,4.734208513988754,0.5507049810954349,0.2373046875,3.4846022046565226,1.871642865740009,0.5371180857427302,0.126220703125,811,10,2.677734375,7.3203125,14.0390625,7.238157520904914,2.4752233150065877,0.40707007099990733,0.478759765625,,,8.59663281884922,3.9548658079826593,0.4600482411335644,0.24853515625,3.4846022046565226,1.863796848262079,0.5348664607315754,0.1724853515625,0.26289877848392906
3,train,sent,0.20057974755764008,91.75,91.8125,1.796875,3.802734375,3.802734375,942,10,11.3125,13.7109375,2.5447823770082323,11.103528312494054,0.4198203460109653,2.587890625,0.174560546875,,,5.434257718246787,0.2934231927774998,8.595309119981248,4.780635556597812,0.556191230573013,0.2401123046875,3.4888674778817723,1.933347599006952,0.5541476170315196,0.130615234375,880,10,2.59375,7.67578125,13.7109375,7.606301997681303,2.5109486660076072,0.39863045599486213,0.440185546875,,,8.595309119981248,4.187475539568531,0.4871814941284702,0.25732421875,3.4888674778817723,1.9744712341983552,0.5659347185629229,0.1768798828125,0.2918689318082469
4,train,sent,0.17234592139720917,93.1875,93.1875,1.7275390625,3.669921875,3.669921875,557,10,11.34375,13.859375,2.601346586990985,11.147417681352463,0.4673295070097083,2.564453125,0.181884765625,,,5.22886251753638,0.27507779615001426,8.594555714371202,4.801959510235042,0.558721086909187,0.2408447265625,3.4992274647637203,1.929016993635436,0.5512693910470579,0.1300048828125,559,10,2.56640625,7.44921875,13.859375,7.400646646019076,2.578749249994871,0.3579349070059834,0.46240234375,,,8.594555714371202,4.234914261589559,0.4927438255485665,0.263916015625,3.4992274647637203,1.9737587970229882,0.5640555856680391,0.1802978515625,0.27376124939473
5,train,sent,0.1538676619529724,94.1875,94.1875,1.84375,3.64453125,3.64453125,411,10,11.34375,13.7578125,2.596091160987271,11.14467831151546,0.4424394039961044,2.58984375,0.1754150390625,,,5.272810438747943,0.2717940773128967,8.59319498243855,4.835510882050727,0.5627139721527092,0.2425537109375,3.4907829125473704,1.9736310817843137,0.5653835060009711,0.133056640625,392,9,2.591796875,7.59765625,13.7578125,7.543424321174216,2.6786699869990116,0.42715470600523986,0.447998046875,,,8.59319498243855,4.328826344749463,0.5037505088149463,0.267333984375,3.4907829125473704,2.0415728422731494,0.5848466929681767,0.18408203125,0.2707482328174983
6,train,sent,0.1388031542301178,95.0,95.0625,2.017578125,3.65234375,3.65234375,380,9,11.21875,13.546875,2.547609621004085,11.025733967974322,0.45249009600956924,2.52734375,0.1717529296875,,,5.047909343828649,0.2885500661368858,8.595678920760058,4.709788781402763,0.5479251638899406,0.2376708984375,3.499607058452996,1.8977487904707324,0.5422748207936333,0.12890625,373,9,2.529296875,7.64453125,13.546875,7.602992469074398,2.5408145469991723,0.43015639000805095,0.435546875,,,8.595678920760058,4.299243014549141,0.5001632860163869,0.2646484375,3.499607058452996,1.9895488728355,0.5685063607441064,0.1785888671875,0.28861228779802345
7,train,sent,0.12550115585327148,95.6875,95.6875,1.98828125,3.490234375,3.490234375,425,10,11.2734375,13.390625,2.6277136049902765,11.083145578118746,0.45999384399328846,2.341796875,0.1578369140625,,,5.273113071571616,0.2769113130981933,8.59712575403597,4.768509427376614,0.5546632169638801,0.239990234375,3.476959044866086,1.920984372577058,0.5524897900116175,0.1302490234375,421,10,2.34375,8.0234375,13.390625,7.977747092152165,2.658818316005636,0.41840582199802157,0.40087890625,,,8.59712575403597,4.493972305653218,0.522729623158472,0.2705078125,3.476959044866086,2.05870206905887,0.5920984522664,0.1790771484375,0.2770169915901167
8,train,sent,0.11289718002080917,96.4375,96.4375,1.923828125,3.44140625,3.44140625,400,10,11.265625,13.2578125,2.5733944849926047,11.08115845923853,0.41803446899575647,2.333984375,0.150390625,,,5.142736420873192,0.2596993153941552,8.595514935362726,4.737007055280662,0.5511021842091376,0.238525390625,3.4757876989352305,1.8782377525511418,0.5403775820734159,0.12744140625,400,10,2.3359375,8.09375,13.2578125,8.045072628341714,2.819057368003996,0.4534186579985544,0.3896484375,,,8.595514935362726,4.497175084791509,0.5232001943583071,0.26953125,3.4757876989352305,2.0497920702091887,0.5897345430036248,0.17724609375,0.259884590280657
9,train,sent,0.1018121987581253,97.0,97.0625,1.85546875,3.412109375,3.412109375,498,10,11.265625,13.125,2.6696138060069643,11.080706104088362,0.46657111500098836,2.29296875,0.141845703125,,,5.107862250058883,0.2712925330403919,8.591198975326414,4.666698997399383,0.5431953107828091,0.2349853515625,3.47616003067284,1.8521686405525344,0.5328203029231746,0.1256103515625,501,10,2.29296875,8.34375,13.125,8.297688574306289,2.7437127790035447,0.4373861640051473,0.364501953125,,,8.591198975326414,4.502650696240796,0.5241003856588855,0.265869140625,3.47616003067284,2.048241360100369,0.5892252779006595,0.17333984375,0.27033062337392827
10,train,sent,0.09203965961933136,97.5,97.5,1.7705078125,3.390625,3.390625,587,10,11.375,13.171875,2.5544134999945527,11.203283066712315,0.49959651999233756,2.220703125,0.1363525390625,,,5.170678799405357,0.30227915782195613,8.598688468663392,4.71487802427013,0.5483252523280479,0.2359619140625,3.463416707594002,1.8421844661080282,0.5318980133314001,0.1241455078125,577,10,2.21875,8.53125,13.171875,8.488622957720535,2.6646261220012093,0.4385488300031284,0.3525390625,,,8.598688468663392,4.614216787231985,0.5366186720274603,0.269287109375,3.463416707594002,2.0608076446379675,0.5950215693420235,0.171875,0.30190410778296417
