epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy_act,redundancy_max,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected
1,train,baseline,4.3046345710754395,78.625,78.625,1.5,2.330078125,2.330078125,653,10,5.51171875,8.6796875,5.5104953296674815,5.510568429643683,5.511982438919032,5.534359676649596,5.478253461579729,5.479758122417296,5.505857837995003,5.579812713138826,0.36474609375,0.42041015625,,,5.51171875,0.31345653743484553,0.5402225472759429,0.33638934293807915,0.307993975065951,8.595347668391696,3.5950209257005934,0.4182519502871103,3.4691138420280714,1.8604879036039472,0.5363006197906413,8.582367892356658,3.5563816788586724,0.41438233870467595
2,train,baseline,2.121889114379883,88.5,88.5,1.474609375,2.359375,2.359375,341,10,5.7265625,8.6796875,5.722760705292542,5.722824644548332,5.724306952070808,5.744752486949402,5.703489233181045,5.704890042783483,5.733546303075007,5.799068384715439,0.33984375,0.397705078125,,,5.734375,0.3048928494102343,0.5498275878425449,0.3693154924806509,0.3378571853718604,8.597200705872424,4.113587647535192,0.4784798899396817,3.4804629379529253,2.1150385649209555,0.6076888628398784,8.59099821636908,4.08823986703758,0.47587483597051006
3,train,baseline,1.4782426357269287,92.125,92.125,1.4501953125,2.369140625,2.369140625,334,10,6.00390625,8.734375,5.997962815959799,5.9980300783439935,6.000030586645116,6.020066284195862,5.987584296776772,5.988991603538688,6.025939055760592,6.081662870693231,0.3125,0.368896484375,,,6.0078125,0.2417149346103613,0.5210726313232616,0.3520160752798619,0.3249524718038085,8.597173742403687,4.774122711213966,0.5553130428976497,3.467718311847634,2.410397020987326,0.6950959692291279,8.59359261321983,4.750711524847221,0.5528201927490759
4,train,baseline,1.1397242546081543,94.0,94.0,1.42578125,2.375,2.375,318,10,6.046875,8.765625,6.041338271375585,6.041406506195695,6.043585171491117,6.063592208001491,6.018724560280795,6.020149272108368,6.060023381042317,6.113564319144291,0.31005859375,0.364013671875,,,6.05078125,0.23665211428949656,0.5173374989507502,0.35544123626229274,0.3290057724885379,8.59448050262602,5.147602701833189,0.5989428564367972,3.4738673176827444,2.512008377319729,0.7231158094418452,8.591863815476138,5.122737453980853,0.5962312210714392
5,train,baseline,0.9944760799407959,94.875,94.875,1.40234375,2.375,2.375,359,10,6.28515625,8.7734375,6.281708723367113,6.281770143746667,6.284046549880213,6.3021923810875355,6.264880153544704,6.266200169687936,6.308677653026046,6.353340797076235,0.283447265625,0.3388671875,,,6.2890625,0.19426995824025606,0.46473983138547614,0.3530698956442785,0.32024686254399304,8.594035790227844,5.237308610703055,0.6094120083440104,3.4693392829696927,2.561143647057065,0.7382223063709041,8.592710982658067,5.221152620064798,0.6076257691667045
6,train,baseline,0.8243952989578247,95.875,95.875,1.37890625,2.408203125,2.408203125,373,10,6.39453125,8.8515625,6.3956119016593505,6.39567629807246,6.398648558091062,6.416515022794836,6.380582935221815,6.381922775245949,6.434929603009842,6.469178670644837,0.27734375,0.327392578125,,,6.40234375,0.19211235397385637,0.44127926299249365,0.34440117061980047,0.3145868454122905,8.594483101484336,5.424686496986476,0.631182403052208,3.4712063185638726,2.661151462447725,0.7666359237179285,8.593514252713105,5.398523393761417,0.6282090463813474
7,train,baseline,0.6479488611221313,96.625,96.625,1.35546875,2.419921875,2.419921875,369,10,6.48046875,8.8671875,6.480557118711028,6.480621949978794,6.483842591657538,6.501374175862769,6.456158375037078,6.457500947460936,6.51454934389092,6.544384459751292,0.269287109375,0.31884765625,,,6.484375,0.1838114914731228,0.45025802201435,0.31872704758477644,0.2858320409815379,8.5921529506249,5.546093292320904,0.6454835387814577,3.4595969066663685,2.718389907212577,0.7857533639177603,8.591928771331311,5.525995361819171,0.6431612166359851
8,train,baseline,0.5863237977027893,96.9375,96.9375,1.3330078125,2.4296875,2.4296875,381,10,6.671875,8.875,6.6727168081559025,6.672776444412323,6.6762045379053525,6.692148982475639,6.630082051377268,6.631348325148342,6.692500945088015,6.71363102141178,0.248046875,0.29833984375,,,6.67578125,0.1807375255045786,0.41892279448859054,0.3317926712589423,0.31160507044088587,8.593676230517257,5.706916633971383,0.6640832725004676,3.4725171786896283,2.7501804309142877,0.7919846870137247,8.594255665220885,5.691159248336194,0.6622050204262713
9,train,baseline,0.5374363660812378,97.125,97.125,1.310546875,2.44140625,2.44140625,399,10,6.734375,8.875,6.732956067118732,6.733013116714531,6.736425409991556,6.751802536692636,6.702958883526485,6.704194069588127,6.765634254320113,6.784475501779975,0.2412109375,0.291748046875,,,6.73828125,0.16552356818051225,0.3936293085006121,0.325982713486027,0.3095059883900896,8.594594678972605,5.702760212137387,0.6635286974136974,3.4652133519238095,2.7225399143508664,0.7856774281558659,8.592747124323417,5.678907756506328,0.660895482473945
10,train,baseline,0.4865489602088928,97.3125,97.3125,1.2880859375,2.443359375,2.443359375,403,10,6.69921875,8.9140625,6.6978607265626,6.697923474155842,6.701703072129069,6.71784815693852,6.6755827383532225,6.676884383656207,6.743024305820031,6.7602537145318236,0.248046875,0.29541015625,,,6.703125,0.15085641729990168,0.38825454197725495,0.3331745797956574,0.3009761865474027,8.598733104479921,5.944051842056062,0.691270652296351,3.467635589345675,2.8331965460827404,0.817039874313134,8.5974596714936,5.930848378597692,0.6898373013906038
