epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy_act,redundancy_max,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,mutual_info_msg_target_shape,proficiency_msg_target_shape,mutual_info_msg_target_color,proficiency_msg_target_color,mutual_info_msg_target_x,proficiency_msg_target_x,mutual_info_msg_target_y,proficiency_msg_target_y,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,mutual_info_msg_selected_shape,proficiency_msg_selected_shape,mutual_info_msg_selected_color,proficiency_msg_selected_color,mutual_info_msg_selected_x,proficiency_msg_selected_x,mutual_info_msg_selected_y,proficiency_msg_selected_y,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_act_nn,redundancy_max_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,mutual_info_msg_target_shape_nn,proficiency_msg_target_shape_nn,mutual_info_msg_target_color_nn,proficiency_msg_target_color_nn,mutual_info_msg_target_x_nn,proficiency_msg_target_x_nn,mutual_info_msg_target_y_nn,proficiency_msg_target_y_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn,mutual_info_msg_selected_shape_nn,proficiency_msg_selected_shape_nn,mutual_info_msg_selected_color_nn,proficiency_msg_selected_color_nn,mutual_info_msg_selected_x_nn,proficiency_msg_selected_x_nn,mutual_info_msg_selected_y_nn,proficiency_msg_selected_y_nn
1,train,received,3.912691831588745,31.390625,31.40625,1.5,2.55859375,2.55859375,737,11,4.78125,6.28125,4.7828719255307455,4.782892842943538,4.78294172926145,4.795539922288559,4.6974679738444225,4.698640191780137,4.701234277392268,4.789789014970228,0.2388916015625,0.5107421875,,,4.1328125,0.5445638399029111,0.551331106479396,7.162105003080282,0.9338198858104141,0.1303834397022658,0.1947310189317708,0.03235235575007978,0.21711768465527648,0.03379132811915653,0.7435964074217072,0.15361526889827037,0.14799400538975238,0.030570059500362023,6.877025928818202,0.675001961062824,0.09815317959384533,0.15938014593146121,0.025503731205323867,0.19195302495204913,0.029192777667269933,0.44191263935288827,0.08880566507077436,0.11697024702310443,0.023628612983041693,635,10,4.20703125,6.1484375,4.211176443391581,4.211210282766282,4.211266522424617,4.227702339253501,4.122602440513769,4.123953524511254,4.126139269338231,4.225920678338268,0.3154296875,0.5576171875,,,0.5824149497344941,0.5824149497344941,0.905921989565468,0.1264882306494876,0.17354971932853225,0.031716311786137596,0.19306326694968057,0.032844391220204924,0.7463490975878582,0.17383185956013017,0.13981331339961134,0.032560061941610284,6.877025928818202,0.6505613986351895,0.09459923597336017,0.14196351869803792,0.024906888793322465,0.17241989448760187,0.028613411446879133,0.44097168556273214,0.09961730467371395,0.11427320710419941,0.02596619234576818
2,train,received,2.772458553314209,42.40625,42.4375,1.4892578125,2.51953125,2.51953125,303,11,3.30859375,5.95703125,3.3092532146469953,3.30928618901973,3.309334622527669,3.3281519702775193,3.2490472275409044,3.250874579954945,3.2534082491395493,3.379653221575602,0.4443359375,0.66162109375,,,2.43359375,0.5201735075507556,0.5813366482032107,7.162105003080282,1.199236321027135,0.1674418792396044,0.05513751504792097,0.012877555648921122,0.06125731135588275,0.013067232651039028,0.9936954010497221,0.32021100816403514,0.1348655113487114,0.043452401015111906,6.89551639801439,1.1868667137128028,0.17212151276365162,0.07042850730636285,0.016585557539071358,0.0838057947570503,0.018447938244501697,0.9045749832072181,0.29928148442265406,0.1151044295198087,0.03842522602914574,244,10,2.44921875,5.82421875,2.4515108780542425,2.451555528612449,2.451582400253903,2.473908441291539,2.4204102887257504,2.4223851825902267,2.4235500852540897,2.5624163180381365,0.5791015625,0.7421875,,,0.5526888395508015,0.6014466958257911,1.1941238062213322,0.16672805072080943,0.04635357696652953,0.013524374770228248,0.052385541977979955,0.01366487532877016,0.993875723907724,0.44192167137476246,0.13840557377115292,0.06152761333055775,6.89551639801439,1.176538449494311,0.17062368959532936,0.061846458987521835,0.01819416819515624,0.07432666972326363,0.02011167394636253,0.9045875865601678,0.41583361055919654,0.11460043549201693,0.05334188087494509
3,train,received,2.1168222427368164,50.6875,50.78125,1.4794921875,2.51953125,2.51953125,36,8,2.89453125,5.953125,2.8934143964107575,2.893479224412008,2.8935767092131766,2.92077483374444,2.8898411631480165,2.89210804417865,2.8954417297486494,3.0418742295009604,0.513671875,0.7041015625,,,1.8876953125,0.5618873539609124,0.5947231747162868,7.162105003080282,1.5125572740980076,0.2111889274797683,0.007936437773254923,0.002232815267694489,0.00870512819373026,0.002197912626572279,0.9943384249262834,0.4184871859339224,0.5000705336380635,0.21042030727032843,6.992084116337804,1.5039762087439006,0.21509698449274778,0.010213290653211082,0.0028945655241934243,0.011531320394590594,0.002963690530673659,0.9134270521091459,0.3967214322144235,0.4848602702505991,0.21335583997011856,14,7,1.8759765625,5.8203125,1.8749525609972908,1.8750237405345707,1.875082090834868,1.9048789352778541,1.8696731245253129,1.8720950331292305,1.8740408758378246,2.034609790105883,0.677734375,0.802734375,,,0.6049941721833715,0.6310836632750322,1.5128281661382308,0.21122675044384198,0.004504214054708022,0.0017781070117650905,0.0049658447773666126,0.0016894465792885616,0.9943722175700751,0.7340009822922932,0.5048172856614128,0.37249574040704536,6.992084116337804,1.5033068600306718,0.21500125499320347,0.006989854384221061,0.002786140797739555,0.008051209764986744,0.0028041045556778848,0.9134275961063363,0.7120591593872558,0.48865827474252566,0.3900215466226522
4,train,received,2.075723886489868,51.125,51.09375,1.4697265625,2.51953125,2.51953125,25,7,2.703125,5.953125,2.702696501639058,2.702765285128245,2.7028643092218765,2.7311472228778624,2.705475589215422,2.70779619014981,2.71105532628627,2.8610327419235415,0.5458984375,0.72314453125,,,1.6669921875,0.56189339649881,0.5929785324322558,7.162105003080282,1.5080145194131043,0.21055465100896126,0.004499684850983954,0.0013356885105524276,0.005066178688041489,0.0013420362328783575,0.9943724201879984,0.45397038698190345,0.5006968064576034,0.2285356519786387,6.992424596431034,1.4949767059050214,0.21379947474414876,0.007612170272948582,0.0022809123698542566,0.00824481052517445,0.0022559498719315735,0.9138525119587779,0.43025303741394244,0.47823786132423596,0.22289534418193827,8,6,1.6376953125,5.8203125,1.6377427964764821,1.6378173923303039,1.637869690953714,1.6686515842418204,1.6332617080993554,1.635738933672158,1.6374481062056858,1.8020563617297687,0.71875,0.82763671875,,,0.6034123743717548,0.6291258643538983,1.5093961665312603,0.2107475617687954,0.002173929633345395,0.0009448201372105714,0.0024491530388397464,0.0009047235046173533,0.9943728864130739,0.88587917536379,0.50477171501739,0.4494966378358358,6.992424596431034,1.495323484247763,0.21384906817743635,0.004913602599710742,0.002164777794593303,0.0051671961867008065,0.001997249972606937,0.9138851970946922,0.8650543867825207,0.4818230914846975,0.446947313998475
5,train,received,2.0640387535095215,52.34375,52.375,1.458984375,2.51953125,2.51953125,22,5,2.673828125,5.953125,2.668264348185149,2.6683338295967496,2.668433032325632,2.6969214111331405,2.6751414253809283,2.67746936605437,2.68073204547324,2.831271608891718,0.55078125,0.7265625,,,1.66015625,0.5598452392608328,0.5898535125216785,7.162105003080282,1.5079284522672003,0.21054263399079873,0.004148551736147255,0.001243128196770564,0.004564938090377169,0.00121947339563755,0.9943725476052254,0.46062105296141354,0.5006702663959777,0.23187060147468228,7.012998299491801,1.4957686981749214,0.21328519333639548,0.006630685366261879,0.0020017726548397213,0.007594717254101546,0.002083766592003067,0.9143584191203651,0.4365038914927621,0.4811810382002424,0.22789643353450248,6,4,1.599609375,5.81640625,1.5999615347008478,1.6000364638520639,1.600087698700298,1.631002679075299,1.600108771889973,1.6025888876103058,1.6042580047350417,1.7692382662328014,0.72509765625,0.83203125,,,0.6015674146986888,0.6262865355795367,1.5092690232346468,0.2107298095441968,0.0018715329127578784,0.0008261235465385671,0.0021257526929456816,0.000795679153102405,0.9943729594662063,0.9147721932453128,0.5047663414577945,0.46414527706243597,7.012998299491801,1.4965108980925088,0.21339102537654314,0.0045008388664431465,0.002014006287917639,0.005300472661339484,0.0020647959320854578,0.9143589139004114,0.8989918102461096,0.48517627706039423,0.4693295919167372
6,train,received,2.0571494102478027,51.90625,51.8125,1.44921875,2.51953125,2.51953125,22,6,2.68359375,5.953125,2.6810018736344396,2.681070875166749,2.681169717900594,2.709507210980479,2.66538132731358,2.6677126109124374,2.6709579798171013,2.821707391213265,0.54931640625,0.7255859375,,,1.65234375,0.5610914662560321,0.590376653495431,7.162105003080282,1.5088144696953703,0.21066634307182852,0.005079272845717853,0.0015165681479555532,0.005350652489795493,0.0014248004984934101,0.994372458106481,0.45807442897696926,0.5002231316211612,0.23038304821067418,7.041187847427676,1.5015862704353093,0.21325752173816478,0.006947060482719536,0.0021055313674879853,0.007133045739369237,0.001945256691980361,0.920660960879987,0.4382164615746565,0.4824928161844326,0.22758186777649525,9,5,1.61328125,5.8203125,1.612026325554886,1.6121008454178454,1.6121521069572278,1.6429556683875608,1.614131244657961,1.6166097497803757,1.6182953732047687,1.7831076076526118,0.72265625,0.83056640625,,,0.6009168410593069,0.6261693531902753,1.510177227442069,0.210856616426675,0.002981639187089158,0.0013092065053827806,0.0028345374275904334,0.001056236162170765,0.9943728774209788,0.9047835034305366,0.5047862146318431,0.4590975479311708,7.041187847427676,1.5026820846304407,0.21341315090456056,0.004513471852749085,0.0020268771974175713,0.004412541508693302,0.0017008804234647974,0.9206927101018696,0.8953500342125276,0.4866477746151441,0.46459706581216087
7,train,received,2.1039955615997314,52.90625,53.0,1.439453125,2.5234375,2.5234375,26,7,2.720703125,5.9765625,2.7212490823439657,2.7213157833935404,2.7214135059183953,2.7493292435414585,2.7072890547856754,2.7096028286236753,2.712885489698805,2.862560679698989,0.54443359375,0.7216796875,,,1.68359375,0.5553229846209973,0.5865478038895756,7.162105003080282,1.508934940595546,0.21068316367137627,0.00749882271265534,0.0022166223580029846,0.008972745798191184,0.0023679938703200045,0.9924745442771474,0.45018909295031123,0.5010225575188345,0.22721353355291313,7.018306937726672,1.505485869347404,0.2145084110321131,0.008600754794735543,0.0025886846349902526,0.01065118362321904,0.0029018004033285003,0.904819964430164,0.4272195254137114,0.48355231353456674,0.22558536488178857,12,6,1.6533203125,5.83984375,1.6557041091292632,1.6557765573818968,1.655828192965105,1.6862172714131212,1.6432095325330938,1.6456763706746942,1.6473939100951895,1.8115022082648906,0.716796875,0.826171875,,,0.5988284069630081,0.6232045485666861,1.510184208398789,0.21085759113407138,0.005407561617680301,0.0023354478114827513,0.006788541348223376,0.002494311671658379,0.9925809829541556,0.8729780501531654,0.5050258133129732,0.443976154303051,7.018306937726672,1.5068179865243423,0.2146982170905768,0.005908425033168463,0.0026202805496355276,0.007880417914848614,0.003027455759421747,0.9047614659301075,0.86137567096325,0.48760682368746266,0.4531723967402477
8,train,received,1.9536457061767578,56.34375,56.5625,1.4296875,2.62890625,2.62890625,39,10,3.20703125,6.66015625,3.2065142288597084,3.206578772699971,3.2067355574285448,3.233459538031526,3.2133791181621256,3.2156007503233393,3.2208409883224918,3.3615980883138112,0.5185546875,0.671875,,,2.076171875,0.6007492468368448,0.5895208506964134,7.162105003080282,1.5948063956688046,0.22267285874514675,0.011949189732520793,0.0031585822472899633,0.012686867696062976,0.0030284215507812833,0.9941854591055801,0.3816943455399868,0.5787259590321208,0.22214562387443257,7.045399119724067,1.5628890238583693,0.22183115495656686,0.017776867505934213,0.004726967939085584,0.019088835292169648,0.004625055356551819,0.9185445006251083,0.35876065798302176,0.5284753600406198,0.20538178814403665,17,9,2.080078125,6.515625,2.078538111653376,2.078608742403713,2.0786979561208745,2.108140936592149,2.031662926994691,2.034069079263727,2.036973681320009,2.1950404511913915,0.6806640625,0.78125,,,0.6524679435098093,0.6103991397535613,1.5964422447279043,0.22290126213470837,0.008664816342657033,0.0032626499454171767,0.009031533198662345,0.0029496101787828406,0.9943437172900911,0.6730645661965592,0.5831389823381254,0.3945890469223914,7.045399119724067,1.564298891006755,0.22203126670672146,0.0149331559171344,0.005669713720522219,0.015600322960167112,0.005199450417834923,0.9185625551422101,0.6408100572337841,0.5322492599587232,0.3680203928051606
9,train,received,1.340324878692627,64.1875,64.3125,1.419921875,3.01171875,3.01171875,27,6,3.552734375,8.078125,3.5511669773842973,3.5512323271934894,3.5515759991124156,3.577953917819383,3.5545191435196406,3.5567272002559567,3.567925998931695,3.700352013084336,0.56005859375,0.63671875,,,2.091796875,0.6097819994430764,0.5670901862075107,7.162105003080282,2.00141542026826,0.2794451379039389,0.006274643932091095,0.0016867076682763262,0.006698122474146473,0.001623301205373844,0.994372170874799,0.3912337881122888,0.9891085498058461,0.3890861373939436,7.1062582012535165,1.9924726763514502,0.2803828146857914,0.007954609315511618,0.0021513571504181376,0.009323217302394937,0.0022775433697067053,0.9650515402590987,0.38238511062605535,0.9491203955968999,0.37619209524350367,9,5,2.123046875,7.90234375,2.1231200414358904,2.123192938909319,2.1233341141619295,2.15312146568059,2.1260190896122695,2.12842894217331,2.133000916362811,2.289080009300353,0.7314453125,0.77685546875,,,0.6611850557479106,0.5867847059893897,2.002111485663844,0.2795423251687562,0.0030553486797337825,0.001331885806118632,0.0034159969681502034,0.0012650983499427019,0.994372653459088,0.8913507891995043,0.9933287702474036,0.8900153901296098,7.1062582012535165,1.9922155070398406,0.28034662555441925,0.005322623477916011,0.0023453096149128427,0.006625496409080611,0.0024856182479506108,0.9650520459579983,0.8807146422858835,0.9533834026723005,0.8707023853669698
10,train,received,1.3047966957092285,65.0625,65.125,1.41015625,3.015625,3.015625,22,5,3.505859375,8.0703125,3.506471523267253,3.5065378149701685,3.5068824974995603,3.533544036615636,3.497781950708822,3.5000190663321975,3.5110841573899805,3.6452225752845697,0.5654296875,0.64111328125,,,2.037109375,0.6173751802194755,0.5824737610034308,7.162105003080282,2.001572354751387,0.27946704968588837,0.004745557581809834,0.0012907481451843088,0.005195076526982589,0.0012724374742953736,0.9943724313925326,0.3980400178459486,0.9901350903827462,0.3962643783302755,7.098193805719436,1.995808021252766,0.28117124945850663,0.006141146347252047,0.0016816837002920416,0.00651274665932533,0.001615863469041175,0.9533906040027311,0.38711685810234103,0.9529567190483492,0.38548939621530703,6,4,2.068359375,7.890625,2.0683534227054956,2.0684268208933005,2.068565496069311,2.098548824553641,2.061520038376352,2.0639450432275384,2.068410076267931,2.2256554873576313,0.73779296875,0.78271484375,,,0.6609322097759444,0.598990369648024,2.0026731470847343,0.27962074644583174,0.0024014461240442486,0.0010724966863550134,0.002714804422649486,0.0010262752780515292,0.9943728867037223,0.9374729177918284,0.9945427353856537,0.9371904194121182,7.098193805719436,1.9970600930936402,0.281347642478357,0.0037738630866055445,0.0017072291467989914,0.0038297353464331607,0.00147909604576281,0.9533910996225385,0.9332945158202364,0.9570092700145167,0.9284097340090613
