epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy_act,redundancy_max,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_act_nn,redundancy_max_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn
1,train,received,6.347893238067627,71.0,72.3125,1.5,3.052734375,3.91015625,993,10,5.37890625,9.5625,5.373391989066211,5.373519180800966,5.37561134648241,5.411717755625251,5.318901537679894,5.321086784846895,5.35518858823875,5.471106099972369,0.4375,0.499267578125,,,4.26171875,0.06772881837686687,0.16037789386301585,0.12981107647847087,0.13150140305531927,8.597847058280593,2.856329563285078,0.3322145118334182,3.4750893318076015,1.3395891168407843,0.38548336141447737,8.57950872593452,2.7691037423883182,0.3227578443993825,1363,10,4.5625,11.4609375,4.557468944720039,4.557600704661358,4.558907019182427,4.597742817449433,4.537998853259395,4.540268474053272,4.562121099514335,4.698352996685302,0.60205078125,0.64013671875,,,0.20066780147070357,0.2305832727843952,0.20447529972375875,0.14853111715800918,8.597847058280593,3.092315612330272,0.3596616212604132,3.4750893318076015,1.4426444642376497,0.41513881414013726,8.57950872593452,2.9846334641403143,0.34787929699497033
2,train,received,3.081739664077759,85.0625,86.25,1.474609375,3.41796875,4.421875,419,10,6.02734375,9.859375,6.021902988636844,6.0220231636235635,6.025025143195451,6.057992278968311,5.996751076723814,5.998845233490024,6.048734315138235,6.140879941741419,0.388427734375,0.43896484375,,,4.9140625,0.18481585780186968,0.1865969864513583,0.14973394809430193,0.18951719401485473,8.5952759456008,3.2446042915133892,0.37748692561453245,3.475004137661904,1.6038052162852354,0.46152613140896226,8.584192967020027,3.1682317118543892,0.3690774105412766,380,10,5.328125,11.8828125,5.323446302482925,5.323570064877005,5.32544687412913,5.3611573365929575,5.2880639674672985,5.290234695455425,5.32156295713374,5.439605336430092,0.5517578125,0.580078125,,,0.3069439770082963,0.22497368648167915,0.28949411143652476,0.2471690974940122,8.5952759456008,3.5843928526894784,0.417018938702489,3.475004137661904,1.7612058744987222,0.5068212309190857,8.584192967020027,3.480397844281134,0.40544263830655036
3,train,received,2.251525640487671,88.75,89.875,1.4501953125,3.447265625,4.47265625,399,10,6.16015625,9.9140625,6.15332442700541,6.15344306431056,6.156638381155476,6.1889216747169336,6.079785803353063,6.081866092211692,6.134213383555701,6.222773021066562,0.37890625,0.4267578125,,,5.05078125,0.15162744083859214,0.16519648841772644,0.1289093310769327,0.18032686781598845,8.598347385022823,3.3098951255888505,0.38494549910303083,3.4629364137761787,1.6257140763199818,0.4694611399310138,8.591942444550469,3.257235628042909,0.37910352042789175,334,10,5.515625,11.9765625,5.517507364362103,5.517628427344701,5.5196177315816035,5.554422990689505,5.508471207915628,5.510612176328971,5.544798906029386,5.657377487740503,0.53955078125,0.56494140625,,,0.32021967955025515,0.22251641414019738,0.29770214157263325,0.2563098986704522,8.598347385022823,3.68739861173753,0.42884969013469815,3.4629364137761787,1.79290078767715,0.5177400256454814,8.591942444550469,3.610381298647188,0.420205479953734
4,train,received,1.9837840795516968,89.875,91.125,1.42578125,3.453125,4.48046875,494,10,6.328125,10.015625,6.324424943683233,6.324540111519472,6.328021248464757,6.359095380178285,6.284006149890082,6.286047800827342,6.343867501644486,6.4239509860232475,0.3681640625,0.410888671875,,,5.25,0.15484491370015022,0.1681943635685836,0.14909070426909393,0.16374133304788493,8.599972492284827,3.3425320641718574,0.38866776227139055,3.490331328039149,1.6158001440659993,0.462936034492103,8.592746906716673,3.2822536842355454,0.38197956018812956,440,10,5.75,12.109375,5.748652670756114,5.748769536437737,5.750812253793744,5.78441477983806,5.7079131447046745,5.710012863429328,5.7446419118341305,5.853634355246012,0.52490234375,0.54638671875,,,0.3071368790741249,0.21485181559167807,0.28831802906849535,0.22758768557584538,8.599972492284827,3.743034245333301,0.43523793229469476,3.490331328039149,1.8053920408175004,0.5172552033424749,8.592746906716673,3.675687801711822,0.4277663291628729
5,train,received,1.7977211475372314,90.8125,92.0625,1.40234375,3.482421875,4.51953125,572,10,6.39453125,10.078125,6.389974200515006,6.3900871255694955,6.39366718997286,6.424113783442223,6.313609024695673,6.315640143014239,6.3748551157983195,6.4528580524443955,0.36572265625,0.40478515625,,,5.33984375,0.17074476059514615,0.17967917061708225,0.1650017965352209,0.16879474389157062,8.595270460969362,3.423502933933041,0.3983007805838077,3.475500795533465,1.6582224589384333,0.47711755988359883,8.590621404373188,3.3583653081718614,0.3909339208525979,538,10,5.828125,12.203125,5.816603146561291,5.816717273558089,5.818693358157234,5.851737806869037,5.733292092267968,5.735381720905987,5.769233796862736,5.878361266729319,0.5224609375,0.54052734375,,,0.3156229615605254,0.21869149215563677,0.2954008858250991,0.22423027216378325,8.595270460969362,3.869188909850333,0.45015324734923723,3.475500795533465,1.8768172904183462,0.5400134831879007,8.590621404373188,3.7920031997903543,0.44141197956412986
6,train,received,1.6866769790649414,91.3125,92.5625,1.37890625,3.515625,4.55859375,850,10,6.5546875,10.140625,6.543853837916492,6.543963864622005,6.547770893296398,6.577186322346167,6.464836943425766,6.466833010726403,6.530173303961687,6.601487748429215,0.353515625,0.3896484375,,,5.5390625,0.18670436197179613,0.18940181190057012,0.13682676412847125,0.1611922249078041,8.595575288400259,3.4616045691713264,0.40271935885929205,3.4540387563533637,1.641187089774986,0.47515016638310276,8.59110063155526,3.4171411455910086,0.3977535931822042,882,10,6.09765625,12.328125,6.096100672825942,6.09620979608299,6.0982662023513035,6.129828883854095,5.987522460166716,5.989565521688814,6.025509491986649,6.128862306381978,0.50537109375,0.51904296875,,,0.3144438758659744,0.2334824356061252,0.27172515784616885,0.23255080457713664,8.595575288400259,3.963410442302953,0.4610989153514345,3.4540387563533637,1.8836025930857314,0.5453333694131342,8.59110063155526,3.899023156279653,0.45384442849598033
7,train,received,1.5317267179489136,92.0625,93.1875,1.35546875,3.52734375,4.578125,928,10,6.66796875,10.1171875,6.659339402687412,6.659447428827557,6.663241499580769,6.692095731950935,6.5890575853550875,6.591032901991598,6.654950062422436,6.72400096233826,0.3408203125,0.379150390625,,,5.68359375,0.1715911072200697,0.18623159203558998,0.1444336818623558,0.15215969144447017,8.593528882286755,3.491523934293716,0.40629687548854954,3.4855044245133993,1.6437675977410091,0.47160106473555563,8.59162800759069,3.4339263473868584,0.39968284757591804,1039,10,6.2734375,12.265625,6.256015559388711,6.256122891361311,6.258269942554729,6.289146630848396,6.172777402173122,6.174782698563678,6.211928594241053,6.311214577994576,0.488525390625,0.50537109375,,,0.31490255120356125,0.2302459799173214,0.26399393699177437,0.20133137483949795,8.593528882286755,4.0058542312918055,0.4661477591061333,3.4855044245133993,1.8986788801775605,0.544735753833573,8.59162800759069,3.9476268056618986,0.4594736646156207
8,train,received,1.4321726560592651,92.625,93.75,1.3330078125,3.53515625,4.59375,1002,10,6.7578125,10.1953125,6.751442597526158,6.751547927163529,6.755389803330544,6.783558207361395,6.654531627642602,6.656494015748235,6.721348405917045,6.788461990536895,0.3369140625,0.370849609375,,,5.7734375,0.16782610804393194,0.173420710945527,0.12556369361296452,0.14767995831242425,8.595153426346123,3.533432572182851,0.4110959277762357,3.4790417409485004,1.6514225877804574,0.47467742865603724,8.592155700918665,3.4806460877002063,0.40509578839778926,1011,10,6.34765625,12.3046875,6.336496951098745,6.33660222922308,6.338674500950958,6.369073555735082,6.270294992630479,6.272280263957193,6.309469764919847,6.407203279030422,0.484130859375,0.499267578125,,,0.31989322607785803,0.2312912965993035,0.2551120932434354,0.2059832359648449,8.595153426346123,4.053206418249217,0.47156882689553936,3.4790417409485004,1.9038169207463165,0.5472245125254731,8.592155700918665,3.9880798185481527,0.46415357884189073
9,train,received,1.362929344177246,93.0,94.125,1.310546875,3.544921875,4.609375,1070,10,6.828125,10.203125,6.819507431579167,6.819612411978533,6.823552182291536,6.851448842768058,6.719608761366639,6.721560900098807,6.788197679660269,6.852675655150555,0.3310546875,0.364501953125,,,5.8515625,0.21343158371532273,0.20348643012683598,0.13941523934186842,0.14080432632786347,8.598606629961727,3.5424204436753293,0.41197610218983777,3.490280937696916,1.646067082914663,0.47161449530788513,8.59534208004095,3.4984851183482126,0.4070210453254636,1129,10,6.4609375,12.3046875,6.4457566983135095,6.445860098060929,6.448021794911913,6.477847523989838,6.309671989518636,6.311650486100917,6.349370380183874,6.446034070709104,0.475341796875,0.49072265625,,,0.34692456984549547,0.2523808337064384,0.2511959367297991,0.19535804475458735,8.598606629961727,4.105918174566928,0.4775097118944728,3.490280937696916,1.9147071276102432,0.5485825243837463,8.59534208004095,4.0452779899561,0.47063606687039816
10,train,received,1.3010233640670776,93.3125,94.5,1.2880859375,3.544921875,4.609375,1216,10,6.9765625,10.1953125,6.967655174306596,6.967757413981009,6.971851274766765,6.998841138324983,6.90287836875445,6.904796474237401,6.975236113993516,7.033243171295807,0.315673828125,0.3505859375,,,6.0703125,0.1984489330669199,0.19506363998029014,0.14046187742585806,0.14870054270740163,8.591874784197643,3.5886675742691043,0.41768154965077675,3.464516998077395,1.6549676564487807,0.4776907307330838,8.589924335051734,3.5364715466092083,0.41169996482721166,1344,10,6.703125,12.3046875,6.68689482390254,6.6869942755198215,6.689346035768357,6.717884682160933,6.552088616624334,6.554029433523526,6.5959689298986985,6.6852630736349985,0.455322265625,0.471435546875,,,0.3501548943470354,0.25533699402870286,0.2595200025384149,0.207875607821939,8.591874784197643,4.180585494207527,0.4865743041200447,3.464516998077395,1.9465957530802456,0.5618664172121229,8.589924335051734,4.117329099863713,0.4793207645686341
