epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy_act,redundancy_max,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_act_nn,redundancy_max_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn
1,train,received,5.204346179962158,74.375,75.3125,1.5,3.60546875,3.60546875,2619,11,6.8984375,10.328125,6.8925811375804376,6.892700755141655,6.896658188388003,6.928097723957828,6.8660252104098785,6.868079519517839,6.932726290650018,7.006626111258502,0.33203125,0.44384765625,,,5.33984375,0.2098603139499893,0.5208920594166007,0.2177250877785511,0.3098023008043201,8.595054779029926,3.2752018354764143,0.3810565400312745,3.476840135813881,1.7008107955072838,0.4891829158285838,8.583305635787013,3.2014797750875426,0.3729891385597846,2102,10,5.29296875,10.5078125,5.290942412416805,5.291073860924795,5.293222201492941,5.330948659308133,5.289880119463964,5.29213199098056,5.327759917756466,5.448504884779748,0.496337890625,0.58251953125,,,0.21747310109719759,0.5375332657788833,0.23988028022406918,0.3372577727170724,8.595054779029926,3.382335122573978,0.39352106641904644,3.476840135813881,1.7319136410870755,0.4981286379109455,8.583305635787013,3.2846702805579406,0.3826812675600087
2,train,received,2.8085103034973145,85.5,87.25,1.474609375,3.626953125,3.626953125,663,11,7.1953125,10.2265625,7.188096361639135,7.188213965180699,7.192356463260307,7.222813172551849,7.125502295949612,7.127525143529395,7.193146613965027,7.26316556874484,0.296630859375,0.419677734375,,,5.7109375,0.14737740002563568,0.46392576916701717,0.22506103035912262,0.32859994035546125,8.593131167916042,3.7029010426056317,0.43091406034054974,3.4847771607594886,1.8871043229097788,0.5415279760667665,8.584890410417579,3.6148750055184014,0.4210741002741082,265,10,5.6640625,10.4140625,5.662193781604713,5.662323282163788,5.6650014288761685,5.701343239468133,5.626306222937616,5.628524756167224,5.672318875053595,5.78160028826045,0.4560546875,0.55322265625,,,0.1483171837063428,0.49212372435652796,0.2499232040357342,0.36168311748049276,8.593131167916042,3.9075728911787477,0.4547321360307352,3.4847771607594886,1.9507876900167855,0.5598027076117607,8.584890410417579,3.7859734761887855,0.4410042872061114
3,train,received,2.2063488960266113,88.5625,90.3125,1.4501953125,3.62890625,3.62890625,617,11,7.1015625,10.2890625,7.098572109783692,7.09869100689426,7.103037334614094,7.133696463180218,7.046857619434489,7.048899438527064,7.118725176748025,7.1859438097440975,0.309814453125,0.42724609375,,,5.55859375,0.1749990395425093,0.4614634774489474,0.21435814934141545,0.31353782288479737,8.600977295512205,3.8903474219782685,0.45231457871748637,3.486873324523791,1.9966621912563651,0.5726225203575622,8.595273930194972,3.807950133428883,0.4430283623715184,269,10,5.4453125,10.4765625,5.439641009343546,5.43977196034757,5.442372299298697,5.479379328500805,5.418905161078905,5.421149448317686,5.464079112537392,5.576565879152902,0.480224609375,0.57080078125,,,0.16968599884531507,0.4773380355504227,0.2390402784354415,0.3440198222395433,8.600977295512205,4.143627657967101,0.4817624225248393,3.486873324523791,2.09201100947103,0.5999675969750751,8.595273930194972,4.043109743242327,0.4703875380910186
4,train,received,1.8994241952896118,89.8125,91.5,1.42578125,3.634765625,3.634765625,549,11,7.1640625,10.2734375,7.159916924096122,7.160035883945379,7.164649192130867,7.194974041543954,7.092753537456125,7.094792338570101,7.168167912447701,7.231475762426943,0.302490234375,0.422119140625,,,5.6171875,0.1358249160798527,0.46907431342600997,0.24174462627456442,0.349316526554148,8.596540473558425,4.024755418041959,0.46818315232987723,3.482332518333388,2.060463086708257,0.5916905051027049,8.59190685621462,3.955460145215488,0.46037046390400055,217,10,5.4921875,10.4609375,5.4895467754278116,5.489677671286568,5.492380057582649,5.5292128374333265,5.465863718248924,5.468103841344003,5.5120302191301285,5.623082549367023,0.474853515625,0.56689453125,,,0.13294356890366513,0.492185180404358,0.26334443756735676,0.37708872116628117,8.596540473558425,4.291343225318892,0.4991942094053268,3.482332518333388,2.1502939169139177,0.6174866718193323,8.59190685621462,4.200561952190213,0.48889751978071094
5,train,received,1.777176856994629,90.5625,92.375,1.40234375,3.638671875,3.638671875,526,11,7.26953125,10.34375,7.2658876183049514,7.266004330452774,7.270676313668686,7.300365169292867,7.206922072302388,7.2089441996280375,7.283484308336754,7.344200384509524,0.297119140625,0.413818359375,,,5.6796875,0.15816845303674945,0.4564095451178946,0.24432069413952306,0.3439458196744151,8.598014939151543,4.1002737747815425,0.4768860956626995,3.4910102816711563,2.078760318072823,0.5954609555253773,8.592002953863119,4.008763165380324,0.46656910931087514,228,10,5.58203125,10.5234375,5.5843549770611824,5.584484412802105,5.587271942211214,5.623607749257586,5.5772320665093496,5.5794572183825455,5.625574181103913,5.73313406801217,0.469482421875,0.5595703125,,,0.14594745111273122,0.47069772914882463,0.2654907358481503,0.37350275638273783,8.598014939151543,4.384662622501093,0.5099622009884265,3.4910102816711563,2.1800304581891856,0.6244697902022789,8.592002953863119,4.270901011604314,0.49707862468599834
6,train,received,1.7109246253967285,91.0625,92.875,1.37890625,3.646484375,3.646484375,574,11,7.265625,10.25,7.263095386284926,7.263213434508109,7.267966872769241,7.297846126725292,7.219674099987068,7.22169551199223,7.297156559514327,7.356846139604819,0.291015625,0.4140625,,,5.6953125,0.14048640258456374,0.46002139198772823,0.22747534506814512,0.32676595570178446,8.59534721161134,4.231024556600728,0.49224591542795304,3.4755831707174565,2.1542930073992057,0.6198364135117216,8.594182716797523,4.144181389806823,0.4822077359033719,250,10,5.6171875,10.4375,5.614659239614108,5.614789592821102,5.617763955343029,5.6540724482723075,5.608155712700372,5.610383330733769,5.659109358991184,5.764059366716819,0.461669921875,0.55712890625,,,0.1269534498417531,0.47493809625639977,0.2501496870454037,0.36103972176877364,8.59534721161134,4.567058303787204,0.531340758127563,3.4755831707174565,2.276069866152982,0.6548742338636477,8.594182716797523,4.446098673887791,0.5173381600553816
7,train,received,1.5603680610656738,91.9375,93.8125,1.35546875,3.619140625,3.619140625,585,11,7.31640625,10.2421875,7.312109766286852,7.312227718417741,7.317048385513402,7.346773519878168,7.263731935418277,7.265749138873564,7.3430401840367665,7.400463661144325,0.285888671875,0.409912109375,,,5.74609375,0.12233226015643948,0.4542143013068475,0.20465113028292378,0.3166535017398346,8.59478048916069,4.311639085578788,0.5016578481575431,3.48797650573251,2.1357035677721283,0.6123044591218109,8.592852132021875,4.229216783826392,0.4921784663401707,238,10,5.67578125,10.4296875,5.667523924084712,5.667654149649495,5.670838562261873,5.706848383100988,5.654641457829845,5.656865745218762,5.708721604257876,5.810156169147125,0.455810546875,0.55224609375,,,0.11952075904291905,0.4806603783441895,0.22262511482784667,0.3484821519636859,8.59478048916069,4.650757603387671,0.5411141807813445,3.48797650573251,2.260048742169535,0.6479541185140243,8.592852132021875,4.5438477076206985,0.528793890294903
8,train,received,1.5011833906173706,92.125,94.0625,1.3330078125,3.63671875,3.63671875,640,11,7.46875,10.3671875,7.460925852405113,7.461042025394789,7.466078353995439,7.495028811350488,7.433160354651039,7.435151872148284,7.5169316529426276,7.567703673966881,0.279296875,0.397705078125,,,5.9140625,0.1231807039534307,0.44802435295319526,0.18209567817508046,0.30615743880461793,8.600171633990302,4.358389352718237,0.5067793455996452,3.4839283399185996,2.1416509421461116,0.6147230175796757,8.59608421330406,4.265361761731382,0.4961982288551724,267,10,5.84375,10.546875,5.838967549879247,5.839096048046905,5.84249622351089,5.877715510713135,5.828011115604475,5.830211443324862,5.885809354410555,5.981425493010676,0.446044921875,0.5390625,,,0.11607937849032522,0.4640826239607861,0.20674926920083198,0.34030364450543965,8.600171633990302,4.720629250639829,0.5488994233536656,3.4839283399185996,2.2863415176011617,0.6562538877176162,8.59608421330406,4.606444930151075,0.5358771291493089
9,train,received,1.4599508047103882,92.375,94.3125,1.310546875,3.66015625,3.66015625,680,11,7.453125,10.3125,7.442548548803099,7.442662978752565,7.447374086341843,7.476320246792855,7.384759878082778,7.386753626610882,7.46320872524229,7.519648291582883,0.27685546875,0.39892578125,,,5.94140625,0.14786133625430456,0.4570816225620401,0.19623196915242314,0.32092037741946766,8.595675472674381,4.261117804820115,0.4957280923839193,3.4673798231918447,2.1425746169139828,0.6179232521869115,8.589545545120558,4.181573101889696,0.48682122702814146,297,10,5.84375,10.4921875,5.839333689652749,5.839460685235023,5.842717075715143,5.8777763755456185,5.812210383988697,5.814406847824553,5.867610087068685,5.965478806532959,0.443115234375,0.5390625,,,0.1286092054080576,0.46675653794293426,0.207567826674621,0.34781000412583624,8.595675472674381,4.606566560969207,0.5359167613544118,3.4673798231918447,2.259903000640234,0.6517610172167162,8.589545545120558,4.5033079165140215,0.5242777854612116
10,train,received,1.4105312824249268,92.5625,94.4375,1.2880859375,3.654296875,3.654296875,652,11,7.4296875,10.3203125,7.419343837231764,7.419460516862652,7.424302765851144,7.45359529535856,7.372922011959113,7.374923404492213,7.451416486422182,7.508277512826088,0.2802734375,0.40087890625,,,5.87109375,0.1277253387829833,0.43599139715330093,0.20555319070533137,0.3116263649904613,8.59830911377226,4.365565628398958,0.5077237362176774,3.471348451102143,2.201320380111097,0.6341398482806254,8.596611840110945,4.281622427366468,0.4980592944058308,282,10,5.78125,10.5078125,5.77512347767906,5.77525272640996,5.7785275495603585,5.814107418733902,5.760947665257378,5.763156966562496,5.816749917236333,5.91515595828877,0.44970703125,0.5439453125,,,0.11309025599092107,0.443627057133872,0.21985689355871116,0.33948947494085857,8.59830911377226,4.73651591586169,0.5508659729707811,3.471348451102143,2.3332797977177506,0.6721537265949032,8.596611840110945,4.624585927445583,0.5379544887519196
