epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected
1,train,baseline,4.426894187927246,78.25,78.25,1.5,3.509765625,3.509765625,662,10,4.3515625,9.140625,4.347925393231781,4.348027946704394,4.349285962563519,4.379208891717302,4.326732611013525,4.328602584501939,4.349975057746037,4.452411770512385,0.52392578125,,,4.3515625,0.5072499786080568,0.657608357381732,0.2689602952130445,0.23263357284636701,8.597847058280593,3.6027649183145876,0.4190310543899199,3.4750893318076015,1.9317055512910688,0.5558721997763072,8.586445263053207,3.5637749488313117,0.4150466042293372
2,train,baseline,2.1443185806274414,88.3125,88.3125,1.4736328125,3.583984375,3.583984375,104,10,4.34375,9.125,4.340466935103487,4.340570943583407,4.341920358715296,4.371977161326023,4.329610079208473,4.3314811689286525,4.354281938413608,4.455398344530911,0.5244140625,,,4.34375,0.5129474722891797,0.6680816736470598,0.2925869522701311,0.2492382585120391,8.590790777565768,4.016834886222995,0.4675745213947789,3.461807736695098,2.124065352934958,0.6135711496683957,8.580199709844171,3.9951640347918627,0.4656259958854059
3,train,baseline,1.8088369369506836,89.625,89.625,1.4482421875,3.59765625,3.59765625,110,10,4.53515625,9.203125,4.532695620013213,4.532799299471155,4.53432054971511,4.563814485410272,4.532522966516783,4.534364554317853,4.559725458475708,4.655862533055224,0.50732421875,,,4.53515625,0.38925356741614703,0.6082094926849889,0.3489149531525548,0.305298850388156,8.593164136341489,4.1571349510149656,0.4837723200740411,3.4798431930963982,2.2525341062968383,0.6473090829970737,8.585091222299456,4.136134533717606,0.4817810814839277
4,train,baseline,1.525760293006897,91.1875,91.1875,1.4228515625,3.634765625,3.634765625,134,10,5.203125,9.3125,5.2029926501011285,5.203085458126936,5.205144727425274,5.231235114250432,5.184712814707756,5.186444156065629,5.221414241086386,5.298903317604418,0.441162109375,,,5.203125,0.3543142909824737,0.583171849385914,0.32658426173392097,0.2697443856472716,8.59641803513085,4.5538492104257555,0.529737989918081,3.484093331938697,2.3575256220253973,0.6766539806537186,8.590996624353167,4.517008418325872,0.5257839824452226
5,train,baseline,1.1240816116333008,93.6875,93.6875,1.3974609375,3.66796875,3.66796875,161,10,5.53515625,9.3828125,5.532370804866421,5.53245770474399,5.5348926747213465,5.558957936206002,5.501925217189774,5.503569192310285,5.544923745863258,5.610252365330819,0.410400390625,,,5.53515625,0.33156755099590873,0.5778743718992075,0.3111694717602546,0.2606165161771831,8.596697092031148,4.890430648849933,0.568873207523294,3.478975645626219,2.459403717872383,0.706933295426875,8.594263499446495,4.866274137720429,0.5662235208443209
6,train,baseline,0.9173007607460022,94.8125,94.8125,1.373046875,3.66796875,3.66796875,195,10,5.8046875,9.40625,5.802544922032002,5.802626791118155,5.805528325068097,5.827828618317308,5.786127540210941,5.78769445001948,5.836963107688925,5.889139800228004,0.383056640625,,,5.8046875,0.3170231628754847,0.5572133262906159,0.3052323344175403,0.25632450861614753,8.596353633292885,5.2539276599274585,0.6111809592824894,3.480384829710374,2.57448822060371,0.7397136657494138,8.593473474056262,5.236455457990572,0.6093526062307001
7,train,baseline,0.7517659664154053,95.625,95.625,1.349609375,3.669921875,3.669921875,258,10,5.98828125,9.40625,5.983959917599904,5.984036048642799,5.986737065716913,6.007808561417668,5.97377512634473,5.975265294355786,6.021963813021614,6.071907170108953,0.363525390625,,,5.9921875,0.30411828906765126,0.5641819897357544,0.3195658216148864,0.26199134842805444,8.596414185128816,5.370960201437912,0.6247907657508278,3.469286410552648,2.627681087180833,0.7574125558466793,8.59510472266793,5.354345154556534,0.622952869955788
8,train,baseline,0.6869708895683289,96.0,96.0,1.326171875,3.671875,3.671875,263,10,6.07421875,9.3984375,6.071791744946897,6.0718676922395245,6.074983530545515,6.095590849679271,6.0536272451782756,6.055144420827631,6.109372607492233,6.152445432980415,0.353515625,,,6.078125,0.28281836525467896,0.5392929645423513,0.27781297300428265,0.23148472926744101,8.593172383419308,5.49395524664232,0.639339582811467,3.4772383993716325,2.6877615653551468,0.7729586691096155,8.59362432274806,5.476514446755961,0.6372764553203889
9,train,baseline,0.6443162560462952,96.3125,96.3125,1.302734375,3.67578125,3.67578125,278,10,6.18359375,9.4375,6.184941544249214,6.185019655868079,6.18849188279393,6.208856899163349,6.167285547673302,6.168784017172415,6.226840947038296,6.264490850236981,0.3447265625,,,6.18359375,0.2945760382672333,0.5378475978244903,0.27506878337475127,0.22499345511664728,8.59774231453705,5.635606107850578,0.6554751121491398,3.4790842537385656,2.7381473586545524,0.787031057299686,8.596943575023992,5.617907268456597,0.6534772758981285
10,train,baseline,0.5427046418190002,96.75,96.75,1.2802734375,3.685546875,3.685546875,285,10,6.375,9.5,6.372967627149506,6.3730402719298,6.376784030456437,6.395610576719301,6.357300049557395,6.358741076582122,6.422579396126633,6.450729232749654,0.3291015625,,,6.37890625,0.28707297634758583,0.5539762836363934,0.2895467910434239,0.2389258007261784,8.596270152664685,5.835489691695127,0.6788397279355202,3.481220964255431,2.8056169309132546,0.8059290001183032,8.594962213434922,5.821737197195548,0.6773429658708096
