epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn
1,train,received,5.491443634033203,73.0,73.8125,1.5,4.0234375,4.35546875,3586,10,6.7578125,13.53125,6.740420520337191,6.740558329256969,6.743738395873607,6.783043692211905,6.613601225294474,6.615993403855876,6.668394039835111,6.785497678546806,0.50048828125,,,5.6796875,0.229783216789466,0.271952773269099,0.2907573205117963,0.21958558080758397,8.596996475558878,3.454794212654086,0.4018606059076574,3.473098675375108,1.751949836385153,0.5044342243446152,8.581652896238865,3.403843239723459,0.3966419151274789,3533,10,6.1328125,13.9609375,6.119061319084446,6.119202821048912,6.1216850739068835,6.163219454127477,6.006254996167475,6.008711839921494,6.0500178767655015,6.184420911854131,0.560546875,,,0.31921401887378426,0.28925384065303106,0.3602319621924632,0.23062445793593936,8.596996475558878,3.55856781489143,0.4139315195729556,3.473098675375108,1.781618573525769,0.5129766643711461,8.581652896238865,3.4875621883212595,0.4063974889790492
2,train,received,2.6261231899261475,86.9375,87.625,1.4736328125,4.64453125,5.046875,729,10,6.703125,13.859375,6.689623930672054,6.689763143439771,6.69351830633077,6.732637611447081,6.608595399187055,6.610992982809111,6.672479360226855,6.780845871372062,0.51611328125,,,5.60546875,0.2579956531717018,0.30522991163102575,0.3155594823302871,0.21011352601173658,8.598412594824502,3.4886631818417975,0.40573340059788127,3.472652809129017,1.778748727284336,0.5122161140348688,8.590968279952678,3.4433391477726527,0.40080920282383115,523,10,5.9609375,14.203125,5.945704968708295,5.94584843316323,5.948544870851189,5.990513831826024,5.866637068909489,5.869113632124737,5.913689725784208,6.0465437202014485,0.58056640625,,,0.3403873269267394,0.3234318343367824,0.3813716570309052,0.21649135661462415,8.598412594824502,3.6077866736017876,0.4195875266294341,3.472652809129017,1.8083502177507746,0.5207402862148867,8.590968279952678,3.54974340846202,0.41319479862886577
3,train,received,2.292571544647217,89.4375,90.125,1.4482421875,4.8203125,5.2421875,820,10,7.25,14.296875,7.239724784312001,7.2398600541531195,7.2455624462743975,7.281222069241703,7.080099144957284,7.0824442943409505,7.174818509627951,7.247351647555879,0.492919921875,,,6.1015625,0.19347373629493375,0.23646088007941307,0.2571981772221779,0.19223986223932227,8.594007066182167,3.670255859143973,0.42707154309735296,3.4803783526039176,1.7908783068113205,0.5145642586448791,8.580582146069032,3.5858327615446033,0.4179008720506636,627,10,6.56640625,14.890625,6.550006444262264,6.550145861536404,6.5539176976134925,6.5932183903731465,6.442937295344228,6.445350986545766,6.506841101631082,6.616807483220509,0.55908203125,,,0.23654730938990381,0.2562063362320873,0.3137527363432545,0.19465332900221743,8.594007066182167,3.8183834180015097,0.44430768890417055,3.4803783526039176,1.8423677109597731,0.529358455979755,8.580582146069032,3.7188217577521163,0.4333997034753401
4,train,received,1.773807406425476,91.6875,92.375,1.4228515625,4.98046875,5.421875,1035,10,7.640625,14.65625,7.616341586053545,7.616474337041942,7.623691201939357,7.656845278735452,7.484553749499544,7.486855227309374,7.604346116956165,7.647591810557988,0.478759765625,,,6.5,0.19314409738792174,0.23864599699755548,0.28026471225570754,0.24097639615925484,8.594660287402213,3.9648103734152995,0.461310888485819,3.486699650981537,1.9277710977975566,0.5528927899639626,8.590919156069551,3.9095627399032526,0.4550808439561576,758,10,6.90234375,15.1796875,6.878521345564204,6.878658844435078,6.88320088432084,6.920931071423102,6.785619065106179,6.787996467329639,6.8632870930930325,6.955965235476554,0.544921875,,,0.24415270359842808,0.26723966502926205,0.35050903300354047,0.2515916929195305,8.594660287402213,4.127018312416583,0.48018399499347736,3.486699650981537,1.9951776739803764,0.5722252771094626,8.590919156069551,4.068983010921031,0.47363767915872695
5,train,received,1.4747538566589355,92.625,93.3125,1.3974609375,5.015625,5.45703125,1452,10,8.03125,14.640625,8.00565455683245,8.005784471149497,8.013886738917567,8.045069849243813,7.860330025545363,7.862587067360053,7.995250845804166,8.019215572674806,0.451171875,,,6.97265625,0.14217284523148674,0.19085383571750342,0.27843663120029843,0.2239216256291975,8.59690485493501,4.1721876727557206,0.4853127658334729,3.483019639993513,1.9877116633212308,0.570686320713636,8.591602342487775,4.135301342579561,0.48131898774334425,1110,10,7.31640625,15.1484375,7.293526970511153,7.293661557015894,7.298916262047059,7.334806238319214,7.17220036480331,7.1745340977476175,7.261376612282117,7.3383966802190805,0.51708984375,,,0.1876040705965004,0.21213948048673434,0.33636396816022457,0.2280854259604912,8.59690485493501,4.361967320949111,0.5073881117161771,3.483019639993513,2.0581627157194458,0.5909133247733507,8.591602342487775,4.307769480884864,0.5013930241605562
6,train,received,1.3707386255264282,93.0625,93.8125,1.373046875,5.03515625,5.484375,1928,10,8.0859375,14.7265625,8.055430919987227,8.055560006968152,8.064019955331695,8.094600022090102,7.8739033697455705,7.876158898844335,8.01379619856921,8.032645068434164,0.451171875,,,6.921875,0.12017666347836084,0.1622819247258078,0.27934185853125554,0.2511910185525598,8.594702401543493,4.323850999003465,0.5030832711819038,3.472993731160874,2.0544802671984357,0.5915588757805533,8.592310393969932,4.29526090768292,0.49989591980956904,1516,10,7.30078125,15.2109375,7.2763018554475005,7.276435994350427,7.281764941514116,7.317495799661441,7.133603765302815,7.135940661917043,7.22417607514322,7.30014502225006,0.52001953125,,,0.14865746249313117,0.18260245218050736,0.34336951448083003,0.2756956430680865,8.594702401543493,4.510286792189145,0.5247752140177836,3.472993731160874,2.13569752095421,0.6149442487592217,8.592310393969932,4.476299220600802,0.5209657257892197
7,train,received,1.2459204196929932,93.75,94.3125,1.349609375,5.06640625,5.51953125,2334,10,8.3671875,14.765625,8.323753475791047,8.323879154863942,8.332845271958824,8.361840886980684,8.111793914709434,8.114020533004634,8.263870824154026,8.267862967096981,0.433349609375,,,7.2578125,0.14137759732236094,0.17363873463898846,0.27894598893401973,0.23549883567248767,8.591794405985588,4.469768332914054,0.5202368820417921,3.4853670677515245,2.0948636906932006,0.60104535619103,8.590538106073845,4.430566410802374,0.5157495789081933,1853,10,7.6328125,15.203125,7.597968507678941,7.598099277697298,7.6038647597071245,7.638027245414176,7.427536728772081,7.429838396476439,7.526652304860589,7.590804476541037,0.498046875,,,0.1719422230853281,0.20277993450593898,0.3502360864469765,0.25277489520082064,8.591794405985588,4.657277334785118,0.5420610776650526,3.4853670677515245,2.187421633900268,0.6276015097920273,8.590538106073845,4.608373698078734,0.536447617270964
8,train,received,1.1307342052459717,94.1875,94.75,1.326171875,5.08203125,5.53515625,2744,10,8.5703125,14.8125,8.519172759707262,8.519297367263635,8.529128952575855,8.556794760047037,8.289572290311867,8.291778318790033,8.452908070967556,8.443702547069774,0.42138671875,,,7.4375,0.12433773988808892,0.16812983845134585,0.29791588803445446,0.2584082127737692,8.595882332816268,4.66347370882831,0.54252414449936,3.4900720421360365,2.1635268768745863,0.6199089447879815,8.59331962950224,4.627351333381991,0.5384823948006722,2222,10,7.8125,15.234375,7.769100179636978,7.769229899129059,7.7754450307193945,7.8087300541939015,7.6218132200725055,7.624093100084094,7.729455819409397,7.7830077153439685,0.4873046875,,,0.16564898569248357,0.18356894870200255,0.35259583213559814,0.28499209322778435,8.595882332816268,4.875288224529978,0.5671655376106908,3.4900720421360365,2.264653009165426,0.6488843158032306,8.59331962950224,4.83454917772795,0.5625938969068681
9,train,received,1.0124644041061401,94.8125,95.3125,1.302734375,5.08203125,5.5390625,2986,10,8.6875,14.78125,8.647178083717781,8.647302018408796,8.657547632073578,8.684495725275767,8.395299397848582,8.397492017151936,8.56508311657384,8.548208808598307,0.412353515625,,,7.58984375,0.1265985870957699,0.17009789378517964,0.2662844020590972,0.2205263933696852,8.593788564606516,4.845673830075345,0.563857697178196,3.4745144870531415,2.2277103539896377,0.6411573076729455,8.590421160862144,4.814033089681153,0.5603954683402288,2417,10,7.8984375,15.234375,7.8680071188119705,7.868136479922837,7.874617063834365,7.9074371948483915,7.634791837607708,7.637070198150201,7.743200005361023,7.795841819815973,0.4814453125,,,0.14757504679873604,0.18416205863175786,0.31164548780551354,0.23710747151655168,8.593788564606516,5.058943644459953,0.5886744369410242,3.4745144870531415,2.3253864697732984,0.6692694701484871,8.590421160862144,5.02351250131988,0.5847807001834722
10,train,received,0.9161538481712341,95.3125,95.6875,1.2802734375,5.12890625,5.5859375,3248,10,9.015625,14.8515625,8.97230624359025,8.972428225533038,8.983943499948067,9.008812549321803,8.70270993149936,8.704869365035796,8.8922426275167,8.852409545822102,0.39306640625,,,7.953125,0.12714412647818282,0.16188340810508264,0.2590289483751066,0.23388089100564494,8.59864013728232,4.894400629913537,0.5692063572578417,3.4896002835599527,2.2176493526786283,0.6355023992651301,8.597047663269382,4.864293129821469,0.5658097198418487,2647,10,8.296875,15.265625,8.260736305804127,8.260863247349107,8.26837352040736,8.299177185707734,8.076371940380454,8.078601357024635,8.203426589419905,8.232742840646774,0.45654296875,,,0.15119399539415293,0.18464016031746674,0.3156670481477195,0.24675298541402513,8.59864013728232,5.1300790714964055,0.5966151611873147,3.4896002835599527,2.3374721750540717,0.6698395188888152,8.597047663269382,5.097060477356207,0.5928849852878261
