epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn
1,train,received,3.6621904373168945,82.875,83.375,1.5,3.501953125,3.501953125,691,11,6.640625,9.78125,6.636452575702457,6.636520956432256,6.639490792164984,6.658127341423897,6.602544924658996,6.603926860544696,6.655740199435438,6.69385425091719,0.321044921875,,,5.5703125,0.3242933963598497,0.2514937893291389,0.3166396089020436,0.33631419968591014,8.59797603559386,3.9861216447934913,0.4636116253745956,3.467898941495416,1.8684539546661636,0.5387855834865981,8.594251563684022,3.9233088208860485,0.45650383768895386,514,10,6.03515625,9.4375,6.031644083840074,6.0317302932383505,6.034558805237562,6.057709496156679,6.022406242386598,6.024011718543667,6.071634626384527,6.127943548964785,0.3603515625,,,0.33829632119743397,0.2645477647960756,0.3302859012082484,0.3468305131190163,8.59797603559386,4.02026609842756,0.46758284528643507,3.467898941495416,1.8903685332383828,0.5451048502651072,8.594251563684022,3.954028688283124,0.4600783045485098
2,train,received,1.353122353553772,93.625,94.1875,1.4736328125,3.69921875,3.69921875,406,11,6.84375,9.796875,6.834531452273193,6.83459743846549,6.838268635587887,6.8554393043270085,6.821743548903942,6.823080272361059,6.8873653222340145,6.909637883613821,0.301513671875,,,5.8046875,0.34777588553890215,0.2501701326672456,0.2662390390919861,0.33269587068103124,8.593237573905672,4.3330647274211564,0.5042412350589484,3.470838290812802,2.0358850292727197,0.5865686784260858,8.590631598112376,4.280592470101695,0.49828611798954014,241,10,6.26171875,9.453125,6.259606762013297,6.25969010154959,6.263236971453756,6.2848295287364175,6.240253558892233,6.241833261306223,6.301822404200485,6.34330064760349,0.337890625,,,0.3615691997897073,0.262708933143366,0.2815853608750039,0.3423893109651595,8.593237573905672,4.385947150076048,0.5103951930055406,3.470838290812802,2.062144233698124,0.5941343447652269,8.590631598112376,4.33251182371234,0.5043298358486616
3,train,received,1.0772703886032104,94.6875,95.25,1.4482421875,3.6875,3.6875,365,11,6.76953125,9.8515625,6.768549090273306,6.768620482474249,6.772506923640943,6.790583782046565,6.731966634137359,6.733377947082037,6.799078742708491,6.82377553319949,0.31298828125,,,5.69140625,0.3688439013524724,0.2719950704086155,0.2697276912880942,0.31933719247603504,8.593305990259568,4.48828864830004,0.5223005736543623,3.461278640783033,2.092465311477418,0.604535354889558,8.59186340020105,4.445573182606808,0.5174166505606668,211,10,6.171875,9.5078125,6.172686084319157,6.172774984787982,6.176443540505267,6.199056797625602,6.142224354814008,6.143843242695602,6.203090334212242,6.247791018806432,0.350830078125,,,0.38258466950570624,0.28558559701955466,0.28132280022190603,0.32694793213219925,8.593305990259568,4.555529131231516,0.5301253250373216,3.461278640783033,2.1293846581734552,0.6152017445471342,8.59186340020105,4.51632519290816,0.5256514195514884
4,train,received,0.9425345659255981,95.25,95.8125,1.4228515625,3.697265625,3.697265625,346,11,6.67578125,9.859375,6.676362732402045,6.676437621920177,6.680211898331948,6.6990868392161875,6.643959066702051,6.645381230649674,6.708138820539126,6.736841532834924,0.32275390625,,,5.68359375,0.3477695788788856,0.2584470494349292,0.28076255415136075,0.3278443655077595,8.594206515957406,4.631886052839017,0.538954474067932,3.4689388860424284,2.127518408072258,0.6133052434658073,8.593329049522733,4.593258447636208,0.5345144380211199,190,10,6.0703125,9.5078125,6.065800887623113,6.065892331707446,6.069407349223483,6.092796083735317,6.059383738465786,6.06102916750518,6.118144157941212,6.166582658892608,0.36181640625,,,0.3595573801248181,0.2694970226433146,0.2959591084469442,0.3389102572769485,8.594206515957406,4.706313747710123,0.5476146912424797,3.4689388860424284,2.167014897615381,0.6246909988338366,8.593329049522733,4.664301203152838,0.542781636345217
5,train,received,0.8894842267036438,95.5625,96.0625,1.3974609375,3.69921875,3.69921875,361,11,6.73046875,9.8515625,6.7241486487935065,6.724221087758636,6.728214598580099,6.746537197826862,6.70557498788037,6.706994853545535,6.774681166264403,6.798051013520401,0.317138671875,,,5.625,0.34890522802134527,0.25315510768933813,0.2791852025155642,0.32764569426986373,8.593772057622864,4.684445585179286,0.5450977235338794,3.481892846589888,2.1314931219449553,0.6121650538535403,8.592185212911183,4.643827131098174,0.5404710229151083,203,10,6.12890625,9.5078125,6.123034237011419,6.123123186822713,6.12683065611517,6.149611410851369,6.124167201062175,6.125806817179524,6.18768065330848,6.230789091356156,0.35546875,,,0.36412259562139204,0.26828245168624054,0.29389101800852385,0.33780438866730245,8.593772057622864,4.7613473994682645,0.5540462753192116,3.481892846589888,2.1771306059442175,0.6252721441662012,8.592185212911183,4.719354378669522,0.5492612486492853
6,train,received,0.8348532915115356,95.8125,96.375,1.373046875,3.69921875,3.69921875,354,11,6.81640625,9.8515625,6.807326418741598,6.807398867886453,6.811565177424722,6.829510830858298,6.788187133328394,6.789571950098299,6.857991806643911,6.878490189456379,0.308349609375,,,5.7734375,0.34587706613960373,0.2527931274495123,0.26830669104806415,0.3153873622204852,8.59136120549412,4.731749064709496,0.5507566206951668,3.494398157771265,2.17580858277082,0.6226561726894212,8.590332408715415,4.686616419141986,0.5455686923578333,196,10,6.21875,9.5078125,6.213929728937788,6.214018288115808,6.2179034262438195,6.24027757438182,6.188997325007862,6.190625676422422,6.253845992029644,6.294679861446821,0.34619140625,,,0.3594978098426541,0.26837244736261456,0.2814586047996563,0.32492469898765725,8.59136120549412,4.809825628091691,0.5598444196498034,3.494398157771265,2.219785868236459,0.6352412541483949,8.590332408715415,4.767042281328875,0.5549310613978593
7,train,received,0.7960973381996155,96.0,96.5625,1.349609375,3.69140625,3.69140625,366,11,6.76171875,9.84375,6.756040664172943,6.756113224541726,6.760229343447938,6.778332593513019,6.732594398794964,6.734016461430479,6.80418029613539,6.824938552702603,0.31298828125,,,5.66015625,0.364108616383016,0.2604257902572568,0.2726826497190347,0.3250593162839939,8.599173997959038,4.806154440981403,0.558908848933876,3.4774220187496785,2.209703336324063,0.6354429587233623,8.59913511374359,4.7759498380650935,0.5553988598727702,204,10,6.1640625,9.5,6.164264653149681,6.164352598048921,6.168176968906461,6.190617990752275,6.143926011312493,6.145557643604898,6.208378809095591,6.250050912989145,0.351318359375,,,0.37966339013554135,0.2761616606618806,0.28792190951586943,0.3357148345957697,8.599173997959038,4.897195521680374,0.5694960379732628,3.4774220187496785,2.250161010336463,0.6470773458625301,8.59913511374359,4.853849656092487,0.564457889298054
8,train,received,0.762080192565918,96.125,96.5625,1.326171875,3.689453125,3.689453125,373,11,6.80859375,9.859375,6.806405667029662,6.8064758270759524,6.810430015307794,6.828136997262779,6.755537908275842,6.756921602844716,6.822658947070459,6.845965863962883,0.3095703125,,,5.75390625,0.33415130979203034,0.23029110439871478,0.3095795116074678,0.3482380519591762,8.592382875002215,4.748737964926736,0.5526683382257348,3.4578582283519688,2.170913957688999,0.6278204062529384,8.591688854640605,4.712453127751662,0.5484897332154128,213,10,6.21484375,9.515625,6.211217282786231,6.211303078734929,6.214986906871155,6.237100754059606,6.20784509210141,6.209445715607314,6.270907666154523,6.312135664552986,0.34716796875,,,0.34827736265035086,0.24401354246316106,0.3233290392918587,0.3574067990130681,8.592382875002215,4.830444750310252,0.5621775496484736,3.4578582283519688,2.214231850142704,0.6403477829101216,8.591688854640605,4.7916689265554275,0.557709782980248
9,train,received,0.7565365433692932,96.125,96.6875,1.302734375,3.69140625,3.69140625,369,11,6.765625,9.8828125,6.75575420286073,6.755826919574956,6.759969417811342,6.778096419464124,6.746873864897368,6.748287436464814,6.818667607525436,6.838787192241217,0.3154296875,,,5.69921875,0.34043471321792373,0.2631342390485052,0.2648577291399488,0.3102741362981147,8.59866825911269,4.916024312968474,0.5717192668479301,3.4692857449590853,2.2305552715066748,0.6429436591516565,8.597560583577136,4.8635151200473805,0.5656854723812654,214,10,6.15625,9.5390625,6.152073798468348,6.152163573624468,6.156047209605591,6.1787387069321955,6.170294115210664,6.171928690388058,6.236000632459692,6.276359868594188,0.3544921875,,,0.35426206087076895,0.2766403086929358,0.2766369177950796,0.318555786682641,8.59866825911269,4.994819385495048,0.5808829036056418,3.4692857449590853,2.2762892256736897,0.6561261864869926,8.597560583577136,4.952183790709812,0.5759987083044649
10,train,received,0.713786244392395,96.3125,96.875,1.2802734375,3.697265625,3.697265625,407,11,6.8671875,9.8515625,6.863820228099069,6.863889274992967,6.868191857420085,6.885363728119757,6.85632075778176,6.857689984338902,6.931565475172605,6.945549194795544,0.302978515625,,,5.80859375,0.34335251584731746,0.2333396968820731,0.26373344692368667,0.32811206697771494,8.59659750643738,4.985395465861112,0.5799265886448568,3.4992926217120277,2.2674437462096355,0.6479720307301107,8.595897692195749,4.937936651639,0.5744527015627668,244,10,6.27734375,9.5078125,6.2749366129382285,6.275022697010185,6.279083747054211,6.300759532760882,6.262822232633855,6.264431748406085,6.331932732749874,6.367172482633097,0.340087890625,,,0.3640216661840461,0.25296292821284583,0.2787143194798459,0.33814520568484785,8.59659750643738,5.073469868968351,0.5901718517319429,3.4992926217120277,2.3173920476802454,0.6622458588634585,8.595897692195749,5.037908007366821,0.5860828255251058
