epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,messages
1,train,7.300483703613281,77.5625,77.5625,1.5,4.40234375,4.40234375,3926,10,8.0625,11.859375,8.026239352847014,8.026308724044663,8.028741173687404,8.049150161710799,7.826861819698343,7.828516336702595,7.879709596321972,7.938684431079054,0.3203125,,,8.078125,0.3137629316159458,0.5102560642817386,0.2240206707942399,0.15932395230207486,8.59181360881035,3.8137427122941663,0.44388098787238817,3.460849924319828,1.6082940465642706,0.4647107160765874,8.585453685970652,3.792243655782153,0.44170567968690994,baseline
2,train,2.801140546798706,91.0,91.0,1.4736328125,4.48046875,4.48046875,2246,10,7.3359375,11.9140625,7.314041593412236,7.3141302567632005,7.317126945333239,7.341964388877049,7.168415128507927,7.170243816495162,7.226129234675698,7.292721058677171,0.38427734375,,,7.35546875,0.3310324856065185,0.5111925323838675,0.23761054422620292,0.1787217425047495,8.599382084330593,4.450144941355157,0.5174958965323813,3.489136103080554,2.0543388332567902,0.588781512834371,8.594685550187826,4.430598575929227,0.5155044416758682,baseline
3,train,2.060321807861328,93.0,93.0,1.4482421875,4.4765625,4.4765625,1786,10,7.46875,11.8671875,7.450018302720815,7.450103102951796,7.453183774266057,7.476971961120131,7.2716584203086185,7.273464568950505,7.332114174185555,7.394284334048307,0.370361328125,,,7.484375,0.2824382856242451,0.5018553841684883,0.22468834502076443,0.16445135478689804,8.595006336951457,4.694793812416522,0.5462234265299807,3.4877992505603004,2.222921586323751,0.6373421824569312,8.592232034422636,4.6685150295199875,0.5433413588944928,baseline
4,train,1.7215205430984497,94.125,94.125,1.4228515625,4.48046875,4.48046875,1466,10,7.1484375,11.9140625,7.131130801327427,7.1312282788103705,7.134916679183124,7.16112157564355,7.027870297409823,7.029754847618275,7.09465811387149,7.1558559809419195,0.39990234375,,,7.1640625,0.31108532635396935,0.505566691108296,0.23008237738771423,0.17263311656205982,8.594379406041046,4.99135240061492,0.5807693801726354,3.48322607556174,2.41425612420616,0.6931092245618345,8.589802056220087,4.973369834029286,0.5789853830715396,baseline
5,train,1.547659993171692,94.625,94.625,1.3974609375,4.48828125,4.48828125,1295,10,7.25390625,11.9609375,7.245718755366924,7.245815686341494,7.249797012019087,7.275421145094589,7.12900567653455,7.13087115300399,7.200325316228375,7.2555031968394985,0.393310546875,,,7.265625,0.2796637988791237,0.47475187188916296,0.21487353775004528,0.17910613502507933,8.590564540526902,5.229898283389266,0.6087956453521378,3.4910196602805303,2.516808689772505,0.7209379879488448,8.589734651131895,5.2108265232505735,0.6066341668149117,baseline
6,train,1.3197394609451294,95.6875,95.6875,1.373046875,4.5078125,4.5078125,1275,10,7.5078125,11.9921875,7.498181986717548,7.498278527509767,7.502990832535358,7.527484634689652,7.401576986463748,7.403422716520138,7.4846496855081766,7.525692413317628,0.3740234375,,,7.515625,0.2760811459353274,0.4810204810463323,0.2554005261204171,0.1857689057553484,8.594516799023367,5.28285174590059,0.6146769934175828,3.4655821338868322,2.498154282610452,0.7208469417542388,8.592920110716804,5.263457222186108,0.6125341739907134,baseline
7,train,1.0515414476394653,96.25,96.25,1.349609375,4.53125,4.53125,1342,10,7.44140625,12.0703125,7.421322280115213,7.421422355679909,7.427082823941508,7.451463525473411,7.333757566908483,7.335629369780332,7.431799013525415,7.459626577182461,0.383544921875,,,7.453125,0.3324557541492679,0.537341052081628,0.24252964744546088,0.17741294690306397,8.597569485025321,5.6251817881814645,0.6542758157382775,3.495871582850048,2.683902434634648,0.7677348469552668,8.59651951667789,5.6010127159768945,0.6515442331178928,baseline
8,train,0.9475336670875549,96.625,96.625,1.326171875,4.53125,4.53125,1218,10,7.66015625,12.0625,7.647936120302279,7.648033613722656,7.654023218240645,7.677212822171145,7.569574369274029,7.571399769227472,7.672302700182883,7.691819145965355,0.364990234375,,,7.671875,0.28432956548717336,0.4876156746791502,0.23049758160350176,0.1757606874599594,8.596797202101309,5.58389545813167,0.6495320672176381,3.4814389603215394,2.655300862472953,0.7627021162041899,8.594668724506901,5.560534889370028,0.6469748942754103,baseline
9,train,0.89393150806427,96.8125,96.8125,1.302734375,4.53125,4.53125,1286,10,7.51953125,12.0546875,7.512475676116535,7.51257416144743,7.518580647749262,7.542183486053993,7.425883794349855,7.4277397742465805,7.529276062637906,7.5504708920722585,0.37646484375,,,7.52734375,0.3159612827528868,0.500202270018683,0.23895941700186557,0.16785781926475243,8.591317423919135,5.618184231668929,0.6539374527156115,3.465424877017809,2.665941290195425,0.7692970948167303,8.590821912902957,5.5944405499794705,0.6512113284035045,baseline
10,train,0.7983132600784302,97.125,97.125,1.2802734375,4.54296875,4.54296875,1338,10,7.81640625,12.171875,7.801705977317352,7.801801289034937,7.808870414279395,7.830369771898717,7.717107420155189,7.718916687890143,7.838757457840159,7.837790466766744,0.35791015625,,,7.828125,0.2601051450948578,0.4657016651565351,0.22827009306916904,0.16623448568071997,8.594730133076101,5.946474617123694,0.6918745004266257,3.5045559261348256,2.7920099986516425,0.7966801094057443,8.59472711014044,5.923287150958435,0.6891768726397234,baseline
11,train,0.7708030343055725,97.25,97.25,1.2578125,4.5546875,4.5546875,1353,10,7.515625,12.1328125,7.510800163185143,7.51090137887032,7.517797845818083,7.541057234896116,7.426949422394465,7.428816028584274,7.5426116390915245,7.552116815330156,0.380615234375,,,7.5234375,0.2770066531673362,0.4958420550515982,0.2235858038338964,0.17983435802417674,8.596676819950776,6.004321482462168,0.6984468077859589,3.469448023955973,2.764017180015898,0.7966734653267061,8.595700509117068,5.9897078295362975,0.6968260263585601,baseline
12,train,0.7256708145141602,97.375,97.375,1.2353515625,4.5546875,4.5546875,1092,10,7.4375,12.171875,7.425047833101966,7.425151587735557,7.432318103117395,7.455946449042971,7.354831172048833,7.356718920501449,7.474639174697206,7.481495446712283,0.388916015625,,,7.453125,0.29186778923481754,0.4927343481001042,0.21442864481431703,0.16127575122417265,8.598704720997311,6.064859799409,0.7053224870717009,3.497443321836304,2.830240696022911,0.8092313257379441,8.597289384102226,6.049773622191123,0.703683841720872,baseline
13,train,0.719781756401062,97.4375,97.4375,1.2138671875,4.546875,4.546875,1446,10,7.65234375,12.2421875,7.644493049851931,7.644593077927104,7.6519855108818415,7.674350030464172,7.525414669857904,7.527274860120816,7.649330955788173,7.649768823501135,0.374755859375,,,7.6640625,0.2746118116863699,0.5180231314436843,0.24518172593951898,0.20569787045668622,8.59206278187343,6.04018698314551,0.7029961414956626,3.4840372079474005,2.8259826466190843,0.8111229811704551,8.591896278699434,6.0193504146190095,0.7005846229244944,baseline
14,train,0.7078742980957031,97.4375,97.4375,1.1923828125,4.54296875,4.54296875,1288,10,7.69921875,12.1484375,7.690849048360614,7.690949047979105,7.6986400043367595,7.720619519250889,7.594301425847917,7.596152717097666,7.722872058905351,7.717845701504039,0.366455078125,,,7.70703125,0.26521784813211274,0.4941378866338867,0.22544670076303763,0.17150803379886406,8.594800008579622,6.109157108674131,0.7107968891161821,3.4851686462125726,2.858748624809861,0.820261202543682,8.593981438384132,6.08801923337426,0.7084049781842383,baseline
15,train,0.6763888597488403,97.5625,97.5625,1.171875,4.55078125,4.55078125,1361,10,7.640625,12.1796875,7.635362258916089,7.635462049834855,7.642884953851634,7.665172254024326,7.544988411222631,7.546843306095431,7.670032766384568,7.668960714029124,0.37255859375,,,7.65234375,0.26742629453012423,0.4899330641277915,0.22220198741866834,0.15924855486760614,8.594225892918486,6.183265453049049,0.7194674110374465,3.47549546130839,2.882414379744314,0.829353515731307,8.593251287089966,6.159184787658146,0.716746733208113,baseline
16,train,0.6459216475486755,97.6875,97.6875,1.1513671875,4.55859375,4.55859375,1413,10,7.46875,12.1875,7.45742983674408,7.457533666374934,7.464929546914741,7.488321715671239,7.399985707134695,7.401874908482554,7.523630603166404,7.526500206389568,0.386962890625,,,7.48046875,0.2642534047665954,0.49781774716113814,0.2333974988619774,0.1611597701639213,8.594122512057826,6.4132631177903345,0.7462382702588104,3.474967891061997,3.0247585213911217,0.8704421497450772,8.594131635442999,6.396955251162259,0.7443399196703737,baseline
17,train,0.6214776039123535,97.75,97.75,1.130859375,4.55859375,4.55859375,1303,10,7.6328125,12.171875,7.623139600914622,7.6232443626878545,7.631416518084287,7.65395422761531,7.5611654862462165,7.563034727482523,7.694461360437022,7.685819597431448,0.372802734375,,,7.63671875,0.25477524044557587,0.48489785661374696,0.22729440309658167,0.1730182154180978,8.592397084236188,6.406302716591104,0.7455780562497811,3.471665990138407,2.9772422431636985,0.8575831464261926,8.591296858963865,6.389269030774372,0.7436908694533151,baseline
18,train,0.5713024735450745,97.9375,97.9375,1.111328125,4.55859375,4.55859375,1371,10,7.85546875,12.1640625,7.84351823785976,7.8436178196312465,7.851852455242337,7.872969814796924,7.7740908997754286,7.775907370299775,7.909841652776382,7.894881985895791,0.354248046875,,,7.8671875,0.2575293732543173,0.5015524040136646,0.24981405613249164,0.18520825919193482,8.5972392718266,6.469679151454375,0.7525298467213423,3.481637684194894,3.0229968604149136,0.8682686524614527,8.596949312291937,6.452300403662479,0.7505337264739906,baseline
19,train,0.5579835176467896,98.0,98.0,1.091796875,4.55859375,4.55859375,1371,10,7.89453125,12.1484375,7.883907153120956,7.884007126118077,7.892502015929276,7.913392521161831,7.7766424309792415,7.778474505732587,7.916198812782385,7.898248751681619,0.350341796875,,,7.90625,0.2591750917806029,0.4964788560816826,0.24297297760913575,0.17945499630344836,8.595471309531177,6.451054845257437,0.7505178730692892,3.4623133710278386,2.9916453135321257,0.8640596598117899,8.59592334673371,6.428604753676984,0.7478666914962351,baseline
