epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn,messages
1,train,7.301566123962402,77.125,78.8125,1.5,2.283203125,2.283203125,111,11,4.64453125,5.93359375,4.641267644317103,4.641314025591862,4.642189432167958,4.657547331659115,4.637133387908255,4.638138117551105,4.654469222952497,4.704076895465991,0.2176513671875,,,3.77734375,0.4244597476049421,0.32191971527996477,0.32612461064937376,0.35448503525946695,8.595490045393005,3.324902455424273,0.3868194178418424,3.4887629134684106,1.800379344797209,0.5160509296423735,8.583093044189221,3.2004762630252905,0.37288145969616654,91,10,4.2109375,5.7265625,4.209596180537491,4.2096568819800435,4.210536613152074,4.229621156242015,4.201114935798185,4.2023434719378425,4.21805801314407,4.281475772991906,0.264892578125,,,0.4420701505520031,0.3364967755035886,0.35209036960247275,0.36888592331363945,8.595490045393005,3.457630900997594,0.4022610558255266,3.4887629134684106,1.8461512424377515,0.52917073708582,8.583093044189221,3.3294162406562506,0.3879040135665633,received
2,train,3.608354091644287,88.0625,90.1875,1.4736328125,2.421875,2.421875,60,11,4.76953125,6.08984375,4.7677263540576975,4.767773846645169,4.768875466444271,4.78427804466821,4.760956139610254,4.761974956889236,4.781534658043378,4.8270563273741605,0.216796875,,,3.953125,0.39996190033439166,0.29834445041454705,0.3075454752199514,0.3387801343378234,8.594697028555208,3.5270748357360526,0.41037803008269197,3.4677312148276815,1.8654711359011946,0.537951479031772,8.591855702614161,3.395502519212891,0.395200133328563,43,10,4.31640625,5.875,4.31614195778675,4.31620559290921,4.317284724657512,4.33657299295881,4.310754384629191,4.3119963071243115,4.330599535752419,4.391149574752641,0.265380859375,,,0.41647678377552466,0.3108739822695599,0.33045806681588624,0.3518616085227457,8.594697028555208,3.6770863582899507,0.4278319929222774,3.4677312148276815,1.9174363752475374,0.5529368501943767,8.591855702614161,3.547298497035432,0.4128675596770241,received
3,train,3.031712770462036,89.6875,91.875,1.4482421875,2.44140625,2.44140625,60,11,4.8515625,6.09375,4.849579637300626,4.849620070688709,4.850652751813138,4.864687905404039,4.867818821526871,4.86873557852987,4.888307311616763,4.929484356361045,0.2039794921875,,,3.9453125,0.4272410453587553,0.32140538858560286,0.2945154699942455,0.3251764400188966,8.596981371445516,3.6668738399689476,0.426530392650181,3.4772413400077493,1.8780472685264509,0.5400969000679905,8.591851052378562,3.549261917180864,0.41309630434041206,45,10,4.40234375,5.875,4.403549015624126,4.403606178077954,4.404667980459251,4.422810516875992,4.39297980702293,4.394189563211961,4.413558559165343,4.4713617391642195,0.250244140625,,,0.4460214217396431,0.33615917068567,0.32021589772998577,0.34087481047251234,8.596981371445516,3.8421226542321154,0.44691531692665426,3.4772413400077493,1.9336856418401749,0.5560976224433894,8.591851052378562,3.714789156442298,0.4323619129097796,received
4,train,2.7505393028259277,90.5625,92.5625,1.4228515625,2.474609375,2.474609375,69,11,5.0234375,6.2421875,5.021904821790001,5.02194076162559,5.02299104682436,5.035439279105663,5.026315020746688,5.027113258190483,5.046580403422749,5.0815258136122825,0.1951904296875,,,4.13671875,0.3673427699451234,0.25252647927757155,0.28746672243306254,0.31062397752683135,8.596486123943242,3.7296236218369936,0.43385443401683765,3.459354498074624,1.8994261109866377,0.549069519196082,8.595581392034742,3.6060905262841283,0.41952840207246256,50,10,4.56640625,6.015625,4.565978326946972,4.566030885484116,4.567105848420609,4.583662743610233,4.560050517770907,4.561117596916056,4.580219045802993,4.631265432274341,0.2412109375,,,0.3844189697518859,0.2643708809614478,0.31008502698598345,0.32461371128962124,8.596486123943242,3.908257515028926,0.45463430739956723,3.459354498074624,1.9674945243962423,0.5687461419439067,8.595581392034742,3.787028517898439,0.4405785187966181,received
5,train,2.4595389366149902,91.5625,93.375,1.3974609375,2.525390625,2.525390625,70,11,5.18359375,6.33203125,5.182329504473905,5.182363010174776,5.183503431677707,5.195104392283387,5.173094578941599,5.173901624744904,5.195351477850303,5.226427865310611,0.1812744140625,,,4.3203125,0.3312197048494937,0.21667019546824903,0.27089533908280017,0.2822557178384596,8.598119004436274,3.8819218361265158,0.4514850090029697,3.493910179618462,1.9462019969932562,0.5570269116665681,8.595086692872695,3.7837329436828417,0.4402204513911916,54,10,4.71875,6.09765625,4.720635392254752,4.720685891825062,4.721872698355946,4.737725981568248,4.716448482537011,4.717508947753983,4.738738849376139,4.785404586225864,0.22607421875,,,0.3506053894141196,0.22876871355960632,0.2948624676145375,0.2970311670002666,8.598119004436274,4.089942346590501,0.47567873211341455,3.493910179618462,2.0203893532133836,0.578260244066724,8.595086692872695,3.9762418386486207,0.4626180026719033,received
6,train,2.2676031589508057,92.25,94.0,1.373046875,2.55859375,2.55859375,75,11,5.26171875,6.3828125,5.262207658654784,5.262238886879956,5.26338957208807,5.274246309562053,5.25983725626814,5.2605731449893245,5.2820559217308265,5.309641143060847,0.175537109375,,,4.4375,0.3190606386357907,0.20611856545557425,0.27227645037603887,0.26742773373877593,8.595345089088642,3.938058859963361,0.4581618095778991,3.4733913878154317,1.9732164324994628,0.5680950437723361,8.593130769517732,3.839120930369524,0.4467662640475545,57,10,4.79296875,6.1484375,4.791940173431519,4.7919896504176664,4.793219701817291,4.808592865067332,4.789099804434743,4.79013485925922,4.812022563362117,4.856164183453662,0.2200927734375,,,0.33714194057771324,0.21774464931190257,0.2899774462488327,0.27785900387952345,8.595345089088642,4.151063437031906,0.4829431970452789,3.4733913878154317,2.0552678015602153,0.5917178837864464,8.593130769517732,4.038362889581874,0.46995245363972477,received
7,train,2.1596527099609375,92.4375,94.25,1.349609375,2.5703125,2.5703125,81,11,5.2890625,6.39453125,5.287593408919074,5.287626455067034,5.288867335971184,5.299777858648941,5.287880041934899,5.288624850290035,5.311363728238663,5.337878869567984,0.173095703125,,,4.4296875,0.30155719139194803,0.19946797389772597,0.2927992390465626,0.29048765050592057,8.593165935481778,4.0229108399883735,0.46815235155386625,3.4688852729161104,2.0165728293098493,0.5813316586324061,8.59187905351124,3.912599247601415,0.4553834176707195,61,10,4.8203125,6.15625,4.822489809213671,4.822538580011287,4.823804735988276,4.838996625257734,4.816757836729916,4.817788742766963,4.840312850842146,4.883425410023396,0.217041015625,,,0.32436496832389755,0.21477188989527,0.3168090561619477,0.30552352800183513,8.593165935481778,4.237464244935393,0.49312026286360994,3.4688852729161104,2.1028955740643607,0.6062165245080493,8.59187905351124,4.119698955630458,0.4794875404987064,received
8,train,2.0448551177978516,92.875,94.5,1.326171875,2.587890625,2.587890625,85,11,5.35546875,6.4765625,5.353197372545443,5.353227018285825,5.354498922948709,5.364924819800475,5.351046447069223,5.351766327673433,5.375313601524746,5.399245721989422,0.1729736328125,,,4.5859375,0.31373195864687653,0.17929620704789276,0.26870348356560664,0.2838454727146949,8.592671905580557,4.074877283540169,0.47422703069736877,3.471021046118411,2.0330617415918746,0.5857244063286265,8.589039305955342,3.9843561566532033,0.4638884530299668,65,10,4.875,6.234375,4.876223432118313,4.876270721847043,4.877573788868917,4.892412797278052,4.8574493696189736,4.858497463457387,4.8820542684231185,4.924119855233404,0.2177734375,,,0.32701515293159744,0.1879879298391267,0.28785051908287596,0.2949385730635142,8.592671905580557,4.305046121295226,0.5010136740469854,3.471021046118411,2.130603007321669,0.6138260122923453,8.589039305955342,4.203253049318181,0.489374061474348,received
9,train,2.1377265453338623,92.6875,94.4375,1.302734375,2.58203125,2.58203125,84,11,5.37890625,6.453125,5.380852354112932,5.38088132930969,5.382093953977848,5.392075190124734,5.372503017309442,5.373190133661101,5.395759166159275,5.41917749232084,0.1666259765625,,,4.5390625,0.287969251098812,0.17497666203452375,0.27198474633576514,0.2721145343737791,8.594863936741547,3.992524259958465,0.46452442869876265,3.477436823602556,2.015142751531039,0.5794908301003701,8.592325713609299,3.9014018830398154,0.454056563156169,66,10,4.90625,6.2109375,4.907228236746894,4.907273819014119,4.908542959855111,4.922992769195744,4.905601871008131,4.9066102373688585,4.929893459533683,4.970100512881948,0.2103271484375,,,0.30697315963467353,0.1859797317129215,0.29620333330826676,0.2870747265014196,8.594863936741547,4.2078557222294375,0.4895779331935189,3.477436823602556,2.0992441356920137,0.6036757077637541,8.592325713609299,4.111350606751041,0.47849100974362674,received
10,train,1.8951160907745361,93.375,95.0,1.2802734375,2.587890625,2.587890625,87,11,5.390625,6.4453125,5.387425342825714,5.387452332866411,5.38862256011959,5.398326158403315,5.387288328625138,5.387970411627319,5.410912998892762,5.433919228782612,0.1634521484375,,,4.52734375,0.3141401875699163,0.1907301188457038,0.27749825385120286,0.28104277231318336,8.594247247603615,4.017349667809198,0.4674463687240764,3.4840898491733023,2.005861673943657,0.5757204207634323,8.592111490461205,3.933477244376041,0.45780100138864716,69,10,4.921875,6.203125,4.918620842885799,4.9186648710141405,4.919915291365644,4.934060899514315,4.919157557867555,4.920110941191314,4.942799457654546,4.98209957086376,0.206787109375,,,0.3354539496551515,0.2041659058629231,0.30088900931757606,0.2949732591447348,8.594247247603615,4.229901636496355,0.49217825769159756,3.4840898491733023,2.091437838352784,0.6002824062786544,8.592111490461205,4.1345745375565865,0.4812058761279705,received
