epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,mutual_info_msg_target_shape,proficiency_msg_target_shape,mutual_info_msg_target_color,proficiency_msg_target_color,mutual_info_msg_target_x,proficiency_msg_target_x,mutual_info_msg_target_y,proficiency_msg_target_y,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,mutual_info_msg_selected_shape,proficiency_msg_selected_shape,mutual_info_msg_selected_color,proficiency_msg_selected_color,mutual_info_msg_selected_x,proficiency_msg_selected_x,mutual_info_msg_selected_y,proficiency_msg_selected_y,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,mutual_info_msg_target_shape_nn,proficiency_msg_target_shape_nn,mutual_info_msg_target_color_nn,proficiency_msg_target_color_nn,mutual_info_msg_target_x_nn,proficiency_msg_target_x_nn,mutual_info_msg_target_y_nn,proficiency_msg_target_y_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn,mutual_info_msg_selected_shape_nn,proficiency_msg_selected_shape_nn,mutual_info_msg_selected_color_nn,proficiency_msg_selected_color_nn,mutual_info_msg_selected_x_nn,proficiency_msg_selected_x_nn,mutual_info_msg_selected_y_nn,proficiency_msg_selected_y_nn,messages
1,train,1.0890517234802246,32.46875,32.4375,1.5,3.66796875,3.66796875,2201,11,7.23046875,10.0390625,7.0202455412183,7.020304017237066,7.020474147727889,7.047046119001152,5.989244242965833,5.991955114249812,5.999457559137281,6.1804935800369645,0.280029296875,,,6.52734375,0.5446830099971285,0.5459766148736823,7.162105003080282,2.1539350826250567,0.3007405059963085,0.5557495169912663,0.0788965457386996,0.6493457022812734,0.0871580465830426,0.9142781093831793,0.15587103963509308,0.26547380005710597,0.045255533313963175,6.973754719784971,1.8201422774644316,0.26099889522936276,0.5507754490869559,0.0750707164428193,0.6382044756792791,0.0831051806277557,0.5620123750405348,0.09239497085847023,0.28184943435248044,0.04578821256475112,2002,10,6.203125,9.8046875,6.062778992910226,6.0628427458642955,6.062975784868987,6.091940852626655,5.134078836082808,5.136885559948232,5.142629205524818,5.334335340815373,0.367431640625,,,0.5791798206170578,0.5796098070563819,2.0589191097953092,0.28747401900835134,0.5212853006226617,0.08451539262775032,0.6101007084023404,0.09280348497654257,0.9136543055970154,0.18311500991598897,0.24840649541543858,0.049780744266603234,6.973754719784971,1.7379871567941914,0.24921828005556532,0.5165914420232411,0.08000192098645931,0.600735051710183,0.08834388526898844,0.5628682898193418,0.10817735055527877,0.26472365388889685,0.05017520976008654,received
2,train,0.8544833660125732,39.6875,39.71875,1.4951171875,3.533203125,3.533203125,51,9,3.185546875,9.2578125,3.183351647317817,3.183442128973278,3.183581060104916,3.2231135194459797,3.1529020696154086,3.1559603914362575,3.1606127138188516,3.3758082927689563,0.65576171875,,,1.818359375,0.547670316302792,0.5478854186545173,7.162105003080282,1.0495001511937136,0.14653515282760363,0.031587534041499055,0.007341056682340453,0.035658575817363314,0.007572365901622374,0.9943006052432359,0.31823353443358116,0.01802343299752973,0.005767613207030695,6.889493964493852,1.0458726219067818,0.15180688557053096,0.029596328547107476,0.0069967092727357665,0.03302253483183826,0.007251075708275921,0.862431524344716,0.2881626919082471,0.015900318339785002,0.005290712757349454,11,8,1.4443359375,9.0390625,1.4392471813236696,1.4393427025886205,1.4393606808092887,1.4819798698468276,1.4201849381478764,1.4234337453299561,1.424020562239656,1.6611117759154466,0.84033203125,,,0.5815379994848326,0.5815379994848326,1.0144190203009977,0.14163699357447507,0.00879496075539521,0.0033838977479586285,0.010008792138790135,0.003330443368835506,0.9942704508215368,0.6998751033959651,0.005360061393609783,0.0037716610641673393,6.889493964493852,1.0125484354279815,0.14696992850945476,0.00811199793737849,0.0032069788008678816,0.008998293574449256,0.00315330838196599,0.8623932028606394,0.6673265668537959,0.0047094735206369975,0.0036094178528983186,received
3,train,0.8378891944885254,42.09375,42.25,1.490234375,3.533203125,3.533203125,625,11,4.609375,9.2578125,4.5179354899365105,4.518015561751003,4.518153243423429,4.553417445397985,4.19386278264185,4.1967945020829855,4.201769276577944,4.405204082040679,0.501953125,,,3.51953125,0.4978702496583849,0.5541965537297038,7.162105003080282,1.4373691584326949,0.20069088037867502,0.19626019163200148,0.03741305972899991,0.2320728565618193,0.04106068588370265,0.9942010736980151,0.2444349300704604,0.10600438880999175,0.026059099180420223,6.940369458577495,1.4224413352403111,0.20495181758405354,0.18704867049137697,0.03598508952545385,0.2244247017064147,0.04065009996371146,0.8874464967147313,0.22278000697131042,0.0958628057854245,0.023934271349816735,463,10,3.16796875,9.03125,3.100221219811995,3.100306482141305,3.1003721229269585,3.1384508801900846,2.8395546369509823,2.8426375829542883,2.8449867510758824,3.0651244522811965,0.64892578125,,,0.5110121176998469,0.5648714447533573,1.3586121789152994,0.18969453510259718,0.15317455811778835,0.03915442647036558,0.18459768609194072,0.04274832909631302,0.9942000000270763,0.3636909105790782,0.08585354877706752,0.031400557571716475,6.940369458577495,1.3454356493689423,0.19385648810181702,0.14677739641475185,0.038119008726666286,0.1793541064585149,0.04297508370936191,0.8873979753817478,0.3366373361372442,0.07667910894562802,0.028850513083833223,received
4,train,0.6590907573699951,51.34375,51.53125,1.484375,3.533203125,3.533203125,150,10,3.95703125,9.2578125,3.9541936730753684,3.954281528624081,3.9544371366154323,3.9925155434286372,3.871100726398288,3.8740780835287114,3.8792551273044444,4.086411995478374,0.572265625,,,2.630859375,0.5603358715683915,0.5848305463661588,7.162105003080282,1.5630558469016442,0.21823972787740537,0.051553935540143314,0.011300397895992293,0.06355019499967085,0.01279109492754865,0.9943388199346526,0.2938603446483374,0.48470305777762324,0.14322474430876955,6.987861949098383,1.5586944354463932,0.223057416817959,0.049805493320417504,0.01099718751877931,0.058518275223240934,0.012056495245462139,0.896179353193407,0.27288733642190005,0.476045958636516,0.1448384056361098,42,10,2.28515625,9.03125,2.2826477624791828,2.2827407274685285,2.2828313049080173,2.323906858377276,2.2523678897747286,2.2555248327965653,2.258562609009224,2.484617667275833,0.7470703125,,,0.598285615981182,0.6231960911720911,1.5272213471799319,0.2132363804388659,0.027515962078088485,0.009390103395043353,0.037510655240811985,0.011242529392266878,0.9943050446544692,0.5675604526030479,0.48388172229476467,0.2761261460607268,6.987861949098383,1.5211679615927811,0.2176871799519525,0.024771990855128934,0.00853374833266201,0.031452520973185294,0.009744958221150075,0.8961160286069054,0.5404931605149506,0.47501654324462805,0.2860451410841591,received
5,train,0.640999436378479,53.03125,53.1875,1.4794921875,3.533203125,3.533203125,121,10,3.83984375,9.2578125,3.836492746122774,3.836581189792662,3.83673721080358,3.875093961416927,3.801191696726841,3.8041780164364907,3.809382196149381,4.017308164973442,0.5849609375,,,2.5,0.5622127990671744,0.5826834677888744,7.162105003080282,1.5803296191359149,0.2206515568336747,0.050746182313037735,0.011467327019771567,0.0430481809338481,0.00890996388617942,0.9942704942332874,0.30622506176189834,0.5042803813253824,0.15528919898520271,7.0174884896370475,1.5649453493783918,0.22300647185804398,0.041408881845975465,0.009392441236249138,0.041239762201318975,0.008721472989638471,0.9043711073383838,0.2849397916721594,0.4938689239654934,0.1548273633052086,27,9,2.140625,9.03125,2.1362098418351017,2.136303358268847,2.1363912687921243,2.1777590178466766,2.095058531660012,2.09823355011901,2.1011541759907986,2.3289922473157394,0.76318359375,,,0.5928979345956213,0.6131876215283171,1.5578964550016559,0.21751935420265897,0.0351082873853068,0.012766334594518165,0.021850581720896933,0.006922959043253833,0.9943737473700143,0.6326959299126871,0.5049014399485445,0.32115418947229973,7.0174884896370475,1.5387317124382558,0.21927099912034778,0.021994460326748566,0.008033298547394251,0.01778278568348668,0.005815743194433553,0.9044399005358565,0.6017289651808275,0.49452411356898374,0.32556542675043676,received
6,train,0.6194336414337158,56.5625,56.65625,1.474609375,3.533203125,3.533203125,135,9,3.947265625,9.2578125,3.9419115288478963,3.9419996552325607,3.94215673491928,3.9803291739989577,3.917891411901575,3.9208647673996864,3.9261033193064483,4.132785176974802,0.57373046875,,,2.6171875,0.5697118180373797,0.5863063393813696,7.162105003080282,1.6600802866711288,0.23178664456289882,0.1250182518357299,0.028057799473598252,0.05255172769682659,0.010808841031867885,0.9943737079388999,0.3034108699243382,0.5018109240184865,0.15309296518078463,7.024569655750608,1.6261307155422768,0.23149186288032006,0.11281224831427217,0.02535884013584124,0.052379561877629044,0.010948066537211903,0.9147890405306498,0.28291441630217995,0.4771624164368653,0.1471424543095002,30,8,2.271484375,9.03125,2.266294093702368,2.266387228669246,2.2664824892533995,2.307619973740408,2.254836866142018,2.25799409348049,2.261199814898932,2.4870953317997513,0.74853515625,,,0.6021840631316818,0.6171719232905819,1.6589067982740642,0.23162279770550706,0.12365272348665268,0.044430094338615105,0.034736157351270336,0.010891584242198181,0.9943388259120116,0.6196560505393545,0.504799412593222,0.3144847402531471,7.024569655750608,1.615592671693899,0.22999169356535698,0.10736997365242384,0.03864717759652155,0.03147317856603138,0.010107187176794945,0.9147535828503139,0.5852467925967609,0.4791683429424092,0.30473028914215006,received
7,train,0.6013383269309998,57.0625,57.5,1.4697265625,3.533203125,3.533203125,158,10,4.08984375,9.25,4.080471786609434,4.080559158214887,4.080715053794704,4.118540528720726,3.989177351366118,3.99214135177696,3.997341607068148,4.203237173731445,0.55810546875,,,2.78125,0.5640323385216334,0.5797882112457544,7.162105003080282,1.7433216285870792,0.24340911335945373,0.19084597402244263,0.04234070481081729,0.07186110148036562,0.01462503243081475,0.9942024319698355,0.29865208060437226,0.5001262864541927,0.1502121475835534,7.049154813885728,1.7120465345939513,0.2428725967574848,0.17892742221861724,0.03979395469303631,0.0702898818940616,0.014472607829180265,0.9289955788418034,0.2815754658270627,0.4798595681295046,0.14489638541645966,40,9,2.439453125,9.03125,2.4354094484911526,2.4355019104667996,2.4355985279931547,2.4763885345632604,2.394761110599076,2.397902347522867,2.401145629026206,2.625526427549806,0.72998046875,,,0.5965517718175037,0.6118865555275358,1.7378864416535018,0.24265023214628528,0.19154189184247272,0.06675073443449438,0.05022862893655855,0.015333751450338863,0.9943737240869357,0.5880084407397378,0.5045828800771268,0.29828938449729964,7.049154813885728,1.702175771718566,0.24147232067673516,0.17523322758330728,0.061323653811350465,0.047337108068485456,0.01471046466069186,0.9289278069063176,0.559445072452147,0.48263449953820636,0.2884998960884527,received
8,train,0.595888078212738,57.90625,58.125,1.46484375,3.533203125,3.533203125,408,11,4.6328125,9.25,4.603681873786748,4.603765801636336,4.603917149265017,4.640250524965294,4.406279364564657,4.40919015934279,4.414333777675457,4.615553584367587,0.4990234375,,,3.423828125,0.555443134135906,0.5780178078833165,7.162105003080282,1.8580182496175848,0.2594234863658781,0.26039915533585223,0.05297096780531975,0.13129022546470637,0.02466903662893588,0.9943735700343179,0.26605583255576126,0.5011207868883991,0.13406253338158775,7.054625287700768,1.8324924887750331,0.25975759364141593,0.24657106137002316,0.050354901353926756,0.13614127866275627,0.025840731156558123,0.9305616042662681,0.2513760309071507,0.4873982506342909,0.13128651432071436,176,10,3.107421875,9.03125,3.086701231678753,3.086790607206649,3.0868913470815,3.1261901252178728,2.953064896589974,2.9561397706184978,2.959540661034968,3.17771864546764,0.65576171875,,,0.5868072750255866,0.6042562419858877,1.8169708400171474,0.25369229287139794,0.24005551196065333,0.06976498705775831,0.08782479895989326,0.022828845554024937,0.99437358768267,0.43950323637441957,0.5045756990678454,0.22296807153731027,7.054625287700768,1.7852815019590378,0.25306539031513803,0.22401579623733703,0.06538733223100146,0.09127931262290456,0.024034829159834292,0.9305662099321346,0.41707209757755315,0.48970946991741826,0.21844528215673148,received
9,train,0.584443211555481,59.4375,59.3125,1.4599609375,3.533203125,3.533203125,800,11,5.09765625,9.25,5.04733486043726,5.047415420102899,5.047562493683807,5.082487817656023,4.7353009217238045,4.7381689197977614,4.743325657153369,4.940752940445063,0.448974609375,,,3.96875,0.5389015571069248,0.578970399772644,7.162105003080282,1.9746694921307322,0.27571077096488605,0.3192599439981656,0.06089733491922536,0.20444374815444277,0.0361925877653225,0.9943734515670055,0.2446682345304503,0.501415267264437,0.1233593556159511,7.059962188371072,1.9637949582391725,0.27815941584982823,0.3099719028692842,0.05958293608089251,0.20477554385549812,0.03668821969214377,0.9329140680989401,0.23213942834860232,0.49400560576040053,0.12265812060384287,464,10,3.671875,9.03125,3.6377894638619717,3.6378758340042103,3.6379824351292154,3.675887929496028,3.433273721471225,3.4362904128241345,3.4399762494180965,3.652604188431279,0.59326171875,,,0.5708724785711033,0.6060685038428103,1.9033350161025653,0.26575078350345016,0.28358766137978186,0.0724627627876407,0.14634719036727617,0.033878664465650785,0.9943384503126271,0.36354185381566206,0.5032362260214454,0.183955401329573,7.059962188371072,1.8868520402536033,0.26726092717062444,0.27344531455955234,0.07066875230786873,0.1456576626349877,0.034284158050609,0.9328482479140927,0.34732593172968435,0.49546364337464954,0.18387724508349926,received
10,train,0.5782352089881897,60.0,59.875,1.455078125,3.533203125,3.533203125,683,11,4.98828125,9.25,4.945955620711958,4.946037333025664,4.9461862737168065,4.981549010923701,4.680775048337518,4.6836507773629075,4.688801698149917,4.886897521417643,0.4609375,,,3.83203125,0.5242376198982879,0.5750182584988212,7.162105003080282,1.9611187293673193,0.27381876257383553,0.3162627189491545,0.06133816395519279,0.18062266933667637,0.032473054321778515,0.9943734936792339,0.24999152124508925,0.5039104308471716,0.12667018217779336,7.072271183336525,1.9503539416638178,0.2757747675540474,0.31254874278626676,0.06102124874365605,0.18018567495608107,0.032678144589791666,0.9440967346289657,0.23933350863274783,0.49489795309184004,0.12530863047299232,361,10,3.521484375,9.03125,3.497854076546341,3.497941441574753,3.4980481671230854,3.53637845317679,3.3254040653082404,3.3284344041806513,3.3321033816144925,3.545964737438041,0.60986328125,,,0.5462184281798972,0.5998941055505953,1.891846147614741,0.26414666453523017,0.2791817878227558,0.07388787942830284,0.12585647483165374,0.030075871350408144,0.9943384094013528,0.3824335326231177,0.504659677088962,0.19406029431737792,7.072271183336525,1.879290787467645,0.26572662992555685,0.27604962924707,0.07376225025123455,0.12551972236663556,0.03035977323148981,0.9440967364547905,0.36804745491014307,0.4946943268922581,0.19249624472512805,received
