epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,messages
1,train,8.844473838806152,71.125,71.125,1.5,2.419921875,2.419921875,605,10,4.24609375,7.03515625,4.245208744131676,4.245312244347563,4.246174804497721,4.27657863697668,4.248334045525478,4.250176404888531,4.264774311849058,4.373112493494079,0.39599609375,,,4.25390625,0.3876290017547983,0.36644526294217267,0.25899601625794005,0.3086978905148957,8.596996475558878,3.4233333465635942,0.39820108758868,3.473098675375108,1.6107047634786364,0.46376590878307655,8.56615111176868,3.3787355896765794,0.3944286699582821,baseline
2,train,3.1912922859191895,89.5,89.5,1.4736328125,2.66796875,2.66796875,96,10,4.484375,7.01171875,4.485132456927184,4.4852407038003,4.4867190743834895,4.517030781135203,4.481019695632428,4.482884250933529,4.506952719082869,4.60560250181666,0.3603515625,,,4.484375,0.5032428325103996,0.48751741119519365,0.2861114580225154,0.3230885117494173,8.59310107768901,3.926012812864501,0.45687962673428084,3.4964791220006877,1.8102222767255274,0.5177271802754873,8.587385362002582,3.897503506904016,0.4538638179846533,baseline
3,train,2.4884698390960693,91.5625,91.5625,1.4482421875,2.65234375,2.65234375,134,10,4.74609375,7.0859375,4.744737106972586,4.7448381485551865,4.746477297218554,4.775005724001787,4.740748211197761,4.742551721266143,4.769782192201448,4.86088766392632,0.330322265625,,,4.75,0.4748656666717499,0.46644652979284507,0.266576157679385,0.3135519256193225,8.59289240635376,4.1335492789339785,0.48104282975515295,3.5025454484869587,1.8984428992129878,0.5420180629013918,8.589454034108776,4.107084107515837,0.4781542681533168,baseline
4,train,1.9788862466812134,93.1875,93.1875,1.4228515625,2.677734375,2.677734375,119,10,4.953125,7.17578125,4.954113585395608,4.954212350631895,4.956026439602856,4.983673669387063,4.9347341597500805,4.936510042946553,4.966787125302063,5.0525318932523335,0.309326171875,,,4.953125,0.44203823786720503,0.43024217244486385,0.23779623730153315,0.2773424947927047,8.598131473144722,4.307063057283496,0.5009301231012939,3.489485202419675,1.9430752171191843,0.5568372136301994,8.594439922607169,4.279903072339796,0.4979851055892267,baseline
5,train,1.7044094800949097,94.125,94.125,1.3974609375,2.712890625,2.712890625,132,10,5.01953125,7.2109375,5.0160700106676845,5.0161672418505905,5.01797833410698,5.045254796795285,5.006721564327827,5.00847061480151,5.038521948650965,5.122819819372668,0.30419921875,,,5.01953125,0.44435406425667995,0.4320094275796037,0.24199702422746203,0.2978699200576489,8.594755062798532,4.443405181038356,0.5169903212566411,3.463408033428134,1.9534465247638257,0.5640243673022479,8.590809525929663,4.430928211511688,0.5157753990631274,baseline
6,train,1.8943597078323364,93.875,93.875,1.373046875,2.712890625,2.712890625,130,10,5.015625,7.2421875,5.017250892314619,5.017349196850678,5.0191473956250166,5.0465846146424145,4.998682262381298,5.000442994318214,5.030300125241255,5.1153023369898,0.3076171875,,,5.01953125,0.4188029544682544,0.41210174819027495,0.23352568243926294,0.2987000832588008,8.596424841250135,4.44697817840406,0.5173055381191884,3.470511230256074,1.9537741900670502,0.5629643762665162,8.59060240723068,4.4266095467558975,0.5152851147004587,baseline
7,train,1.6649212837219238,94.5,94.5,1.349609375,2.70703125,2.70703125,148,10,5.1796875,7.21484375,5.177230416344889,5.177323448750975,5.179136504008472,5.205370792180959,5.175947981091074,5.177644332493776,5.208160252444664,5.28843085207528,0.281982421875,,,5.18359375,0.43529528702845594,0.4234335710521423,0.24298605277005159,0.29366262419739514,8.597123900142515,4.5064305660729875,0.5241788554423746,3.4739791836197105,1.9874708099087304,0.5721021067944012,8.59472456998891,4.481135827874785,0.5213821328867281,baseline
8,train,1.493101954460144,95.0,95.0,1.326171875,2.705078125,2.705078125,159,10,5.10546875,7.21875,5.104753631429679,5.104849246201594,5.106705232286016,5.133519711419579,5.0962211574514535,5.097953606279699,5.129018422320793,5.210919697165531,0.292724609375,,,5.109375,0.4017666800962485,0.4023514081813343,0.2464976155991825,0.2968738459843778,8.59242319294908,4.570127221579263,0.5318787400194042,3.4748889582041027,1.9879492188791312,0.5720899984978358,8.588918052286012,4.55211712754331,0.5299989008897025,baseline
9,train,1.498257040977478,94.8125,94.8125,1.302734375,2.701171875,2.701171875,188,10,5.0703125,7.16796875,5.0728897937004245,5.072985691632159,5.0748136220010736,5.101764720798593,5.056701062327521,5.058449908164269,5.089201412170402,5.172385352313587,0.29248046875,,,5.07421875,0.43075500471131656,0.42178089653371903,0.27209745989077005,0.30643611755954153,8.593474463654733,4.593609533437948,0.5345462481870603,3.503039294515412,1.9935055018260952,0.5690788296172579,8.590862932043567,4.5810159757917726,0.5332428199622148,baseline
10,train,1.447259545326233,95.0625,95.0625,1.2802734375,2.697265625,2.697265625,183,10,5.265625,7.23828125,5.2667996627386975,5.266891330767058,5.268735259566123,5.294604706928576,5.25934066266284,5.261039231322122,5.292392847827833,5.371253046998942,0.2724609375,,,5.26953125,0.41097948731723927,0.41242058153648664,0.2415484109190117,0.29734503092278614,8.591429660723064,4.6287118242519085,0.5387592062136899,3.4741285477703023,1.9656649571759006,0.5658008706780483,8.586733774606445,4.6108044389417175,0.5369683700427808,baseline
11,train,1.4133307933807373,95.1875,95.1875,1.2578125,2.708984375,2.708984375,189,10,5.21484375,7.19921875,5.214608697387876,5.2147026252447,5.216544519045109,5.242857862060506,5.210916981766987,5.21261209970629,5.24333579721607,5.323117133336654,0.275146484375,,,5.21875,0.37825857911073235,0.3812475816842307,0.24438243883743047,0.28448271263687575,8.603318348596162,4.642873497934728,0.5396607808535092,3.474688018644073,1.9773131485412114,0.5690620677112813,8.601463721633436,4.624403997715006,0.5376298903736841,baseline
12,train,1.3426592350006104,95.3125,95.3125,1.2353515625,2.70703125,2.70703125,196,10,5.296875,7.25390625,5.297873253558121,5.297964572780505,5.299801742848844,5.325444903840607,5.284077686208443,5.2857460196834225,5.316623229150241,5.394508400108054,0.269775390625,,,5.30078125,0.37239517688932816,0.3631239828272943,0.21670977632912095,0.2810555600044003,8.595759022903273,4.640534192669234,0.5398632256098151,3.4672468925161413,1.9656304945216068,0.5669139105047034,8.591913980745957,4.623432959773336,0.5381144376135765,baseline
13,train,1.3030834197998047,95.5625,95.5625,1.2138671875,2.76953125,2.76953125,196,10,5.3359375,7.47265625,5.332070659619792,5.33216144955659,5.334073237397363,5.359627395160324,5.312140850047732,5.313822225421018,5.346162375805333,5.42306284079432,0.2861328125,,,5.33203125,0.3723205588885343,0.37083240436974063,0.2603017303130899,0.2946284017230345,8.594716531833154,4.730047578788445,0.5503436397546413,3.486091314500033,2.010668062157099,0.5767686158403066,8.592517804678502,4.708076481285002,0.5479274629749993,baseline
14,train,1.2452151775360107,95.6875,95.6875,1.1923828125,2.783203125,2.783203125,199,10,5.34765625,7.40625,5.346999174827705,5.347092414210393,5.349024714807536,5.374853274506415,5.328215166495579,5.329899493999095,5.361959623793726,5.4391126864483,0.278076171875,,,5.34375,0.36972964983370005,0.3732616510186798,0.2691611880946527,0.30596491422942684,8.597484919428986,4.857336238374105,0.5649717660332589,3.479038326282822,2.0334524313182776,0.5844869301830656,8.596198554865975,4.847211450578828,0.563878488804218,baseline
15,train,1.2354637384414673,95.75,95.75,1.171875,2.787109375,2.787109375,223,10,5.44921875,7.44921875,5.446208582319214,5.446299512131548,5.44825082045148,5.473414750627644,5.429853772961128,5.431504825247396,5.463939055649578,5.538422986905916,0.2685546875,,,5.44921875,0.37386625054993416,0.36909390176569085,0.2356087877103102,0.2873710485062213,8.598230452502445,4.890377944173979,0.5687656281358072,3.4611127182275836,2.067628765580053,0.5973884510293771,8.597746170409453,4.869913917792889,0.5664175030606851,baseline
16,train,1.1836987733840942,96.0,96.0,1.1513671875,2.78515625,2.78515625,209,10,5.40234375,7.45703125,5.399244268724148,5.399340812994659,5.4014195209337945,5.427512716999401,5.397156093442766,5.398844144003639,5.432550084237245,5.507709784647358,0.275390625,,,5.40234375,0.3946005903804998,0.3840016320313996,0.2594122516847642,0.3057622932788447,8.59627056639149,4.958805980783,0.5768555029166081,3.4755180055233628,2.097643503208223,0.6035484494324603,8.595392434046092,4.943879121013625,0.5751778245087529,baseline
